kx,MATx,MUOx,MLOx,TATx,TOCx,zetax,chix,taux
223.00183,851.0,460.0,1740.0,0.85,0.0068,1.0,0.0,0.0
227.71812,857.53955,462.25787,1740.1342,0.88419974,0.011016,1.0,0.0,0.014888048
233.18492,864.0804,464.58102,1740.2715,0.91872567,0.015381918,1.0,0.0,0.029554427
239.29147,870.63336,466.9669,1740.4119,0.9535662,0.019898638,1.0,0.0,0.044002473
245.92491,877.2062,469.4132,1740.5557,0.98871124,0.024566976,1.0,0.0,0.058235407
253.01991,883.8033,471.91806,1740.7029,1.0241519,0.029387698,1.0,0.0,0.072256446
260.54254,890.4284,474.4795,1740.8534,1.0598801,0.03436152,1.0,0.0,0.08606875
268.4608,897.08435,477.096,1741.0076,1.0958885,0.039489113,1.0,0.0,0.09967542
276.72214,903.773,479.7661,1741.1654,1.1321698,0.044771113,1.0,0.0,0.11307949
285.2784,910.49475,482.48837,1741.3268,1.1687174,0.050208107,1.0,0.0,0.126284
294.09048,917.24866,485.26144,1741.4921,1.2055249,0.055800654,1.0,0.0,0.13929194
303.14813,924.0319,488.08408,1741.6611,1.2425859,0.061549276,1.0,0.0,0.15210623
312.49283,930.84326,490.95496,1741.834,1.2798935,0.06745446,1.0,0.0,0.16472971
322.0928,937.6817,493.87283,1742.0111,1.3174411,0.07351665,1.0,0.0,0.17716527
331.92328,944.5458,496.8364,1742.192,1.3552221,0.07973628,1.0,0.0,0.1894157
341.9549,951.4324,499.84445,1742.3772,1.3932296,0.086113706,1.0,0.0,0.20148373
352.1646,958.33844,502.89572,1742.5664,1.4314568,0.09264929,1.0,0.0,0.21337211
362.54385,965.26135,505.9889,1742.7598,1.4698966,0.09934332,1.0,0.0,0.22508347
373.10257,972.19666,509.12274,1742.9575,1.5085417,0.10619609,1.0,0.0,0.23662049
383.81985,979.142,512.29584,1743.1595,1.5473847,0.11320782,1.0,0.0,0.24798572
394.69003,986.0937,515.50684,1743.3658,1.5864178,0.1203787,1.0,0.0,0.25918174
405.7261,993.0466,518.7544,1743.5768,1.6256331,0.1277089,1.0,0.0,0.2702111
416.92856,999.9964,522.03705,1743.7921,1.6650227,0.13519852,1.0,0.0,0.28107625
428.2935,1006.93964,525.3533,1744.012,1.704578,0.14284764,1.0,0.0,0.29177964
439.81934,1013.8731,528.7015,1744.2365,1.7442906,0.15065628,1.0,0.0,0.3023237
451.5135,1020.7937,532.08026,1744.4656,1.7841516,0.15862446,1.0,0.0,0.31271076
463.3704,1027.6978,535.48804,1744.6993,1.8241525,0.1667521,1.0,0.0,0.32294315
475.37543,1034.5828,538.9232,1744.9379,1.8642842,0.1750391,1.0,0.0,0.33302325
487.54153,1041.4458,542.3842,1745.181,1.9045379,0.18348533,1.0,0.0,0.34295326
499.85834,1048.2839,545.86945,1745.4291,1.9449048,0.1920906,1.0,0.0,0.35273546
512.32227,1055.0948,549.37744,1745.6819,1.985376,0.20085467,1.0,0.0,0.36237198
524.9403,1061.8751,552.9065,1745.9395,2.0259423,0.20977728,1.0,0.0,0.37186503
537.7174,1068.6212,556.4551,1746.2019,2.066595,0.2188581,1.0,0.0,0.38121676
550.66376,1075.3303,560.02167,1746.4692,2.1073253,0.22809677,1.0,0.0,0.39042926
563.78046,1082.0016,563.60443,1746.7416,2.1481237,0.2374929,1.0,0.0,0.3995046
577.0554,1088.6329,567.2019,1747.0188,2.1889818,0.24704607,1.0,0.0,0.40844482
590.5103,1095.2231,570.8127,1747.301,2.2298903,0.25675574,1.0,0.0,0.41725194
604.1732,1101.7693,574.43506,1747.5881,2.2708411,0.2666214,1.0,0.0,0.42592794
618.0366,1108.2677,578.06757,1747.8802,2.3118253,0.2766425,1.0,0.0,0.43447477
632.04913,1114.7174,581.7086,1748.1774,2.352834,0.28681841,1.0,0.0,0.44289434
646.2606,1121.1156,585.3567,1748.4796,2.3938591,0.2971485,1.0,0.0,0.45118856
660.712,1127.4592,589.0104,1748.7867,2.434892,0.30763206,1.0,0.0,0.4593593
675.4108,1133.7471,592.66797,1749.0988,2.475924,0.31826836,1.0,0.0,0.46740842
