con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
76.36459,0.0017051001,105.17594,104.996605,28.412535,27.504826,60.3799,0.17933552,30.104828
78.876564,0.0018450696,108.735466,108.53485,29.423367,27.802942,62.158752,0.20062451,30.343824
81.45286,0.0019915858,112.385796,112.16197,30.457676,28.08944,64.03848,0.22382596,30.572548
84.082,0.0021447309,116.12485,115.87579,31.524605,28.36185,65.992355,0.24905653,30.788504
86.757454,0.002304585,119.95201,119.675575,32.629917,28.619398,68.02047,0.27643958,30.990871
89.541695,0.0024712218,123.86359,123.557495,33.706837,28.854904,70.21743,0.3060944,31.172459
92.3761,0.0026447126,127.861534,127.52337,34.81606,29.07292,72.48399,0.33815697,31.337776
95.27344,0.0028251207,131.94646,131.57368,35.94552,29.277344,74.84629,0.37276468,31.490702
98.22895,0.0030125056,136.1191,135.70905,37.099705,29.45724,77.31367,0.4100595,31.620274
101.24698,0.0032069196,140.37666,139.92648,38.271538,29.615486,79.88789,0.45017663,31.729336
104.32611,0.0034084101,144.71895,144.2257,39.461895,29.750805,82.5526,0.49326152,31.816593
107.46511,0.0036170178,149.14735,148.6079,40.673477,29.86656,85.31869,0.5394686,31.885378
110.664276,0.003832776,153.66217,153.07323,41.905937,29.961628,88.19031,0.58895266,31.93454
113.91894,0.0040557124,158.26279,157.62093,43.162422,30.028542,91.159485,0.64186835,31.956598
117.22842,0.004285846,162.9488,162.25043,44.443398,30.071924,94.23816,0.6983734,31.95614
120.58547,0.004523186,167.71794,166.95934,45.7538,30.093412,97.40056,0.7586195,31.934786
124.02824,0.004767739,172.56618,171.74342,47.050827,30.088287,100.68584,0.8227505,31.887793
127.52678,0.0050194985,177.49753,176.60658,48.3684,30.059832,104.07214,0.89094865,31.818419
131.08269,0.0052784537,182.51135,181.54796,49.703682,30.005001,107.55732,0.9633777,31.723602
134.6823,0.005544582,187.60791,186.5677,51.07079,29.928043,111.127266,1.0402075,31.607573
138.33464,0.0058178534,192.78758,191.66599,52.46184,29.838121,114.829735,1.1216098,31.479458
142.03514,0.006098231,198.04364,196.83592,53.872807,29.71908,118.62171,1.2077157,31.3231
145.78323,0.006385669,203.37871,202.08,55.30637,29.569914,122.49525,1.2987093,31.137459
149.57709,0.006680116,208.79237,207.39761,56.763424,29.389877,126.45457,1.3947573,30.921782
153.42577,0.0069815055,214.28972,212.79364,58.239983,29.182291,130.48497,1.4960648,30.679363
157.32602,0.007289766,219.87308,218.27025,59.741848,28.952185,134.6429,1.6028233,30.415216
161.27393,0.0076048113,225.5421,223.82689,61.27165,28.694784,138.90204,1.7152052,30.12455
165.27591,0.007926549,231.29742,229.46404,62.822998,28.408495,143.27147,1.8333902,29.80575
