kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,460.0,1740.0,0.85,0.0068,0.0
228.99892,856.81995,462.25787,1740.1342,0.88419974,0.011016,0.014888048
235.33032,862.6539,464.56375,1740.2715,0.9186361,0.015381918,0.029554427
241.9748,868.5006,466.9161,1740.4119,0.9533018,0.01989819,0.044002473
248.92226,874.3581,469.31332,1740.5555,0.98818976,0.024565207,0.058235407
256.14255,880.22424,471.75385,1740.7026,1.0232927,0.029383328,0.072256446
263.64493,886.0947,474.23608,1740.8529,1.0586033,0.034352876,0.08606875
271.42975,891.96674,476.75845,1741.0067,1.0941138,0.039474126,0.09967542
279.49838,897.8385,479.3194,1741.1641,1.1298165,0.044747327,0.11307949
287.8291,903.705,481.91736,1741.325,1.1657033,0.05017267,0.126284
296.41714,909.56226,484.55066,1741.4894,1.201766,0.055750325,0.13929194
305.26956,915.406,487.21768,1741.6575,1.2379962,0.061480403,0.15210623
314.38593,921.2328,489.91672,1741.8292,1.2743852,0.06736298,0.16472971
323.76007,927.0389,492.6461,1742.0049,1.3109242,0.07339809,0.17716527
333.38632,932.8187,495.40402,1742.1842,1.3476039,0.079585716,0.1894157
343.24744,938.5678,498.18878,1742.3673,1.3844148,0.08592581,0.20148373
353.3137,944.2823,500.9985,1742.5542,1.4213474,0.09241825,0.21337211
363.6109,949.957,503.8314,1742.745,1.4583917,0.0990629,0.22508347
374.13202,955.5875,506.6855,1742.9397,1.4955376,0.10585954,0.23662049
384.87717,961.16895,509.55887,1743.1384,1.5327749,0.11280793,0.24798572
395.8469,966.6974,512.4496,1743.341,1.570093,0.11990777,0.25918174
406.99316,972.1716,515.35565,1743.5476,1.6074812,0.12715869,0.2702111
418.3318,977.5856,518.2752,1743.758,1.6449292,0.1345603,0.28107625
429.85794,982.9335,521.20624,1743.9728,1.6824261,0.14211215,0.29177964
441.60492,988.2091,524.1467,1744.1914,1.7199608,0.14981371,0.3023237
453.58612,993.4073,527.09454,1744.4142,1.7575221,0.15766445,0.31271076
465.79773,998.52423,530.0475,1744.641,1.7950982,0.16566375,0.32294315
478.24203,1003.5548,533.0034,1744.8718,1.8326776,0.17381093,0.33302325
490.93317,1008.4935,535.9601,1745.1068,1.8702486,0.18210527,0.34295326
503.85278,1013.3352,538.9153,1745.3458,1.907799,0.19054599,0.35273546
516.9825,1018.07416,541.86676,1745.5889,1.9453168,0.19913225,0.36237198
530.3392,1022.70734,544.8123,1745.836,1.9827896,0.20786317,0.37186503
543.9328,1027.2317,547.74945,1746.0872,2.020205,0.2167378,0.38121676
557.74756,1031.6442,550.676,1746.3424,2.0575511,0.22575514,0.39042926
571.7559,1035.9421,553.5898,1746.6016,2.0948155,0.23491412,0.3995046
586.0189,1040.1193,556.4884,1746.8647,2.1319861,0.24421363,0.40844482
600.5051,1044.1737,559.3697,1747.132,2.169051,0.25365248,0.41725194
615.2285,1048.099,562.23145,1747.4032,2.2059977,0.26322946,0.42592794
630.1852,1051.8898,565.07117,1747.6782,2.242814,0.2729433,0.43447477
645.3759,1055.5409,567.8868,1747.9573,2.2794871,0.28279266,0.44289434
660.7918,1059.0482,570.6757,1748.2401,2.3160045,0.2927761,0.45118856
676.43933,1062.4076,573.4357,1748.5269,2.3523536,0.30289224,0.4593593
692.2999,1065.6155,576.16437,1748.8173,2.3885214,0.31313953,0.46740842
708.3889,1068.6691,578.85925,1749.1115,2.4244952,0.32351643,0.47533768
724.68463,1071.5662,581.5182,1749.4093,2.4602623,0.33402133,0.48314893
741.1978,1074.3032,584.13873,1749.7108,2.4958105,0.34465253,0.49084383
757.9433,1076.8784,586.71875,1750.0159,2.5311272,0.3554083,0.49842417
774.8793,1079.2872,589.25586,1750.3243,2.5662,0.3662869,0.5058917
791.9969,1081.5231,591.7478,1750.6365,2.601016,0.37728646,0.513248
809.3542,1083.5775,594.1924,1750.952,2.635563,0.3884051,0.5204948
826.93494,1085.449,596.5871,1751.2708,2.6698275,0.3996409,0.5276337
844.7421,1087.1353,598.92957,1751.5928,2.7037966,0.41099182,0.53466636
862.7777,1088.6335,601.2175,1751.9181,2.7374573,0.42245585,0.54159427
881.01337,1089.9417,603.44867,1752.2465,2.7707963,0.43403086,0.54841906
899.4374,1091.0516,605.62067,1752.5779,2.8038013,0.44571468,0.5551423
918.02655,1091.9543,607.7312,1752.9121,2.8364587,0.45750514,0.5617654
936.76996,1092.6416,609.77795,1753.2493,2.8687546,0.4693999,0.5682899
955.60724,1093.1085,611.7581,1753.5892,2.9006743,0.48139668,0.5747172
974.5552,1093.3538,613.6692,1753.932,2.9322038,0.49349305,0.58104885
993.69055,1093.3718,615.50867,1754.2772,2.9633284,0.50568664,0.58728623
1012.9685,1093.1614,617.274,1754.625,2.9940333,0.51797485,0.59343076
1032.3303,1092.7249,618.9627,1754.975,3.0243042,0.53035516,0.59948385
1051.7853,1092.0626,620.57245,1755.3273,3.0541265,0.5428249,0.60544676
1071.3728,1091.1838,622.101,1755.6816,3.0834866,0.5553815,0.6113209
1091.1027,1090.0854,623.54663,1756.0382,3.112372,0.568022,0.6171076
1110.9675,1088.7852,624.90717,1756.3966,3.1407695,0.5807438,0.62280816
1131.0521,1087.3344,626.18146,1756.757,3.168668,0.59354395,0.6284238
1151.4982,1085.9401,627.36926,1757.1188,3.196062,0.60641956,0.63395584
1172.1984,1084.6223,628.47546,1757.4823,3.2229667,0.6193678,0.6394055
1193.1809,1083.3761,629.5053,1757.8472,3.2493975,0.6323858,0.6447741
1214.4857,1082.1967,630.46356,1758.2134,3.2753704,0.64547086,0.65006274
1236.2125,1081.08,631.3547,1758.5808,3.3009,0.65862036,0.65527266
1258.343,1080.0217,632.1829,1758.9493,3.3260005,0.6718318,0.66040504
1280.8605,1079.0182,632.95215,1759.3191,3.3506854,0.68510264,0.665461
1303.712,1078.0659,633.6662,1759.6897,3.3749678,0.69843054,0.6704416
1326.8807,1077.1613,634.3286,1760.0613,3.39886,0.7118132,0.6753481
1350.3561,1076.3015,634.94244,1760.4337,3.4223735,0.72524846,0.6801815
1374.139,1075.4834,635.51086,1760.8068,3.44552,0.7387341,0.68494296
1398.2292,1074.7046,636.0367,1761.1805,3.4683099,0.7522681,0.6896336
1422.6268,1073.9622,636.5225,1761.5549,3.4907537,0.7658483,0.6942544
1447.3556,1073.2542,636.97095,1761.9298,3.5128615,0.7794728,0.6988064
1472.4254,1072.578,637.3843,1762.3054,3.5346425,0.79313976,0.70329064
1497.8341,1071.9318,637.76483,1762.6813,3.5561056,0.8068473,0.7077081
1523.5746,1071.3134,638.11444,1763.0576,3.57726,0.8205936,0.71205986
1549.6217,1070.7211,638.4351,1763.4343,3.598114,0.83437693,0.71634674
1575.9714,1070.1531,638.7287,1763.8114,3.6186755,0.8481956,0.72056985
1602.5873,1069.608,638.9968,1764.1887,3.6389523,0.86204803,0.7247301
1629.4696,1069.0844,639.2411,1764.5664,3.6588333,0.8759325,0.7288283
1656.6475,1068.5806,639.463,1764.9443,3.6783283,0.88984704,0.7328656
1684.088,1068.0952,639.66394,1765.3224,3.6974463,0.90378946,0.7368427
1711.7693,1067.6273,639.8452,1765.7007,3.7161956,0.91775775,0.74076056
1739.6998,1067.1757,640.00793,1766.0791,3.7345848,0.93174994,0.7446202
1767.8796,1066.7393,640.15326,1766.4575,3.7526221,0.9457641,0.7484224
1796.319,1066.317,640.2824,1766.8362,3.7703154,0.95979846,0.75216794
1825.0243,1065.908,640.39624,1767.2148,3.787672,0.973851,0.7558577
1854.0045,1065.5112,640.4958,1767.5936,3.8046997,0.98792017,0.7594925
1883.3298,1065.1262,640.58185,1767.9723,3.8214052,1.002004,0.76307327
1912.9814,1064.752,640.6553,1768.3511,3.837796,1.016101,0.76660067
1942.9603,1064.3878,640.71686,1768.7299,3.8538785,1.0302095,0.77007556
1973.2657,1064.0332,640.76733,1769.1085,3.8696597,1.0443279,0.7734987
2003.9241,1063.6873,640.8073,1769.4873,3.8851454,1.0584545,0.7768709
2034.8892,1063.3495,640.8375,1769.866,3.9003425,1.072588,0.78019285
2066.157,1063.0195,640.8585,1770.2446,3.9152565,1.0867267,0.7834654
2097.7354,1062.6965,640.87085,1770.623,3.9298935,1.1008693,0.78668916
2129.62,1062.3804,640.8751,1771.0015,3.9442592,1.1150144,0.78986496
2161.8108,1062.0703,640.87164,1771.3798,3.958359,1.1291606,0.7929935
2194.3228,1061.7662,640.86096,1771.7578,3.9721985,1.1433067,0.79607546
2227.1418,1061.4675,640.84357,1772.1359,3.9857829,1.1574512,0.79911155
2260.2495,1061.174,640.81976,1772.5138,3.9991171,1.1715928,0.80210245
2293.6514,1060.8851,640.79004,1772.8915,4.0122066,1.1857305,0.8050488
2327.342,1060.6006,640.75476,1773.269,4.025056,1.1998628,0.8079513
2361.2886,1060.3204,640.7142,1773.6465,4.03767,1.2139888,0.81081057
2395.4902,1060.0438,640.6685,1774.0238,4.0500536,1.2281072,0.81362724
2429.9595,1059.771,640.6182,1774.4009,4.062211,1.242217,0.81640196
2464.7065,1059.5015,640.56354,1774.7777,4.0741467,1.2563169,0.8191354
2499.738,1059.235,640.50476,1775.1545,4.0858645,1.270406,0.8218281
2535.059,1058.9716,640.4421,1775.5311,4.097369,1.2844833,0.8244808
2570.6807,1058.7108,640.37573,1775.9075,4.108665,1.2985477,0.82709396
2606.6057,1058.4525,640.3059,1776.2837,4.1197557,1.3125983,0.8296682
2642.8406,1058.1965,640.2328,1776.6597,4.1306453,1.3266342,0.83220416
2679.4038,1057.9429,640.1566,1777.0355,4.1413374,1.3406543,0.8347023
2716.315,1057.6912,640.0776,1777.411,4.151836,1.3546576,0.83716327
2753.523,1057.4417,639.99585,1777.7863,4.162144,1.3686436,0.83958757
2791.0427,1057.1937,639.9116,1778.1613,4.172267,1.3826112,0.8419758
2828.8826,1056.9476,639.8249,1778.5361,4.1822066,1.3965595,0.8443285
2867.0615,1056.7029,639.73584,1778.9106,4.1919665,1.4104877,0.8466462
2905.582,1056.4597,639.64465,1779.2849,4.2015505,1.4243951,0.84892935
2944.4006,1056.2179,639.5515,1779.6592,4.2109623,1.4382809,0.8511785
2983.5134,1055.9772,639.4564,1780.0331,4.220204,1.4521444,0.8533942
3022.9158,1055.7378,639.3596,1780.4069,4.229279,1.4659847,0.8555769
3062.573,1055.4995,639.261,1780.7803,4.2381907,1.4798012,0.85772705
3102.4766,1055.2623,639.1608,1781.1536,4.246942,1.4935932,0.8598452
3142.636,1055.026,639.0591,1781.5265,4.255536,1.50736,0.86193186
3183.059,1054.7906,638.95593,1781.899,4.2639756,1.5211009,0.86398745
3223.7512,1054.556,638.85144,1782.2715,4.2722635,1.5348152,0.8660124
3264.7173,1054.3223,638.74567,1782.6437,4.2804027,1.5485024,0.86800724
3305.9614,1054.0892,638.6387,1783.0155,4.2883954,1.5621619,0.86997235
3347.4993,1053.8567,638.5306,1783.3871,4.296245,1.575793,0.8719082
3389.3425,1053.625,638.4214,1783.7584,4.303953,1.5893954,0.87381524
3431.503,1053.3937,638.3111,1784.1296,4.311523,1.6029682,0.8756939
3473.936,1053.1631,638.1999,1784.5005,4.318957,1.616511,0.87754464
3516.6091,1052.9329,638.08777,1784.8711,4.326257,1.6300232,0.87936777
3559.54,1052.7032,637.9748,1785.2415,4.3334265,1.6435044,0.8811638
3602.747,1052.474,637.86096,1785.6115,4.340467,1.6569539,0.882933
3646.2344,1052.2452,637.7464,1785.9813,4.3473806,1.6703714,0.8846759
3690.0056,1052.0168,637.6311,1786.3508,4.354171,1.6837565,0.8863929
3734.061,1051.7888,637.51514,1786.7201,4.360839,1.6971085,0.8880843
3778.398,1051.5612,637.3985,1787.089,4.3673873,1.7104272,0.88975054
3823.0117,1051.3337,637.28125,1787.4578,4.3738184,1.723712,0.89139193
3867.9114,1051.1068,637.1634,1787.826,4.3801336,1.7369624,0.89300895
3913.1096,1050.8801,637.045,1788.1943,4.3863354,1.7501783,0.8946019
3958.6123,1050.6537,636.926,1788.5621,4.3924255,1.7633591,0.8961711
4004.4163,1050.4276,636.80664,1788.9298,4.3984065,1.7765044,0.8977169
4050.5205,1050.2017,636.6868,1789.2972,4.40428,1.789614,0.8992397
4096.939,1049.976,636.56647,1789.6643,4.410047,1.8026873,0.90073985
4143.6353,1049.7506,636.4457,1790.0311,4.4157104,1.8157241,0.9022176
4190.5933,1049.5253,636.3245,1790.3976,4.421272,1.828724,0.9036734
