con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.03462,0.0017051001,105.17594,104.996605,27.860079,29.891592,37.68081,0.17933552,32.49159
79.57849,0.0018181846,108.66398,108.466415,28.777653,30.233356,38.73955,0.19757116,32.77424
82.1917,0.001935854,112.24745,112.03016,29.71948,30.574667,39.863625,0.2172947,33.05778
84.87584,0.0020581514,115.92268,115.6841,30.680197,30.913065,41.0542,0.23858643,33.339714
87.63355,0.002185118,119.68968,119.42815,31.656902,31.244736,42.310623,0.26153606,33.616207
90.457275,0.0023167918,123.54861,123.26237,32.65723,31.56882,43.63277,0.28623638,33.886375
93.352974,0.0024532094,127.498,127.18522,33.673687,31.88513,45.018932,0.31277925,34.149982
96.31321,0.0025944032,131.53578,131.19453,34.711384,32.19005,46.46547,0.3412569,34.403408
99.34326,0.0027404046,135.66124,135.28947,35.764023,32.479362,47.975952,0.37176672,34.6424
102.438156,0.0028912395,139.87308,139.46866,36.8353,32.755207,49.547028,0.40440655,34.869057
105.5968,0.0030469305,144.1701,143.73083,37.92503,33.01742,51.178814,0.43927634,35.08321
108.819534,0.0032074968,148.55345,148.07695,39.033913,33.267456,52.870716,0.47648472,35.286274
112.102,0.0033729533,153.0224,152.50627,40.164963,33.494972,54.616806,0.5161374,35.467884
115.447525,0.0035433117,157.5759,157.01755,41.313187,33.69291,56.427483,0.55834055,35.62096
118.85255,0.0037185773,162.21233,161.60912,42.48104,33.871872,58.297318,0.6031991,35.756092
122.31535,0.0038987491,166.9315,166.28067,43.669926,34.033054,60.224834,0.65082407,35.874424
125.83632,0.0040838206,171.73642,171.03506,44.88243,34.17864,62.208313,0.70134073,35.978146
129.42018,0.00427378,176.62344,175.8686,46.109787,34.303234,64.25717,0.7548498,36.06182
133.05544,0.0044686124,181.5913,180.77983,47.36214,34.408688,66.361145,0.81146103,36.127293
136.76083,0.0046682977,186.64151,185.77022,48.6224,34.498566,68.53296,0.87129813,36.178093
140.5176,0.00487281,191.7751,190.84062,49.909714,34.56694,70.75886,0.93448365,36.20828
144.3318,0.005082118,196.99333,195.99219,51.218983,34.612446,73.04375,1.0011433,36.21646
148.20892,0.0052961847,202.2947,201.22331,52.543186,34.636154,75.394585,1.0713902,36.2037
152.13739,0.0055149705,207.67732,206.53198,53.891895,34.639378,77.80145,1.1453342,36.17128
156.11993,0.0057384265,213.14293,211.91982,55.264156,34.62372,80.270195,1.2231051,36.12079
160.16502,0.005966501,218.6935,217.38866,56.652744,34.58473,82.8023,1.3048348,36.04776
164.26585,0.006199136,224.32681,222.93617,58.06216,34.52224,85.397224,1.3906325,35.952003
168.42752,0.006436267,230.04207,228.56143,59.486965,34.44401,88.05989,1.4806122,35.841267
172.63914,0.006677824,235.84004,234.26518,60.93799,34.341835,90.78283,1.5748984,35.707325
176.9022,0.0069237347,241.72328,240.04965,62.41647,34.221878,93.56148,1.6736279,35.556316
181.22356,0.0071739205,247.69276,245.91583,63.9164,34.083706,96.412544,1.7769282,35.387806
185.5957,0.007428296,253.74689,251.862,65.44354,33.927677,99.32615,1.8849071,35.202126
190.03528,0.0076867715,259.8852,257.88748,66.98043,33.752243,102.31562,1.997678,34.997707
194.52763,0.007949256,266.1077,263.99234,68.54109,33.55222,105.36994,2.1153584,34.769363
199.07745,0.008215653,272.41483,270.17676,70.12122,33.32946,108.49244,2.2380655,34.518932
203.6797,0.0084858565,278.80832,276.44238,71.72713,33.082867,111.6837,2.3659275,34.245296
208.3377,0.00875976,285.28903,282.78998,73.35627,32.81361,114.945465,2.4990637,33.949608
213.05653,0.00903725,291.8561,289.21854,75.00269,32.523075,118.28116,2.6375763,33.633244
217.83357,0.0093182055,298.51025,295.72867,76.66958,32.212395,121.69376,2.78158,33.29732
222.66162,0.009602503,305.25195,302.32077,78.36388,31.876736,125.17718,2.9311829,32.936993
227.54608,0.009890017,312.08005,308.9936,80.079155,31.519245,128.72612,3.0864768,32.555393
232.48448,0.010180609,318.99484,315.7473,81.818245,31.141994,132.34723,3.247562,32.154583
237.48314,0.0104741445,325.9983,322.58374,83.57656,30.745567,136.04643,3.4145532,31.735132
242.53365,0.01077048,333.08923,329.50168,85.361404,30.331223,139.821,3.587531,31.298286
247.63857,0.011069473,340.26694,336.50037,87.16987,29.902262,143.666,3.7665756,30.84734
252.80374,0.011370968,347.5354,343.58356,88.99957,29.457329,147.5947,3.951814,30.380917
258.02344,0.011674818,354.89758,350.75424,90.85783,28.98877,151.59467,4.143365,29.891357
263.29837,0.011980865,362.35376,358.01245,92.7444,28.500227,155.68399,4.3413115,29.382292
268.6204,0.01228895,369.8971,365.35147,94.66005,27.98702,159.82596,4.545647,28.84903
273.99762,0.012598915,377.53317,372.77667,96.60224,27.453093,164.05602,4.7565084,28.295502
279.44147,0.012910586,385.2613,380.2873,98.55905,26.900229,168.37866,4.973949,27.723484
284.94745,0.0132238,393.08002,387.882,100.533714,26.330006,172.78816,5.1980114,27.13454
290.5163,0.013538375,400.99023,395.5615,102.52631,25.743158,177.28624,5.428756,26.529402
296.12906,0.013854142,408.99286,403.32663,104.556755,25.141905,181.84906,5.6662455,25.91027
301.79422,0.01417092,417.0879,411.17737,106.616356,24.525068,186.49193,5.910519,25.27596
307.52057,0.014488522,425.27573,419.11414,108.69513,23.885368,191.22139,6.161617,24.619192
