,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,1.239e-04,5.137e-05,1.312e-05,1.317e-04,8.776e-05,6.854e-05,5.130e-05,7.275e-05
std,1.340e-04,3.392e-05,3.899e-05,1.254e-04,6.027e-05,5.147e-05,6.043e-05,8.093e-05
min,1.192e-07,0.000e+00,0.000e+00,4.750e-07,0.000e+00,0.000e+00,5.960e-08,2.384e-07
0.1%,1.192e-07,0.000e+00,0.000e+00,4.750e-07,0.000e+00,0.000e+00,5.960e-08,2.384e-07
25%,4.138e-05,2.432e-05,0.000e+00,3.888e-05,3.821e-05,2.807e-05,1.677e-05,1.947e-05
50%,8.899e-05,4.828e-05,2.910e-11,8.748e-05,7.761e-05,6.080e-05,3.447e-05,4.375e-05
75%,1.323e-04,6.658e-05,4.336e-06,2.040e-04,1.345e-04,9.724e-05,6.281e-05,1.013e-04
99.9%,6.072e-04,1.600e-04,4.352e-04,6.059e-04,3.153e-04,3.523e-04,3.815e-04,4.295e-04
max,6.072e-04,1.600e-04,4.352e-04,6.059e-04,3.153e-04,3.523e-04,3.815e-04,4.295e-04
