con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.80101,0.0028556,0.0008786725,105.17594,104.8756,26.982439,30.152533,36.33947,35.901707,0.09241521,0.3003404,32.752533
79.947586,0.003498102,0.00093239476,108.606,108.22608,28.177593,30.454462,37.306713,37.514973,0.10126367,0.37991485,32.995342
82.21514,0.0041030473,0.0009807034,112.1852,111.7249,29.400196,30.78594,38.32623,38.988644,0.110020414,0.46030122,33.26905
84.6758,0.0046672155,0.0010258091,115.90774,115.36677,30.572622,31.136837,39.39562,40.382523,0.118899204,0.5409664,33.563488
87.31137,0.0051914537,0.0010703192,119.765625,119.14387,31.704971,31.495928,40.509018,41.762527,0.12818745,0.6217577,33.867405
90.09429,0.005678812,0.001113858,123.7415,123.038795,32.80745,31.858337,41.667442,43.12101,0.13783045,0.7027047,34.17589
92.988014,0.006133371,0.0011581439,127.825615,127.04162,33.90648,32.215687,42.86272,44.499874,0.14804046,0.78400195,34.480545
95.98751,0.0065595466,0.001203062,132.01346,131.1475,35.002224,32.566338,44.089977,45.896748,0.15882038,0.8659484,34.779697
99.09649,0.00696167,0.0012491919,136.29529,135.34645,36.080883,32.90546,45.354534,47.325573,0.17025898,0.9488429,35.068493
102.26861,0.0073437826,0.0012945192,140.66962,139.63658,37.187214,33.237934,46.64719,48.73983,0.1820995,1.0330471,35.351784
105.53251,0.007709515,0.0013389734,145.13512,144.0162,38.290855,33.563324,47.973618,50.138733,0.19433206,1.1189214,35.629112
108.87644,0.008062068,0.0013820776,149.68918,148.48238,39.400715,33.881794,49.33075,51.512417,0.20688204,1.2068044,35.90061
112.28709,0.008404227,0.0014250523,154.32997,153.03294,40.52777,34.189194,50.720665,52.88956,0.21992826,1.297024,36.16211
115.75996,0.008738375,0.0014692408,159.05777,157.66786,41.676247,34.481327,52.141857,54.301216,0.23369417,1.3899065,36.409378
119.29184,0.009066535,0.0015140562,163.87029,162.38455,42.846844,34.759083,53.583836,55.734222,0.24810882,1.4857357,36.6433
122.88369,0.009390401,0.0015590568,168.7688,167.18399,44.039658,35.023613,55.046448,57.17901,0.26312014,1.5848066,36.864986
126.54749,0.009711385,0.0016045466,173.75494,172.06754,45.243958,35.27432,56.54235,58.64262,0.2787979,1.687401,37.073826
130.2558,0.010030651,0.0016507092,178.82826,177.03448,46.486454,35.510067,58.066826,60.129707,0.29519343,1.7937639,37.268654
134.05693,0.010349164,0.0016966946,183.98808,182.08397,47.718105,35.73325,59.625862,61.62135,0.3121716,1.9041228,37.45185
