kx,MATx,MUOx,MLOx,TATx,TOCx,zetax,chix,taux
223.00183,851.0,628.0,1323.0,1.1,0.26,1.0,0.0,0.0
227.57356,856.0754,630.85046,1324.0083,1.2174755,0.26563638,1.0,0.0,0.014888048
232.87485,861.134,633.7636,1325.0369,1.318552,0.27202323,1.0,0.0,0.029554427
238.84406,866.18933,636.734,1326.086,1.4062836,0.27904543,1.0,0.0,0.044002473
245.41086,871.25116,639.7572,1327.1564,1.4831617,0.2866092,1.0,0.0,0.058235407
252.44551,876.3252,642.82965,1328.2483,1.5512177,0.29463807,1.0,0.0,0.072256446
259.87457,881.41534,645.9484,1329.3618,1.6121061,0.3030697,1.0,0.0,0.08606875
267.6611,886.52277,649.1109,1330.4976,1.6671739,0.31185335,1.0,0.0,0.09967542
275.73502,891.64795,652.3149,1331.6555,1.7175157,0.32094756,1.0,0.0,0.11307949
284.08237,896.79,655.5582,1332.8362,1.7640216,0.33031854,1.0,0.0,0.126284
292.69022,901.9489,658.83887,1334.0397,1.8074135,0.3399387,1.0,0.0,0.13929194
301.538,907.1248,662.155,1335.2664,1.8482778,0.34978548,1.0,0.0,0.15210623
310.6101,912.3176,665.5051,1336.5164,1.8870912,0.35984036,1.0,0.0,0.16472971
319.90576,917.52594,668.88745,1337.79,1.9242405,0.37008822,1.0,0.0,0.17716527
329.4059,922.7472,672.3006,1339.0873,1.9600388,0.3805166,1.0,0.0,0.1894157
339.11685,927.97906,675.7429,1340.4084,1.9947389,0.3911152,1.0,0.0,0.20148373
349.04617,933.21954,679.213,1341.7538,2.0285447,0.4018755,1.0,0.0,0.21337211
359.18863,938.4667,682.7092,1343.1234,2.0616198,0.41279045,1.0,0.0,0.22508347
369.53635,943.71796,686.23,1344.5173,2.0940962,0.42385408,1.0,0.0,0.23662049
380.0837,948.9716,689.77386,1345.9358,2.1260796,0.4350614,1.0,0.0,0.24798572
390.79547,954.2238,693.3392,1347.3789,2.157654,0.44640812,1.0,0.0,0.25918174
401.68137,959.47156,696.92444,1348.8467,2.1888862,0.45789057,1.0,0.0,0.2702111
412.7503,964.71277,700.52795,1350.3392,2.2198274,0.46950555,1.0,0.0,0.28107625
424.0009,969.9446,704.14813,1351.8568,2.2505188,0.48125023,1.0,0.0,0.29177964
435.43237,975.1641,707.78314,1353.3993,2.2809918,0.49312204,1.0,0.0,0.3023237
447.04346,980.3687,711.43146,1354.9667,2.31127,0.50511867,1.0,0.0,0.31271076
458.8398,985.5558,715.09125,1356.5591,2.341371,0.5172379,1.0,0.0,0.32294315
470.81073,990.72205,718.7608,1358.1765,2.371308,0.52947783,1.0,0.0,0.33302325
482.9439,995.8667,722.4383,1359.819,2.4010897,0.5418365,1.0,0.0,0.34295326
495.25092,1000.9874,726.12213,1361.4865,2.4307227,0.5543121,1.0,0.0,0.35273546
507.73093,1006.08014,729.81055,1363.1788,2.460211,0.5669028,1.0,0.0,0.36237198
520.38763,1011.1412,733.5018,1364.8962,2.4895558,0.57960695,1.0,0.0,0.37186503
533.2098,1016.1672,737.19403,1366.6387,2.518756,0.5924227,1.0,0.0,0.38121676
546.18665,1021.1544,740.8853,1368.4058,2.5478084,0.6053484,1.0,0.0,0.39042926
559.2952,1026.1005,744.5738,1370.1976,2.5767088,0.61838233,1.0,0.0,0.3995046
572.56525,1031.0032,748.25745,1372.0142,2.6054525,0.6315227,1.0,0.0,0.40844482
585.97595,1035.8582,751.93445,1373.8552,2.6340346,0.64476776,1.0,0.0,0.41725194
599.55225,1040.6637,755.6028,1375.7206,2.6624491,0.65811574,1.0,0.0,0.42592794
613.28564,1045.4182,759.2605,1377.6102,2.6906898,0.6715649,1.0,0.0,0.43447477
627.2174,1050.1202,762.9056,1379.524,2.7187512,0.68511325,1.0,0.0,0.44289434
641.3671,1054.7644,766.5364,1381.4617,2.7466288,0.69875896,1.0,0.0,0.45118856
655.7087,1059.349,770.1509,1383.423,2.7743154,0.71250015,1.0,0.0,0.4593593
670.22833,1063.8713,773.7472,1385.4078,2.801805,0.7263349,1.0,0.0,0.46740842
684.9401,1068.3298,777.3233,1387.4159,2.8290913,0.7402614,1.0,0.0,0.47533768
699.8584,1072.7222,780.87744,1389.447,2.8561683,0.7542774,1.0,0.0,0.48314893
