con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
75.99876,0.0028556,105.17594,104.8756,28.725863,28.752832,46.691704,0.3003404,31.352835
78.464645,0.0035029713,108.78609,108.405014,29.776821,29.075764,48.069454,0.38107452,31.616648
81.008606,0.004110766,112.480225,112.01785,30.832834,29.396835,49.526226,0.4623799,31.879944
83.648964,0.0046757534,116.25193,115.708374,31.869907,29.715605,51.069927,0.54356545,32.142254
86.34951,0.0051989025,120.10531,119.48089,32.92889,30.038033,52.67556,0.62441576,32.409508
89.06607,0.0056834356,124.03818,123.33321,34.050896,30.34658,54.285496,0.70496297,32.664135
91.885284,0.006133626,128.05469,127.26925,35.15179,30.618816,56.000633,0.7854396,32.883675
94.75982,0.006554054,132.15135,131.28522,36.275597,30.863783,57.76821,0.86612713,33.07714
97.69946,0.006949159,136.33191,135.3845,37.416706,31.096334,59.60815,0.94739217,33.25937
100.702576,0.0073230383,140.59692,139.56732,38.5767,31.312841,61.496387,1.0295966,33.426693
103.750595,0.007679375,144.94264,143.82956,39.770508,31.519825,63.437763,1.1130689,33.585613
106.85961,0.008021398,149.36868,148.17053,40.980217,31.699982,65.46787,1.1981457,33.718796
110.04516,0.00835191,153.87271,152.58759,42.187862,31.857576,67.55424,1.285131,33.83049
113.282265,0.008673274,158.45753,157.08318,43.42125,31.99902,69.71485,1.3743457,33.927074
116.574936,0.008987474,163.12538,161.6593,44.678238,32.12382,71.94123,1.4660852,34.008038
119.93161,0.00929617,167.87544,166.31485,45.9496,32.235497,74.23307,1.5605989,34.07687
123.33813,0.00960074,172.70752,171.04941,47.249046,32.33413,76.578735,1.65812,34.133636
126.790184,0.009902325,177.6222,175.86333,48.580875,32.41507,78.978134,1.7588729,34.173656
130.31137,0.010201865,182.61888,180.75584,49.920643,32.478535,81.45374,1.8630532,34.197136
133.88678,0.010500116,187.69423,185.72342,51.27881,32.512516,83.99501,1.9708114,34.192043
137.50111,0.010797685,192.85071,190.76837,52.67397,32.53032,86.578285,2.0823412,34.171658
141.16743,0.011095031,198.09166,195.89383,54.0952,32.52252,89.22305,2.1978333,34.126537
144.90121,0.011392516,203.41763,201.10019,55.526016,32.475132,91.94018,2.3174386,34.042683
148.70302,0.011690388,208.82477,206.3835,56.964256,32.413605,94.73567,2.4412425,33.945507
152.56412,0.011988794,214.30962,211.74031,58.41479,32.33364,97.59944,2.569314,33.83071
156.46803,0.012287835,219.87245,217.1707,59.893993,32.234142,100.497635,2.7017567,33.697174
160.42183,0.012587565,225.51259,222.67393,61.39257,32.10076,103.4842,2.8386545,33.53053
164.43382,0.012888005,231.23302,228.25287,62.90564,31.94219,106.54849,2.980132,33.339447
168.51445,0.01318911,237.03603,233.90973,64.42509,31.760117,109.68999,3.1262941,33.125603
172.63467,0.013490802,242.92747,239.65019,65.986626,31.564804,112.89635,3.2772863,32.899242
176.80737,0.013792977,248.90771,245.47455,67.57672,31.348982,116.17741,3.4331787,32.65308
181.03203,0.014095535,254.97919,251.38513,69.197914,31.111122,119.52874,3.594068,32.385567
185.31134,0.014398358,261.14078,257.38077,70.84613,30.85019,122.96096,3.7599983,32.095654
189.64674,0.014701319,267.38794,263.45697,72.515816,30.569416,126.46747,3.9309552,31.786562
194.02533,0.015004259,273.72046,269.6135,74.22021,30.273731,130.03476,4.106973,31.463205
198.45868,0.0153070325,280.13876,275.85068,75.94832,29.96507,133.67198,4.288093,31.127499
202.94846,0.015609482,286.64465,282.1703,77.699356,29.637638,137.38516,4.474375,30.773638
207.49332,0.015911466,293.23877,288.5729,79.47501,29.29056,141.17053,4.6658587,30.400728
212.09349,0.016212834,299.9209,295.05835,81.273384,28.914711,145.03165,4.8625674,29.999638
216.74367,0.01651343,306.6896,301.62512,83.09858,28.512953,148.95912,5.064497,29.57321
221.4483,0.016813062,313.5451,308.27347,84.94687,28.089354,152.95421,5.2716537,29.125504
226.21155,0.017111536,320.49103,315.00693,86.81793,27.647324,157.02739,5.4840937,28.659914
231.04599,0.017408641,327.52734,321.82553,88.69995,27.1921,161.19936,5.701806,28.181665
235.94559,0.017704174,334.6532,328.72842,90.5986,26.726452,165.45868,5.924759,27.693518
240.89743,0.01799795,341.86942,335.71643,92.52652,26.244461,169.77893,6.152949,27.189537
245.91417,0.018289803,349.17807,342.79166,94.47081,25.733503,174.21446,6.386398,26.657091
250.98903,0.018579565,356.57394,349.94894,96.43513,25.205488,178.73157,6.624989,26.108076
256.1103,0.018867033,364.05722,357.18854,98.4263,24.634148,183.31743,6.86868,25.516214
261.27933,0.019152014,371.62836,364.51093,100.44524,24.030727,187.97055,7.1174316,24.892736
266.5056,0.019434258,379.28903,371.9178,102.486885,23.411562,192.70108,7.3712006,24.253973
271.7758,0.019713487,387.04013,379.41025,104.566444,22.780806,197.50087,7.6299105,23.604061
277.0681,0.019989455,394.8815,386.988,106.70488,22.135864,202.35196,7.893466,22.9404
282.4292,0.020261938,402.81757,394.65573,108.85996,21.477068,207.29921,8.161864,22.263311
287.84772,0.020530729,410.8489,402.4139,111.04237,20.79916,212.33446,8.435028,21.567526
293.31064,0.02079563,418.97467,410.26187,113.26331,20.098156,217.43303,8.712843,20.84905
298.82468,0.02105644,427.19498,418.19977,115.51822,19.383385,222.60959,8.995205,20.117208
304.4221,0.021312946,435.50958,426.22757,117.77355,18.650497,227.91049,9.281992,19.367634
310.08908,0.021564953,443.9171,434.34412,120.04281,17.903732,233.30956,9.573052,18.604563
315.8074,0.02181225,452.41724,442.549,122.34447,17.14596,238.7863,9.868238,17.830854
321.5849,0.022054654,461.0097,450.84232,124.66869,16.36949,244.34993,10.167409,17.03881
327.44098,0.022291975,469.69724,459.2268,126.99759,15.570486,250.02817,10.470479,16.22459
333.34164,0.022524027,478.48315,467.70578,129.37149,14.761447,255.76506,10.777368,15.400676
339.32202,0.02275061,487.36722,476.2793,131.75401,13.938895,261.63284,11.087902,14.563591
345.36285,0.022971531,496.35016,484.94827,134.16347,13.095592,267.5917,11.401923,13.706084
351.45422,0.023186605,505.4312,493.71198,136.6072,12.226474,273.63864,11.719234,12.823085
357.5954,0.023395645,514.6068,502.56723,139.08113,11.326926,279.75583,12.039557,11.909972
363.795,0.023598414,523.8754,511.51276,141.58047,10.416429,285.95444,12.362628,10.9862175
370.07608,0.023794664,533.2384,520.5502,144.08578,9.501685,292.27673,12.688229,10.058517
376.4328,0.02398416,542.69617,529.68005,146.60251,8.579638,298.71677,13.016112,9.12381
382.85153,0.024166714,552.25354,538.9074,149.14967,7.6525574,305.24185,13.346154,8.184357
389.32443,0.024342146,561.91095,548.2328,151.73625,6.7225604,311.8357,13.678117,7.2422676
395.87726,0.024510302,571.66943,557.65765,154.34097,5.798592,318.5535,14.01179,6.3064823
402.51056,0.024671052,581.5286,567.1817,156.96117,4.875061,325.39417,14.346922,5.3714027
409.2053,0.024824305,591.4803,576.7972,159.60637,3.9460378,332.33047,14.683086,4.4310937
416.0127,0.024969978,601.5201,586.5001,162.2437,3.0765982,339.463,15.019943,3.550625
422.89862,0.025107983,611.6463,596.28906,164.90947,2.2744641,346.7608,15.357205,2.737713
429.8166,0.025238413,621.86743,606.1724,167.64928,1.5103717,354.13187,15.694945,1.9630874
436.81454,0.025361488,632.18994,616.1566,170.42523,0.7932652,361.6248,16.033278,1.2356873
443.94778,0.025477493,642.61865,626.24634,173.25938,0.32272944,369.35605,16.372313,0.7550919
451.22525,0.025586737,653.16125,636.449,176.14995,0.09352928,377.4885,16.712267,0.5160608
458.63943,0.025690118,663.8111,646.7576,179.05963,0.0,385.9467,17.053385,0.4129241
466.12518,0.025788944,674.56085,657.16455,182.0306,0.0,394.544,17.396212,0.40353513
473.68085,0.025884578,685.41345,667.6718,185.03275,0.0,403.279,17.741638,0.39435962
481.30862,0.025978297,696.37335,678.2828,188.06723,0.0,412.14572,18.090595,0.3853927
489.00626,0.026071066,707.44073,688.99695,191.13573,0.0,421.14288,18.443735,0.3766298
496.77365,0.026163606,718.6162,699.81464,194.23865,0.0,430.27396,18.801592,0.36806604
504.61844,0.026256425,729.9001,710.7355,197.36803,0.0,439.55255,19.164568,0.35969707
512.5226,0.026335608,741.29175,721.7694,200.55151,0.0,448.93524,19.52237,0.35151836
520.49884,0.026403995,752.7944,732.91754,203.77779,0.0,458.43893,19.87678,0.3435256
528.55334,0.02646385,764.4074,744.1782,207.03873,0.0,468.0851,20.229162,0.33571473
536.6848,0.026516978,776.1317,755.551,210.33533,0.0,477.87555,20.580667,0.3280814
544.8942,0.026564827,787.9679,767.0357,213.66623,0.0,487.82132,20.932232,0.32062155
553.1784,0.02660854,799.9152,778.6307,217.03322,0.0,497.90317,21.284575,0.31333125
561.5378,0.02664902,811.97327,790.3349,220.4348,0.0,508.12283,21.638292,0.30620688
569.97754,0.02668699,824.1408,802.14703,223.86426,0.0,518.531,21.993841,0.29924443
578.4913,0.026723012,836.41956,814.0678,227.32889,0.0,529.0786,22.35165,0.2924403
587.08765,0.026757529,848.8102,826.0981,230.82074,0.0,539.7892,22.71206,0.28579083
595.7638,0.026790887,861.3109,838.2357,234.3493,0.026264662,550.6923,23.075285,0.3055573
604.5019,0.026823359,873.91504,850.47375,237.91313,0.041825287,561.738,23.441338,0.31476742
613.3127,0.026855215,886.6231,862.8126,241.5005,0.042043608,572.94275,23.810453,0.30877975
622.20135,0.026886648,899.4447,875.26154,245.12016,0.041732594,584.30457,24.183052,0.30240372
631.1765,0.026917748,912.3784,887.8192,248.76198,0.04035844,595.8615,24.559174,0.2951026
640.2168,0.026948594,925.4201,900.4814,252.44374,0.03891891,607.5647,24.938768,0.28787073
649.3236,0.02697923,938.5721,913.2502,256.16602,0.03864713,619.42883,25.32195,0.28193837
658.5083,0.027009688,951.8389,926.13,259.9221,0.03886504,631.4508,25.708874,0.2766244
667.7692,0.02704001,965.2197,939.1202,263.71213,0.038557157,643.6332,26.09955,0.27091047
677.0962,0.027070202,978.71484,952.22076,267.54486,0.032033283,655.9838,26.494009,0.2591034
686.5049,0.02710028,992.3227,965.4305,271.40515,0.025136288,668.5396,26.89222,0.24704336
695.9873,0.027130237,1006.04407,978.7498,275.30164,0.01850639,681.2578,27.294214,0.23536767
705.53564,0.027160054,1019.87714,992.17725,279.2406,0.012516567,694.10974,27.699917,0.22444685
715.13007,0.027189726,1033.8215,1005.7122,283.242,0.008577965,707.07996,28.109325,0.2156895
724.7962,0.02721924,1047.8802,1019.3578,287.28226,0.004217184,720.21173,28.522505,0.20661946
734.535,0.0272486,1062.0515,1033.112,291.35873,0.0,733.5052,28.939417,0.1978001
744.34863,0.027277796,1076.3346,1046.9746,295.46997,0.0,746.95764,29.360035,0.1933026
754.2377,0.027306829,1090.7294,1060.9451,299.61386,0.0,760.56946,29.78436,0.1889073
764.20154,0.027335707,1105.2346,1075.0222,303.7897,0.0,774.3405,30.212368,0.18461207
774.2404,0.02736444,1119.8503,1089.2062,307.9976,0.0,788.2728,30.644077,0.1804144
784.3329,0.027393026,1134.5763,1103.4968,312.25845,0.0,802.35345,31.079477,0.17631216
794.4964,0.027421469,1149.42,1117.9014,316.56204,0.0,816.5947,31.518785,0.17230324
804.7359,0.027449772,1164.3827,1132.4205,320.90454,0.0,831.0018,31.962038,0.16838545
815.0515,0.02747793,1179.4635,1147.0543,325.28543,0.0,845.57513,32.409214,0.16455683
825.43896,0.027505944,1194.6614,1161.8011,329.7075,0.0,860.3117,32.86029,0.16081521
835.88727,0.027533816,1209.9751,1176.6599,334.1805,0.0,875.20294,33.31523,0.15715867
846.4113,0.027561545,1225.4054,1191.6313,338.69055,0.0,890.26056,33.774067,0.15358528
857.01,0.02758913,1240.9503,1206.7135,343.23654,0.0,905.4838,34.23674,0.15009306
867.68335,0.027616562,1256.609,1221.9058,347.81787,0.0,920.87286,34.703224,0.14668027
878.43097,0.027643852,1272.381,1237.2074,352.43427,0.0,936.4277,35.17351,0.14334513
889.253,0.02767099,1288.2656,1252.618,357.0851,0.0,952.1489,35.647587,0.14008576
900.1538,0.027697982,1304.2621,1268.1366,361.7651,0.0,968.05963,36.125427,0.13690053
911.1294,0.027724821,1320.3672,1283.7603,366.47528,0.0,984.14276,36.606945,0.13378775
922.1777,0.027751511,1336.5796,1299.4875,371.21625,0.0,1000.38995,37.092102,0.13074575
933.3223,0.027778048,1352.8993,1315.3185,375.9646,0.0,1016.89825,37.580906,0.12777293
944.5433,0.02780444,1369.3326,1331.2592,380.74667,0.0025642999,1033.5885,38.07353,0.12743199
955.8389,0.027830679,1385.8795,1347.3096,385.56384,0.0058138594,1050.4515,38.56997,0.12784232
967.2088,0.027856778,1402.5387,1363.4686,390.41537,0.009269758,1067.4868,39.07021,0.12852365
978.6529,0.027882738,1419.3099,1379.7356,395.3006,0.012914353,1084.6945,39.574245,0.12945665
990.1593,0.027908571,1436.1915,1396.1095,400.22977,0.015819758,1102.0627,40.082054,0.12971224
1001.7199,0.027934281,1453.181,1412.5875,405.2087,0.018133942,1119.5885,40.593567,0.12943678
1013.3506,0.02795987,1470.2701,1429.1615,410.2133,0.020465076,1137.2778,41.108562,0.12923716
1025.0527,0.027985342,1487.4607,1445.8337,415.24442,0.022467561,1155.1343,41.627094,0.12876636
1036.8252,0.02801069,1504.7506,1462.6016,420.30054,0.024005523,1173.1565,42.149105,0.12788731
1048.667,0.028035918,1522.1384,1479.4639,425.38147,0.025573295,1191.3422,42.67455,0.12709305
1060.5785,0.028061027,1539.6245,1496.421,430.48764,0.027131792,1209.6925,43.203445,0.12634324
1072.5597,0.028086007,1557.2092,1513.4733,435.61868,0.028727775,1228.2074,43.735786,0.12568334
1084.607,0.028110866,1574.8918,1530.6202,440.77808,0.030244356,1246.8881,44.271572,0.124995396
1096.7164,0.028135601,1592.6727,1547.862,445.9701,0.031524196,1265.7362,44.810806,0.12412081
1108.8928,0.028160213,1610.5477,1565.1943,451.18524,0.032814775,1284.7465,45.353363,0.12330597
1121.1385,0.028184697,1628.5195,1582.6204,456.4245,0.034103077,1303.9214,45.899334,0.12253666
1133.4509,0.028209059,1646.5852,1600.1367,461.68726,0.03540397,1323.2579,46.448624,0.12182681
1145.8264,0.028233293,1664.7476,1617.7462,466.97977,0.03686166,1342.754,47.00131,0.121319376
1158.2526,0.028257405,1683.004,1635.4467,472.31244,0.038400408,1362.3934,47.557323,0.120937735
1170.726,0.028281393,1701.3555,1653.2388,477.68842,0.038303304,1382.1792,48.1167,0.118963905
1183.2671,0.028305259,1719.8055,1671.1261,483.09195,0.038285796,1402.1315,48.679535,0.117112376
1195.8751,0.028328996,1738.3535,1689.1077,488.52255,0.03834016,1422.2491,49.245808,0.115374416
1208.5509,0.028352605,1757.001,1707.1853,493.98087,0.03849124,1442.5336,49.815548,0.1137739
1221.2932,0.028376086,1775.7452,1725.3566,499.46637,0.038719602,1462.9822,50.388702,0.11229055
1234.1018,0.028399436,1794.5864,1743.6212,504.97845,0.039026123,1483.5966,50.965244,0.11092424
1246.9767,0.02842265,1813.5245,1761.9792,510.5172,0.03942048,1504.3759,51.54517,0.10968379
1259.9171,0.028445734,1832.5582,1780.4297,516.08264,0.039875075,1525.3191,52.12846,0.10854076
1272.9235,0.028468696,1851.688,1798.9729,521.67456,0.040385425,1546.4277,52.71515,0.10748981
1285.9955,0.028491527,1870.9133,1817.6083,527.29224,0.040969744,1567.7013,53.305176,0.1065483
1299.1318,0.02851423,1890.2329,1836.3344,532.93646,0.041609354,1589.1376,53.898533,0.10569686
1312.3317,0.028536819,1909.6459,1855.1508,538.607,0.04226974,1610.7393,54.49522,0.104900025
1325.5873,0.02855928,1929.1538,1874.0587,544.3127,0.042267058,1632.5107,55.095245,0.10347329
1338.8837,0.02858162,1948.7568,1893.0582,550.0685,0.040483627,1654.3975,55.698627,0.10029821
1352.2288,0.028603839,1968.4536,1912.1484,555.86584,0.03906669,1676.4286,56.30533,0.09752119
1365.6367,0.028625928,1988.2444,1931.3291,561.69037,0.037765577,1698.6213,56.915337,0.09489098
1379.1084,0.028647887,2008.1298,1950.6011,567.54236,0.036572654,1720.9778,57.528675,0.09239916
1392.6422,0.028669724,2028.1077,1969.9623,573.421,0.03547,1743.4951,58.145287,0.090027146
1406.2375,0.028691422,2048.177,1989.4119,579.3261,0.03447663,1766.1736,58.76511,0.08779326
1419.895,0.02871298,2068.3386,2008.9504,585.2577,0.03359287,1789.0128,59.38817,0.085697204
1433.6146,0.02873442,2088.5918,2028.5774,591.21497,0.032795824,1812.0138,60.014477,0.083715424
1447.3942,0.028755724,2108.9343,2048.2903,597.19806,0.032076005,1835.173,60.643936,0.0818378
1461.2352,0.028776905,2129.367,2068.0906,603.2066,0.03144433,1858.4928,61.276592,0.08007465
1475.1361,0.02879796,2149.8884,2087.976,609.24023,0.030878814,1881.9702,61.912403,0.07840339
1489.0961,0.028818885,2170.497,2107.9456,615.2984,0.030402776,1905.6057,62.551304,0.07684679
1503.1162,0.028839687,2191.194,2128.0005,621.38116,0.029984526,1929.3993,63.19335,0.075372495
1517.1953,0.028860362,2211.9785,2148.14,627.48914,0.029627677,1953.3501,63.838497,0.073983625
1531.3325,0.028880922,2232.848,2168.361,633.6204,0.029337853,1977.457,64.4867,0.07268523
1545.5199,0.028901365,2253.8042,2188.6665,639.78503,0.028824087,2001.7013,65.13802,0.071185835
1559.6917,0.028921688,2274.8398,2209.0479,646.0407,0.02789089,2025.9402,65.792206,0.06928945
1573.9144,0.028941903,2295.9475,2229.4983,652.3145,0.026937075,2050.3142,66.44909,0.06739436
1588.1948,0.028962003,2317.1277,2250.0188,658.60034,0.025793737,2074.8464,67.10866,0.06533113
1602.536,0.028981982,2338.3828,2270.6116,664.8967,0.024321,2099.5508,67.77096,0.06295944
1616.9312,0.029001849,2359.7156,2291.2795,671.2143,0.022896454,2124.4004,68.43612,0.06065635
1631.3815,0.029021593,2381.1274,2312.0232,677.5517,0.021537509,2149.3982,69.10412,0.058438808
1645.8845,0.029041221,2402.6165,2332.8413,683.9107,0.020220473,2174.54,69.77491,0.056282703
1660.4404,0.029060733,2424.1812,2353.7327,690.28925,0.018962532,2199.8271,70.44848,0.054204773
1675.0481,0.029080128,2445.8213,2374.6968,696.68835,0.017764775,2225.2566,71.1248,0.052205723
1689.7094,0.029099407,2467.5388,2395.735,703.1081,0.016621653,2250.8315,71.803925,0.050279483
1704.4214,0.029118566,2489.3308,2416.8452,709.54834,0.015519196,2276.5483,72.48575,0.048411723
1719.1859,0.029137613,2511.1985,2438.028,716.0083,0.014482357,2302.409,73.170334,0.046626985
1734.0007,0.029156541,2533.1394,2459.282,722.48865,0.013494919,2328.4114,73.85758,0.044908665
1748.866,0.029175362,2555.1538,2480.6062,728.98846,0.012547457,2354.5532,74.54754,0.04324694
1763.774,0.029194072,2577.2412,2502.0012,735.51587,0.011973769,2380.8108,75.240166,0.04197524
1778.7261,0.029212672,2599.4065,2523.471,742.0735,0.011775596,2407.186,75.93561,0.041094903
1793.7284,0.029231168,2621.6511,2545.017,748.65717,0.011640568,2433.7053,76.63393,0.04029323
1808.7697,0.029249556,2643.9756,2566.6406,755.279,0.011861261,2460.3618,77.33511,0.039862417
1823.86,0.029267842,2666.38,2588.3403,761.9275,0.012171499,2487.1624,78.03918,0.039535984
1838.9999,0.029286027,2688.862,2610.116,768.6016,0.01252891,2514.1055,78.746086,0.039271217
1854.1897,0.02930412,2711.4238,2631.9678,775.30164,0.012920147,2541.1924,79.45589,0.03905438
1869.4293,0.029322116,2734.062,2653.8936,782.0254,0.01334393,2568.4224,80.16848,0.038883913
1884.7163,0.029340025,2756.7751,2675.8914,788.7732,0.013787565,2595.7913,80.88385,0.038746804
1900.051,0.029357849,2779.562,2697.96,795.5441,0.014263451,2623.3,81.60196,0.038655188
1915.4337,0.02937558,2802.4233,2720.1006,802.3384,0.014749702,2650.9473,82.32281,0.038586803
