con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
76.728035,0.0028556,105.17594,104.8756,28.085323,31.090078,28.188208,0.3003404,33.69008
79.28191,0.0031533004,108.69154,108.34881,28.999119,31.478392,29.015772,0.3427371,34.01927
81.88506,0.003419651,112.29998,111.915955,29.957613,31.874134,29.863657,0.38402674,34.357243
84.53719,0.003660849,116.00211,115.57744,30.961397,32.274723,30.736263,0.4246662,34.70137
87.28545,0.0038823702,119.79429,119.32921,31.958914,32.665806,31.671892,0.46508577,35.037285
90.10241,0.004088834,123.67529,123.16961,32.9761,33.051746,32.653606,0.5056877,35.369297
92.97842,0.004284013,127.64675,127.09989,34.023956,33.43543,33.667065,0.54684025,35.700287
95.92213,0.004470938,131.70894,131.12007,35.093796,33.81569,34.726963,0.5888624,36.02905
98.92387,0.004652018,135.86018,135.22816,36.193226,34.18887,35.825954,0.6320241,36.351906
101.99169,0.00482915,140.09747,139.42091,37.310734,34.548435,36.96893,0.67655176,36.662285
105.13908,0.005003819,144.42107,143.6984,38.432594,34.885876,38.155903,0.72265685,36.951664
108.34641,0.005177163,148.82942,148.05891,39.576874,35.20622,39.380943,0.7705142,37.225037
111.60955,0.0053500463,153.32303,152.50273,40.7481,35.512203,40.643368,0.82028526,37.48512
114.93108,0.005523119,157.89978,157.0277,41.941666,35.807285,41.939976,0.87209934,37.735344
118.309074,0.005696873,162.56168,161.63559,43.161404,36.094677,43.272003,0.9260933,37.978897
121.745415,0.00587168,167.3118,166.3294,44.408287,36.370625,44.644745,0.9824014,38.211998
125.252884,0.006047825,172.14821,171.10707,45.667133,36.628304,46.056923,1.0411222,38.42781
128.81906,0.0062255166,177.06537,175.96306,46.944614,36.862938,47.513943,1.1023234,38.621525
132.43951,0.006404898,182.06752,180.9014,48.249493,37.081184,49.01297,1.1661239,38.79979
136.12534,0.0065860525,187.153,185.92038,49.569027,37.28502,50.566734,1.2325995,38.96455
139.86584,0.006769025,192.31984,191.01802,50.911873,37.473137,52.15936,1.3018179,39.11448
143.66086,0.0069538387,197.57149,196.19762,52.281403,37.645462,53.789352,1.3738801,39.249477
147.52457,0.007140493,202.9079,201.45905,53.66326,37.79956,55.465034,1.4488624,39.367107
151.46924,0.007328972,208.32695,206.80011,55.042694,37.931347,57.19801,1.5268224,39.46325
155.469,0.0075192438,213.8274,212.21957,56.444523,38.045033,58.96946,1.6078203,39.542103
159.52525,0.0077112503,219.40959,217.71767,57.867565,38.140106,60.77885,1.6919224,39.603138
