kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.77235,0.986643,0.15619805,1.3766625,-1.0778568,-0.20784622,-0.038047627,-0.24639072
234.8119,0.9934383,0.16062367,1.3768778,-1.0761423,-0.20739082,-0.03920561,-0.24718782
241.2018,0.9997684,0.16476282,1.3772289,-1.0753608,-0.20705535,-0.039987132,-0.24759844
247.90994,1.005678,0.16868424,1.3779148,-1.0752299,-0.20666373,-0.040451244,-0.24767971
254.92267,1.0101104,0.17272247,1.3787705,-1.0750172,-0.20652348,-0.041091338,-0.24815416
262.24634,1.0138023,0.17673989,1.3799926,-1.0752796,-0.20658684,-0.041788697,-0.248834
269.87817,1.0170282,0.18066648,1.3814998,-1.0759385,-0.20664531,-0.04221055,-0.24948317
277.80316,1.0196464,0.18452471,1.3834907,-1.0767417,-0.20671767,-0.04256448,-0.25011295
285.99753,1.0219105,0.18838188,1.3857224,-1.0780166,-0.2068414,-0.043077394,-0.25088117
294.4596,1.0236913,0.19236404,1.3883787,-1.0796622,-0.20709601,-0.043454096,-0.25188524
303.1766,1.0247718,0.1966579,1.3908303,-1.0811396,-0.20737764,-0.04400949,-0.25281197
312.1493,1.0255866,0.20111558,1.3935422,-1.0827554,-0.20783943,-0.0445472,-0.25368083
321.3612,1.0262394,0.20566873,1.3965816,-1.0848174,-0.20833069,-0.04503867,-0.2545131
330.82288,1.0267023,0.21022078,1.3997121,-1.0870602,-0.20862776,-0.045547366,-0.25516307
340.55347,1.0270305,0.21470733,1.4030409,-1.0896108,-0.20925622,-0.046024457,-0.25614485
350.53775,1.0272083,0.2192188,1.4066772,-1.0924838,-0.21000232,-0.04646425,-0.25723585
360.73676,1.0270436,0.22388956,1.4105169,-1.095603,-0.21076939,-0.04652621,-0.25825894
371.17572,1.0267669,0.2287815,1.4145128,-1.0983357,-0.2114523,-0.04694043,-0.25947472
381.84265,1.0264628,0.23376888,1.4187956,-1.1013556,-0.21223542,-0.047450677,-0.26068678
392.72217,1.0259708,0.2387951,1.4235045,-1.1048248,-0.21314354,-0.04800187,-0.2618269
403.8351,1.0254679,0.24387856,1.428389,-1.1085949,-0.21414238,-0.048582077,-0.26298606
415.1796,1.0249628,0.24903114,1.4334092,-1.112549,-0.21519552,-0.0491644,-0.264153
426.73935,1.0242641,0.25429606,1.438506,-1.1166934,-0.2162227,-0.049723342,-0.26535606
438.5041,1.0232257,0.25974265,1.4437331,-1.1208837,-0.21723247,-0.050270915,-0.2666126
450.47372,1.0222199,0.26527694,1.4491148,-1.1252048,-0.21833545,-0.050777197,-0.2678966
462.65356,1.0212319,0.27091157,1.4545945,-1.1296368,-0.21949258,-0.05124609,-0.2691843
475.03867,1.0202388,0.27664736,1.4601322,-1.1341659,-0.22070454,-0.051728293,-0.27050465
487.63058,1.0192523,0.28247026,1.465748,-1.1387805,-0.22194964,-0.052213043,-0.27182913
500.41064,1.018331,0.28840938,1.4714305,-1.1433492,-0.22310805,-0.052712724,-0.273152
513.39453,1.0175656,0.29446176,1.4772165,-1.1481686,-0.22440927,-0.053201154,-0.27464664
526.5857,1.0168147,0.30060536,1.4830774,-1.1530732,-0.22574684,-0.053689346,-0.2761472
539.98737,1.0160959,0.3068439,1.4890501,-1.1580764,-0.22715394,-0.054142624,-0.27757385
553.62006,1.0154438,0.31323278,1.4952639,-1.1630784,-0.2284747,-0.054654494,-0.2789209
567.47766,1.014744,0.31972364,1.5016344,-1.1680369,-0.22960408,-0.055164367,-0.28023535
581.5532,1.0140525,0.3263074,1.5081098,-1.1730964,-0.23072402,-0.055629686,-0.28149492
595.849,1.0133864,0.33295894,1.5146701,-1.1783093,-0.23187156,-0.056093752,-0.28277487
610.3668,1.0127268,0.33969942,1.5213007,-1.1835978,-0.23305102,-0.056557223,-0.2840539
625.10974,1.0120723,0.34652755,1.5280011,-1.1889614,-0.2342619,-0.057019964,-0.2853322
640.0821,1.0115069,0.35346562,1.5348988,-1.194509,-0.23563044,-0.057495862,-0.28658298
655.2944,1.0109851,0.3604418,1.5419037,-1.2000878,-0.23701817,-0.058003426,-0.2878301
670.7505,1.0104631,0.3674829,1.5489743,-1.205728,-0.23842612,-0.05851157,-0.28908044
686.4491,1.0099812,0.3745805,1.5562088,-1.2115958,-0.23994997,-0.05897984,-0.29036167
702.3766,1.00952,0.38170475,1.5634613,-1.2175003,-0.24146546,-0.059420526,-0.29173502
718.5342,1.0090628,0.38882187,1.5708361,-1.2235008,-0.24305734,-0.05987458,-0.29315412
734.9406,1.0087094,0.39601773,1.5783288,-1.2296324,-0.24471581,-0.06036234,-0.29468825
751.6024,1.0083966,0.40333557,1.5859476,-1.2359098,-0.24642187,-0.060837716,-0.29623663
768.53033,1.0081102,0.41080293,1.5937064,-1.242398,-0.24820763,-0.06132631,-0.29777828
785.72174,1.0078499,0.4184029,1.6016252,-1.2490104,-0.25014246,-0.061767638,-0.2992466
803.1735,1.0077289,0.42610395,1.6100304,-1.2560152,-0.25233912,-0.062045053,-0.30068985
820.89984,1.0076512,0.43383443,1.618816,-1.2631788,-0.25463974,-0.062277615,-0.30220705
838.8782,1.0074372,0.4419132,1.6275778,-1.2703164,-0.2568068,-0.06268428,-0.3038145
857.0864,1.0070904,0.45069852,1.6355691,-1.276634,-0.25856188,-0.06318331,-0.3055356
