,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,2.659e-03,9.466e-03,2.712e-04,4.168e-03,7.978e-03,2.803e-03,8.168e-04,4.194e-04
std,7.490e-04,2.646e-03,6.412e-04,1.803e-03,3.120e-03,1.178e-03,6.415e-04,3.481e-04
min,1.013e-05,1.094e-04,0.000e+00,1.609e-05,3.588e-05,3.731e-05,5.439e-06,1.490e-07
0.1%,1.013e-05,1.094e-04,0.000e+00,1.609e-05,3.588e-05,3.731e-05,5.439e-06,1.490e-07
25%,2.598e-03,1.030e-02,0.000e+00,3.336e-03,5.947e-03,1.981e-03,3.087e-04,1.213e-04
50%,2.869e-03,1.073e-02,0.000e+00,4.165e-03,9.328e-03,3.106e-03,6.286e-04,3.225e-04
75%,3.171e-03,1.088e-02,1.863e-09,5.596e-03,1.031e-02,3.836e-03,1.200e-03,6.872e-04
99.9%,3.449e-03,1.120e-02,3.879e-03,6.657e-03,1.113e-02,4.216e-03,2.304e-03,1.238e-03
max,3.449e-03,1.120e-02,3.879e-03,6.657e-03,1.113e-02,4.216e-03,2.304e-03,1.238e-03
