kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,628.0,1323.0,1.1,0.27,0.0
228.6907,856.3312,630.85046,1324.0083,1.155917,0.27571872,0.014888048
234.73187,861.6553,633.77747,1325.0369,1.2037461,0.28178328,0.029554427
241.12332,866.9802,636.775,1326.0862,1.2454747,0.28813562,0.044002473
247.83295,872.3125,639.8379,1327.1569,1.2826036,0.29473168,0.058235407
254.84685,877.65375,642.9616,1328.2494,1.3162662,0.3015381,0.072256446
262.17163,883.0065,646.1423,1329.3639,1.3473158,0.3085296,0.08606875
269.80444,888.37366,649.37604,1330.5012,1.3763957,0.31568682,0.09967542
277.7303,893.75745,652.66003,1331.6614,1.4039922,0.3229951,0.11307949
285.92532,899.15875,655.9913,1332.8447,1.430472,0.33044317,0.126284
294.38824,904.57635,659.36725,1334.0518,1.456112,0.33802238,0.13929194
303.10583,910.00665,662.7856,1335.2827,1.4811189,0.34572604,0.15210623
312.07907,915.4473,666.24384,1336.5378,1.5056456,0.3535489,0.16472971
321.2914,920.89703,669.73975,1337.8174,1.5298054,0.36148685,0.17716527
330.7536,926.355,673.2709,1339.1217,1.5536824,0.36953658,0.1894157
340.4846,931.82135,676.83527,1340.4508,1.5773395,0.37769535,0.20148373
350.4692,937.2951,680.4307,1341.8048,1.600824,0.3859609,0.21337211
360.66837,942.77313,684.05554,1343.1843,1.6241708,0.39433134,0.22508347
371.10782,948.2511,687.7078,1344.5892,1.647404,0.40280494,0.23662049
381.77502,953.72675,691.38556,1346.0197,1.6705389,0.41138023,0.24798572
392.65457,959.1982,695.0868,1347.4757,1.6935853,0.42005584,0.25918174
403.7678,964.6631,698.8095,1348.9575,1.7165494,0.42883044,0.2702111
415.1124,970.1193,702.55194,1350.4653,1.7394346,0.43770283,0.28107625
426.67233,975.56384,706.3122,1351.9989,1.762242,0.44667175,0.29177964
438.437,980.99255,710.0883,1353.5587,1.7849706,0.45573604,0.3023237
450.4069,986.40283,713.8784,1355.1445,1.807617,0.46489444,0.31271076
462.58667,991.7916,717.68054,1356.7565,1.8301773,0.4741458,0.32294315
474.9719,997.156,721.4927,1358.3945,1.8526466,0.48348886,0.33302325
487.5639,1002.4934,725.31274,1360.0587,1.8750196,0.49292234,0.34295326
500.34396,1007.80035,729.139,1361.749,1.8972907,0.502445,0.35273546
513.3278,1013.0738,732.9692,1363.4655,1.9194541,0.51205546,0.36237198
526.5192,1018.31116,736.80133,1365.2078,1.9415035,0.5217524,0.37186503
539.92053,1023.5095,740.6335,1366.9762,1.9634328,0.5315345,0.38121676
553.55334,1028.6652,744.46356,1368.7705,1.985236,0.54140025,0.39042926
567.4107,1033.7756,748.28955,1370.5906,2.006907,0.55134827,0.3995046
581.48663,1038.8384,752.1093,1372.4363,2.0284388,0.56137705,0.40844482
595.782,1043.8511,755.9209,1374.3076,2.049826,0.5714851,0.41725194
610.2998,1048.811,759.7222,1376.2042,2.071063,0.5816709,0.42592794
625.0428,1053.7162,763.5114,1378.1262,2.0921447,0.59193283,0.43447477
640.01483,1058.5635,767.2865,1380.0732,2.113066,0.6022693,0.44289434
655.227,1063.3516,771.04535,1382.045,2.1338215,0.6126787,0.45118856
670.68335,1068.0781,774.7862,1384.0415,2.154407,0.62315935,0.4593593
686.38165,1072.7416,778.5071,1386.0625,2.1748183,0.63370967,0.46740842
702.3091,1077.3405,782.2062,1388.1077,2.1950517,0.6443279,0.47533768
718.4661,1081.874,785.8818,1390.1766,2.2151039,0.65501237,0.48314893
734.8727,1086.3398,789.5321,1392.2694,2.2349722,0.6657614,0.49084383
751.5341,1090.7352,793.1556,1394.3855,2.254654,0.6765733,0.49842417
768.462,1095.0568,796.75037,1396.5245,2.2741456,0.6874463,0.5058917
785.6533,1099.3018,800.31476,1398.6865,2.2934427,0.6983787,0.513248
803.1049,1103.4679,803.84705,1400.871,2.312541,0.7093687,0.5204948
