kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.7971,0.9856991,0.17921893,1.7114744,-1.2886233,-0.029550647,-0.22780411,-0.008565928
234.92188,0.994381,0.18330736,1.7132092,-1.2892781,-0.029395469,-0.23106015,-0.008468035
241.41072,1.001641,0.18734445,1.7155194,-1.2902352,-0.029465886,-0.23444295,-0.008247386
248.23447,1.0079021,0.19147608,1.7179883,-1.2913039,-0.029485665,-0.23770338,-0.007819588
255.3759,1.0134764,0.19569606,1.7207861,-1.292554,-0.029540896,-0.2407386,-0.007614712
262.82996,1.018652,0.20015392,1.7247344,-1.2945317,-0.029679071,-0.24399358,-0.0077224923
270.57938,1.0232279,0.20476548,1.7291142,-1.296985,-0.02976558,-0.24752757,-0.007621589
278.63794,1.0263087,0.2097309,1.7332884,-1.2993432,-0.029839952,-0.2510199,-0.0072371615
286.9963,1.0291462,0.21473879,1.7380378,-1.3023957,-0.029925425,-0.2545561,-0.0069390414
295.6484,1.0314339,0.21972835,1.7433641,-1.3057288,-0.029983774,-0.25829175,-0.007001876
304.58185,1.0334859,0.22476281,1.7491304,-1.3094542,-0.030066565,-0.26209074,-0.0071522472
313.79114,1.0351901,0.22988367,1.7551172,-1.3137016,-0.03020803,-0.2658875,-0.007410473
323.29297,1.0362008,0.23543599,1.7611902,-1.3179365,-0.030441169,-0.2694095,-0.007255043
333.08902,1.0372294,0.24112907,1.7679174,-1.3225232,-0.03063633,-0.2730138,-0.00720645
343.15524,1.0377332,0.24687476,1.7748294,-1.3271661,-0.030782362,-0.2767423,-0.00726113
353.48212,1.0380213,0.25267923,1.7821335,-1.3320961,-0.031011894,-0.28060773,-0.007563512
364.06754,1.0382311,0.2585935,1.7898045,-1.3372965,-0.031245224,-0.2845342,-0.007926653
374.89066,1.0382534,0.26458558,1.7977351,-1.3426696,-0.031486053,-0.28840786,-0.008282783
385.94485,1.0381172,0.27070954,1.8059869,-1.348263,-0.031728756,-0.29228252,-0.008567366
397.2267,1.0377313,0.27704042,1.8143562,-1.3541481,-0.03190457,-0.29629627,-0.0086848205
408.7369,1.0373279,0.28351846,1.8228903,-1.3603039,-0.03214177,-0.3005051,-0.008889067
420.4951,1.0369576,0.29020244,1.8318046,-1.3667809,-0.032396756,-0.30482444,-0.00927396
432.50833,1.0365899,0.29700983,1.8410138,-1.3734616,-0.032691635,-0.3092656,-0.009699683
444.76407,1.0362597,0.30391794,1.8503631,-1.3803107,-0.03311921,-0.3138824,-0.010348181
457.26465,1.0360148,0.31098428,1.8597205,-1.3872315,-0.033591233,-0.31820238,-0.010858151
470.01678,1.0359015,0.3180793,1.8693578,-1.3942394,-0.03408525,-0.32247657,-0.011580932
483.02628,1.0357469,0.32533062,1.8792436,-1.4014455,-0.03457573,-0.32680738,-0.012462954
496.2984,1.0355859,0.33284542,1.8895377,-1.4091548,-0.03507018,-0.3311541,-0.013413499
509.82547,1.0354524,0.3405235,1.9000863,-1.4169976,-0.03553438,-0.3354988,-0.0142817525
523.5776,1.0354161,0.34834948,1.910928,-1.4249476,-0.03592594,-0.3399224,-0.015142585
537.56726,1.0352659,0.35631543,1.9218355,-1.4329371,-0.036386028,-0.3442337,-0.016049486
551.8297,1.0351714,0.3643753,1.9326147,-1.4408064,-0.036876008,-0.34843928,-0.016968269
566.3503,1.0349916,0.3724558,1.9433509,-1.4487829,-0.03734494,-0.35270724,-0.017644402
581.1288,1.0347178,0.38072273,1.9548162,-1.4577531,-0.037786346,-0.35710415,-0.017785702
596.17615,1.0345398,0.3891243,1.9664546,-1.4668367,-0.038169757,-0.36153257,-0.01794086
611.4814,1.0343938,0.39765695,1.9783666,-1.4759413,-0.038464047,-0.36591035,-0.01810785
627.0081,1.0340923,0.40637243,1.9903679,-1.485052,-0.038734123,-0.37019247,-0.018190142
642.73315,1.0338001,0.41520932,2.0025554,-1.4944278,-0.03904505,-0.3743905,-0.018331733
658.6886,1.0336201,0.42421594,2.0148764,-1.5039601,-0.03940942,-0.37855142,-0.018534493
674.8633,1.0334924,0.4333255,2.027408,-1.5134629,-0.039801836,-0.38263333,-0.018650744
691.2537,1.0333884,0.44258595,2.0399895,-1.5230051,-0.0401964,-0.38672394,-0.018766392
707.87225,1.0333954,0.45204562,2.0525074,-1.5325651,-0.040553316,-0.39087483,-0.018902961
724.7324,1.0334824,0.46170545,2.0650666,-1.5421714,-0.040931508,-0.39482874,-0.018936869
741.81586,1.0336285,0.4714927,2.0779605,-1.5520494,-0.041371405,-0.39882353,-0.019010406
759.145,1.033818,0.48150304,2.0909336,-1.5620979,-0.04181543,-0.40261018,-0.019001324
776.7599,1.0339736,0.49165294,2.1039894,-1.5722071,-0.04226999,-0.40654457,-0.019115102
794.65735,1.034141,0.50197357,2.1171677,-1.5824051,-0.04272359,-0.41062164,-0.0193724
812.844,1.0343595,0.51241934,2.130539,-1.5927296,-0.043184422,-0.41465282,-0.019618075
831.29913,1.0346887,0.5229341,2.144142,-1.6031777,-0.043673944,-0.41862196,-0.019858595
850.04974,1.0350653,0.53361344,2.1578557,-1.6137229,-0.04415024,-0.42257896,-0.020164985
869.08655,1.0353949,0.5443759,2.1716678,-1.6242346,-0.044595264,-0.42646593,-0.020431507
888.41675,1.035788,0.55535614,2.1855426,-1.634929,-0.045046695,-0.43028736,-0.020694975
