kx,MATx,MUOx,MLOx,TATx,TOCx,zetax,chix,taux
223.00183,851.0,460.0,1740.0,0.85,0.0068,1.0,0.0,0.0
228.7148,857.5665,462.25787,1740.1342,0.8777341,0.011016,1.0,0.0,0.014888048
234.84131,864.15906,464.58167,1740.2715,0.90570337,0.01534959,1.0,0.0,0.029554427
241.33162,870.78033,466.96942,1740.4119,0.93389904,0.01980136,1.0,0.0,0.044002473
248.15675,877.43085,469.4192,1740.5557,0.96231276,0.024371848,1.0,0.0,0.058235407
255.29944,884.1106,471.92917,1740.7029,0.99093646,0.029061552,1.0,0.0,0.072256446
262.75443,890.8173,474.49756,1740.8534,1.0197625,0.033870928,1.0,0.0,0.08606875
270.50482,897.54974,477.12265,1741.0077,1.048783,0.038800385,1.0,0.0,0.09967542
278.56418,904.30365,479.80286,1741.1655,1.07799,0.0438503,1.0,0.0,0.11307949
286.92313,911.07837,482.53638,1741.327,1.1073759,0.049021,1.0,0.0,0.126284
295.57602,917.8738,485.32153,1741.4924,1.1369324,0.054312773,1.0,0.0,0.13929194
304.50998,924.6887,488.15677,1741.6615,1.1666521,0.059725873,1.0,0.0,0.15210623
313.7198,931.5212,491.04047,1741.8346,1.1965272,0.0652605,1.0,0.0,0.16472971
323.222,938.36487,493.97113,1742.0118,1.2265503,0.07091683,1.0,0.0,0.17716527
333.0185,945.21704,496.9471,1742.1929,1.2567134,0.076695,1.0,0.0,0.1894157
343.0851,952.07587,499.96677,1742.3782,1.2870083,0.082595095,1.0,0.0,0.20148373
353.41214,958.93915,503.0285,1742.5675,1.3174269,0.08861716,1.0,0.0,0.21337211
363.99768,965.8038,506.1307,1742.7612,1.3479614,0.09476121,1.0,0.0,0.22508347
374.82117,972.66724,509.27173,1742.9591,1.3786036,0.10102721,1.0,0.0,0.23662049
385.87552,979.5258,512.4501,1743.1615,1.4093454,0.107415095,1.0,0.0,0.24798572
397.15744,986.37463,515.66406,1743.368,1.4401788,0.11392475,1.0,0.0,0.25918174
408.66785,993.2097,518.912,1743.5791,1.4710951,0.12055602,1.0,0.0,0.2702111
