con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.24557,0.0017051001,0.0004219519,105.17594,104.996605,27.706736,31.797731,21.10879,22.85997,0.04437919,0.17933552,34.397728
79.83747,0.0017812342,0.00043667297,108.71378,108.52014,28.63527,32.262394,21.691725,23.521778,0.04747237,0.1936447,34.803276
82.5052,0.0018603711,0.0004513879,112.353676,112.14465,29.588829,32.7281,22.310896,24.185831,0.050715093,0.20901954,35.211212
85.24819,0.001942535,0.00046592456,116.096596,115.87107,30.568888,33.194992,22.96523,24.84676,0.05409225,0.2255217,35.621643
88.06979,0.0020277495,0.00048020593,119.943146,119.699936,31.572659,33.66284,23.65714,25.502344,0.057597414,0.24321467,36.034317
90.96238,0.0021160378,0.00049495266,123.89075,123.62859,32.605015,34.126648,24.382586,26.176392,0.06132006,0.26215753,36.4442
93.937065,0.0022074233,0.00051076064,127.93881,127.6564,33.65415,34.582706,25.148891,26.8882,0.065346114,0.28241515,36.84756
96.99648,0.0023019286,0.0005276467,132.08644,131.78238,34.716385,35.0299,25.957214,27.6381,0.06969497,0.30405354,37.24326
100.126686,0.0023995745,0.0005451197,136.33281,136.00566,35.80484,35.46957,26.79569,28.410112,0.0743177,0.32714072,37.632603
103.335526,0.0025003797,0.00056335,140.67722,140.32545,36.910885,35.900043,27.673544,29.20969,0.0792505,0.3517464,38.013893
106.61524,0.0026043616,0.00058216887,145.11684,144.7389,38.0394,36.320957,28.583042,30.031328,0.084482506,0.37793672,38.386745
109.9605,0.0027115352,0.00060171925,149.65082,149.24504,39.194756,36.730637,29.523396,30.879683,0.09004778,0.4057835,38.74945
113.372086,0.0028219144,0.00062175124,154.28046,153.84511,40.377365,37.13023,30.497578,31.746778,0.095924065,0.43536627,39.10314
116.85395,0.0029355094,0.0006424215,159.0058,158.53903,41.58323,37.51849,31.503857,32.637623,0.10214874,0.46676305,39.446545
120.404854,0.00305233,0.0006640021,163.82854,163.32848,42.81518,37.893997,32.541122,33.560707,0.10878249,0.50005877,39.778214
124.0259,0.0031723818,0.0006866468,168.747,168.21165,44.07026,38.254993,33.613358,34.52078,0.11586958,0.5353299,40.096363
127.72614,0.0032956689,0.0007097974,173.75967,173.18703,45.337967,38.60367,34.729183,35.50039,0.123334154,0.57265437,40.40317
131.49956,0.0034221914,0.0007337024,178.86537,178.25325,46.622917,38.937935,35.878937,36.50741,0.13123395,0.6121115,40.696518
135.34047,0.0035519467,0.0007592917,184.06442,183.41061,47.9309,39.253185,37.060703,37.57006,0.13975859,0.653787,40.97179
139.24947,0.0036849321,0.0007858617,189.35614,188.65836,49.260635,39.552177,38.271694,38.66675,0.14880775,0.6977645,41.231705
143.22693,0.0038211378,0.0008137683,194.74106,193.99693,50.612133,39.833134,39.520737,39.808064,0.15847412,0.7441324,41.474472
147.276,0.003960553,0.0008454241,200.21895,199.42598,51.981373,40.08396,40.801323,41.065918,0.16926992,0.7929778,41.68798
151.3818,0.0041031633,0.00087873003,205.78963,204.94522,53.383312,40.31465,42.11386,42.376377,0.18083353,0.8443885,41.8822
155.55579,0.0042489464,0.00091341214,211.45398,210.55554,54.80742,40.526573,43.460552,43.730934,0.19314463,0.89845663,42.058475
159.80103,0.004397878,0.0009488365,217.2127,216.25742,56.25121,40.722584,44.844513,45.110962,0.20609935,0.955275,42.219654
164.11127,0.00454993,0.0009856082,223.06477,222.04984,57.71972,40.899605,46.26153,46.53413,0.21985446,1.014929,42.36264
168.48895,0.004705073,0.0010238354,229.01117,227.93364,59.211334,41.056923,47.712032,48.003605,0.23446974,1.0775143,42.48669
172.93558,0.00486327,0.001063661,235.05295,233.90982,60.725445,41.194145,49.199753,49.523193,0.25001663,1.143126,42.591408
177.45262,0.005024485,0.0011046394,241.18913,239.9773,62.259575,41.31285,50.72874,51.08018,0.266427,1.2118512,42.678337
182.0371,0.0051886756,0.0011473189,247.42003,246.13623,63.816753,41.41056,52.29853,52.690037,0.28386968,1.2837822,42.745
186.69165,0.005355797,0.0011912897,253.74794,252.38892,65.39659,41.489418,53.904137,54.341152,0.3022873,1.3590224,42.793518
191.40906,0.005525801,0.0012369393,260.1719,258.73425,67.005135,41.54745,55.550545,56.044315,0.32181686,1.4376581,42.821896
196.19475,0.0056986366,0.0012839196,266.6928,265.17303,68.637825,41.586266,57.23376,57.789852,0.3424121,1.5197854,42.83173
201.04694,0.005874249,0.0013321523,273.31,271.7045,70.295586,41.60606,58.956028,59.575714,0.3640905,1.6054909,42.823204
205.9691,0.0060525807,0.0013817842,280.02377,278.32892,71.97521,41.60623,60.71634,61.406017,0.3869324,1.6948664,42.795704
210.95323,0.0062335692,0.0014326896,286.8344,285.04642,73.684784,41.58726,62.513195,63.27755,0.41094467,1.7880023,42.749687
216.00597,0.0064171525,0.0014847566,293.74152,291.8565,75.41722,41.549576,64.35256,65.1875,0.43613464,1.8849839,42.68557
221.13637,0.006603265,0.0015384974,300.7479,298.762,77.16595,41.491337,66.23742,67.14982,0.46269986,1.9859179,42.601505
226.32524,0.0067918347,0.001593624,307.8559,305.76498,78.95246,41.414036,68.160225,69.15698,0.49060655,2.0909064,42.49896
231.5824,0.0069827912,0.0016491618,315.0709,312.8708,80.772446,41.322674,70.11494,71.18331,0.5196029,2.2000742,42.38293
236.91411,0.007176061,0.0017059944,322.38574,320.07227,82.6121,41.2123,72.11122,73.252815,0.5499882,2.3134596,42.248447
242.31075,0.0073715667,0.001764867,329.79868,327.36755,84.47903,41.079514,74.14181,75.385315,0.5820508,2.4311328,42.092102
247.77217,0.0075692316,0.0018249209,337.31284,334.75964,86.37657,40.92846,76.20845,77.55842,0.6155693,2.553199,41.918026
253.30261,0.0077689723,0.0018876311,344.92783,342.24808,88.29943,40.752777,78.332924,79.81084,0.6510964,2.6797347,41.719845
258.90497,0.0079707075,0.0019519421,352.64853,349.83768,90.24986,40.55756,80.505775,82.11523,0.6883495,2.810858,41.50264
264.58075,0.0081743505,0.0020180352,360.47638,357.52972,92.227455,40.342377,82.729706,84.47639,0.72745407,2.9466605,41.26596
270.3296,0.0083798105,0.0020858832,368.4095,365.32227,94.230675,40.107067,85.00351,86.89392,0.76845914,3.0872018,41.00966
276.15247,0.008587,0.0021551717,376.44708,373.21454,96.25771,39.852955,87.327545,89.36009,0.8113081,3.232551,40.735023
282.04456,0.008795823,0.002225719,384.58936,381.20657,98.31358,39.580967,89.70178,91.87058,0.8559878,3.3827798,40.44298
288.0009,0.009006186,0.0022979164,392.8369,389.29895,100.40348,39.289394,92.12254,94.436005,0.9027064,3.5379624,40.131805
294.03278,0.009217993,0.00237157,401.19202,397.49384,102.51839,38.97953,94.59395,97.05162,0.95145494,3.6981852,39.802788
300.1379,0.009431147,0.0024466196,409.65533,405.7918,104.66109,38.65166,97.11005,99.716484,1.0022708,3.8635197,39.456196
306.32428,0.00964555,0.0025211223,418.22815,414.19412,106.82562,38.313976,99.67418,102.38242,1.0544044,4.0340405,39.100216
312.5953,0.009861094,0.0025964929,426.91055,422.70078,109.00791,37.960495,102.29696,105.085945,1.1084703,4.209805,38.728863
318.93155,0.01007769,0.0026732779,435.6945,431.30368,111.21915,37.588528,104.98002,107.840965,1.1647325,4.3907943,38.339424
325.34048,0.010295229,0.0027512915,444.58365,440.00656,113.45547,37.199104,107.71431,110.64368,1.2231792,4.57709,37.932926
331.8221,0.010513612,0.002830507,453.57965,448.81088,115.71843,36.79277,110.49973,113.49372,1.2838604,4.768761,37.509903
338.38345,0.010732738,0.0029123477,462.68317,457.71735,118.00081,36.36391,113.3462,116.42683,1.3474942,4.965857,37.06474
345.02264,0.010952503,0.0029970289,471.8936,466.7252,120.30372,35.91187,116.25327,119.44858,1.4142789,5.1684165,36.596764
351.71262,0.011172801,0.0030826866,481.21216,475.8357,122.65621,35.44436,119.187965,122.51349,1.4834262,5.376488,36.11368
358.46732,0.011393522,0.003171241,490.64743,485.05722,125.051674,34.954453,122.15448,125.669395,1.5559611,5.590203,35.60856
365.28146,0.011614559,0.0032617843,500.20132,494.39172,127.49764,34.446056,125.149414,128.89441,1.6315489,5.809618,35.085285
372.16708,0.011835805,0.0033544693,509.87137,503.83664,129.97943,33.91864,128.20392,132.19258,1.710348,6.034738,34.54334
379.14246,0.012057151,0.0034457587,519.65906,513.3935,132.48201,33.385925,131.32236,135.47905,1.7906196,6.265608,33.996418
386.20044,0.012278479,0.0035379268,529.5612,523.059,135.00804,32.838886,134.50938,138.81003,1.873549,6.5022063,33.435497
393.3308,0.012499684,0.0036310302,539.57574,532.83124,137.56566,32.27746,137.75719,142.18727,1.959216,6.744527,32.860504
400.5349,0.012720654,0.0037249874,549.7038,542.7112,140.15471,31.702055,141.0659,145.60979,2.0476396,6.992591,32.271843
407.8151,0.012941284,0.0038195245,559.9458,552.6994,142.77324,31.113867,144.43185,149.0717,2.1387267,7.246418,31.670702
415.18985,0.0131614655,0.00391421,570.301,562.795,145.40225,30.514574,147.87943,152.56349,2.2322779,7.5059967,31.058746
422.65237,0.013381091,0.0040097386,580.77606,573.00464,148.05466,29.902042,151.40672,156.1026,2.3287601,7.771417,30.433842
430.19427,0.013600054,0.004109376,591.368,583.3253,150.73395,29.264158,154.99756,159.76793,2.4301534,8.042636,29.783865
437.79803,0.013818246,0.004218584,602.0766,593.75696,153.45409,28.581123,158.63324,163.6904,2.5399108,8.319643,29.089012
445.4731,0.014035558,0.004329125,612.90283,604.3004,156.21121,27.88382,162.32495,167.67351,2.653333,8.602433,28.380163
453.21964,0.014251875,0.0044443384,623.84814,614.9572,159.00444,27.160347,166.08838,171.79747,2.7725923,8.891006,27.645405
461.03812,0.014467079,0.004562753,634.91187,625.72656,161.83342,26.416288,169.90495,176.02805,2.8969457,9.18532,26.890316
468.9386,0.014681055,0.004684024,646.093,636.60767,164.6872,25.653313,173.78021,180.35735,3.026315,9.485327,26.116562
476.91843,0.014893682,0.0048082233,657.39087,647.59985,167.56763,24.87135,177.7171,184.78796,3.160882,9.79097,25.324064
484.96542,0.01510484,0.0049358797,668.807,658.7048,170.48808,24.068874,181.70909,189.33325,3.301151,10.102222,24.511297
493.08096,0.01531441,0.005066168,680.34204,669.923,173.44807,23.249138,185.75938,193.97441,3.446727,10.419037,23.681501
501.2873,0.015522273,0.005195885,692.0025,681.261,176.43399,22.423805,189.88628,198.63701,3.5955653,10.741452,22.846336
509.603,0.015728302,0.005323384,703.78894,692.71954,179.42891,21.598522,194.1057,203.28378,3.7465386,11.069406,22.011446
517.99506,0.015932381,0.005451246,715.6916,704.2889,182.4546,20.764198,198.40932,207.97621,3.901411,11.402671,21.167734
526.4559,0.016134404,0.005578635,727.7084,715.9672,185.51726,19.923666,202.7762,212.69615,4.0596194,11.74114,20.318027
534.99664,0.016334252,0.0057039536,739.8436,727.759,188.6112,19.082722,207.20248,217.40685,4.2200336,12.084793,19.468115
543.6228,0.016531816,0.0058294116,752.09973,739.6662,191.73155,18.233858,211.7011,222.16154,4.384299,12.433575,18.610489
552.3192,0.016726995,0.005957906,764.47473,751.68744,194.88972,17.367474,216.26503,227.02902,4.554669,12.787365,17.735538
561.1008,0.016919684,0.0060857725,776.9717,763.8256,198.07626,16.496231,220.90797,231.92436,4.728473,13.146115,16.855928
569.9548,0.017108273,0.006209239,789.5926,776.08405,201.31035,15.632877,225.61937,236.76,4.902769,13.508566,15.984396
578.86914,0.017292693,0.0063276864,802.3377,788.4632,204.60486,14.779396,230.3866,241.52222,5.0769415,13.874578,15.122923
587.8809,0.017472887,0.0064420304,815.2115,800.9674,207.9266,13.93277,235.24104,246.23334,5.251617,14.244099,14.268485
596.9865,0.017648784,0.006552217,828.21515,813.59814,211.28078,13.093322,240.18471,250.89195,5.4266453,14.616991,13.421404
606.1759,0.017820343,0.006657631,841.3473,826.3542,214.6766,12.262977,245.21097,255.48442,5.6013794,14.993097,12.583598
615.4584,0.017987508,0.006758716,854.602,839.2299,218.09933,11.440324,250.32405,260.02087,5.776012,15.37216,11.7536545
624.8349,0.018150238,0.006855292,867.9801,852.22614,221.54893,10.626078,255.5253,264.49707,5.950257,15.754046,10.932284
634.3066,0.018308498,0.00694719,881.48236,865.3438,225.02548,9.820928,260.81622,268.90878,6.1238256,16.138617,10.120172
643.8735,0.018462254,0.0070342524,895.10834,878.58264,228.52902,9.025474,266.19772,273.25214,6.2964177,16.525717,9.317914
653.5369,0.018611478,0.0071163713,908.8591,891.9439,232.05952,8.240382,271.6712,277.52325,6.467778,16.91521,8.526174
663.2976,0.01875615,0.007193405,922.73486,905.42786,235.61719,7.466174,277.23788,281.7187,6.637606,17.306952,7.745466
673.15594,0.018896246,0.0072652427,936.7359,919.0351,239.20207,6.7034254,282.89886,285.83475,6.805613,17.700792,6.9763675
683.10724,0.019031761,0.0073314877,950.8624,932.76587,242.81999,5.9537764,288.65298,289.86002,6.971236,18.096586,6.220513
693.14813,0.019162677,0.0073920046,965.11285,946.6187,246.47319,5.2178054,294.49863,293.7904,7.1341186,18.494146,5.4784765
703.28375,0.019289,0.007447343,979.48486,960.59155,250.15395,4.494071,300.4379,297.63718,7.2945595,18.893284,4.748815
713.5127,0.01941072,0.0074974205,993.97876,974.68494,253.86462,3.7829852,306.47183,301.3976,7.4522767,19.293844,4.031937
723.8303,0.019527849,0.0075423406,1008.5955,988.89984,257.61093,3.0846612,312.60114,305.0715,7.607171,19.6957,3.3279526
