kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.2019,0.9918857,0.10532974,0.7612529,-0.490335,-0.005828104,-0.15798745,-0.016550072
234.05258,0.99595827,0.10885494,0.7542097,-0.48448744,-0.005774445,-0.15939435,-0.016486242
240.46474,0.9988085,0.11201254,0.74767303,-0.47898826,-0.005705095,-0.16078722,-0.016440272
247.33154,1.0007668,0.11496064,0.74145365,-0.47376072,-0.0055759354,-0.16221586,-0.016389221
254.61565,1.0021762,0.11776118,0.73565346,-0.46884376,-0.0054720817,-0.16377774,-0.016340658
262.27203,1.003146,0.120421775,0.73020315,-0.464168,-0.0053712754,-0.16544311,-0.016291358
270.23373,1.0036829,0.12297115,0.72494173,-0.45966554,-0.005313917,-0.16706264,-0.016233742
278.46463,1.0039961,0.1254685,0.7198651,-0.45538273,-0.005301579,-0.16870089,-0.01617951
286.9587,1.0041431,0.12791514,0.71514165,-0.45131022,-0.005257725,-0.17042162,-0.016190298
295.69238,1.0041177,0.13033342,0.7106431,-0.44735125,-0.0052059283,-0.17214273,-0.01617933
304.64453,1.0039947,0.13277411,0.7063181,-0.443579,-0.0051166555,-0.17387511,-0.016190931
313.7988,1.0037605,0.1352301,0.7021663,-0.43997157,-0.005064412,-0.17562872,-0.016218454
323.1435,1.0034869,0.13770364,0.69822156,-0.43656006,-0.004992849,-0.17738861,-0.016223304
332.69577,1.003238,0.14013135,0.6945818,-0.43336734,-0.0049063554,-0.17922616,-0.016202308
342.43292,1.0029254,0.14256719,0.69099164,-0.43018916,-0.0048446273,-0.1810318,-0.016190462
352.35074,1.0025549,0.14500964,0.6875302,-0.42709303,-0.004822529,-0.18279968,-0.016198032
362.43237,1.0021278,0.14752094,0.6842463,-0.4241646,-0.0048102355,-0.18465677,-0.016218506
372.66782,1.0017207,0.15010059,0.6810219,-0.42135623,-0.004750571,-0.18657875,-0.01625026
383.07123,1.0013057,0.15271911,0.6780065,-0.41860422,-0.0046753725,-0.18852174,-0.016254306
393.651,1.0009766,0.15533388,0.6752246,-0.41597787,-0.0046438416,-0.190475,-0.016238496
404.40262,1.0006132,0.15797888,0.672425,-0.41345948,-0.004639595,-0.19244002,-0.016186103
415.30914,1.0002682,0.16069962,0.6697038,-0.41105327,-0.0046552783,-0.19439845,-0.016205542
426.3667,0.9998829,0.16350575,0.66714895,-0.4087348,-0.0046221754,-0.19633093,-0.016227216
437.57675,0.9994873,0.1663777,0.66461545,-0.40644613,-0.004571966,-0.19827352,-0.016251303
448.92633,0.9991164,0.16929603,0.6621307,-0.4042677,-0.0044572046,-0.20032449,-0.016310275
460.4212,0.9987453,0.17223369,0.6597801,-0.4021279,-0.004383399,-0.20227115,-0.016320981
472.06113,0.99838245,0.1751907,0.6575538,-0.40010244,-0.0043212986,-0.20421857,-0.016312838
