kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
227.50731,0.95494485,0.24964884,2.7092764,-2.028692,-0.05294526,-0.37406594,-0.07363546
232.35857,0.9651172,0.25438368,2.7109282,-2.0289147,-0.05319983,-0.37941313,-0.074165925
237.6184,0.97307694,0.25915095,2.713585,-2.030126,-0.05349004,-0.38486826,-0.07489365
243.28185,0.9801791,0.2647528,2.7177453,-2.0325482,-0.053545494,-0.38990325,-0.075348124
249.32803,0.98641,0.27067396,2.7232916,-2.0359695,-0.053680155,-0.39503753,-0.07591152
255.73412,0.9917251,0.27696544,2.7298818,-2.040194,-0.053800862,-0.40088314,-0.076490715
262.50253,0.9966893,0.2835698,2.7375124,-2.045326,-0.0539739,-0.40678024,-0.07705081
269.62296,1.001242,0.29045907,2.7462575,-2.0512524,-0.054247256,-0.4126403,-0.077743255
277.0465,1.003719,0.29717857,2.7559211,-2.0581748,-0.054514255,-0.41783014,-0.07782408
284.75146,1.0057116,0.304208,2.766447,-2.0658357,-0.054773696,-0.4233039,-0.07812919
292.72873,1.0074853,0.31145108,2.7776482,-2.0739722,-0.055095587,-0.4289002,-0.07862775
300.97626,1.0091139,0.31902474,2.7895107,-2.0824888,-0.055363525,-0.43474436,-0.07920757
309.4952,1.0105803,0.32682085,2.8023353,-2.0918112,-0.055797946,-0.4407788,-0.079797596
318.28394,1.0118468,0.33483577,2.8156376,-2.1015177,-0.056255978,-0.44689995,-0.080421075
327.33557,1.0129151,0.34276104,2.8296921,-2.1117318,-0.056554925,-0.45292524,-0.08080672
336.63376,1.0137935,0.35088727,2.844333,-2.1224704,-0.056901615,-0.4588468,-0.08113362
346.18137,1.0146142,0.35927176,2.8595498,-2.133706,-0.05729754,-0.46485567,-0.08145722
355.97498,1.0153128,0.3679545,2.8750007,-2.1452494,-0.057707373,-0.4708436,-0.0816805
366.03903,1.0159438,0.37701458,2.891264,-2.157523,-0.058170278,-0.47672385,-0.082078
376.35916,1.0163721,0.38637337,2.9079103,-2.1702418,-0.058684487,-0.48266613,-0.082672544
386.93863,1.016725,0.39579174,2.9249377,-2.1830997,-0.059228476,-0.4885937,-0.08308874
397.78644,1.0166814,0.40562263,2.9422626,-2.1961277,-0.059764575,-0.49472868,-0.08341284
408.904,1.0165658,0.4156569,2.9601793,-2.2094939,-0.060217176,-0.5008379,-0.08376855
420.25348,1.016467,0.42588085,2.978674,-2.2234056,-0.060696844,-0.5068905,-0.08432075
431.8118,1.0161088,0.4362216,2.9975996,-2.2377167,-0.061262015,-0.51315194,-0.085068725
443.58298,1.0155237,0.44671744,3.016682,-2.2520995,-0.06185441,-0.5194326,-0.085821636
455.60175,1.0153173,0.45743853,3.035874,-2.266577,-0.06252943,-0.52550095,-0.08652188
