foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
3.159e-05,2.339e-04,3.791e-04,2.524e-05,1.824e-05,4.649e-05,8.448e-06,1.864e-05
4.292e-06,2.205e-04,1.625e-04,2.146e-05,6.735e-05,4.172e-06,7.725e-06,5.417e-06
5.674e-05,2.232e-04,1.234e-05,5.019e-05,2.980e-05,7.486e-05,3.386e-05,4.500e-05
1.431e-05,2.468e-04,8.845e-05,7.778e-06,5.496e-05,6.318e-06,2.205e-06,1.720e-05
7.892e-05,1.838e-04,1.413e-04,4.098e-05,3.326e-05,6.557e-06,6.346e-06,1.341e-05
7.176e-05,2.763e-04,1.576e-04,3.749e-05,3.517e-05,2.146e-05,3.227e-05,3.340e-05
3.302e-05,1.554e-04,1.524e-04,3.341e-05,4.697e-05,2.265e-06,1.436e-06,9.321e-06
1.597e-05,2.697e-04,1.336e-04,4.202e-05,5.639e-05,1.717e-05,6.706e-06,3.019e-05
2.837e-05,3.140e-04,9.716e-05,7.838e-05,5.221e-05,1.175e-04,3.168e-05,2.504e-05
2.146e-06,2.131e-04,6.294e-05,2.083e-05,2.897e-05,5.519e-05,2.244e-05,4.873e-06
9.894e-06,2.890e-04,3.362e-05,7.421e-06,9.060e-06,1.156e-05,1.550e-05,3.120e-05
2.921e-05,2.837e-04,1.913e-05,1.097e-05,5.388e-05,3.934e-05,4.526e-06,5.393e-05
2.468e-05,1.640e-04,3.159e-06,5.373e-05,5.257e-05,3.660e-05,2.316e-05,3.077e-05
5.627e-05,1.791e-04,7.510e-06,8.255e-06,9.894e-06,3.052e-05,2.741e-05,6.471e-06
1.729e-05,1.733e-04,1.872e-05,4.107e-05,4.923e-05,1.144e-05,2.747e-06,1.431e-06
2.909e-05,2.737e-04,2.325e-05,1.723e-05,5.126e-06,2.122e-05,2.106e-05,3.126e-06
7.081e-05,2.027e-04,3.135e-05,5.248e-05,1.895e-05,2.372e-05,1.533e-05,1.710e-05
3.564e-05,1.554e-04,3.254e-05,5.659e-05,7.164e-05,7.379e-05,3.193e-05,1.320e-05
6.509e-05,2.534e-04,2.843e-05,2.268e-05,1.049e-05,5.603e-06,1.310e-05,6.966e-06
2.933e-05,2.170e-04,2.295e-05,1.717e-05,4.852e-05,5.352e-05,2.151e-05,1.271e-05
1.347e-05,2.437e-04,1.526e-05,7.987e-06,2.146e-06,1.699e-05,1.535e-05,8.091e-06
2.241e-05,2.210e-04,1.639e-05,2.986e-05,3.338e-05,1.305e-05,3.684e-06,2.565e-05
1.585e-05,1.783e-04,2.950e-05,3.830e-05,1.001e-05,5.794e-05,7.878e-05,2.697e-05
7.868e-05,8.392e-05,4.178e-05,5.752e-05,3.564e-05,4.184e-05,9.263e-06,5.879e-06
2.146e-06,2.606e-04,4.411e-05,4.920e-05,2.205e-05,1.216e-05,2.099e-05,1.789e-05
1.812e-05,2.224e-04,3.952e-05,6.595e-05,2.933e-05,3.666e-05,3.824e-05,1.062e-05
7.272e-06,1.879e-04,2.724e-05,5.943e-05,1.240e-05,3.457e-05,2.840e-06,4.211e-05
6.843e-05,1.330e-04,2.050e-05,1.615e-05,4.125e-05,3.046e-05,3.814e-05,3.816e-05
9.084e-05,1.810e-04,2.265e-05,1.258e-05,4.005e-05,4.959e-05,4.620e-06,4.828e-05
6.235e-05,2.043e-04,2.027e-05,2.232e-05,1.335e-05,7.033e-06,2.570e-06,5.899e-05
7.153e-07,2.036e-04,1.848e-05,5.752e-06,2.062e-05,4.715e-05,4.140e-05,8.520e-06
9.215e-05,1.915e-04,1.532e-05,1.540e-04,4.637e-05,4.596e-05,5.868e-05,3.322e-05
4.470e-05,1.523e-04,9.894e-06,5.066e-06,2.348e-05,1.812e-05,1.133e-05,1.704e-05
1.502e-05,1.705e-04,2.980e-06,9.826e-05,5.150e-05,6.866e-05,5.109e-05,3.646e-05
1.860e-05,1.314e-04,2.146e-06,1.058e-05,2.337e-05,1.925e-05,1.210e-05,1.420e-05
3.767e-05,1.154e-04,4.947e-06,8.911e-06,2.742e-05,2.086e-05,3.931e-05,5.422e-05
7.749e-06,1.237e-04,3.695e-06,3.609e-05,8.821e-06,1.478e-05,4.930e-05,3.111e-05
1.073e-05,1.428e-04,2.086e-06,1.940e-05,1.180e-05,2.927e-05,4.989e-05,7.618e-06
8.357e-05,2.389e-04,2.921e-06,1.326e-05,5.543e-05,2.170e-05,2.065e-05,2.570e-06
1.609e-05,1.357e-04,1.192e-06,4.771e-05,4.768e-05,4.673e-05,7.358e-06,1.950e-05
4.911e-05,1.533e-04,1.848e-06,4.095e-05,4.184e-05,8.762e-06,1.291e-05,1.390e-05
4.447e-05,1.612e-04,3.934e-06,6.378e-06,1.812e-05,1.198e-05,4.381e-06,2.283e-05
4.768e-07,1.965e-04,7.510e-06,2.563e-05,5.853e-05,1.252e-06,2.001e-05,1.985e-05
8.106e-06,1.950e-04,7.570e-06,2.748e-05,2.539e-05,2.688e-05,6.454e-06,5.428e-05
2.503e-05,1.817e-04,5.782e-06,5.186e-05,2.933e-05,2.444e-06,2.284e-05,9.164e-06
4.113e-05,1.676e-04,5.603e-06,1.609e-06,5.877e-05,5.847e-05,9.675e-06,5.149e-05
6.235e-05,1.609e-04,7.689e-06,8.708e-05,1.681e-05,3.600e-05,4.584e-05,4.537e-06
2.193e-05,1.850e-04,4.351e-06,4.828e-06,2.742e-06,2.986e-05,3.116e-05,2.178e-05
1.526e-05,1.752e-04,3.815e-06,2.086e-06,4.768e-07,1.043e-05,3.155e-05,6.719e-05
9.775e-06,2.046e-04,1.061e-05,5.138e-05,4.363e-05,2.319e-05,2.144e-05,3.592e-05
1.788e-06,2.141e-04,1.538e-05,6.890e-05,2.193e-05,7.808e-06,7.567e-05,2.521e-05
1.132e-05,2.265e-04,1.222e-05,2.497e-05,2.861e-06,3.010e-05,2.460e-05,4.666e-05
5.031e-05,1.934e-04,2.027e-06,1.425e-05,1.681e-05,4.208e-05,2.686e-05,6.710e-05
2.074e-05,1.585e-04,1.454e-05,6.980e-05,2.456e-05,5.090e-05,3.889e-05,8.589e-05
1.311e-06,1.419e-04,3.433e-05,8.941e-06,5.007e-06,5.144e-05,2.547e-05,4.407e-05
3.970e-05,2.301e-04,5.513e-05,1.460e-05,5.126e-06,1.878e-05,1.477e-05,4.566e-05
5.686e-05,2.818e-04,6.485e-05,4.578e-05,1.109e-05,1.717e-05,7.860e-06,5.455e-05
3.183e-05,2.499e-04,6.992e-05,1.305e-05,5.674e-05,6.485e-05,1.145e-05,2.072e-05
7.272e-05,2.017e-04,7.707e-05,6.181e-05,2.885e-05,5.424e-06,1.805e-05,1.761e-05
1.121e-05,2.041e-04,8.619e-05,2.766e-05,2.265e-06,3.260e-05,1.770e-05,5.810e-05
1.204e-05,1.628e-04,7.150e-05,1.216e-05,2.992e-05,1.019e-05,7.541e-06,2.709e-05
1.371e-05,1.955e-04,4.035e-05,5.758e-05,2.348e-05,2.748e-05,2.993e-06,1.199e-05
6.437e-06,2.067e-04,6.199e-06,7.600e-05,4.816e-05,4.232e-05,2.841e-05,3.813e-05
7.308e-05,1.769e-04,2.220e-05,1.657e-05,1.287e-05,1.365e-05,1.606e-05,7.447e-06
2.432e-05,1.857e-04,3.353e-05,1.961e-05,2.861e-06,7.337e-05,4.175e-06,2.608e-07
4.768e-06,2.708e-04,4.241e-05,2.563e-06,1.657e-05,2.158e-05,4.438e-05,7.823e-05
5.782e-05,2.320e-04,4.774e-05,1.258e-05,7.153e-06,4.768e-07,4.002e-05,1.434e-05
6.700e-05,2.847e-04,4.968e-05,3.856e-05,7.749e-06,9.537e-07,8.134e-06,2.416e-05
1.800e-05,3.316e-04,4.810e-05,3.207e-05,4.768e-06,1.180e-05,2.501e-05,2.771e-05
8.547e-05,3.717e-04,5.308e-05,2.128e-05,3.576e-06,3.445e-05,3.935e-05,1.986e-05
3.505e-05,2.244e-04,5.165e-05,4.947e-06,1.419e-05,5.686e-05,4.272e-05,2.494e-05
9.894e-06,2.143e-04,5.075e-05,2.712e-05,8.106e-06,2.319e-05,9.360e-07,1.467e-05
1.884e-05,2.987e-04,4.780e-05,3.493e-05,2.611e-05,2.551e-05,9.513e-06,2.825e-05
1.919e-05,3.653e-04,4.861e-05,3.064e-05,2.778e-05,4.810e-05,1.419e-05,3.238e-05
2.825e-05,3.555e-04,4.837e-05,2.992e-05,3.576e-06,6.735e-06,3.989e-05,3.193e-06
5.257e-05,3.855e-04,4.509e-05,8.941e-06,9.477e-05,2.933e-05,2.109e-05,1.119e-05
6.557e-06,3.493e-04,3.868e-05,0.000e+00,2.778e-05,1.949e-05,2.126e-06,4.022e-05
1.085e-05,2.861e-04,3.755e-05,2.247e-05,3.254e-05,4.512e-05,3.374e-05,2.929e-05
4.292e-06,2.627e-04,3.153e-05,1.413e-05,6.914e-05,1.794e-05,5.141e-05,4.773e-05
1.597e-05,2.174e-04,2.041e-05,9.596e-06,1.242e-04,4.256e-05,2.925e-05,5.201e-06
4.089e-05,2.229e-04,9.030e-06,2.152e-05,8.798e-05,1.049e-05,7.116e-06,1.081e-05
4.208e-05,1.521e-04,6.348e-06,3.076e-05,4.840e-05,2.396e-05,1.082e-05,1.284e-05
3.624e-05,1.590e-04,2.095e-05,7.451e-06,1.705e-05,5.072e-05,6.402e-06,1.672e-05
2.277e-05,2.251e-04,3.701e-05,1.848e-06,1.466e-05,1.028e-04,8.106e-06,1.929e-05
1.276e-05,2.069e-04,5.874e-05,1.204e-05,1.442e-05,2.807e-05,1.003e-05,9.030e-06
5.233e-05,2.298e-04,7.617e-05,4.900e-05,7.033e-06,2.658e-05,3.790e-05,6.035e-05
4.208e-05,2.429e-04,9.564e-05,2.354e-05,7.033e-06,1.198e-05,4.568e-05,3.780e-05
4.089e-05,2.251e-04,1.088e-04,5.245e-06,8.047e-05,2.205e-06,2.153e-06,1.680e-05
1.192e-06,2.904e-04,1.060e-04,6.253e-05,6.378e-05,5.579e-05,3.288e-05,3.354e-05
3.278e-05,3.116e-04,1.032e-04,3.731e-05,1.180e-05,1.746e-05,1.170e-05,5.181e-05
9.859e-05,3.037e-04,1.017e-04,5.722e-06,6.914e-06,1.937e-05,9.591e-06,1.492e-05
2.837e-05,2.909e-04,9.677e-05,2.128e-05,5.472e-05,3.445e-05,1.218e-05,2.040e-05
2.742e-06,3.486e-04,8.360e-05,1.228e-05,8.988e-05,4.584e-05,1.071e-05,1.525e-05
1.128e-04,3.488e-04,6.427e-05,3.999e-05,8.154e-05,5.758e-05,2.421e-05,2.835e-05
6.020e-05,2.575e-04,3.821e-05,1.907e-05,4.756e-05,1.091e-04,2.356e-05,2.168e-05
7.629e-05,2.439e-04,6.372e-05,6.640e-05,4.637e-05,7.737e-05,1.222e-06,1.304e-05
7.153e-05,2.301e-04,9.617e-05,7.105e-05,2.337e-05,4.524e-05,1.206e-05,2.686e-05
5.198e-05,1.912e-04,1.244e-04,3.421e-05,1.502e-05,4.202e-05,2.848e-05,1.128e-05
8.273e-05,2.677e-04,1.438e-04,3.725e-05,8.225e-06,1.794e-05,1.150e-05,1.581e-05
8.476e-05,2.830e-04,1.548e-04,1.371e-06,7.629e-06,1.425e-05,1.144e-05,5.487e-06
9.441e-05,2.420e-04,1.605e-04,2.140e-05,3.147e-05,5.412e-05,4.240e-05,3.163e-05
1.279e-04,2.124e-04,1.609e-04,5.662e-06,8.380e-05,4.548e-05,5.887e-05,4.280e-06
1.162e-04,2.277e-04,1.520e-04,3.743e-05,1.158e-04,2.921e-05,7.772e-05,3.806e-05
