,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,2.436e-05,2.867e-04,2.450e-05,2.230e-05,2.513e-05,2.032e-05,1.450e-05,1.714e-05
std,2.701e-05,6.428e-05,6.005e-05,1.998e-05,2.113e-05,1.696e-05,1.424e-05,1.496e-05
min,0.000e+00,8.392e-05,0.000e+00,0.000e+00,0.000e+00,1.192e-07,7.451e-09,2.235e-08
0.1%,0.000e+00,8.392e-05,0.000e+00,0.000e+00,0.000e+00,1.192e-07,7.451e-09,2.235e-08
25%,7.749e-06,2.436e-04,0.000e+00,8.032e-06,8.225e-06,7.868e-06,4.869e-06,6.236e-06
50%,1.734e-05,2.906e-04,1.164e-10,1.708e-05,2.003e-05,1.708e-05,1.088e-05,1.373e-05
75%,2.986e-05,3.305e-04,2.062e-05,2.944e-05,3.886e-05,2.792e-05,1.944e-05,2.335e-05
99.9%,2.980e-04,4.752e-04,6.070e-04,1.540e-04,1.242e-04,1.175e-04,1.068e-04,1.048e-04
max,2.980e-04,4.752e-04,6.070e-04,1.540e-04,1.242e-04,1.175e-04,1.068e-04,1.048e-04
