kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.0323,0.99110144,0.14183654,1.1869106,-0.7720454,-0.009701259,-0.23851669,-0.025730584
233.6963,0.9952885,0.14589496,1.1767542,-0.76339185,-0.009533457,-0.24087565,-0.02562406
239.94681,0.9983221,0.14962319,1.1673309,-0.7551755,-0.009431206,-0.24328874,-0.025594182
246.69028,1.0005779,0.1531684,1.1583906,-0.74744594,-0.009315304,-0.24576373,-0.025510464
253.86841,1.002188,0.15658227,1.1499529,-0.7401111,-0.009190574,-0.24834867,-0.025422838
261.41812,1.0033088,0.15982987,1.1420552,-0.7331656,-0.009076357,-0.25089064,-0.025385294
269.2794,1.004017,0.16297057,1.1345177,-0.7265256,-0.00894209,-0.25353485,-0.025366526
277.43448,1.004452,0.16606028,1.1274359,-0.72022986,-0.00883849,-0.256223,-0.025352336
285.85873,1.0046949,0.16911668,1.1207343,-0.71422744,-0.008754753,-0.2588729,-0.025328275
294.52438,1.0047318,0.17219985,1.1143651,-0.70848346,-0.008696929,-0.26162,-0.025319714
303.40158,1.004646,0.17531547,1.1083298,-0.70306927,-0.008596249,-0.2644402,-0.025330823
312.48178,1.004514,0.1784704,1.1025685,-0.6979034,-0.008506566,-0.26724854,-0.02531381
321.7628,1.0043293,0.18171199,1.097094,-0.69295967,-0.008411154,-0.2701162,-0.025295634
331.2363,1.004087,0.18500575,1.0919055,-0.68816257,-0.0083474815,-0.27297273,-0.025280114
340.88507,1.0037853,0.18835728,1.0869094,-0.6836263,-0.008251585,-0.27589804,-0.025324378
350.71152,1.0034863,0.19176921,1.0822281,-0.6792498,-0.008157775,-0.27880457,-0.02534933
360.704,1.0031356,0.1952343,1.0777918,-0.6750261,-0.008045845,-0.28168032,-0.025391974
370.85342,1.002786,0.19871187,1.0735207,-0.67104346,-0.007975206,-0.2846091,-0.025367279
381.13715,1.0023658,0.20228475,1.0694461,-0.66723305,-0.007956579,-0.28762016,-0.025385302
391.58066,1.0020413,0.20601463,1.0655545,-0.66355443,-0.007887006,-0.29066548,-0.02541763
402.19495,1.0017428,0.20977196,1.0618216,-0.66002864,-0.007831119,-0.29369268,-0.02547649
412.97507,1.0014926,0.2135513,1.0582612,-0.65663666,-0.007784389,-0.29671845,-0.025514726
423.90176,1.0011764,0.21737361,1.0548698,-0.6533587,-0.0077129006,-0.29970863,-0.025545686
434.97824,1.0008879,0.22123505,1.0515997,-0.6502048,-0.0076359957,-0.30277804,-0.025565673
446.21753,1.000638,0.22515309,1.0485142,-0.6471766,-0.007607557,-0.30584714,-0.025622379
457.61685,1.0004144,0.22911644,1.045607,-0.6442281,-0.007597849,-0.30887088,-0.02569678
469.16794,1.0001743,0.23314035,1.0427663,-0.641407,-0.0075145885,-0.31191877,-0.025713008
480.85522,0.99991035,0.23725471,1.0400364,-0.63866824,-0.007479593,-0.31498882,-0.025737256
492.68137,0.99964356,0.24138708,1.0374165,-0.6360572,-0.0074068606,-0.3180015,-0.025808614
504.67535,0.9994617,0.24558866,1.0349544,-0.63353825,-0.0073302686,-0.32106557,-0.025834713
516.8356,0.9993115,0.24979143,1.032553,-0.6310985,-0.0072684735,-0.32414934,-0.025898669
529.1572,0.9991417,0.25403404,1.030223,-0.62876236,-0.0072322637,-0.32724425,-0.025966275
541.6343,0.9989884,0.25827673,1.0280209,-0.62649965,-0.0072065666,-0.33031866,-0.026017558
554.2699,0.99885005,0.26257795,1.0258756,-0.62425035,-0.007203549,-0.33340177,-0.0260817
567.0512,0.9986953,0.26693425,1.0238173,-0.62209713,-0.007175967,-0.33647683,-0.026121866
579.9913,0.99853,0.271367,1.0218447,-0.6199933,-0.0071503,-0.33960125,-0.026160259
593.0767,0.9983835,0.2758298,1.0199938,-0.6179465,-0.0071298257,-0.34269747,-0.026249036
606.3124,0.99823606,0.28033525,1.0181819,-0.6160052,-0.0070887133,-0.3457578,-0.02626736
619.7652,0.9982224,0.28475413,1.0164932,-0.61416715,-0.007045299,-0.3487982,-0.026348796
633.37805,0.99812025,0.2892653,1.0148604,-0.6123662,-0.006994851,-0.35187295,-0.026394412
647.14087,0.99809074,0.29387748,1.0132976,-0.61065865,-0.0069727153,-0.3549319,-0.026418544
661.06854,0.99801856,0.2985456,1.0117606,-0.60895514,-0.00695844,-0.35793903,-0.02644005
675.161,0.9979544,0.3032734,1.010245,-0.60724366,-0.006942287,-0.36095834,-0.026482297
689.4283,0.99795353,0.30796707,1.0088105,-0.6056237,-0.006926812,-0.36396918,-0.02656252
703.8382,0.9979281,0.31270832,1.0073888,-0.60406214,-0.0069014356,-0.36703137,-0.026637157
718.4072,0.9978899,0.31751734,1.0059571,-0.60254633,-0.0068927333,-0.37010348,-0.026725413
733.1282,0.99785465,0.32235882,1.0045861,-0.6010846,-0.0068743452,-0.3731341,-0.026743634
748.0161,0.99782556,0.32727525,1.0033286,-0.5996566,-0.0068624616,-0.37609074,-0.026813077
763.07666,0.9978495,0.33221522,1.0021813,-0.5982538,-0.006827697,-0.37905306,-0.026936995
778.29395,0.99787414,0.3371274,1.0010498,-0.59693444,-0.006772317,-0.38198578,-0.027007077
793.6756,0.9978889,0.34210625,0.9999457,-0.59559387,-0.006781712,-0.38491198,-0.02703645
809.20056,0.997882,0.34712818,0.998866,-0.59433174,-0.0067268237,-0.38780364,-0.027034292
824.87555,0.9978879,0.35213834,0.9978118,-0.5931197,-0.0066891685,-0.39072004,-0.02707921
840.7107,0.99792236,0.35720387,0.99676716,-0.5919505,-0.006661102,-0.39361855,-0.02715942
856.7071,0.9979931,0.36231986,0.99579847,-0.59082305,-0.0066328943,-0.39655885,-0.027201803
872.88635,0.9980707,0.36745113,0.9949094,-0.5897176,-0.006579593,-0.39943442,-0.027292658
889.2569,0.99817425,0.37262955,0.99406195,-0.5885662,-0.0065374076,-0.40222964,-0.027322918
905.8029,0.99828315,0.377885,0.9932028,-0.58746487,-0.006501481,-0.40501687,-0.027338032
922.5338,0.9983539,0.38320646,0.99237734,-0.58642036,-0.006491974,-0.40784785,-0.027397703
