,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,6.049e-05,6.364e-04,2.510e-05,1.378e-04,5.679e-05,3.250e-05,1.192e-05,1.807e-05
std,3.348e-05,2.597e-04,5.960e-05,4.318e-05,2.004e-05,1.757e-05,1.116e-05,1.382e-05
min,0.000e+00,7.629e-06,0.000e+00,4.470e-07,4.172e-07,5.960e-08,1.397e-08,2.421e-08
0.1%,0.000e+00,7.629e-06,0.000e+00,4.470e-07,4.172e-07,5.960e-08,1.397e-08,2.421e-08
25%,3.615e-05,4.466e-04,0.000e+00,1.212e-04,4.601e-05,1.897e-05,3.254e-06,6.891e-06
50%,6.258e-05,6.897e-04,5.821e-11,1.489e-04,5.808e-05,3.143e-05,9.110e-06,1.635e-05
75%,8.294e-05,9.029e-04,3.128e-05,1.654e-04,6.874e-05,4.525e-05,1.595e-05,2.492e-05
99.9%,2.285e-04,9.699e-04,5.623e-04,2.107e-04,1.156e-04,9.567e-05,6.222e-05,7.303e-05
max,2.285e-04,9.699e-04,5.623e-04,2.107e-04,1.156e-04,9.567e-05,6.222e-05,7.303e-05
