kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,460.0,1740.0,0.85,0.0068,0.0
227.9509,857.9422,462.25787,1740.1342,0.8777341,0.011016,0.014888048
233.61671,864.894,464.59067,1740.2715,0.90575016,0.01534959,0.029554427
239.86876,871.86536,466.9957,1740.4119,0.93403536,0.019801594,0.044002473
246.61363,878.86285,469.4704,1740.5557,0.96257854,0.024372764,0.058235407
253.79288,885.8911,472.01266,1740.7029,0.9913695,0.029063793,0.072256446
261.34363,892.95435,474.6204,1740.8535,1.0203991,0.033875324,0.08606875
269.2059,900.05493,477.2918,1741.0079,1.049659,0.038807943,0.09967542
277.3617,907.1939,480.02527,1741.166,1.0791413,0.0438622,0.11307949
285.7866,914.37177,482.81912,1741.3278,1.1088382,0.049038596,0.126284
294.4529,921.5879,485.6718,1741.4934,1.1387426,0.054337595,0.13929194
303.33066,928.8411,488.58197,1741.6631,1.1688468,0.059759617,0.15210623
312.41147,936.1299,491.54807,1741.8368,1.1991441,0.065305054,0.16472971
321.69296,943.4519,494.5687,1742.0146,1.2296271,0.07097425,0.17716527
331.167,950.80505,497.64252,1742.1965,1.2602885,0.07676752,0.1894157
340.8161,958.18726,500.76807,1742.3828,1.291121,0.08268512,0.20148373
350.64297,965.596,503.94397,1742.5732,1.3221174,0.0887273,0.21337211
360.6358,973.029,507.16876,1742.7682,1.3532703,0.09489425,0.22508347
370.7855,980.4842,510.44113,1742.9675,1.3845723,0.101186134,0.23662049
381.06955,987.95844,513.75964,1743.1715,1.4160159,0.107603066,0.24798572
391.51337,995.4476,517.1228,1743.38,1.4475936,0.11414513,0.25918174
402.1279,1002.94934,520.52924,1743.5931,1.4792978,0.12081238,0.2702111
412.9083,1010.4617,523.9775,1743.8109,1.5111206,0.1276048,0.28107625
423.8351,1017.98224,527.46606,1744.0336,1.5430542,0.13452238,0.29177964
434.9117,1025.5084,530.9936,1744.261,1.5750914,0.14156504,0.3023237
446.1513,1033.0377,534.55853,1744.4934,1.6072241,0.14873268,0.31271076
457.55075,1040.5674,538.15955,1744.7306,1.639445,0.15602514,0.32294315
469.10196,1048.095,541.7951,1744.9727,1.671746,0.16344224,0.33302325
480.78946,1055.6173,545.46387,1745.22,1.7041197,0.17098376,0.34295326
492.61578,1063.1321,549.1643,1745.4722,1.7365584,0.17864944,0.35273546
504.6098,1070.6364,552.8949,1745.7296,1.7690547,0.18643898,0.36237198
516.7703,1078.1287,556.6542,1745.9921,1.8016005,0.19435206,0.37186503
529.092,1085.6067,560.4407,1746.2596,1.8341887,0.2023883,0.38121676
541.569,1093.0687,564.25305,1746.5327,1.8668116,0.21054731,0.39042926
554.2046,1100.5121,568.0898,1746.8109,1.8994622,0.21882863,0.3995046
566.9862,1107.9343,571.9495,1747.0944,1.9321331,0.2272318,0.40844482
579.9262,1115.3326,575.83075,1747.3832,1.964817,0.23575631,0.41725194
593.0117,1122.7048,579.732,1747.6775,1.9975067,0.2444016,0.42592794
606.2474,1130.0488,583.652,1747.9769,2.030195,0.25316715,0.43447477
619.70026,1137.3644,587.5891,1748.2817,2.062875,0.2620523,0.44289434
633.3131,1144.6488,591.542,1748.5922,2.09554,0.2710564,0.45118856
647.07605,1151.8989,595.5093,1748.908,2.1281834,0.28017882,0.4593593
661.0035,1159.1124,599.4897,1749.2292,2.1607983,0.28941885,0.46740842
675.096,1166.2871,603.4816,1749.5558,2.193378,0.29877576,0.47533768
689.3631,1173.422,607.4838,1749.8881,2.225916,0.3082488,0.48314893
