con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
76.5545,0.0028556,0.00027098044,105.17594,104.8756,28.29269,32.58822,13.398802,17.406914,0.028500622,0.3003404,35.18822
79.150604,0.002278755,0.00023993982,108.791756,108.54385,29.367207,33.36575,13.8519535,16.27185,0.026103474,0.24790975,35.90663
81.87058,0.0021182196,0.0002336296,112.516014,112.27768,30.380863,33.99712,14.348221,16.126772,0.02628707,0.23833363,36.48023
84.67872,0.0021032882,0.0002357123,116.34289,116.09818,31.392101,34.573174,14.8642,16.336422,0.027423447,0.24470262,36.999825
87.555046,0.002143778,0.00024090815,120.26965,120.01181,32.427853,35.12658,15.393286,16.681137,0.028973939,0.2578314,37.498055
90.493965,0.0022065665,0.00024760034,124.29179,124.01754,33.49285,35.66615,15.934874,17.09206,0.03077469,0.2742581,37.9837
93.49504,0.002278952,0.0002550082,128.40822,128.1156,34.58789,36.19643,16.490446,17.53569,0.03274515,0.2926362,38.46129
96.560455,0.0023559832,0.00026256236,132.61917,132.30672,35.711533,36.720963,17.059553,17.987818,0.034820806,0.31244856,38.93432
99.691055,0.0024357263,0.00027039013,136.92415,136.59064,36.862656,37.238,17.642157,18.453878,0.037022937,0.33350974,39.401035
102.88153,0.0025174338,0.00027857666,141.32645,140.97066,38.04987,37.74719,18.242895,18.937458,0.039370246,0.35577998,39.86104
106.14352,0.0026008217,0.00028738857,145.82715,145.44788,39.26255,38.246357,18.860247,19.44958,0.041909058,0.37927043,40.312145
109.472916,0.0026857872,0.00029674702,150.4287,150.02469,40.50726,38.735878,19.50057,19.986883,0.044639267,0.40401947,40.754692
112.86697,0.0027722912,0.00030671447,155.13123,154.70116,41.786736,39.21483,20.163393,20.551758,0.04758099,0.4300689,41.18774
116.32541,0.0028603203,0.00031720175,159.93356,159.4761,43.100086,39.68302,20.847046,21.140375,0.050731204,0.4574612,41.611076
119.848625,0.0029498676,0.000328009,164.83745,164.3512,44.44866,40.14184,21.550121,21.74447,0.054068163,0.48624864,42.026062
123.43947,0.0030409289,0.00033901754,169.84332,169.32684,45.82996,40.59163,22.269327,22.359304,0.05757986,0.51648146,42.433002
127.09647,0.0031335023,0.0003502944,174.94911,174.40092,47.243362,41.031128,23.007368,22.987614,0.0612837,0.5482035,42.830635
130.81917,0.0032275836,0.00036189752,180.15393,179.57246,48.688293,41.458992,23.766283,23.631884,0.06519726,0.58146185,43.21758
134.65045,0.0033231678,0.00037402363,185.45778,184.84148,50.121895,41.873554,24.556774,24.29994,0.06936559,0.6163074,43.59216
138.5876,0.0034202458,0.00038658944,190.85571,190.20296,51.54183,42.273716,25.385752,24.988493,0.07378281,0.6527735,43.95324
142.59035,0.0035188003,0.0003998495,196.34479,195.65388,52.98531,42.656727,26.233492,25.707552,0.078508355,0.690898,44.29807
146.65903,0.0036188103,0.00041381197,201.9249,201.19415,54.45186,43.022297,27.103643,26.45728,0.08355893,0.73072785,44.626316
150.79393,0.0037202493,0.0004283336,207.59671,206.82442,55.94188,43.371323,27.991608,27.23195,0.088920645,0.7723115,44.93887
154.991,0.0038230834,0.00044314508,213.36043,212.54472,57.45954,43.705776,28.896307,28.021002,0.09454963,0.8156947,45.237682
159.25482,0.0039272825,0.00045844822,219.2167,218.35579,59.00087,44.02389,29.821672,28.83244,0.10049951,0.860926,45.52096
163.58388,0.0040328163,0.00047410926,225.16579,224.2577,60.567524,44.326782,30.770006,29.661045,0.10675318,0.9080522,45.789818
167.9776,0.004139652,0.0004902955,231.20758,230.25046,62.15995,44.61275,31.738987,30.513426,0.11336004,0.957119,46.042515
172.43895,0.0042477595,0.0005071001,237.34344,236.33525,63.77645,44.88145,32.72907,31.393053,0.12035688,1.0081779,46.278706
176.95168,0.004357106,0.000525004,243.57408,242.5128,65.43381,45.128967,33.742943,32.31823,0.12787737,1.0612781,46.494457
181.53104,0.004467652,0.0005436935,249.90323,248.78673,67.12043,45.358418,34.78044,33.276745,0.13587075,1.1164806,46.69286
186.1802,0.004579354,0.00056308584,256.3324,255.15852,68.83464,45.57046,35.840977,34.265446,0.14433713,1.1738367,46.874557
190.9018,0.0046921675,0.00058316864,262.86234,261.6289,70.57456,45.765263,36.928307,35.28378,0.15329309,1.2333941,47.03971
195.68889,0.0048060506,0.0006039576,269.4941,268.1989,72.34803,45.942657,38.04149,36.33237,0.16276303,1.2952023,47.188126
200.54265,0.004920964,0.00062555406,276.22644,274.86713,74.152534,46.10155,39.17665,37.414955,0.17279457,1.3593004,47.3187
205.46991,0.005036867,0.0006480209,283.05984,281.63412,75.9817,46.241566,40.332775,38.533726,0.18342869,1.4257349,47.431038
210.4684,0.0051537147,0.0006711971,289.99582,288.50128,77.83923,46.36395,41.513958,39.682793,0.19464435,1.4945557,47.526375
215.53758,0.005271464,0.00069514266,297.03424,295.46844,79.72545,46.46816,42.720955,40.864388,0.20648117,1.5658053,47.604156
220.67798,0.0053900694,0.0007198093,304.17502,302.5355,81.63974,46.554543,43.95329,42.07675,0.218948,1.6395243,47.66471
225.88942,0.005509488,0.0007453078,311.41858,309.70282,83.58257,46.622242,45.21386,43.32397,0.2321027,1.7157569,47.70717
231.17227,0.0056296736,0.0007717171,318.76523,316.9707,85.5538,46.670685,46.50222,44.608864,0.24599658,1.7945442,47.73094
236.52403,0.0057505807,0.00079890445,326.21375,324.33783,87.554695,46.70063,47.814304,45.92675,0.2606136,1.8759183,47.736782
241.94803,0.00587216,0.0008268505,333.7674,331.8075,89.5851,46.71277,49.152836,47.276985,0.27597576,1.9599357,47.725357
247.44571,0.005994363,0.00085555663,341.42685,339.38016,91.644104,46.707035,50.518536,48.6598,0.29211,2.0466366,47.6966
253.01625,0.006117145,0.0008849491,349.1926,347.05655,93.73319,46.68412,51.913048,50.072704,0.3090177,2.136062,47.651184
258.66248,0.0062404573,0.0009147912,357.0647,354.83646,95.84934,46.64543,53.348083,51.507797,0.32663968,2.228247,47.590508
264.37674,0.006364255,0.00094550056,365.04037,362.7172,97.99749,46.587906,54.810993,52.9797,0.34514588,2.32321,47.511494
270.15814,0.0064884974,0.0009773297,373.11856,370.6976,100.177155,46.50962,56.2893,54.497257,0.36465985,2.420979,47.412212
276.01797,0.0066131344,0.0010100371,381.29984,378.7782,102.37765,46.412395,57.79988,56.052265,0.38512698,2.521587,47.294464
281.9582,0.0067381165,0.0010434036,389.58652,386.96146,104.59952,46.298172,59.341682,57.637333,0.40649605,2.6250794,47.160187
287.9668,0.006863388,0.0010778536,397.98132,395.2498,106.85702,46.164238,60.911106,59.26726,0.4289656,2.7315001,47.006653
294.04922,0.0069888984,0.001113363,406.48572,403.64484,109.146225,46.011234,62.516544,60.941193,0.45256618,2.8408875,46.834488
300.2086,0.007114602,0.001149696,415.09818,412.14493,111.46247,45.84049,64.157524,62.65142,0.47723666,2.9532583,46.645023
306.44226,0.0072404416,0.0011872257,423.81824,420.7496,113.80785,45.649673,65.83137,64.4106,0.5031679,3.0686314,46.435913
312.7521,0.007366367,0.0012255792,432.647,429.46,116.18154,45.44128,67.536575,66.206566,0.53024316,3.1870368,46.20965
319.13806,0.0074923267,0.0012647731,441.58484,438.27637,118.58397,45.215523,69.273674,68.04002,0.55850464,3.308498,45.966415
325.60043,0.0076182666,0.0013047351,450.6324,447.19937,121.01548,44.97281,71.045166,69.90901,0.5879559,3.4330375,45.70663
332.1391,0.0077441377,0.0013454458,459.78946,456.2288,123.47585,44.71354,72.851906,71.813126,0.61862177,3.560673,45.43067
338.74753,0.0078698965,0.0013877007,469.0559,465.36447,125.97115,44.432613,74.68355,73.7788,0.6509092,3.6914213,45.133442
345.43564,0.007995491,0.0014308284,478.43866,474.61334,128.4986,44.13514,76.5485,75.78424,0.68456364,3.825352,44.820034
352.20505,0.008120869,0.0014747938,487.93863,483.97614,131.05733,43.821552,78.448685,77.82855,0.71960884,3.9624858,44.490875
359.05676,0.008245977,0.0015196452,497.55588,493.45303,133.64642,43.491478,80.384674,79.91385,0.7561084,4.1028337,44.14558
365.98877,0.008370767,0.0015652797,507.28918,503.0428,136.26663,43.14559,82.35622,82.03714,0.7940494,4.2463994,43.78482
372.99695,0.008495196,0.0016119431,517.1391,512.74585,138.92245,42.78265,84.3619,84.20659,0.83359885,4.393198,43.407345
380.0717,0.008619214,0.0016604783,527.10724,522.564,141.6246,42.397633,86.41411,86.449684,0.8752501,4.54325,43.008125
387.21832,0.008742775,0.0017096458,537.1934,532.4968,144.36815,41.998196,88.50918,88.72707,0.9184105,4.696561,42.594803
394.44543,0.008865816,0.001759566,547.39716,542.54407,147.14398,41.58384,90.64228,91.04284,0.9631815,4.8531227,42.166885
401.75235,0.00898829,0.0018101926,557.71875,552.7058,149.953,41.154873,92.81103,93.396164,1.0095783,5.012938,41.724663
409.1426,0.009110156,0.0018614627,568.1572,562.9812,152.79063,40.711708,95.01593,95.78552,1.0576034,5.176001,41.268543
416.61383,0.009231367,0.0019131686,578.7113,573.369,155.65823,40.25559,97.25916,98.204895,1.1071723,5.3422966,40.799767
424.1668,0.009351881,0.0019665826,589.3824,583.8706,158.55554,39.77928,99.550995,100.69496,1.1590693,5.5118346,40.31108
