kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.95595,0.99112123,0.1155379,0.65796477,-0.52320606,-0.11890253,-0.010566393,-0.18593152
235.25243,0.99868065,0.111116506,0.6630294,-0.5236574,-0.11871914,-0.009420196,-0.18737346
241.92532,1.0040164,0.11084211,0.6662736,-0.5239369,-0.11906371,-0.009673664,-0.18925495
248.94829,1.0081651,0.112090275,0.6687285,-0.52431124,-0.11930262,-0.010219919,-0.19093594
256.28394,1.0116942,0.11391818,0.6708848,-0.52500004,-0.11957952,-0.010739485,-0.19238439
263.91977,1.0147877,0.116026096,0.67287236,-0.5259034,-0.119861744,-0.011213498,-0.19381224
271.85165,1.0174981,0.11826823,0.67470765,-0.5268115,-0.12014643,-0.011708023,-0.19516736
280.07278,1.0198191,0.120541066,0.6764961,-0.5278519,-0.12039196,-0.012107769,-0.1964793
288.60153,1.0217723,0.12286706,0.6783736,-0.5289323,-0.12064918,-0.012313539,-0.19784242
297.441,1.0235006,0.12526043,0.68030566,-0.53004557,-0.121143386,-0.012552941,-0.19918041
306.60486,1.024806,0.1277656,0.68220943,-0.530937,-0.12175133,-0.012725914,-0.2004636
316.09006,1.0258077,0.13036706,0.6842064,-0.53199965,-0.12248861,-0.0129516665,-0.20191656
325.88657,1.0265887,0.133073,0.6863432,-0.5332642,-0.12318454,-0.013195733,-0.20346282
336.00238,1.0271785,0.13586636,0.68857485,-0.5346395,-0.1238775,-0.0134424735,-0.20498411
346.43817,1.0275944,0.13871285,0.6908265,-0.5360976,-0.12463676,-0.013701448,-0.20659919
357.17755,1.0278103,0.14159316,0.69305366,-0.53768134,-0.12538825,-0.013887869,-0.20817292
368.2118,1.0278732,0.14451793,0.69529444,-0.53936756,-0.12617838,-0.014062839,-0.20979276
379.53824,1.0278095,0.14749649,0.6975627,-0.54109305,-0.12698375,-0.014273534,-0.21147315
391.12085,1.0269827,0.15055864,0.69974124,-0.54281056,-0.12776141,-0.014489772,-0.21306369
402.93692,1.0255051,0.15369053,0.7020126,-0.54465973,-0.12855195,-0.014752815,-0.2146945
414.98312,1.0240194,0.15692954,0.704386,-0.54665995,-0.12927063,-0.014926018,-0.21631901
427.2611,1.0225296,0.16027458,0.7067819,-0.54872143,-0.12993611,-0.01515797,-0.21792632
439.77,1.0210408,0.16370249,0.7091799,-0.5507685,-0.1305326,-0.015356803,-0.21947205
452.51166,1.0196135,0.16717276,0.7116058,-0.552821,-0.13116914,-0.015509712,-0.22104244
465.48416,1.0181904,0.17071484,0.71404546,-0.55488193,-0.13181859,-0.015676277,-0.22264053
478.6852,1.0167985,0.17430872,0.7165572,-0.55700713,-0.13249967,-0.0158624,-0.22424462
492.12122,1.015448,0.17797813,0.71913177,-0.5591808,-0.13321607,-0.016025806,-0.2258333
505.79404,1.014108,0.18173471,0.7217369,-0.5613859,-0.13395171,-0.016176851,-0.22743438
519.72766,1.0129697,0.1856431,0.7245586,-0.5635876,-0.13473338,-0.016329871,-0.22900485
533.9294,1.0118532,0.18965718,0.72739863,-0.5657833,-0.13553134,-0.016522618,-0.23059262
548.4022,1.0107282,0.19376424,0.7302547,-0.5680029,-0.136337,-0.016715506,-0.23217322
563.1508,1.0095742,0.1979612,0.73316294,-0.5702142,-0.13718255,-0.016926492,-0.2337366
