kx,MATx,MUOx,MLOx,TATx,TOCx,zetax,chix,taux
223.00183,851.0,628.0,1323.0,1.1,0.27,1.0,0.0,0.0
228.87358,856.7398,630.85046,1324.0083,0.98263633,0.2776443,1.0,0.0,0.014888048
235.17172,862.55664,633.7995,1325.0369,0.9473915,0.28413728,1.0,0.0,0.029554427
241.84616,868.4136,636.84406,1326.0864,0.9440465,0.29024583,1.0,0.0,0.044002473
248.87039,874.2999,639.97906,1327.1576,0.95308995,0.29626736,1.0,0.0,0.058235407
256.20712,880.2146,643.19946,1328.2511,0.9669466,0.3023167,1.0,0.0,0.072256446
263.84384,886.1581,646.5005,1329.3677,0.9826788,0.30843794,1.0,0.0,0.08606875
271.77676,892.13226,649.8775,1330.5078,0.9991486,0.3146477,1.0,0.0,0.09967542
279.99866,898.1392,653.32666,1331.6721,1.0159171,0.32095197,1.0,0.0,0.11307949
288.52805,904.1803,656.8444,1332.861,1.0328162,0.32735258,1.0,0.0,0.126284
297.3682,910.2565,660.4275,1334.075,1.0497824,0.3338499,1.0,0.0,0.13929194
306.53247,916.36774,664.07294,1335.3146,1.0667921,0.34044364,1.0,0.0,0.15210623
316.01822,922.51404,667.77795,1336.5802,1.0838356,0.34713334,1.0,0.0,0.16472971
325.81497,928.6949,671.54016,1337.8722,1.1009088,0.35391837,1.0,0.0,0.17716527
335.93118,934.9097,675.35706,1339.1909,1.1180089,0.36079815,1.0,0.0,0.1894157
346.36728,941.15796,679.22656,1340.5371,1.135134,0.36777204,1.0,0.0,0.20148373
357.10687,947.43915,683.14667,1341.9106,1.1522826,0.37483945,1.0,0.0,0.21337211
368.1412,953.7524,687.11523,1343.3119,1.1694529,0.3819997,1.0,0.0,0.22508347
379.4679,960.0963,691.1306,1344.7413,1.1866431,0.38925213,1.0,0.0,0.23662049
391.0506,966.469,695.191,1346.1993,1.2038507,0.3965961,1.0,0.0,0.24798572
402.86676,972.86816,699.2945,1347.686,1.2210721,0.40403095,1.0,0.0,0.25918174
414.9131,979.2909,703.4395,1349.2017,1.238303,0.41155592,1.0,0.0,0.2702111
427.19107,985.7343,707.6243,1350.7466,1.2555385,0.41917026,1.0,0.0,0.28107625
439.69995,992.19543,711.847,1352.321,1.2727728,0.4268732,1.0,0.0,0.29177964
452.44138,998.6723,716.1059,1353.9252,1.290001,0.43466395,1.0,0.0,0.3023237
465.414,1005.1621,720.3992,1355.5592,1.3072186,0.4425416,1.0,0.0,0.31271076
478.61505,1011.6626,724.725,1357.2234,1.3244206,0.4505053,1.0,0.0,0.32294315
492.051,1018.1711,729.08154,1358.9177,1.3416028,0.45855406,1.0,0.0,0.33302325
505.72394,1024.6844,733.4672,1360.6426,1.358761,0.46668693,1.0,0.0,0.34295326
519.6573,1031.199,737.88007,1362.398,1.3758899,0.47490293,1.0,0.0,0.35273546
533.85895,1037.7115,742.31824,1364.184,1.3929839,0.48320103,1.0,0.0,0.36237198
548.33167,1044.2195,746.7797,1366.0007,1.4100378,0.49158013,1.0,0.0,0.37186503
563.0802,1050.7201,751.2627,1367.8485,1.4270467,0.5000391,1.0,0.0,0.38121676
578.09357,1057.2107,755.76526,1369.7273,1.4440063,0.50857687,1.0,0.0,0.39042926
593.3728,1063.688,760.2855,1371.6371,1.4609126,0.5171922,1.0,0.0,0.3995046
608.9251,1070.1494,764.82135,1373.578,1.4777609,0.52588385,1.0,0.0,0.40844482
624.74805,1076.5918,769.371,1375.5499,1.4945471,0.5346506,1.0,0.0,0.41725194
640.8378,1083.0126,773.93243,1377.553,1.511267,0.5434913,1.0,0.0,0.42592794
657.19586,1089.4089,778.5038,1379.5872,1.5279164,0.5524045,1.0,0.0,0.43447477
673.82086,1095.778,783.0829,1381.6526,1.5444918,0.561389,1.0,0.0,0.44289434
690.7022,1102.1165,787.6679,1383.7491,1.560989,0.5704434,1.0,0.0,0.45118856
707.86017,1108.4215,792.25684,1385.8767,1.577404,0.5795663,1.0,0.0,0.4593593
725.29736,1114.6907,796.84766,1388.0352,1.5937328,0.58875644,1.0,0.0,0.46740842
743.015,1120.9211,801.4384,1390.2245,1.6099722,0.5980123,1.0,0.0,0.47533768
761.01044,1127.1105,806.0271,1392.4445,1.6261185,0.60733247,1.0,0.0,0.48314893
779.2619,1133.2567,810.61176,1394.6953,1.6421688,0.6167155,1.0,0.0,0.49084383
797.7598,1139.3566,815.1904,1396.9766,1.6581204,0.6261599,1.0,0.0,0.49842417
816.5044,1145.4071,819.7612,1399.2883,1.67397,0.6356643,1.0,0.0,0.5058917
835.51117,1151.4052,824.322,1401.6302,1.6897142,0.6452271,1.0,0.0,0.513248
854.79535,1157.3481,828.87103,1404.0023,1.705349,0.65484685,1.0,0.0,0.5204948
874.3674,1163.2335,833.40607,1406.4043,1.7208712,0.66452193,1.0,0.0,0.5276337
894.21265,1169.0581,837.9253,1408.8359,1.7362782,0.6742509,1.0,0.0,0.53466636
914.3262,1174.8192,842.4267,1411.297,1.751566,0.6840322,1.0,0.0,0.54159427
934.713,1180.514,846.9083,1413.7872,1.766732,0.6938642,1.0,0.0,0.54841906
955.3734,1186.1401,851.36804,1416.3065,1.7817729,0.7037453,1.0,0.0,0.5551423
976.30914,1191.6948,855.80396,1418.8545,1.7966856,0.71367395,1.0,0.0,0.5617654
997.5179,1197.1761,860.2141,1421.4308,1.8114674,0.72364855,1.0,0.0,0.5682899
1018.9967,1202.5817,864.5965,1424.0352,1.8261166,0.7336674,1.0,0.0,0.5747172
1040.7915,1207.9082,868.9492,1426.6675,1.8406303,0.7437288,1.0,0.0,0.58104885
1062.9083,1213.1532,873.2704,1429.3271,1.8550057,0.7538313,1.0,0.0,0.58728623
1085.3448,1218.3151,877.55804,1432.0139,1.8692399,0.7639731,1.0,0.0,0.59343076
1108.0914,1223.3912,881.8103,1434.7273,1.8833308,0.77415264,1.0,0.0,0.59948385
1131.1501,1228.3801,886.0252,1437.4672,1.8972768,0.78436816,1.0,0.0,0.60544676
1154.528,1233.2789,890.20105,1440.2332,1.9110755,0.79461807,1.0,0.0,0.6113209
1178.2258,1238.0842,894.33594,1443.0245,1.9247248,0.80490065,1.0,0.0,0.6171076
1202.2354,1242.7944,898.428,1445.8411,1.9382212,0.8152142,1.0,0.0,0.62280816
1226.5579,1247.408,902.4753,1448.6824,1.9515629,0.8255571,1.0,0.0,0.6284238
1251.184,1251.923,906.4762,1451.548,1.9647483,0.83592767,1.0,0.0,0.63395584
1276.1041,1256.3379,910.4289,1454.4374,1.9777756,0.8463241,1.0,0.0,0.6394055
1301.3241,1260.6516,914.33167,1457.3501,1.9906435,0.85674477,1.0,0.0,0.6447741
1326.8494,1264.8606,918.1829,1460.2859,2.0033512,0.86718804,1.0,0.0,0.65006274
1352.6831,1268.9628,921.98083,1463.2441,2.0158958,0.8776521,1.0,0.0,0.65527266
1378.828,1272.9565,925.72394,1466.2241,2.0282748,0.8881353,1.0,0.0,0.66040504
1405.2915,1276.8405,929.41034,1469.2255,2.0404866,0.898636,1.0,0.0,0.665461
1432.0785,1280.613,933.0386,1472.2476,2.0525296,0.90915245,1.0,0.0,0.6704416
1459.1926,1284.2732,936.60706,1475.2902,2.0644026,0.919683,1.0,0.0,0.6753481
1486.6278,1287.8188,940.1142,1478.3524,2.0761046,0.93022585,1.0,0.0,0.6801815
1514.3895,1291.2493,943.5586,1481.4337,2.087634,0.9407794,1.0,0.0,0.68494296
1542.4915,1294.5619,946.9387,1484.5338,2.09899,0.9513419,1.0,0.0,0.6896336
1570.9442,1297.7567,950.2531,1487.6519,2.1101704,0.9619118,1.0,0.0,0.6942544
1599.7484,1300.833,953.5005,1490.7872,2.1211748,0.9724873,1.0,0.0,0.6988064
1628.907,1303.7898,956.6795,1493.9396,2.1320024,0.9830667,1.0,0.0,0.70329064
1658.4121,1306.626,959.7889,1497.108,2.1426528,0.9936484,1.0,0.0,0.7077081
1688.2616,1309.3394,962.82733,1500.2921,2.153125,1.0042307,1.0,0.0,0.71205986
1718.4558,1311.9276,965.79376,1503.4911,2.1634176,1.014812,1.0,0.0,0.71634674
1748.966,1314.3861,968.6869,1506.7043,2.1735275,1.0253907,1.0,0.0,0.72056985
1779.7708,1316.7091,971.50507,1509.9313,2.1834502,1.0359651,1.0,0.0,0.7247301
1810.8961,1318.896,974.2468,1513.1713,2.1919262,1.0465333,1.0,0.0,0.7288283
1842.3738,1320.9529,976.9105,1516.4236,2.1997156,1.0570824,1.0,0.0,0.7328656
1874.2217,1322.88,979.4951,1519.6875,2.207118,1.0676061,1.0,0.0,0.7368427
1906.4518,1324.678,981.99945,1522.9624,2.21425,1.078101,1.0,0.0,0.74076056
1939.0566,1326.3474,984.4228,1526.2477,2.2211576,1.088565,1.0,0.0,0.7446202
1972.0287,1327.8888,986.7643,1529.5425,2.2278585,1.0989963,1.0,0.0,0.7484224
2005.3712,1329.3046,989.0232,1532.8461,2.234361,1.1093931,1.0,0.0,0.75216794
2039.0918,1330.5956,991.1989,1536.1581,2.2406693,1.1197541,1.0,0.0,0.7558577
2073.2014,1331.7621,993.29095,1539.4774,2.2467866,1.1300777,1.0,0.0,0.7594925
2107.7043,1332.8036,995.2991,1542.8035,2.2527142,1.1403626,1.0,0.0,0.76307327
2142.5603,1333.7197,997.2228,1546.1356,2.2584517,1.1506075,1.0,0.0,0.76660067
2177.7566,1334.5106,999.06165,1549.4733,2.263999,1.1608107,1.0,0.0,0.77007556
2213.3022,1335.1772,1000.81525,1552.8154,2.2693555,1.170971,1.0,0.0,0.7734987
2249.2332,1335.7186,1002.48346,1556.1615,2.2745223,1.1810871,1.0,0.0,0.7768709
2285.5835,1336.1338,1004.06586,1559.5107,2.2794983,1.1911576,1.0,0.0,0.78019285
2322.3604,1336.4243,1005.5622,1562.8624,2.2842822,1.2011812,1.0,0.0,0.7834654
2359.5737,1336.5922,1006.97205,1566.2158,2.2888746,1.2111566,1.0,0.0,0.78668916
2397.217,1336.6388,1008.29553,1569.5704,2.2932773,1.2210823,1.0,0.0,0.78986496
2435.2812,1336.5659,1009.5325,1572.9253,2.2974918,1.2309572,1.0,0.0,0.7929935
2473.7766,1336.3751,1010.6828,1576.2799,2.3015199,1.2407799,1.0,0.0,0.79607546
2512.7104,1336.068,1011.7469,1579.6333,2.3053627,1.2505493,1.0,0.0,0.79911155
2552.0923,1335.6464,1012.72473,1582.9851,2.3090224,1.2602642,1.0,0.0,0.80210245
2591.931,1335.1118,1013.6168,1586.3345,2.3125012,1.2699232,1.0,0.0,0.8050488
2632.2368,1334.4663,1014.4233,1589.6805,2.3157997,1.2795254,1.0,0.0,0.8079513
2672.972,1333.7145,1015.14484,1593.0228,2.318921,1.2890695,1.0,0.0,0.81081057
2714.127,1332.8611,1015.78186,1596.3605,2.3218684,1.2985545,1.0,0.0,0.81362724
2755.7007,1331.9099,1016.3354,1599.693,2.3246472,1.3079792,1.0,0.0,0.81640196
2797.7017,1330.8622,1016.8063,1603.0195,2.3272626,1.3173428,1.0,0.0,0.8191354
2840.1316,1329.7196,1017.19556,1606.3396,2.3297172,1.3266441,1.0,0.0,0.8218281
2883.0012,1328.4841,1017.5042,1609.6523,2.3320124,1.3358824,1.0,0.0,0.8244808
2926.321,1327.1576,1017.73334,1612.9575,2.3341508,1.3450568,1.0,0.0,0.82709396
2970.074,1325.7412,1017.88403,1616.254,2.3361335,1.3541663,1.0,0.0,0.8296682
3014.317,1324.2368,1017.9572,1619.5414,2.3379624,1.3632102,1.0,0.0,0.83220416
3059.0823,1322.6476,1017.95386,1622.8192,2.3396392,1.3721877,1.0,0.0,0.8347023
3104.396,1320.9773,1017.8752,1626.0867,2.3411665,1.3810979,1.0,0.0,0.83716327
3150.2393,1319.2294,1017.7226,1629.3433,2.3425484,1.3899401,1.0,0.0,0.83958757
