con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.330376,0.0028556,105.17594,104.8756,27.530424,33.53239,10.900136,0.3003404,36.132393
79.58654,0.002278755,108.61512,108.367615,28.76586,34.08693,11.158032,0.24750724,36.62781
82.03185,0.002119728,112.19806,111.96023,29.912092,34.60472,11.456404,0.23782934,37.087833
84.624664,0.0021064286,115.903496,115.659355,31.01709,35.116547,11.775771,0.24414241,37.543198
87.32753,0.0021484124,119.72064,119.46343,32.116898,35.63011,12.108807,0.2572093,38.001583
90.13532,0.0022125323,123.64189,123.36833,33.21259,36.14781,12.450894,0.2735617,38.46537
93.032585,0.0022861143,127.662506,127.37067,34.316235,36.669235,12.800857,0.2918511,38.934093
96.0262,0.0023642478,131.77908,131.46753,35.418045,37.192135,13.158084,0.3115584,39.40549
99.127174,0.002445039,135.98846,135.65598,36.50406,37.71215,13.526105,0.33249712,39.875187
102.2989,0.00252777,140.28102,139.92642,37.60129,38.225666,13.904314,0.35459816,40.33952
105.55127,0.0026121764,144.65332,144.27548,38.696384,38.72995,14.288925,0.37786,40.79574
108.87038,0.002698165,149.10585,148.70354,39.8037,39.223763,14.67598,0.40231216,41.24258
112.25536,0.0027857025,153.63593,153.20795,40.921425,39.708206,15.067704,0.42798397,41.68112
115.69896,0.002874779,158.24324,157.78831,42.056423,40.1816,15.465047,0.45491433,42.109657
119.196526,0.0029653904,162.92795,162.44481,43.213516,40.645092,15.871756,0.483145,42.52931
122.76064,0.0030575334,167.68962,167.1769,44.379597,41.09742,16.286196,0.5127166,42.938793
126.381584,0.0031512044,172.52534,171.98169,45.56148,41.53678,16.705786,0.54366267,43.33629
130.07056,0.0032463972,177.4354,176.85936,46.7481,41.962337,17.132027,0.5760258,43.72093
133.826,0.0033430993,182.42067,181.81082,47.94197,42.375248,17.563412,0.60985047,44.09385
137.64447,0.003441296,187.48169,186.8365,49.14693,42.775406,17.999592,0.6451799,44.45493
141.49632,0.0035409702,192.61877,191.93672,50.392933,43.161762,18.440042,0.6820574,44.803104
145.40295,0.003642104,197.83124,197.1107,51.657917,43.53862,18.8974,0.7205219,45.142635
149.4186,0.0037446776,203.11687,202.35628,52.88544,43.90509,19.379606,0.76060724,45.472637
153.47339,0.0038486768,208.47575,207.6734,54.14522,44.255657,19.866568,0.8023558,45.78756
157.57617,0.0039540874,213.90654,213.06075,55.42714,44.590706,20.358854,0.8458051,46.087776
161.75032,0.0040608826,219.40933,218.51834,56.707783,44.910606,20.8612,0.8909955,46.373642
165.99014,0.004169035,224.98569,224.0477,57.994446,45.21652,21.37251,0.93797314,46.646282
170.27608,0.004278512,230.63629,229.6495,59.30729,45.50694,21.891537,0.98678017,46.904194
174.60216,0.004389286,236.36041,235.32294,60.65149,45.782036,22.41779,1.0374534,47.147526
178.98865,0.0045013255,242.15889,241.06885,62.00755,46.04224,22.950727,1.090036,47.37668
183.43108,0.0046145977,248.0325,246.88795,63.380783,46.287434,23.489452,1.1445702,47.591534
187.93088,0.0047290684,253.98138,252.78029,64.769684,46.517475,24.034357,1.2010953,47.79192
192.50801,0.0048447046,260.00674,258.7471,66.15557,46.7327,24.584824,1.2596558,47.978165
197.1256,0.004961473,266.10904,264.78876,67.575676,46.93156,25.145681,1.3202928,48.148712
201.79373,0.005079338,272.28787,270.90485,69.01945,47.11431,25.716413,1.383042,48.303787
206.5179,0.0051982626,278.5432,277.0953,70.48134,47.28177,26.29391,1.4479408,48.444195
211.31062,0.005318209,284.87534,283.36032,71.94907,47.435658,26.878279,1.5150266,48.57165
216.15974,0.0054391385,291.28848,289.70413,73.439125,47.577114,27.46775,1.5843586,48.687283
221.05469,0.005561018,297.7866,296.1306,74.96588,47.709156,28.058048,1.6559967,48.79408
225.97891,0.0056838165,304.36853,302.63852,76.54467,47.82985,28.655176,1.7299749,48.890106
231.00368,0.0058075087,311.0345,309.22815,78.104576,47.94239,29.263308,1.8063353,48.97854
236.09926,0.005932073,317.7851,315.9,79.67571,48.042633,29.881855,1.8851244,49.05522
241.24017,0.0060574887,324.62006,322.65372,81.283195,48.12874,30.508768,1.9663824,49.1183
246.40976,0.006183728,331.54202,329.49182,82.94629,48.20412,31.141218,2.0501657,49.17119
251.65163,0.0063107577,338.55045,336.41394,84.62087,48.267612,31.781628,2.1365097,49.21269
256.9751,0.0064385505,345.6457,343.42023,86.29787,48.318317,32.43185,2.2254572,49.241905
262.35416,0.006567074,352.82816,350.5111,88.00362,48.355286,33.084724,2.3170485,49.257874
267.80612,0.0066962955,360.09778,357.68646,89.720726,48.380344,33.745678,2.4113212,49.262413
273.34216,0.0068261814,367.45493,364.94662,91.43837,48.394142,34.41752,2.5083141,49.256153
278.9617,0.006956696,374.89716,372.2891,93.154724,48.395794,35.09908,2.6080453,49.238205
284.62277,0.0070878095,382.42145,379.71094,94.90852,48.383408,35.785637,2.7105305,49.20666
290.36978,0.007219491,390.0271,387.21133,96.65476,48.357143,36.47888,2.815797,49.16168
296.15738,0.0073516993,397.71594,394.79205,98.44066,48.320744,37.18184,2.923888,49.106987
302.01056,0.0074844,405.4885,402.4536,100.24172,48.27721,37.895035,3.034838,49.045574
307.9326,0.007617561,413.3468,410.19812,102.05678,48.225266,38.617874,3.1486943,48.976162
313.90347,0.00775116,421.29294,418.02744,103.90762,48.16271,39.348392,3.265509,48.896526
319.9468,0.007885172,429.32553,425.94022,105.76926,48.0886,40.087036,3.3853056,48.805737
326.03702,0.008019574,437.44492,433.9368,107.66773,48.006454,40.835163,3.5081222,48.707283
332.20853,0.008154335,445.6524,442.01837,109.569786,47.914948,41.596027,3.633999,48.599842
338.45148,0.008289428,453.94763,450.18463,111.48484,47.811848,42.36681,3.7629662,48.48117
344.76266,0.008424831,462.3312,458.43616,113.41658,47.696724,43.143032,3.895062,48.35083
351.13248,0.0085605085,470.80014,466.7698,115.37155,47.56783,43.918713,4.0302887,48.207058
357.54764,0.008696427,479.3625,475.19376,117.37074,47.41844,44.7104,4.168741,48.043133
364.0593,0.008832549,488.0127,483.7023,119.357666,47.257183,45.521065,4.3103957,47.867676
370.63388,0.008968815,496.75006,492.29477,121.36546,47.084454,46.34221,4.45526,47.681065
377.2839,0.009105183,505.57486,500.97147,123.38157,46.899204,47.17217,4.6033516,47.48225
