kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,628.0,1323.0,1.1,0.27,0.0
228.15514,856.9974,630.85046,1324.0083,0.98263633,0.2776443,0.014888048
234.02248,862.9971,633.8134,1325.0369,0.94772875,0.28413728,0.029554427
240.44075,868.9969,636.8807,1326.0865,0.944751,0.29024896,0.044002473
247.32535,875.0025,640.0445,1327.1581,0.9541196,0.29627693,0.058235407
254.61754,881.0209,643.298,1328.2521,0.9682529,0.30233568,0.072256446
262.27954,887.05884,646.6351,1329.3694,0.98422176,0.30846876,0.08606875
270.28366,893.1224,650.0506,1330.5106,1.0008996,0.31469244,0.09967542
278.60532,899.216,653.5403,1331.6763,1.0178573,0.3210124,0.11307949
287.176,905.3426,657.1001,1332.867,1.0349343,0.32743037,0.126284
295.96933,911.5036,660.7267,1334.0831,1.0520715,0.33394647,0.13929194
304.98657,917.69946,664.417,1335.3251,1.0692475,0.3405604,0.15210623
314.20706,923.93005,668.1681,1336.5935,1.086454,0.34727162,0.16472971
323.62668,930.1952,671.9774,1337.8887,1.1036878,0.3540795,0.17716527
333.2442,936.49426,675.8425,1339.211,1.1209466,0.36098343,0.1894157
343.0543,942.8267,679.7611,1340.561,1.1382289,0.3679827,0.20148373
353.03516,949.19165,683.7311,1341.9388,1.1555328,0.37507665,0.21337211
363.1868,955.5874,687.7505,1343.345,1.1728563,0.38226467,0.22508347
373.51273,962.012,691.81714,1344.7795,1.1901964,0.389546,0.23662049
384.01453,968.4641,695.9294,1346.243,1.2075497,0.39692,0.24798572
394.69272,974.94196,700.08527,1347.7356,1.2249126,0.4043859,0.25918174
405.53992,981.44354,704.283,1349.2576,1.2422819,0.41194296,0.2702111
416.53912,987.968,708.5207,1350.8092,1.2596538,0.41959038,0.28107625
427.68896,994.5143,712.7968,1352.3907,1.2770259,0.42732736,0.29177964
438.9783,1001.0796,717.1097,1354.0024,1.2943959,0.43515307,0.3023237
450.40494,1007.6612,721.45764,1355.6445,1.3117595,0.4430667,0.31271076
461.97824,1014.25696,725.83905,1357.3171,1.3291125,0.45106733,0.32294315
473.70062,1020.8646,730.25226,1359.0204,1.3464504,0.45915413,0.33302325
485.565,1027.4816,734.6956,1360.7545,1.3637694,0.46732613,0.34295326
497.5751,1034.1055,739.1675,1362.5195,1.3810652,0.47558236,0.35273546
509.73434,1040.7339,743.6661,1364.3158,1.398334,0.48392186,0.36237198
522.04144,1047.3646,748.1898,1366.1432,1.4155715,0.4923436,0.37186503
534.50275,1053.9951,752.73706,1368.0021,1.4327738,0.5008465,0.38121676
547.1199,1060.6232,757.306,1369.8923,1.4499376,0.5094296,0.39042926
559.8878,1067.2462,761.89514,1371.8141,1.4670589,0.5180917,0.3995046
572.8041,1073.8613,766.5026,1373.7676,1.484134,0.5268317,0.40844482
585.86914,1080.4666,771.12683,1375.7528,1.501159,0.53564847,0.41725194
599.1102,1087.0597,775.766,1377.7695,1.5181303,0.5445408,0.42592794
612.5522,1093.6394,780.4185,1379.8182,1.5350451,0.5535076,0.43447477
626.18506,1100.2047,785.08276,1381.8986,1.551901,0.56254756,0.44289434
640.0096,1106.7544,789.75714,1384.0105,1.5686965,0.5716595,0.45118856
654.027,1113.2878,794.4401,1386.1544,1.5854306,0.5808422,0.4593593
668.23425,1119.8032,799.13043,1388.3298,1.6021025,0.59009445,0.46740842
682.6469,1126.2985,803.82654,1390.5369,1.6187105,0.59941506,0.47533768
697.2606,1132.7721,808.5269,1392.7755,1.6352522,0.6088028,0.48314893
712.07574,1139.2225,813.2303,1395.0458,1.6517261,0.6182564,0.49084383
727.0932,1145.6478,817.93524,1397.3474,1.6681302,0.62777466,0.49842417
742.31067,1152.0461,822.6404,1399.6805,1.6844623,0.63735634,0.5058917
757.72894,1158.4153,827.34436,1402.0449,1.7007203,0.6470002,0.513248
773.3301,1164.7543,832.0458,1404.4404,1.716902,0.65670496,0.5204948
789.092,1171.0612,836.74335,1406.8671,1.7330058,0.6664694,0.5276337
805.0077,1177.3337,841.43567,1409.3246,1.7490301,0.6762922,0.53466636
821.088,1183.5698,846.12146,1411.8127,1.7649722,0.6861721,0.54159427
837.33514,1189.7684,850.7992,1414.3318,1.7808301,0.69610786,0.54841906
853.76215,1195.9291,855.4676,1416.8812,1.7966024,0.7060982,0.5551423
870.38043,1202.0509,860.1255,1419.461,1.8122885,0.71614176,0.5617654
887.1805,1208.1327,864.77167,1422.0708,1.827888,0.72623724,0.5682899
904.1636,1214.1729,869.4049,1424.7106,1.8434002,0.73638344,0.5747172
921.3352,1220.1705,874.024,1427.3801,1.858824,0.7465791,0.58104885
938.6927,1226.1246,878.6278,1430.0791,1.8741584,0.7568229,0.58728623
956.23865,1232.0334,883.2153,1432.8075,1.8894029,0.76711357,0.59343076
973.9521,1237.8951,887.7852,1435.5647,1.9045562,0.77744985,0.59948385
991.88696,1243.7074,892.3365,1438.3511,1.9196162,0.7878305,0.60544676
1010.00134,1249.4662,896.868,1441.1659,1.9345814,0.79825425,0.6113209
1028.2924,1255.1699,901.37836,1444.009,1.9494474,0.8087198,0.6171076
1046.7588,1260.8169,905.8663,1446.8804,1.964212,0.8192259,0.62280816
1065.399,1266.4058,910.3305,1449.7794,1.9788731,0.8297712,0.6284238
1084.2223,1271.9349,914.7698,1452.706,1.9934297,0.84035444,0.63395584
1103.2286,1277.4034,919.18286,1455.66,2.0078802,0.85097426,0.6394055
1122.3998,1282.81,923.5684,1458.6407,2.0222237,0.86162937,0.6447741
1141.7335,1288.1537,927.92535,1461.6481,2.0364594,0.87231845,0.65006274
1161.2339,1293.4327,932.25244,1464.6819,2.0505867,0.8830402,0.65527266
1180.9364,1298.6461,936.54865,1467.7415,2.0646038,0.8937933,0.66040504
1200.8582,1303.7947,940.8127,1470.8269,2.0785108,0.9045765,0.665461
1221.0005,1308.878,945.04364,1473.9375,2.092308,0.91538846,0.6704416
1241.3649,1313.8958,949.24054,1477.0731,2.105996,0.9262279,0.6753481
1261.9507,1318.8469,953.4025,1480.2333,2.119575,0.9370936,0.6801815
1282.7517,1323.7312,957.52856,1483.4177,2.1330452,0.9479843,0.68494296
1303.7574,1328.5472,961.6179,1486.626,2.1464062,0.95889866,0.6896336
1324.9601,1333.2937,965.66974,1489.8578,2.1596575,0.96983564,0.6942544
1346.3568,1337.9694,969.6832,1493.1127,2.1727984,0.9807939,0.6988064
1367.9479,1342.5731,973.6575,1496.3904,2.1858277,0.9917723,0.70329064
1389.7373,1347.1044,977.59155,1499.6904,2.1987443,1.0027696,0.7077081
1411.7211,1351.562,981.48474,1503.0123,2.2115483,1.0137845,0.71205986
1433.9022,1355.9456,985.33606,1506.3557,2.2242384,1.0248159,0.71634674
1456.3116,1360.2556,989.14484,1509.7203,2.236815,1.0358627,0.72056985
1478.9193,1364.4921,992.9104,1513.1056,2.2492778,1.0469234,0.7247301
1501.7229,1368.6542,996.632,1516.5112,2.2603755,1.0579971,0.7288283
1524.7323,1372.7432,1000.3091,1519.9365,2.2708702,1.069071,0.7328656
1547.9368,1376.7595,1003.94104,1523.3815,2.2810593,1.0801396,0.7368427
1571.3308,1380.7026,1007.52747,1526.8453,2.291058,1.0912001,0.74076056
1594.9144,1384.5714,1011.06775,1530.3276,2.3009112,1.1022508,0.7446202
1618.7101,1388.3651,1014.56165,1533.8282,2.3106358,1.1132904,0.7484224
1642.7562,1392.0837,1018.00836,1537.3464,2.320238,1.124318,0.75216794
1667.0858,1395.7284,1021.4077,1540.8818,2.3297203,1.1353323,0.7558577
1691.6569,1399.2986,1024.7592,1544.4342,2.3390849,1.1463326,0.7594925
1716.4114,1402.7938,1028.0625,1548.0028,2.348333,1.1573179,0.76307327
1741.3271,1406.2134,1031.3171,1551.5874,2.357464,1.1682872,0.76660067
1766.4093,1409.5569,1034.5228,1555.1875,2.3664784,1.1792395,0.77007556
1791.6697,1412.8232,1037.6791,1558.8025,2.3753755,1.190174,0.7734987
1817.1119,1416.0117,1040.7856,1562.432,2.3841548,1.2010896,0.7768709
1842.7373,1419.1222,1043.842,1566.0758,2.3928158,1.2119857,0.78019285
1868.5677,1422.1552,1046.8478,1569.7332,2.4013584,1.2228612,0.7834654
1894.6361,1425.1101,1049.8027,1573.4037,2.409783,1.2337152,0.78668916
1920.9385,1427.9867,1052.7064,1577.087,2.4180894,1.2445468,0.78986496
1947.4547,1430.784,1055.5586,1580.7826,2.426278,1.2553551,0.7929935
1974.1875,1433.5027,1058.3586,1584.4901,2.434348,1.2661394,0.79607546
2001.1145,1436.1423,1061.1067,1588.2087,2.4422996,1.2768985,0.79911155
2028.2771,1438.7039,1063.802,1591.9385,2.450133,1.2876319,0.80210245
2055.6265,1441.1882,1066.4446,1595.6786,2.457849,1.2983385,0.8050488
2083.174,1443.5941,1069.0343,1599.4287,2.4654489,1.3090177,0.8079513
2110.9666,1445.9196,1071.5709,1603.1881,2.4729323,1.3196684,0.81081057
2139.0808,1448.1642,1074.0538,1606.9567,2.4802978,1.33029,0.81362724
2167.4097,1450.3289,1076.4832,1610.734,2.487544,1.3408816,0.81640196
2195.919,1452.4108,1078.8583,1614.5193,2.494672,1.3514423,0.8191354
