kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
229.79436,1.0152233,0.205179,2.1766467,-1.7304178,-0.25648242,-0.055802785,-0.29928207
236.82669,1.0241987,0.21256419,2.1828272,-1.7325159,-0.25517774,-0.05688238,-0.30025578
244.19118,1.032872,0.21934262,2.1895838,-1.7359239,-0.25432265,-0.057627376,-0.30105644
251.87038,1.0411254,0.22545725,2.1970267,-1.7409077,-0.25386357,-0.057560995,-0.30250153
259.83127,1.0462077,0.23187208,2.203219,-1.7447041,-0.2535227,-0.057211492,-0.30406594
268.01535,1.0501223,0.23826945,2.2103474,-1.7490226,-0.2531196,-0.05735538,-0.30525225
276.4285,1.0533005,0.24462126,2.2179723,-1.7535561,-0.25306043,-0.05752659,-0.30631143
285.1189,1.0564603,0.2509994,2.2260237,-1.7582949,-0.25313017,-0.05776794,-0.30685732
294.09842,1.0589609,0.25740087,2.234353,-1.762732,-0.25323033,-0.05775453,-0.3076167
303.3318,1.0613981,0.26363665,2.2434106,-1.7675056,-0.25364792,-0.057711475,-0.30877286
312.80106,1.0636398,0.26978046,2.2533004,-1.7731203,-0.2545387,-0.05814053,-0.310555
322.50217,1.0654961,0.27573988,2.2640479,-1.7797211,-0.25586814,-0.058929425,-0.3130736
332.4397,1.067479,0.2817645,2.2750733,-1.7864984,-0.25730747,-0.05982002,-0.3155648
342.6132,1.0677067,0.288365,2.2860904,-1.7926425,-0.25859615,-0.061028004,-0.31846437
353.01724,1.0678815,0.29520407,2.2971003,-1.7991537,-0.2600202,-0.06232881,-0.32178587
363.64868,1.0681822,0.30213255,2.308192,-1.8061215,-0.2613945,-0.06371781,-0.32539198
374.52304,1.06878,0.30918208,2.3195066,-1.8137863,-0.26275682,-0.0649716,-0.32854724
385.64462,1.0693345,0.3165467,2.3311322,-1.8218559,-0.26426962,-0.06608758,-0.33181792
397.02957,1.0698944,0.32397223,2.3430777,-1.8301748,-0.26602796,-0.06721371,-0.3354033
408.67526,1.0704741,0.33150977,2.3553503,-1.8388075,-0.26791197,-0.068367444,-0.3390054
420.57877,1.0709314,0.33923277,2.3675,-1.8473625,-0.26967466,-0.06950902,-0.34231424
432.72424,1.0712159,0.347252,2.3795538,-1.8557618,-0.27122474,-0.07059509,-0.345066
445.10376,1.0715562,0.35547343,2.3918314,-1.8642366,-0.27279592,-0.07157828,-0.34759587
457.71317,1.0719892,0.36391753,2.404163,-1.8728073,-0.27433574,-0.07255138,-0.35000888
470.55328,1.0724554,0.37246212,2.4164817,-1.881502,-0.27589482,-0.07353882,-0.352437
483.6377,1.0730085,0.38119552,2.4288456,-1.8903717,-0.27746713,-0.074467175,-0.3548885
496.96252,1.0734836,0.39015454,2.4413316,-1.8994595,-0.27908123,-0.075342424,-0.35731456
510.5397,1.0740497,0.39934465,2.4540257,-1.908721,-0.28079885,-0.07621124,-0.3596731
524.3597,1.0746102,0.4086927,2.4668088,-1.9180502,-0.2826265,-0.07698711,-0.36195058
538.4225,1.0751463,0.41820535,2.4795942,-1.9274251,-0.28447422,-0.0777476,-0.36418572
552.7289,1.0756559,0.42783993,2.492448,-1.9370583,-0.2863724,-0.078432314,-0.36624002
567.2781,1.0759587,0.43751106,2.505489,-1.9466442,-0.28832278,-0.07917075,-0.3682682
582.0721,1.0762532,0.44729254,2.518579,-1.9561784,-0.2902657,-0.07996977,-0.37032354
597.1025,1.0764483,0.4573624,2.5318608,-1.965799,-0.29251415,-0.08098815,-0.37289017
612.36786,1.076623,0.46759343,2.5451438,-1.9754597,-0.2948121,-0.08201634,-0.37547946
627.85583,1.0768368,0.477996,2.558436,-1.9851586,-0.2971431,-0.08297695,-0.3780121
643.55963,1.0771037,0.48857707,2.5717068,-1.9948702,-0.29949766,-0.08383168,-0.3804171
659.50006,1.0775228,0.49932212,2.5849502,-2.004464,-0.30178106,-0.08454385,-0.3827053
675.69257,1.077955,0.51015913,2.598416,-2.0142212,-0.30409813,-0.08535023,-0.38510966
692.1129,1.078377,0.5211065,2.6120272,-2.0242217,-0.30643982,-0.08636065,-0.3877436
708.76746,1.0788167,0.53220356,2.625609,-2.0342553,-0.3088045,-0.08734006,-0.39034516
725.67505,1.0792537,0.54331535,2.6392314,-2.0443797,-0.3112042,-0.088318735,-0.39294282
742.84,1.0795763,0.5543362,2.6531613,-2.054714,-0.3134913,-0.089267015,-0.39573124
760.21484,1.0799284,0.5657343,2.6672397,-2.0651357,-0.31587848,-0.09036601,-0.39880824
777.7972,1.0802478,0.5772612,2.681269,-2.0754943,-0.3183084,-0.09147692,-0.40186447
795.61005,1.0805494,0.58880097,2.695275,-2.0857172,-0.32079118,-0.09245715,-0.40484297
813.6602,1.080846,0.6004593,2.7091894,-2.095964,-0.32314765,-0.09315966,-0.40769815
831.9324,1.0811597,0.612261,2.7230117,-2.106148,-0.32551283,-0.0938408,-0.4105088
850.4486,1.0814615,0.6244305,2.736627,-2.1162894,-0.32769573,-0.09447,-0.41328377
869.18024,1.0817662,0.63722396,2.7499177,-2.1262152,-0.32957906,-0.095075704,-0.41604653
888.0853,1.0820429,0.6503079,2.7632806,-2.1361477,-0.33155596,-0.095751405,-0.4188174
907.1411,1.0823131,0.6634559,2.7767785,-2.146324,-0.33382687,-0.09689135,-0.42202282
926.3956,1.0825901,0.67637545,2.7904441,-2.1566808,-0.33637452,-0.09805742,-0.4252443
945.8951,1.083184,0.6894889,2.8039067,-2.1667738,-0.33897275,-0.09916975,-0.4281201
965.5862,1.0837961,0.70258254,2.817309,-2.1768444,-0.3414946,-0.10011675,-0.4310807
985.4589,1.0844133,0.7157383,2.830601,-2.1868799,-0.3440227,-0.101014905,-0.43400094
1005.51996,1.0850588,0.7288328,2.8437386,-2.1968708,-0.34659976,-0.10182231,-0.43677258
1025.7881,1.0857407,0.7421121,2.8567736,-2.2068694,-0.3491589,-0.10255571,-0.43942446
1046.2916,1.0865209,0.755842,2.8701012,-2.2170298,-0.35188657,-0.10332191,-0.44197598
1067.0762,1.0874094,0.76963675,2.8835824,-2.22706,-0.35468203,-0.104042426,-0.4444924
1088.1382,1.0882674,0.7833754,2.8969252,-2.237048,-0.3575334,-0.10471715,-0.44689697
1109.5225,1.0890415,0.79707634,2.9100862,-2.2468834,-0.3605042,-0.10546669,-0.4491724
1131.2207,1.0896748,0.8108716,2.923088,-2.2566438,-0.363477,-0.10610223,-0.451389
1153.2311,1.0903249,0.8246579,2.9359336,-2.2663624,-0.3664345,-0.10663982,-0.45353985
1175.524,1.0910648,0.8383966,2.948645,-2.2760453,-0.36936742,-0.10710772,-0.45560658
1198.1055,1.0917524,0.8520899,2.9612365,-2.2856863,-0.37228197,-0.10756472,-0.45761657
1220.9714,1.0922452,0.86562836,2.973779,-2.2953742,-0.37522504,-0.108101316,-0.4596048
1244.1117,1.0926468,0.87860286,2.98623,-2.3051271,-0.3782348,-0.10868216,-0.46154225
1267.504,1.0931274,0.89150244,2.9985247,-2.3148525,-0.38130963,-0.10921683,-0.46342096
1291.1482,1.0937767,0.9044386,3.0106733,-2.3245628,-0.3844988,-0.109701015,-0.46523756
1315.079,1.0943934,0.9172448,3.0227184,-2.3341653,-0.387777,-0.11023422,-0.46727514
1339.3232,1.0949113,0.9298645,3.0345802,-2.3436358,-0.3910163,-0.11074092,-0.46926117
1363.8748,1.0954803,0.9424863,3.0463805,-2.352926,-0.39414695,-0.11112442,-0.4712488
1388.7423,1.0960705,0.9551122,3.0580719,-2.3622,-0.39726108,-0.11148474,-0.47317973
1413.9689,1.0966454,0.96750665,3.069639,-2.3715107,-0.40037972,-0.11193686,-0.475124
1439.626,1.0968999,0.97801626,3.0812976,-2.380969,-0.4034722,-0.11231015,-0.4768854
1465.6489,1.0966688,0.9850215,3.0933452,-2.390546,-0.406443,-0.11278314,-0.4785509
1492.0889,1.0960962,0.98780036,3.1051526,-2.400019,-0.40961584,-0.1131229,-0.47942513
1518.9926,1.0954436,0.9902233,3.1168385,-2.4094431,-0.4127964,-0.11346471,-0.48019624
1546.3605,1.0946558,0.9922955,3.1285446,-2.4188607,-0.41606635,-0.113841936,-0.4808622
1574.176,1.0938572,0.9939669,3.1401825,-2.4283328,-0.41932923,-0.114195846,-0.4813649
1602.4009,1.093004,0.99516535,3.1518042,-2.437939,-0.42261353,-0.11451993,-0.48176166
1631.0526,1.0921456,0.9962132,3.163396,-2.447539,-0.42589033,-0.114801444,-0.4821051
1660.1279,1.0912697,0.9972259,3.174919,-2.4570682,-0.42912963,-0.115051396,-0.48238158
1689.6215,1.0903834,0.99821186,3.186371,-2.4664953,-0.43232006,-0.115262024,-0.48256952
1719.5286,1.0894682,0.99919045,3.1977894,-2.4758928,-0.43548435,-0.11545507,-0.4827308
1749.8478,1.0885329,1.0,3.2091632,-2.4852588,-0.43862486,-0.11563497,-0.48286998
1780.568,1.0876094,1.0,3.2204144,-2.4946587,-0.44178477,-0.11580788,-0.48285553
1811.686,1.0866941,1.0,3.2315156,-2.5040252,-0.44495207,-0.11596047,-0.4827416
1843.1992,1.0857937,1.0,3.2425268,-2.5134194,-0.44816703,-0.11611139,-0.4825459
1875.1055,1.0848935,1.0,3.253404,-2.5227551,-0.45137656,-0.11623626,-0.48230404
1907.4031,1.0839947,1.0,3.2641568,-2.5320246,-0.4545741,-0.11634145,-0.48201922
1940.105,1.0831114,1.0,3.2748237,-2.5412707,-0.45776653,-0.11643817,-0.48169443
1973.2925,1.0822356,1.0,3.2854176,-2.5505497,-0.460963,-0.11649614,-0.48131633
2006.9586,1.0813462,1.0,3.295922,-2.5597787,-0.46413475,-0.11653009,-0.48090127
2041.0948,1.0804441,1.0,3.3063436,-2.5689595,-0.46728122,-0.11654297,-0.48045495
2075.6973,1.0795302,0.9996854,3.3166864,-2.5780911,-0.47040218,-0.116537355,-0.47998172
2110.7622,1.0785353,0.9992024,3.3269672,-2.5872,-0.47353485,-0.11652774,-0.4795258
2146.2908,1.0775163,0.99872446,3.3371844,-2.5962837,-0.47666755,-0.116518185,-0.47907555
2182.2786,1.0764914,0.99822974,3.347337,-2.6053197,-0.47977358,-0.11649553,-0.47860765
2218.7205,1.0754614,0.9977243,3.3574257,-2.6143076,-0.4828529,-0.11646121,-0.47812456
2255.6128,1.0744272,0.9972134,3.3674543,-2.6232479,-0.48590642,-0.11641635,-0.47762862
2292.9497,1.0733893,0.99670136,3.3774228,-2.6321404,-0.48893422,-0.116362914,-0.47712192
2330.731,1.0723548,0.99619246,3.387342,-2.6409872,-0.4919392,-0.11630164,-0.47660422
2368.9575,1.0713406,0.99569315,3.397232,-2.6497934,-0.4949276,-0.11623419,-0.4760709
2407.6255,1.0703328,0.99522096,3.4070961,-2.658566,-0.4979177,-0.11616476,-0.47550055
2446.7056,1.0693407,0.9949577,3.4171004,-2.6673152,-0.5010917,-0.116152786,-0.47472733
