kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
227.35324,0.9877046,0.18149492,1.7250025,-1.263087,-0.1541194,-0.061385687,-0.32945228
232.36357,0.99247295,0.1857276,1.7159368,-1.251646,-0.15192041,-0.06356503,-0.3288514
237.98308,0.9961109,0.18957055,1.706823,-1.2406561,-0.14997388,-0.06580115,-0.32833806
244.13182,0.9989344,0.19338234,1.698047,-1.2304647,-0.14801618,-0.067702934,-0.32782692
250.68959,1.0009902,0.1972985,1.6896776,-1.2206293,-0.1461738,-0.06884807,-0.32748333
257.5761,1.0022504,0.20129067,1.6815745,-1.2115767,-0.14440246,-0.070334,-0.32737088
264.71985,1.0028762,0.205023,1.67411,-1.2028949,-0.14264104,-0.07155295,-0.32727396
272.14957,1.0033727,0.20941803,1.6665881,-1.1944001,-0.14077151,-0.07284726,-0.327048
279.8275,1.0037571,0.2137722,1.6592841,-1.1863017,-0.13914998,-0.07411514,-0.32692283
287.74332,1.0041953,0.21822794,1.6525306,-1.1788582,-0.1376631,-0.075328946,-0.32710826
295.88077,1.0042584,0.22287878,1.6464665,-1.1717963,-0.13605994,-0.076284036,-0.3272206
304.2564,1.004269,0.22764067,1.6408195,-1.165186,-0.13455921,-0.077167265,-0.32710314
312.831,1.004347,0.23238613,1.6357265,-1.1590071,-0.13319701,-0.078128226,-0.32719243
321.5915,1.004336,0.23716982,1.630957,-1.1530174,-0.13197282,-0.07912133,-0.32729238
330.5573,1.0043001,0.24193665,1.6266152,-1.1473527,-0.13088867,-0.08012671,-0.32746878
339.73096,1.0042014,0.24671973,1.6224307,-1.1419051,-0.12983766,-0.08112851,-0.32762682
349.0898,1.0040091,0.25151667,1.6184498,-1.1366811,-0.12887105,-0.08208145,-0.327807
358.61182,1.0037478,0.25633678,1.6146365,-1.1316829,-0.12791085,-0.083004385,-0.32808083
368.30148,1.003477,0.26126277,1.6109859,-1.1270134,-0.12688555,-0.08399051,-0.32850543
378.13092,1.0030615,0.2662644,1.6075059,-1.1224978,-0.12589365,-0.085121185,-0.32885218
388.08643,1.0027821,0.2712748,1.6041374,-1.1181043,-0.12493687,-0.08618571,-0.3292421
398.17172,1.002508,0.27634314,1.6008393,-1.1138434,-0.1240622,-0.08720337,-0.32960653
408.38763,1.0022438,0.28148663,1.5976098,-1.1096913,-0.123208754,-0.08821353,-0.3300321
418.71994,1.0020679,0.2866841,1.5943757,-1.1056976,-0.12231586,-0.089113116,-0.3304432
429.17703,1.0018921,0.29188913,1.5914936,-1.1020604,-0.12151133,-0.090051085,-0.33089814
439.7585,1.0017105,0.29718095,1.5885763,-1.0984329,-0.12065422,-0.09103439,-0.33129773
450.46152,1.001575,0.30249813,1.5857594,-1.0949771,-0.11959078,-0.091888264,-0.3314885
461.3001,1.001391,0.30778158,1.5830933,-1.0918412,-0.11861163,-0.092640854,-0.3317913
472.30518,1.0013672,0.3131594,1.5807334,-1.0887864,-0.11784874,-0.09332131,-0.33216622
483.49368,1.0012863,0.31864765,1.5787007,-1.0859869,-0.11720232,-0.09400891,-0.33259875
494.8566,1.0011718,0.32421833,1.5766946,-1.0832651,-0.11655695,-0.09472785,-0.33302373
506.39395,1.001027,0.32992944,1.574723,-1.0805957,-0.11583968,-0.09566653,-0.33352107
518.1159,1.0011722,0.33559793,1.573065,-1.0780479,-0.115179636,-0.0966305,-0.3340263
530.0516,1.0012794,0.34138086,1.571428,-1.0754788,-0.11455135,-0.09754802,-0.33441353
542.1909,1.0013336,0.3472623,1.5697836,-1.0729024,-0.11396636,-0.09841754,-0.33473235
554.51154,1.0013118,0.3530401,1.5681871,-1.0704266,-0.11325044,-0.09927581,-0.3350838
567.0214,1.0014206,0.3588094,1.5666367,-1.0680217,-0.11263501,-0.100069106,-0.3355575
579.72437,1.001532,0.36460152,1.565162,-1.0657629,-0.11211752,-0.100816496,-0.33604383
592.62445,1.0018015,0.37041396,1.5637945,-1.0635709,-0.111545414,-0.1015049,-0.33647126
605.6745,1.0016383,0.3763119,1.562579,-1.0612652,-0.110960975,-0.10239719,-0.33689678
618.8516,1.0015128,0.3823802,1.5613151,-1.0588858,-0.11038746,-0.103202745,-0.33723333
632.1469,1.0013653,0.38851917,1.5600624,-1.0564601,-0.10981042,-0.10392118,-0.3374793
645.5131,1.0013037,0.3947623,1.5588228,-1.0542028,-0.10916198,-0.104618184,-0.33774894
658.9584,1.0012459,0.4011143,1.5575804,-1.051969,-0.10844959,-0.10534901,-0.33804792
672.53033,1.0011864,0.40749753,1.5565517,-1.0499922,-0.10786837,-0.10614369,-0.33852607
686.23694,1.001205,0.413863,1.5556291,-1.0482044,-0.10738259,-0.10689443,-0.33894232
700.09393,1.001267,0.42009372,1.5550838,-1.046699,-0.10707635,-0.10744886,-0.33924222
714.10565,1.0013322,0.42637783,1.5545448,-1.0452129,-0.1067722,-0.1079997,-0.33952302
728.2696,1.0014036,0.4327819,1.5539315,-1.043761,-0.10631281,-0.108620346,-0.33973217
742.5799,1.0014784,0.43925542,1.5532788,-1.0423405,-0.10580896,-0.10924724,-0.3399432
757.03186,1.0015773,0.4457791,1.5526316,-1.0409228,-0.10529401,-0.109894745,-0.340104
771.6321,1.0015714,0.45255795,1.5521902,-1.0397108,-0.104879655,-0.110618435,-0.34024966
786.39185,1.0015583,0.4594643,1.5517954,-1.0385865,-0.104484744,-0.11133338,-0.34041935
801.30054,1.0016103,0.46646154,1.5514207,-1.0374329,-0.10411825,-0.11204276,-0.340513
816.34894,1.0016975,0.47352877,1.5510666,-1.0362337,-0.103782736,-0.112740345,-0.34052992
831.5438,1.0017623,0.48072976,1.550738,-1.0350101,-0.103428066,-0.11333789,-0.3405446
846.8921,1.0018375,0.48803976,1.5504616,-1.0337815,-0.103076085,-0.11392136,-0.34056395
862.4418,1.001886,0.49545342,1.55017,-1.0323989,-0.102803305,-0.11441155,-0.3406429
878.1863,1.0020182,0.50285184,1.5498798,-1.0310158,-0.10251088,-0.1149216,-0.34074938
894.11835,1.0021651,0.5102199,1.5495995,-1.0297327,-0.10220039,-0.11550048,-0.3408118
910.2605,1.0023123,0.51739866,1.5494112,-1.0286516,-0.101863936,-0.116132654,-0.3408813
926.63043,1.0024896,0.52468663,1.5494584,-1.0277022,-0.10158226,-0.1167588,-0.34111357
943.2132,1.0025148,0.53192437,1.5495963,-1.026833,-0.10126671,-0.1173684,-0.34129143
959.96326,1.0024996,0.53939486,1.5495006,-1.0258101,-0.10081243,-0.11794077,-0.34131247
976.8437,1.0025136,0.5470937,1.5493622,-1.0247462,-0.10028025,-0.118500955,-0.34135532
993.87994,1.0026267,0.5549738,1.5492033,-1.02361,-0.099819526,-0.11901212,-0.34141016
1011.06696,1.0027616,0.5628329,1.5491055,-1.0225317,-0.099342786,-0.11946572,-0.34135893
1028.3436,1.00267,0.5707027,1.5490848,-1.0214665,-0.09877667,-0.11995225,-0.3412947
1045.713,1.002554,0.5786296,1.549045,-1.0203738,-0.09819622,-0.12044936,-0.3412124
1063.216,1.0025502,0.58664834,1.5489973,-1.0192426,-0.09760332,-0.120859444,-0.34108755
1080.8452,1.0025748,0.5947073,1.548929,-1.0180972,-0.097048566,-0.12126563,-0.3409369
1098.5939,1.0026759,0.602897,1.5488826,-1.016922,-0.096578486,-0.12170386,-0.3407809
1116.4788,1.0028466,0.6111613,1.5488169,-1.0157298,-0.09614553,-0.122115955,-0.3405862
1134.5354,1.0028912,0.61938274,1.5487622,-1.0146005,-0.095713764,-0.12255372,-0.34033388
1152.7776,1.0029253,0.6276728,1.5486765,-1.0134875,-0.095282726,-0.123015806,-0.34001756
1171.2609,1.0030465,0.6360154,1.5485902,-1.0123876,-0.09487857,-0.1233645,-0.33966583
1190.002,1.00326,0.6445702,1.5483769,-1.0114597,-0.09445212,-0.12393654,-0.33947557
1208.9652,1.0033246,0.65318865,1.5481342,-1.0104388,-0.094061196,-0.124429196,-0.33927715
1228.1456,1.0034524,0.66213715,1.5477953,-1.0094898,-0.093773626,-0.124922924,-0.33887458
1247.5361,1.0035644,0.6712556,1.5474347,-1.0084678,-0.09341711,-0.12529625,-0.33843377
1267.0386,1.0036757,0.6807705,1.5470499,-1.0073438,-0.092951216,-0.1257376,-0.33796608
1286.6604,1.0037134,0.69068515,1.5465982,-1.006094,-0.09253677,-0.1262562,-0.3377424
1306.4274,1.0037279,0.7006253,1.5461094,-1.0048381,-0.09209519,-0.12671682,-0.33746925
1326.3734,1.0037819,0.710613,1.5455097,-1.0035069,-0.0916655,-0.12713459,-0.33717528
1346.5066,1.0038979,0.72070014,1.5448307,-1.0021244,-0.09128042,-0.12756751,-0.3368719
1366.8416,1.0039792,0.73076725,1.5440996,-1.0007203,-0.09089161,-0.12798944,-0.33654833
1387.3911,1.0040544,0.7408946,1.5433046,-0.99929214,-0.09049735,-0.12837106,-0.33617812
1408.209,1.0041873,0.750869,1.5423857,-0.9978486,-0.090101115,-0.12864223,-0.33569935
1429.2714,1.0043184,0.7606415,1.5414374,-0.99647444,-0.08972277,-0.12890822,-0.3351374
1450.5466,1.0043491,0.7705004,1.5404655,-0.99525136,-0.089394875,-0.12917648,-0.33475164
1472.0674,1.0044072,0.7802049,1.5394255,-0.99407,-0.08904941,-0.1293525,-0.3343045
1493.8872,1.0044947,0.7898154,1.5384102,-0.99290687,-0.088763386,-0.12950215,-0.33378762
1516.0092,1.0046257,0.7993864,1.53734,-0.99172974,-0.08850346,-0.12961483,-0.33321846
1538.4287,1.0047483,0.8088769,1.5362285,-0.99056786,-0.08824732,-0.12974179,-0.3326163
1561.1614,1.0048592,0.818287,1.535048,-0.98945576,-0.08799014,-0.1298733,-0.33197704
1584.2152,1.0049477,0.82766145,1.5338148,-0.98839724,-0.08778658,-0.12997073,-0.33138406
1607.5424,1.00497,0.83685225,1.5325642,-0.9873882,-0.08758908,-0.1300452,-0.33075422
1631.119,1.0049537,0.84591925,1.5313284,-0.98640805,-0.08741281,-0.13011448,-0.33010525
1654.9381,1.0049063,0.8549825,1.5300548,-0.9853423,-0.087227635,-0.13012445,-0.32941437
1679.0298,1.0049058,0.86403185,1.52876,-0.9842806,-0.087033324,-0.13008577,-0.32872438
1703.3844,1.0049071,0.8730342,1.5274367,-0.98321635,-0.08683886,-0.13004017,-0.32801563
1727.9808,1.0048722,0.881909,1.5261146,-0.9821211,-0.08665571,-0.12999018,-0.32727802
1752.8235,1.0048467,0.8907204,1.5247595,-0.9810023,-0.08647303,-0.12994936,-0.32652897
1777.9172,1.0047867,0.89953995,1.5233661,-0.97981524,-0.08628809,-0.1299419,-0.32579935
1803.2742,1.0046854,0.90821725,1.5220256,-0.9786845,-0.086080685,-0.12989545,-0.32510722
1828.9277,1.0045758,0.91673315,1.5207474,-0.97760755,-0.08586402,-0.12981504,-0.324454
1854.8712,1.0044838,0.92514735,1.5194911,-0.97658455,-0.08566075,-0.12975623,-0.32378286
1881.087,1.00439,0.93322754,1.518321,-0.97570455,-0.08543686,-0.12970567,-0.3231107
1907.6298,1.0042818,0.9410572,1.5172657,-0.9749419,-0.085206255,-0.12958905,-0.32257745
1934.4935,1.0041761,0.9488542,1.5162771,-0.974233,-0.08494586,-0.1293998,-0.32211
1961.6632,1.0040659,0.9565886,1.5152858,-0.97355646,-0.084691964,-0.1292094,-0.3216192
1989.0269,1.0038972,0.96415406,1.5143453,-0.9729361,-0.08442673,-0.12890947,-0.32099015
2016.5688,1.0037651,0.97123027,1.5136187,-0.9724523,-0.08420877,-0.1285358,-0.32030955
2044.2767,1.0036286,0.9780456,1.5129651,-0.9719896,-0.08403222,-0.12817562,-0.31973234
2072.142,1.0034167,0.9841522,1.5124274,-0.9717652,-0.08397502,-0.12773888,-0.31942773
2100.1863,1.0032177,0.9893739,1.5120888,-0.97181624,-0.08393827,-0.12722199,-0.31926328
2128.1636,1.0028672,0.9926606,1.5125113,-0.9722845,-0.08369402,-0.12695691,-0.31913328
2156.163,1.0024711,0.99531883,1.5131263,-0.9727344,-0.08340246,-0.1267148,-0.31892225
2184.2397,1.0021473,0.9971464,1.5139257,-0.97335297,-0.08311804,-0.12649618,-0.3186531
2212.3447,1.0017675,0.99836206,1.5147898,-0.97400826,-0.082856044,-0.12613183,-0.31826612
2240.5454,1.0015373,0.9991419,1.515805,-0.9745629,-0.082673974,-0.12591161,-0.31802723
2268.8813,1.0013651,0.9995453,1.5169497,-0.97503424,-0.08252374,-0.12584856,-0.31790668
2297.3628,1.0012085,0.99992144,1.5181072,-0.9754957,-0.08238889,-0.12578456,-0.31777218
2325.9827,1.0009989,1.0,1.5193307,-0.9759758,-0.0822741,-0.1257374,-0.317644
2354.7246,1.0007093,1.0,1.5206174,-0.97649944,-0.08215354,-0.1257102,-0.31751376
2383.5996,1.0004252,1.0,1.5219029,-0.9770213,-0.082034215,-0.1256837,-0.31738645
2412.6143,1.0001681,1.0,1.5231876,-0.9775565,-0.08193205,-0.12568986,-0.317271
2441.7747,0.9999275,1.0,1.524471,-0.97809917,-0.08184096,-0.12571634,-0.31716374
2471.0864,0.9996881,1.0,1.5257525,-0.9786394,-0.081751235,-0.12574421,-0.3170592
2500.5483,0.99945647,1.0,1.5270276,-0.9791673,-0.08165488,-0.12576202,-0.31695795
2530.1384,0.9992583,1.0,1.5282825,-0.97964406,-0.08152559,-0.1257305,-0.31686303
2559.8826,0.9990518,1.0,1.5295637,-0.98011845,-0.08142837,-0.1257227,-0.31677535
2589.7756,0.99886,1.0,1.5308592,-0.98058003,-0.08132375,-0.12572613,-0.3166804
2619.8335,0.99869305,1.0,1.5321782,-0.9810444,-0.08121203,-0.12575336,-0.31660032
2650.0564,0.998525,1.0,1.5334939,-0.9815076,-0.081102,-0.12578171,-0.31652263
2680.4263,0.9983274,1.0,1.5348083,-0.9819854,-0.08103574,-0.12583695,-0.31644553
2710.9543,0.9981191,1.0,1.5361369,-0.982476,-0.08097635,-0.12588814,-0.3163843
2741.706,0.99787045,1.0,1.5375516,-0.9830763,-0.080942534,-0.12588407,-0.3164049
2772.6975,0.99769235,1.0,1.539011,-0.98374766,-0.080925025,-0.1258816,-0.31643927
2803.9578,0.99767387,1.0,1.5405476,-0.9844939,-0.08092102,-0.12592253,-0.31646866
2835.469,0.99764806,1.0,1.542077,-0.985239,-0.080918245,-0.12595974,-0.31649438
