con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.9192,0.0028556,0.00054676906,105.17594,104.8756,26.89907,31.268734,26.951973,26.812153,0.057506952,0.3003404,33.868732
80.46549,0.0031533004,0.00059357315,108.596405,108.25396,27.724205,31.570663,27.634075,28.412663,0.064459905,0.3424371,34.111546
83.07431,0.003419871,0.00063610624,112.13302,111.74954,28.604141,31.896404,28.367693,29.870388,0.071328506,0.38348043,34.379513
85.85659,0.0036613524,0.0006781499,115.777596,115.35369,29.418873,32.22714,29.201925,31.302834,0.07851457,0.4239026,34.65379
88.71365,0.0038831127,0.00071832835,119.523636,119.0595,30.260326,32.56479,30.075289,32.67444,0.08585721,0.46412373,34.936264
91.63243,0.004089687,0.00075636426,123.371605,122.86704,31.141678,32.909172,30.988073,33.981575,0.09331387,0.5045513,35.226727
94.61226,0.004284808,0.0007934394,127.31987,126.77432,32.061485,33.254536,31.939245,35.260025,0.101020604,0.54554117,35.519394
97.65138,0.00447149,0.0008298014,131.3667,130.7793,33.019386,33.59865,32.938385,36.51841,0.109008275,0.5874049,35.81201
100.7742,0.004652139,0.0008659006,135.51653,134.8861,33.995087,33.94017,33.99609,37.770317,0.11734384,0.6304417,36.103207
104.010506,0.0048286514,0.0009028142,139.76881,139.09393,34.95784,34.274323,35.120434,39.045414,0.12618527,0.6748949,36.388172
107.306435,0.0050025173,0.0009394788,144.11382,143.3929,35.95174,34.60199,36.28165,40.315765,0.13539189,0.7209319,36.667778
110.672226,0.0051748916,0.0009768016,148.55275,147.78401,36.967422,34.91949,37.496002,41.606136,0.14510658,0.7687444,36.938305
114.100235,0.0053466726,0.0010166353,153.0838,152.26532,38.01029,35.219402,38.750668,42.96494,0.1556304,0.81848896,37.192318
117.587326,0.0055185435,0.001058329,157.71092,156.84059,39.08727,35.504517,40.042397,44.374588,0.16691005,0.8703346,37.43257
121.138336,0.0056910175,0.0011009062,162.43196,161.50757,40.191414,35.777344,41.371193,45.80974,0.17882234,0.9244031,37.66156
124.76539,0.0058644754,0.0011442216,167.24489,166.2641,41.308464,36.03738,42.740128,47.26706,0.19136523,0.9808035,37.87875
128.45891,0.006039203,0.0011885372,172.1511,171.11145,42.44918,36.283825,44.146236,48.75335,0.20460798,1.0396553,38.083332
132.20833,0.0062154057,0.0012346924,177.15082,176.04976,43.624077,36.513172,45.58548,50.290028,0.21872678,1.1010643,38.271763
136.02605,0.006393233,0.0012820674,182.24583,181.08067,44.82247,36.727837,47.062172,51.861286,0.23365144,1.16514,38.446438
139.91083,0.006572777,0.0013305167,187.43538,186.20341,46.04484,36.92761,48.575718,53.463856,0.2493859,1.2319709,38.607136
143.8697,0.0067540966,0.0013788554,192.71924,191.4176,47.283962,37.116405,50.129562,55.068737,0.265732,1.3016443,38.757744
147.91501,0.0069372216,0.0014296218,198.0971,196.72287,48.526623,37.284992,51.73645,56.73871,0.28320393,1.3742435,38.88901
152.02939,0.0071221646,0.0014823179,203.56786,202.11801,49.789024,37.43457,53.38792,58.461376,0.3017523,1.4498439,39.002117
156.21057,0.007308912,0.0015366477,209.12993,207.60143,51.07184,37.565746,55.08145,60.22944,0.321359,1.5285122,39.097652
160.45956,0.00749743,0.0015921666,214.78366,213.17334,52.374386,37.67979,56.820248,62.032425,0.3419714,1.6103253,39.17686
164.77487,0.0076876692,0.0016497744,220.52934,218.83398,53.698082,37.773678,58.600826,63.891872,0.36382365,1.6953565,39.23671
169.15233,0.007879574,0.0017070353,226.36823,224.58453,55.04883,37.85563,60.413986,65.75017,0.38641855,1.7836852,39.285397
