kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
227.58829,0.95670766,0.15134937,1.2741462,-0.9662016,-0.1885289,-0.040194083,-0.25849953
232.59372,0.9663083,0.15742564,1.2726068,-0.9632224,-0.18805224,-0.04150938,-0.25936124
238.0294,0.9751311,0.16293454,1.2722024,-0.96127605,-0.18783677,-0.0426975,-0.25984848
243.83818,0.98069257,0.16830021,1.271561,-0.9592173,-0.1875826,-0.043965295,-0.2605873
250.01378,0.9854411,0.17341317,1.2712208,-0.9579565,-0.18749355,-0.045015246,-0.2615269
256.5368,0.9897284,0.17827332,1.2715342,-0.9573901,-0.18749093,-0.04590985,-0.26249686
263.38754,0.9936099,0.1830071,1.2724168,-0.95726025,-0.18743706,-0.046697833,-0.26346827
270.5898,0.9971602,0.18764776,1.2742631,-0.9575935,-0.18762201,-0.047403537,-0.2645415
278.1345,0.9999259,0.19224268,1.2766976,-0.95825666,-0.18785979,-0.048099384,-0.265705
285.95105,1.001402,0.19688796,1.2792695,-0.958769,-0.18786104,-0.04873345,-0.2666764
294.04398,1.0027142,0.20149618,1.2822019,-0.95966643,-0.18805233,-0.04933598,-0.2676479
302.39697,1.0036956,0.2061463,1.2855647,-0.9611606,-0.1884055,-0.05019114,-0.26902077
311.03333,1.0045166,0.210987,1.2891927,-0.9628075,-0.18898644,-0.051133655,-0.27051792
319.93436,1.0052501,0.21596107,1.293024,-0.9648091,-0.18970358,-0.052126266,-0.27217582
329.0842,1.0058302,0.22098984,1.2969465,-0.9669836,-0.190343,-0.053163797,-0.27377552
338.48874,1.0060807,0.22606325,1.3008909,-0.96900696,-0.1910108,-0.054129906,-0.27540627
348.14697,1.0061855,0.23120159,1.3048972,-0.9712301,-0.19175722,-0.05508952,-0.27707323
358.0667,1.0063239,0.23646745,1.3091105,-0.9737887,-0.1925438,-0.055962212,-0.2786648
368.24124,1.0063164,0.24181288,1.313374,-0.9764088,-0.1932956,-0.056783266,-0.28014255
378.66605,1.006199,0.24722777,1.3176752,-0.9790961,-0.19403718,-0.057574682,-0.28160083
389.33615,1.0058881,0.25262856,1.32197,-0.9817851,-0.19476144,-0.058341123,-0.28303242
400.24185,1.0052383,0.25819543,1.3264308,-0.98457557,-0.19544436,-0.05899363,-0.28446454
