kx,MATx,MUOx,MLOx,TATx,TOCx,zetax,chix,taux
223.00183,851.0,628.0,1323.0,1.1,0.27,1.0,0.0,0.0
227.50647,856.3799,630.85046,1324.0083,1.155917,0.27571872,1.0,0.0,0.014888048
232.51396,861.7265,633.7801,1325.0369,1.2037848,0.28178328,1.0,0.0,0.029554427
237.95137,867.05396,636.78125,1326.0863,1.2455603,0.2881359,1.0,0.0,0.044002473
243.76184,872.3696,639.8477,1327.157,1.2827263,0.29473254,1.0,0.0,0.058235407
249.93881,877.6809,642.9737,1328.2496,1.3164035,0.30153984,1.0,0.0,0.072256446
256.46304,882.99414,646.1549,1329.3643,1.3474407,0.30853224,1.0,0.0,0.08606875
263.31497,888.3135,649.38715,1330.5017,1.3764807,0.3156903,1.0,0.0,0.09967542
270.51825,893.6421,652.667,1331.662,1.4040104,0.32299918,1.0,0.0,0.11307949
278.06363,898.98224,655.9915,1332.8455,1.4303981,0.33044735,1.0,0.0,0.126284
285.88104,904.33453,659.358,1334.0525,1.4559226,0.33802602,1.0,0.0,0.13929194
293.97464,909.69977,662.764,1335.2833,1.480794,0.34572834,1.0,0.0,0.15210623
302.3283,915.07745,666.2073,1336.5382,1.5051708,0.35354894,1.0,0.0,0.16472971
310.96512,920.4648,669.68585,1337.8174,1.5291716,0.36148363,1.0,0.0,0.17716527
319.8667,925.8599,673.1977,1339.1212,1.5528837,0.369529,1.0,0.0,0.1894157
329.01694,931.2616,676.7408,1340.4497,1.5763716,0.37768233,1.0,0.0,0.20148373
338.42178,936.66833,680.3131,1341.8031,1.5996826,0.3859413,1.0,0.0,0.21337211
348.0802,942.07837,683.9129,1343.1815,1.6228514,0.39430398,1.0,0.0,0.22508347
358.0004,947.48883,687.5383,1344.5852,1.6459031,0.40276867,1.0,0.0,0.23662049
368.17505,952.8979,691.1876,1346.0142,1.6688544,0.41133386,1.0,0.0,0.24798572
378.59995,958.3033,694.85895,1347.4685,1.6917167,0.41999817,1.0,0.0,0.25918174
389.27032,963.7039,698.55054,1348.9485,1.7144972,0.42876032,1.0,0.0,0.2702111
400.17627,969.09625,702.2607,1350.4541,1.7372007,0.43761906,1.0,0.0,0.28107625
411.30505,974.4769,705.98755,1351.9855,1.7598286,0.4465732,1.0,0.0,0.29177964
422.6565,979.8429,709.72943,1353.5426,1.7823796,0.45562154,1.0,0.0,0.3023237
434.22958,985.1915,713.48444,1355.1255,1.8048509,0.4647629,1.0,0.0,0.31271076
446.03024,990.51935,717.25073,1356.7343,1.827239,0.4739961,1.0,0.0,0.32294315
458.08,995.82526,721.02637,1358.3689,1.8495392,0.48331994,1.0,0.0,0.33302325
470.37067,1001.10767,724.80963,1360.0293,1.8717473,0.49273318,1.0,0.0,0.34295326
482.89856,1006.364,728.59875,1361.7156,1.8938594,0.5022346,1.0,0.0,0.35273546
495.65628,1011.59106,732.3919,1363.4276,1.9158714,0.5118229,1.0,0.0,0.36237198
508.63904,1016.78595,736.1873,1365.1655,1.9377781,0.5214968,1.0,0.0,0.37186503
521.84,1021.9455,739.98315,1366.929,1.9595742,0.53125495,1.0,0.0,0.38121676
