foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
7.045e-05,1.540e-04,3.970e-04,4.303e-05,2.704e-04,4.828e-06,2.664e-05,1.296e-05
5.651e-05,2.766e-05,1.788e-04,1.703e-04,4.900e-05,3.231e-05,2.735e-05,3.740e-06
5.007e-06,3.648e-05,2.831e-05,1.603e-04,1.347e-05,4.029e-05,1.984e-05,4.719e-05
7.272e-06,1.042e-04,6.413e-05,1.052e-04,4.387e-05,6.497e-06,3.777e-06,1.994e-05
8.774e-05,8.416e-05,1.307e-04,6.798e-05,2.604e-04,8.631e-05,1.439e-05,3.792e-05
3.934e-05,1.426e-04,1.813e-04,8.303e-05,6.247e-05,1.252e-06,1.280e-05,1.852e-05
2.015e-05,6.771e-05,1.972e-04,8.106e-05,2.599e-05,7.033e-05,5.254e-05,5.579e-05
7.641e-05,2.980e-05,1.988e-04,5.611e-05,4.900e-05,1.519e-04,3.970e-05,5.350e-06
3.576e-05,4.506e-05,1.962e-04,1.325e-05,9.513e-05,1.088e-04,3.073e-05,1.195e-05
6.735e-05,6.008e-05,1.780e-04,1.565e-06,7.141e-05,2.873e-05,1.475e-05,4.031e-05
6.735e-05,4.148e-05,1.491e-04,7.048e-05,3.302e-05,5.192e-05,5.498e-05,4.415e-05
6.545e-05,6.485e-05,1.183e-04,1.647e-04,3.219e-06,3.648e-05,5.434e-05,2.821e-05
1.431e-05,1.483e-04,8.309e-05,1.329e-04,9.203e-05,2.414e-05,2.747e-05,6.939e-05
6.127e-05,2.189e-04,4.590e-05,1.793e-04,1.232e-04,3.356e-05,8.008e-05,1.886e-05
2.325e-05,1.659e-04,9.477e-06,2.550e-04,6.866e-05,1.158e-04,4.068e-06,6.124e-05
1.633e-05,1.070e-04,2.301e-05,1.903e-04,1.308e-04,4.089e-05,1.880e-05,2.255e-05
1.931e-05,5.388e-05,5.752e-05,2.320e-04,1.169e-04,3.123e-05,1.566e-05,1.176e-05
8.941e-06,1.051e-04,8.917e-05,2.375e-04,4.059e-05,4.268e-05,2.657e-05,4.578e-05
5.805e-05,1.733e-04,1.126e-04,1.942e-04,1.159e-04,4.059e-05,3.879e-05,4.344e-05
1.848e-05,2.136e-04,1.327e-04,1.916e-04,1.425e-04,8.744e-05,2.787e-06,5.677e-05
1.127e-04,1.044e-04,1.501e-04,1.718e-04,8.762e-05,5.347e-05,7.145e-06,4.128e-05
1.527e-04,9.227e-05,1.660e-04,9.924e-05,9.507e-05,4.107e-05,7.953e-05,5.111e-05
1.173e-04,1.285e-04,1.810e-04,1.551e-04,1.450e-04,5.692e-05,8.665e-06,3.844e-06
4.566e-05,1.729e-04,1.904e-04,1.188e-04,9.781e-05,1.830e-05,1.674e-05,9.924e-06
3.314e-05,8.607e-05,2.002e-04,1.238e-04,1.500e-04,7.349e-05,2.281e-05,3.523e-05
1.097e-05,8.941e-05,2.081e-04,1.087e-04,1.625e-04,8.976e-05,2.430e-05,1.651e-05
4.840e-05,1.118e-04,2.110e-04,1.186e-04,7.921e-05,1.830e-05,5.980e-05,3.146e-05
8.845e-05,1.681e-04,2.069e-04,1.079e-04,5.096e-05,5.049e-05,4.560e-05,5.138e-05
8.309e-05,1.502e-04,2.085e-04,1.469e-04,1.107e-04,4.333e-05,4.082e-05,1.013e-06
5.198e-05,1.001e-04,2.044e-04,1.180e-04,8.470e-05,5.108e-05,2.761e-05,5.856e-05
3.684e-05,8.726e-05,1.999e-04,1.111e-04,6.932e-05,4.292e-06,3.877e-05,4.001e-05
5.233e-05,1.559e-04,1.960e-04,1.679e-04,1.062e-04,5.472e-05,3.494e-06,8.985e-06
4.017e-05,1.945e-04,1.900e-04,1.607e-04,1.093e-04,1.269e-04,1.734e-05,4.347e-05
7.522e-05,1.211e-04,1.832e-04,1.542e-04,9.960e-05,1.452e-04,3.143e-05,4.534e-05
1.465e-04,8.631e-05,1.741e-04,1.040e-04,9.960e-05,1.665e-04,3.003e-05,6.582e-05
8.202e-05,1.752e-04,1.636e-04,1.130e-04,1.682e-04,5.168e-05,3.566e-05,4.548e-05
9.906e-05,1.087e-04,1.494e-04,6.111e-05,1.739e-04,4.375e-05,8.367e-05,2.034e-05
4.137e-05,1.359e-04,1.323e-04,7.606e-05,1.580e-04,1.556e-05,6.959e-05,1.320e-05
3.827e-05,1.302e-04,1.172e-04,9.058e-05,2.064e-04,6.247e-05,6.913e-05,9.373e-06
6.294e-05,1.392e-04,1.009e-04,1.053e-04,1.912e-04,4.905e-05,1.753e-05,3.402e-05
7.725e-05,1.538e-04,8.273e-05,1.210e-04,1.928e-04,5.341e-05,1.938e-05,5.122e-05
7.796e-05,1.721e-04,6.264e-05,1.317e-04,2.468e-04,1.097e-04,1.673e-05,3.880e-05
6.783e-05,1.993e-04,4.047e-05,1.038e-04,1.074e-04,4.053e-06,5.428e-05,3.569e-05
5.388e-05,2.406e-04,2.724e-05,1.175e-04,5.651e-05,6.008e-05,2.801e-05,2.649e-05
4.041e-05,2.909e-04,1.973e-05,1.706e-04,1.822e-04,1.279e-04,5.466e-05,9.529e-05
3.850e-05,6.914e-06,1.329e-05,2.688e-04,1.006e-04,1.555e-04,5.893e-05,6.126e-05
9.227e-05,1.502e-05,1.359e-05,2.968e-04,4.828e-05,1.549e-04,5.347e-05,4.359e-05
8.142e-05,1.528e-04,1.901e-05,2.611e-04,7.617e-05,1.004e-04,1.237e-06,2.205e-05
4.852e-05,1.552e-04,2.468e-05,2.702e-04,7.981e-05,7.695e-05,3.987e-05,4.619e-07
9.775e-06,1.247e-04,3.004e-05,3.265e-04,6.205e-05,1.788e-07,3.354e-05,5.177e-05
1.097e-05,9.823e-05,3.362e-05,2.664e-04,4.828e-05,2.080e-05,4.134e-05,5.119e-05
2.933e-05,1.707e-04,3.868e-05,2.526e-04,5.776e-05,1.544e-05,4.753e-05,4.566e-05
3.231e-05,1.216e-04,4.345e-05,2.476e-04,7.945e-05,3.445e-05,4.698e-05,4.302e-05
2.480e-05,6.366e-05,4.786e-05,2.467e-04,1.035e-04,5.692e-05,4.271e-05,4.315e-05
1.550e-05,2.098e-05,5.186e-05,2.489e-04,1.265e-04,7.784e-05,3.626e-05,4.531e-05
5.364e-06,6.437e-06,5.555e-05,2.481e-04,1.533e-04,9.710e-05,3.424e-05,4.406e-05
6.437e-06,1.740e-05,5.913e-05,2.485e-04,1.828e-04,1.150e-04,3.207e-05,4.339e-05
2.003e-05,1.025e-05,6.241e-05,2.507e-04,2.150e-04,1.315e-04,3.014e-05,4.284e-05
4.613e-05,1.216e-05,6.580e-05,2.714e-04,1.119e-04,9.418e-05,1.088e-05,1.498e-05
5.126e-05,2.670e-05,7.313e-05,2.958e-04,1.854e-05,3.248e-05,3.695e-06,5.920e-05
5.388e-05,3.147e-05,8.124e-05,2.745e-04,4.679e-05,2.897e-05,1.515e-05,5.849e-05
6.223e-05,3.767e-05,8.553e-05,2.808e-04,7.135e-05,1.049e-05,2.633e-05,4.956e-05
6.795e-05,4.125e-05,8.857e-05,2.976e-04,6.467e-05,3.517e-06,1.180e-05,3.427e-05
7.272e-05,3.123e-05,8.959e-05,2.954e-04,8.786e-05,1.419e-05,1.077e-05,3.840e-05
7.772e-05,3.576e-05,8.976e-05,2.914e-04,1.100e-04,2.831e-05,1.159e-05,4.150e-05
4.208e-05,5.889e-05,8.988e-05,2.795e-04,1.204e-04,2.164e-05,5.119e-06,4.308e-05
4.387e-05,2.766e-05,9.096e-05,2.995e-04,1.665e-04,5.019e-05,1.176e-05,2.411e-05
4.840e-05,2.766e-05,9.036e-05,3.303e-04,1.674e-04,7.194e-05,1.542e-05,2.533e-05
8.142e-05,6.199e-05,8.768e-05,3.443e-04,1.040e-04,4.619e-05,1.752e-05,2.815e-05
5.496e-05,2.789e-05,8.214e-05,2.805e-04,7.206e-05,2.861e-06,4.895e-06,3.420e-05
7.749e-05,6.676e-05,7.707e-05,2.460e-04,1.135e-04,6.962e-05,3.020e-05,1.008e-04
1.125e-04,6.270e-05,7.236e-05,2.906e-04,1.556e-04,1.770e-04,1.952e-05,1.003e-04
1.084e-04,3.099e-05,6.467e-05,3.443e-04,1.010e-04,1.662e-04,2.570e-06,6.428e-05
7.713e-05,1.020e-04,5.627e-05,2.868e-04,1.279e-04,1.050e-04,3.462e-05,3.095e-05
7.415e-05,1.001e-04,4.482e-05,2.510e-04,1.208e-04,9.710e-05,3.461e-05,2.766e-05
8.297e-05,8.559e-05,3.344e-05,2.272e-04,1.084e-04,9.519e-05,3.079e-05,6.959e-06
9.036e-05,6.104e-05,2.289e-05,2.002e-04,1.032e-04,7.564e-05,4.430e-05,8.121e-06
8.333e-05,3.862e-05,1.317e-05,1.719e-04,1.061e-04,4.035e-05,7.083e-05,2.915e-05
9.704e-05,4.888e-05,3.338e-06,1.643e-04,1.293e-04,4.095e-05,7.517e-05,2.564e-05
7.951e-05,5.031e-05,4.768e-06,1.690e-04,1.405e-04,1.591e-05,6.338e-05,1.268e-05
1.218e-04,7.629e-05,7.957e-06,2.356e-04,2.386e-04,3.248e-05,4.552e-05,1.821e-05
1.501e-04,6.366e-05,2.286e-05,2.369e-04,2.968e-04,8.351e-05,2.377e-05,5.451e-05
1.633e-04,2.670e-05,4.402e-05,1.789e-04,2.469e-04,6.092e-05,1.357e-05,6.406e-05
1.301e-04,2.313e-05,6.413e-05,1.412e-04,1.720e-04,5.144e-05,1.374e-04,2.772e-05
1.671e-04,5.460e-05,8.890e-05,9.376e-05,1.631e-04,1.436e-04,4.038e-05,1.912e-05
1.733e-04,8.631e-05,1.161e-04,6.442e-05,1.654e-04,1.852e-04,7.153e-07,5.093e-05
1.473e-04,1.044e-04,1.455e-04,4.448e-05,1.752e-04,1.875e-04,3.606e-06,4.774e-05
1.125e-04,1.624e-04,1.681e-04,6.682e-05,1.428e-04,1.724e-04,6.863e-05,9.055e-05
1.075e-04,1.557e-04,1.812e-04,5.002e-05,1.343e-04,1.601e-04,8.447e-05,1.005e-04
1.131e-04,1.292e-04,1.872e-04,2.452e-05,1.487e-04,1.526e-04,7.496e-05,9.501e-05
1.183e-04,1.054e-04,1.881e-04,7.980e-06,1.757e-04,1.470e-04,6.651e-05,8.847e-05
1.264e-04,8.035e-05,1.848e-04,2.544e-05,2.011e-04,1.600e-04,4.426e-05,6.749e-05
1.395e-04,8.464e-05,1.764e-04,4.278e-05,2.068e-04,1.493e-04,2.826e-05,3.852e-05
1.038e-04,3.552e-05,1.662e-04,4.450e-05,1.994e-04,1.093e-04,2.991e-05,4.835e-05
9.573e-05,5.221e-05,1.566e-04,1.200e-05,2.047e-04,9.650e-05,2.715e-05,4.612e-05
1.451e-04,1.218e-04,1.476e-04,1.515e-05,2.599e-04,1.361e-04,6.597e-05,1.788e-06
1.205e-04,1.516e-04,1.392e-04,2.219e-05,2.139e-04,1.019e-04,1.084e-04,5.195e-05
9.263e-05,1.628e-04,1.245e-04,2.498e-05,2.379e-04,1.101e-04,1.069e-04,5.391e-05
6.461e-05,1.745e-04,1.096e-04,1.992e-05,2.615e-04,9.203e-05,1.071e-04,4.357e-05
2.885e-05,1.442e-04,9.257e-05,6.764e-05,3.088e-04,3.076e-05,8.163e-05,1.708e-05
1.112e-04,1.485e-04,7.516e-05,6.176e-05,3.127e-04,9.954e-06,3.334e-05,1.544e-05
7.510e-05,2.139e-04,6.270e-05,9.283e-06,2.310e-04,3.451e-05,1.192e-05,3.144e-05
9.489e-05,1.166e-04,5.260e-05,1.848e-06,2.484e-04,3.833e-05,5.549e-05,1.003e-04
1.258e-04,6.318e-05,4.363e-05,4.150e-06,2.651e-04,3.946e-05,1.127e-04,1.880e-04
