con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.01486,0.0028556,105.17594,104.8756,27.810537,31.546762,24.816816,0.3003404,34.146763
79.51429,0.0031533004,108.65422,108.3116,28.742235,31.928478,25.482718,0.3426194,34.46936
82.085945,0.0034202146,112.233116,111.84926,29.703434,32.324203,26.18606,0.38386136,34.807316
84.74679,0.0036624086,115.90893,115.48442,30.67289,32.724422,26.927378,0.42450586,35.151073
87.48816,0.003885253,119.681595,119.2166,31.658672,33.126488,27.70242,0.46499327,35.497963
90.30751,0.0040932824,123.54933,123.0436,32.66109,33.526062,28.510523,0.5057223,35.843616
93.20195,0.0042902166,127.507805,126.96077,33.67834,33.92073,29.349724,0.54703605,36.18558
96.16257,0.0044790516,131.55595,130.9667,34.717995,34.31127,30.219864,0.5892459,36.52463
99.19716,0.0046621654,135.69232,135.05971,35.770363,34.69125,31.122936,0.63262004,36.854282
102.30212,0.0048414334,139.91618,139.2388,36.838165,35.063343,32.05782,0.6773949,37.177193
105.47407,0.0050183167,144.22531,143.50156,37.922413,35.42767,33.019897,0.7237683,37.493458
108.71082,0.005193949,148.61876,147.84683,39.0239,35.77691,34.0093,0.77191824,37.795723
112.012924,0.0053692097,153.09558,152.27357,40.141064,36.11212,35.026978,0.82200223,38.085033
115.38169,0.0055447645,157.6539,156.77974,41.270584,36.43447,36.07388,0.87415373,38.362526
118.80951,0.00572112,162.29378,161.3653,42.420128,36.74607,37.14739,0.9285022,38.630287
122.29506,0.005898654,167.01497,166.02979,43.590553,37.046036,38.244698,0.9851635,38.887405
125.84067,0.0060776514,171.81764,170.7734,44.779663,37.333626,39.366844,1.0442477,39.133133
129.4455,0.006258323,176.7019,175.59604,45.988037,37.60426,40.51975,1.1058576,39.362846
133.11224,0.0064408206,181.667,180.49692,47.21218,37.85873,41.6978,1.1700846,39.57733
136.84068,0.0066252467,186.71162,185.47461,48.450924,38.09767,42.900623,1.2370105,39.7772
140.62723,0.0068116575,191.83546,190.52875,49.707397,38.318123,44.129406,1.3067175,39.959465
144.47104,0.007000085,197.03947,195.66017,50.983295,38.522316,45.383377,1.3792931,40.12633
148.37477,0.0071905316,202.32536,200.87053,52.27767,38.711193,46.663788,1.4548268,40.27874
152.33728,0.0073829805,207.69107,206.15768,53.589462,38.88431,47.96779,1.5333791,40.416214
156.35655,0.007577404,213.13666,211.52165,54.92075,39.041927,49.29862,1.6150227,40.538998
160.43903,0.007773765,218.66194,216.96213,56.264595,39.18106,50.659874,1.6998266,40.64409
