kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.51057,0.98495495,0.14380349,1.2077187,-0.9112547,-0.1403843,-0.038704365,-0.24481489
234.34622,0.9910239,0.14832954,1.2042481,-0.9065629,-0.13938725,-0.03962405,-0.2451123
240.55652,0.996286,0.15246445,1.2013748,-0.9026002,-0.13845809,-0.040450275,-0.24523517
247.13332,1.0005146,0.15642345,1.1986911,-0.8987688,-0.1376093,-0.041276067,-0.2454907
254.05824,1.0039375,0.16026549,1.1961862,-0.8953367,-0.13683651,-0.04208383,-0.24583331
261.29602,1.0066634,0.16407412,1.1939358,-0.89228064,-0.13610105,-0.042816043,-0.24620193
268.83472,1.0087981,0.1678685,1.191925,-0.88947505,-0.13541587,-0.043473452,-0.24662071
276.66068,1.0105306,0.17161144,1.1902971,-0.88697,-0.13482593,-0.044074774,-0.24712655
284.76587,1.0117822,0.17543712,1.1889223,-0.88466173,-0.1342535,-0.044685006,-0.2476536
293.1314,1.0126487,0.17926498,1.1878018,-0.8825895,-0.13372342,-0.04530686,-0.24822488
301.74847,1.0132146,0.18307428,1.186831,-0.88071716,-0.1332371,-0.045912072,-0.24880469
310.60837,1.0135391,0.18701506,1.1860325,-0.8790578,-0.13277641,-0.046517685,-0.24942777
319.69617,1.0136395,0.19104981,1.1853973,-0.87769765,-0.13243607,-0.04714857,-0.2500674
329.00906,1.0135219,0.19513398,1.1850114,-0.87650365,-0.13200532,-0.04771045,-0.25079674
338.54367,1.0133042,0.19921578,1.1848563,-0.8754855,-0.13160487,-0.048244044,-0.2515853
348.2992,1.0130149,0.20330615,1.1848142,-0.8746776,-0.13131958,-0.0487843,-0.25240725
358.27417,1.0126368,0.20742275,1.1848958,-0.87396455,-0.1310767,-0.049313486,-0.25314513
368.46112,1.0121905,0.21165383,1.1852664,-0.8733155,-0.13088691,-0.049865022,-0.25399444
378.84918,1.0116569,0.21597728,1.1856776,-0.872832,-0.13069344,-0.050456047,-0.25487915
389.4348,1.0110492,0.22036548,1.1861463,-0.87252265,-0.13049428,-0.051050186,-0.2557564
400.22195,1.010415,0.22487633,1.186788,-0.8723633,-0.13035461,-0.051598817,-0.256673
411.21973,1.0097688,0.22946449,1.1875174,-0.8722299,-0.13025291,-0.05219373,-0.25752485
422.41302,1.0090901,0.2341126,1.188363,-0.87222666,-0.1302395,-0.052774817,-0.25839263
433.80014,1.0083952,0.23882146,1.1892632,-0.872287,-0.13024893,-0.05333911,-0.2592586
445.37726,1.0077082,0.24358138,1.1903124,-0.87244743,-0.13023615,-0.053899243,-0.26024342
457.13882,1.0069741,0.24845181,1.1915236,-0.8727339,-0.13021475,-0.054442495,-0.2612564
469.08524,1.006249,0.25340918,1.1927929,-0.8731218,-0.130221,-0.054988906,-0.26226324
481.2132,1.0055397,0.25844583,1.194118,-0.87361985,-0.1302352,-0.055546016,-0.26327118
493.54526,1.0048496,0.2635411,1.1955225,-0.8742173,-0.13021825,-0.05607991,-0.2642771
506.06345,1.0041878,0.2687049,1.1969925,-0.8749007,-0.13019797,-0.056602553,-0.26524374
518.7716,1.0035433,0.27396247,1.1984863,-0.8756114,-0.13020225,-0.057096347,-0.26621318
531.6728,1.0029441,0.27920225,1.200146,-0.8764537,-0.13019794,-0.057574242,-0.26713055
544.77484,1.0023041,0.2845202,1.2019103,-0.8773963,-0.13026017,-0.05811198,-0.2681563
558.0679,1.001673,0.28992227,1.2037308,-0.87837106,-0.13037154,-0.058660775,-0.26922867
571.542,1.0010746,0.2953815,1.2056133,-0.87935907,-0.13050607,-0.05921796,-0.27027425
585.19135,1.000511,0.30094975,1.2075359,-0.8804067,-0.13065293,-0.05977796,-0.27130252
599.014,0.9999545,0.306611,1.2094946,-0.8814837,-0.13079865,-0.06032528,-0.27233118
613.0295,0.9993972,0.31229743,1.2116456,-0.88266546,-0.13090618,-0.060784996,-0.2733071
627.2554,0.99893737,0.31805468,1.213883,-0.8839149,-0.13101403,-0.06128733,-0.27425963
641.68713,0.998538,0.32388744,1.2161115,-0.88521725,-0.13112023,-0.06183234,-0.27521446
656.32745,0.9981362,0.32979068,1.2183594,-0.8865403,-0.1312298,-0.062369376,-0.27616453
671.1667,0.9977402,0.33576554,1.2206535,-0.8878899,-0.13139482,-0.062884375,-0.27708736
686.20526,0.9973494,0.34181777,1.2229687,-0.88925487,-0.13157558,-0.063391924,-0.27800167
701.4471,0.9969618,0.34794658,1.2252971,-0.8906328,-0.13175932,-0.0638953,-0.2789123
716.8878,0.9965998,0.3541492,1.2276531,-0.8921016,-0.13199799,-0.06439914,-0.27984387
732.5274,0.9962538,0.36042893,1.2300277,-0.8936202,-0.13226596,-0.064902276,-0.28078446
748.36914,0.9959223,0.36678535,1.2324244,-0.89516664,-0.13253464,-0.065411404,-0.28172386
764.42346,0.9956215,0.37317705,1.2349414,-0.89685637,-0.1327874,-0.0659392,-0.28266317
780.6964,0.9953108,0.3796322,1.2374862,-0.8985589,-0.13305445,-0.066452816,-0.28359127
797.1736,0.9950312,0.38613462,1.2400126,-0.9002728,-0.13327217,-0.066944554,-0.28455758
813.85693,0.9947583,0.3927078,1.2425435,-0.90199304,-0.1334858,-0.06742938,-0.28552482
830.75104,0.99448603,0.39935243,1.2450823,-0.90372056,-0.13370144,-0.067908034,-0.28648633
847.8596,0.99420947,0.40613803,1.2477412,-0.9055356,-0.13395105,-0.06835231,-0.2873981
865.1685,0.9939384,0.41303375,1.2504796,-0.90741354,-0.13424376,-0.06875354,-0.28829572
882.6756,0.9936884,0.4199847,1.2532368,-0.9093001,-0.13455862,-0.06915119,-0.28919232
900.4173,0.99344337,0.42698976,1.2559676,-0.91118294,-0.13485506,-0.06958519,-0.29004362
918.36993,0.99325347,0.4340833,1.2586915,-0.9130022,-0.13514973,-0.070062876,-0.29084706
936.5327,0.993066,0.44126114,1.2614346,-0.9148517,-0.13546443,-0.07054311,-0.29163992
954.9104,0.99287623,0.44850862,1.2641803,-0.9167038,-0.13577962,-0.07101615,-0.29242712
973.5039,0.9926911,0.45581836,1.2669287,-0.9185698,-0.13610314,-0.071469456,-0.29321003
992.313,0.9925074,0.46321473,1.2696996,-0.9204499,-0.1364126,-0.07192533,-0.29398054
1011.3368,0.9923237,0.4707033,1.2724955,-0.92234296,-0.13670327,-0.07238895,-0.29473743
1030.5735,0.9921569,0.4782555,1.2752994,-0.92424953,-0.1369987,-0.07284403,-0.2954909
1050.023,0.99200696,0.48587167,1.2781105,-0.9261679,-0.13729852,-0.07329127,-0.2962409
1069.6884,0.9918596,0.49355257,1.280909,-0.9280961,-0.13760695,-0.073720366,-0.2969848
1089.5739,0.9917177,0.5012948,1.2836864,-0.93004394,-0.13793051,-0.07412206,-0.29772276
1109.6853,0.99158883,0.5091211,1.2865093,-0.93206435,-0.13826537,-0.07450199,-0.29845798
1130.0349,0.99147636,0.51702213,1.2893586,-0.93409187,-0.1386079,-0.07488172,-0.29917824
1150.6191,0.99139756,0.5249962,1.2922157,-0.93613285,-0.13892844,-0.07527679,-0.29988366
1171.4412,0.9913141,0.53302175,1.2950757,-0.93817896,-0.1392403,-0.0756603,-0.30058065
1192.5016,0.99122065,0.54109424,1.2979401,-0.94023305,-0.13955227,-0.07602757,-0.3012684
1213.7871,0.991166,0.54924136,1.3008273,-0.94233805,-0.1398655,-0.07636362,-0.30193675
1235.2965,0.9911126,0.5574527,1.3036929,-0.9444362,-0.14016384,-0.076699615,-0.30258268
1257.0348,0.9910484,0.56571364,1.3065543,-0.9465299,-0.14046079,-0.077025756,-0.30322033
1279.0349,0.99100405,0.57408917,1.309448,-0.9486229,-0.1407747,-0.07740426,-0.30386293
1301.2994,0.99093395,0.5824884,1.3123422,-0.95072085,-0.14108595,-0.07776424,-0.30449378
1323.7988,0.99087954,0.5909384,1.3153055,-0.9528317,-0.14145562,-0.07805465,-0.30507296
1346.5305,0.9908347,0.5994765,1.3183326,-0.95497155,-0.14187244,-0.078333944,-0.30559286
1369.5004,0.99077934,0.60805625,1.3213546,-0.95710653,-0.1422885,-0.07860473,-0.3061074
1392.7043,0.99070925,0.6167008,1.3243935,-0.959259,-0.1426876,-0.07889058,-0.30660892
1416.1328,0.99062496,0.62548083,1.327489,-0.9614566,-0.14307114,-0.079215124,-0.30709928
1439.7954,0.9905215,0.63433164,1.3305836,-0.9636487,-0.14347173,-0.07951623,-0.30758986
1463.6855,0.99044,0.6434406,1.3336246,-0.9657582,-0.14386843,-0.07990956,-0.30808103
1487.7812,0.9903072,0.65326226,1.3366528,-0.9678878,-0.144239,-0.080265105,-0.30854812
1512.0859,0.99018687,0.6631848,1.3396562,-0.9699847,-0.14457817,-0.08056091,-0.30899233
1536.6064,0.990057,0.67316157,1.3426466,-0.972068,-0.14491534,-0.080844685,-0.30942687
1561.3256,0.98992175,0.68320787,1.3456223,-0.9741723,-0.1452423,-0.08116323,-0.30983317
1586.2418,0.9898303,0.6931085,1.3485739,-0.976336,-0.14556682,-0.081487566,-0.31021947
1611.3969,0.9897543,0.7029266,1.3515085,-0.9784735,-0.14593625,-0.08177583,-0.31056684
1636.8291,0.9896624,0.7126578,1.3544333,-0.9805573,-0.14634746,-0.08201419,-0.3108622
1662.5323,0.9896389,0.7224164,1.3573896,-0.9826774,-0.14678365,-0.08226462,-0.31119478
1688.4774,0.98963165,0.73229367,1.3602613,-0.9848037,-0.1471745,-0.082528815,-0.31148598
1714.6957,0.9895494,0.7424292,1.3631203,-0.98687357,-0.14756833,-0.08280222,-0.31177723
1741.2245,0.98941225,0.752758,1.365918,-0.9889552,-0.14794762,-0.083051205,-0.3120131
1768.0239,0.989317,0.7633155,1.3687506,-0.99099386,-0.14833234,-0.0832801,-0.31227672
1795.0673,0.98918617,0.77391577,1.3715496,-0.99302703,-0.14874958,-0.08351174,-0.3125575
1822.3616,0.98908216,0.7847375,1.3742145,-0.9950605,-0.14915732,-0.08374359,-0.3127553
1849.9303,0.9889905,0.7958171,1.3767626,-0.99708205,-0.14952877,-0.08394949,-0.31291935
1877.7946,0.9888895,0.80685914,1.3793046,-0.99911076,-0.14993575,-0.084071845,-0.3130802
1905.9562,0.9887605,0.81780803,1.3818381,-1.0011386,-0.15034243,-0.08415744,-0.3132319
1934.4008,0.98863184,0.82877403,1.3844424,-1.003283,-0.15071939,-0.08422622,-0.31333286
1963.1263,0.988507,0.8397263,1.3870895,-1.0054945,-0.15108381,-0.08427408,-0.31340933
1992.1377,0.9883583,0.8505852,1.3897206,-1.007693,-0.15145017,-0.08428912,-0.31348062
2021.3883,0.988137,0.8614165,1.3924214,-1.0099193,-0.15187386,-0.08438055,-0.31366837
2050.8738,0.98789287,0.8722016,1.3951204,-1.0121359,-0.15231095,-0.084472865,-0.31387806
2080.604,0.9876384,0.88292116,1.3977966,-1.0143319,-0.15274826,-0.08454119,-0.31408122
2110.5896,0.9873709,0.8935642,1.4004505,-1.016509,-0.15318571,-0.08458386,-0.314277
2140.8313,0.9870888,0.90412676,1.4030875,-1.0186735,-0.15362352,-0.08460218,-0.31446657
2171.2876,0.98677164,0.91464984,1.4057568,-1.0208861,-0.15404299,-0.08464491,-0.31466678
2201.9685,0.986449,0.9251126,1.4083999,-1.0230745,-0.15446234,-0.08466846,-0.31486052
2232.8765,0.98613364,0.93549836,1.4110239,-1.0252482,-0.1548861,-0.08467187,-0.31505042
2264.0024,0.9858481,0.9457998,1.4136366,-1.0274309,-0.15532032,-0.08466296,-0.3152524
2295.3738,0.9855802,0.9560372,1.4162375,-1.0296375,-0.1557611,-0.084649816,-0.31547302
2327.0151,0.9853262,0.9661842,1.4188356,-1.0318441,-0.15621358,-0.08460683,-0.31568143
2358.959,0.9850189,0.9761339,1.4214764,-1.0340865,-0.1566022,-0.08455588,-0.31587338
2391.21,0.98466307,0.98582715,1.4241639,-1.0363752,-0.15699676,-0.084503934,-0.31603694
2423.7139,0.9841657,0.9943104,1.4269184,-1.038854,-0.15734938,-0.08421336,-0.3161791
2456.547,0.98326844,0.9978239,1.4298259,-1.0412472,-0.15770495,-0.083945796,-0.31636822
2489.7634,0.9827311,0.998578,1.4328477,-1.0437125,-0.15807426,-0.08382867,-0.31666124
2523.2944,0.98220384,0.9989372,1.4359941,-1.0461384,-0.15848796,-0.08376157,-0.3169917
2557.1406,0.98167247,0.99924016,1.4391237,-1.0485562,-0.15890317,-0.08368091,-0.3173163
