foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
6.807e-05,1.907e-05,3.741e-04,6.802e-05,5.388e-05,1.243e-04,2.921e-06,1.263e-04
1.742e-04,2.284e-04,1.697e-04,6.917e-05,2.989e-04,2.406e-04,6.273e-06,1.038e-04
4.852e-05,1.662e-04,3.362e-05,1.772e-05,2.749e-04,4.286e-05,1.729e-06,2.137e-05
3.111e-05,3.560e-04,6.330e-05,9.887e-06,2.677e-04,1.221e-04,1.040e-05,1.930e-05
1.168e-05,5.579e-04,1.309e-04,6.383e-05,3.121e-04,1.912e-04,1.431e-05,2.772e-06
5.126e-06,5.600e-04,1.802e-04,1.159e-04,3.099e-04,1.548e-04,2.190e-05,2.995e-06
1.072e-04,6.111e-04,2.149e-04,1.474e-04,4.251e-04,1.923e-04,1.878e-05,3.184e-05
5.138e-05,5.987e-04,2.304e-04,1.270e-04,4.354e-04,1.479e-04,1.457e-05,6.452e-06
2.599e-05,6.673e-04,2.442e-04,1.146e-04,4.735e-04,1.593e-04,1.962e-05,9.105e-06
3.028e-05,6.704e-04,2.467e-04,1.324e-04,4.148e-04,1.457e-04,2.049e-05,2.138e-05
4.601e-05,6.795e-04,2.373e-04,1.374e-04,3.978e-04,1.557e-04,3.637e-05,1.390e-05
3.612e-05,6.824e-04,2.352e-04,1.274e-04,4.125e-04,2.531e-04,4.379e-05,2.702e-05
2.861e-06,6.287e-04,2.355e-04,1.966e-04,4.708e-04,2.338e-04,8.227e-05,2.766e-05
4.840e-05,6.459e-04,2.313e-04,2.189e-04,4.988e-04,2.377e-04,8.540e-05,5.132e-05
1.014e-04,6.523e-04,2.180e-04,2.089e-04,4.319e-04,2.788e-04,3.070e-06,5.221e-05
1.121e-04,6.628e-04,1.988e-04,2.151e-04,3.774e-04,2.165e-04,7.913e-06,6.077e-05
1.212e-04,6.893e-04,1.754e-04,1.936e-04,5.001e-04,1.487e-04,3.067e-05,2.432e-05
9.263e-05,6.771e-04,1.560e-04,1.658e-04,4.202e-04,1.808e-04,1.162e-06,3.904e-05
6.449e-05,6.247e-04,1.408e-04,1.759e-04,3.750e-04,2.198e-04,3.286e-05,1.401e-05
7.379e-05,5.896e-04,1.262e-04,2.229e-04,4.196e-04,2.423e-04,1.490e-06,3.254e-05
8.714e-05,5.989e-04,1.179e-04,1.906e-04,4.157e-04,1.533e-04,1.502e-05,4.470e-05
6.700e-05,6.757e-04,1.118e-04,2.150e-04,4.385e-04,1.736e-04,7.875e-05,4.092e-05
5.698e-05,6.638e-04,1.050e-04,2.383e-04,3.967e-04,1.331e-04,7.805e-05,5.454e-05
6.580e-05,6.557e-04,9.841e-05,2.471e-04,4.486e-04,1.372e-04,3.408e-05,5.129e-05
1.323e-05,6.227e-04,9.000e-05,2.648e-04,5.057e-04,1.736e-04,5.424e-06,6.595e-05
1.645e-05,5.968e-04,8.518e-05,2.635e-04,4.699e-04,1.866e-04,1.377e-05,4.828e-05
2.468e-05,5.803e-04,8.351e-05,2.574e-04,4.480e-04,2.084e-04,3.517e-06,4.062e-05
3.529e-05,5.462e-04,8.398e-05,2.795e-04,4.406e-04,2.212e-04,4.394e-05,2.900e-05
5.019e-05,6.435e-04,8.398e-05,2.869e-04,4.184e-04,2.227e-04,6.233e-05,1.836e-05
5.281e-05,6.220e-04,8.500e-05,3.046e-04,3.422e-04,1.702e-04,5.259e-05,2.521e-05
8.297e-05,6.242e-04,8.994e-05,3.055e-04,3.992e-04,2.259e-04,7.446e-05,8.592e-05
2.301e-05,6.204e-04,8.512e-05,2.464e-04,4.382e-04,2.533e-04,2.164e-05,1.842e-05
1.180e-05,6.955e-04,8.059e-05,2.391e-04,4.395e-04,2.186e-04,1.356e-05,6.202e-05
2.432e-05,7.222e-04,7.778e-05,2.368e-04,4.534e-04,1.718e-04,2.307e-05,3.508e-05
4.077e-05,6.850e-04,7.445e-05,2.412e-04,4.530e-04,1.733e-04,2.222e-05,1.931e-05
3.159e-05,6.118e-04,7.612e-05,2.585e-04,4.448e-04,1.481e-04,8.598e-06,2.119e-05
1.717e-05,5.426e-04,8.047e-05,3.292e-04,5.339e-04,2.049e-04,4.034e-05,3.633e-05
1.034e-04,5.846e-04,7.820e-05,2.802e-04,5.471e-04,2.275e-04,5.002e-05,5.865e-05
1.491e-04,6.471e-04,7.713e-05,2.421e-04,5.002e-04,2.334e-04,6.095e-05,5.019e-05
1.293e-04,6.518e-04,7.862e-05,2.533e-04,4.808e-04,2.097e-04,6.622e-05,4.855e-05
1.160e-04,6.757e-04,8.041e-05,2.738e-04,4.777e-04,1.964e-04,2.018e-05,6.989e-05
1.023e-04,6.578e-04,8.219e-05,2.784e-04,4.486e-04,1.748e-04,1.375e-05,7.218e-05
8.726e-05,6.473e-04,8.500e-05,2.795e-04,4.138e-04,1.536e-04,1.955e-05,6.896e-05
9.453e-05,6.573e-04,8.857e-05,2.765e-04,4.011e-04,2.067e-04,2.590e-05,4.101e-05
9.310e-05,6.402e-04,9.286e-05,2.750e-04,3.847e-04,2.185e-04,4.578e-05,2.432e-05
9.072e-05,6.199e-04,9.805e-05,2.691e-04,3.800e-04,2.098e-04,3.743e-05,1.657e-05
1.054e-04,6.101e-04,1.040e-04,2.559e-04,4.882e-04,3.132e-04,1.372e-05,5.066e-06
7.820e-05,6.244e-04,1.055e-04,2.730e-04,4.983e-04,2.896e-04,2.009e-05,5.096e-06
9.179e-05,6.723e-04,1.059e-04,2.923e-04,4.554e-04,2.640e-04,3.542e-05,4.172e-05
8.130e-05,6.485e-04,1.054e-04,2.958e-04,4.352e-04,2.353e-04,4.537e-05,5.132e-05
6.533e-05,6.344e-04,1.051e-04,2.979e-04,4.195e-04,2.097e-04,4.888e-05,5.436e-05
4.411e-05,6.411e-04,1.048e-04,3.209e-04,4.957e-04,2.661e-04,2.076e-05,1.201e-05
3.350e-05,6.707e-04,1.082e-04,3.423e-04,5.078e-04,2.997e-04,1.618e-05,1.997e-06
4.041e-05,6.523e-04,1.136e-04,3.240e-04,4.609e-04,2.813e-04,3.168e-05,5.364e-06
3.266e-05,6.201e-04,1.175e-04,2.768e-04,3.967e-04,2.509e-04,7.600e-06,3.031e-05
7.451e-05,7.088e-04,1.205e-04,2.340e-04,3.791e-04,1.684e-04,2.533e-07,6.238e-05
6.390e-05,6.859e-04,1.258e-04,2.341e-04,3.934e-04,1.795e-04,1.448e-05,5.597e-05
