,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,1.131e-04,5.325e-04,5.038e-04,2.291e-04,3.764e-04,1.147e-04,1.819e-05,3.072e-05
std,6.349e-05,1.235e-04,3.166e-04,1.147e-04,7.752e-05,6.307e-05,1.491e-05,2.416e-05
min,1.192e-07,1.907e-05,0.000e+00,5.364e-07,5.388e-05,1.180e-05,5.960e-08,0.000e+00
0.1%,1.192e-07,1.907e-05,0.000e+00,5.364e-07,5.388e-05,1.180e-05,5.960e-08,0.000e+00
25%,5.820e-05,4.281e-04,1.893e-04,1.377e-04,3.230e-04,6.706e-05,8.151e-06,1.094e-05
50%,1.150e-04,5.285e-04,5.066e-04,2.580e-04,3.626e-04,9.698e-05,1.331e-05,2.605e-05
75%,1.702e-04,6.341e-04,7.829e-04,3.163e-04,4.108e-04,1.580e-04,2.317e-05,4.713e-05
99.9%,3.259e-04,9.832e-04,1.300e-03,5.356e-04,7.397e-04,3.132e-04,8.540e-05,1.263e-04
max,3.259e-04,9.832e-04,1.300e-03,5.356e-04,7.397e-04,3.132e-04,8.540e-05,1.263e-04
