kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,628.0,1323.0,1.1,0.27,0.0
228.42902,856.45575,630.85046,1324.0083,1.155917,0.27571872,0.014888048
234.26634,861.89594,633.7842,1325.0369,1.2038453,0.28178328,0.029554427
240.47832,867.3312,636.7942,1326.0863,1.2457399,0.2881363,0.044002473
247.05655,872.76843,639.8746,1327.1571,1.2830797,0.2947342,0.058235407
253.98268,878.2132,643.02014,1328.2499,1.316982,0.3015439,0.072256446
261.22156,883.669,646.22656,1329.365,1.3482909,0.30854025,0.08606875
268.76123,889.1385,649.4898,1330.5029,1.3776441,0.31570414,0.09967542
276.58804,894.6238,652.80646,1331.6641,1.4055226,0.3230209,0.11307949
284.69394,900.1251,656.17346,1332.8486,1.4322901,0.33047935,0.126284
293.0603,905.64325,659.5879,1334.0573,1.4582199,0.3380708,0.13929194
301.678,911.1784,663.0473,1335.2899,1.4835181,0.34578863,0.15210623
310.53854,916.72906,666.5492,1336.5472,1.5083398,0.3536276,0.16472971
319.62665,922.29364,670.0913,1337.8293,1.5328002,0.36158356,0.17716527
328.94016,927.87085,673.6715,1339.1364,1.5569854,0.36965322,0.1894157
338.47522,933.45996,677.28754,1340.4688,1.5809585,0.37783396,0.20148373
348.2311,939.0597,680.93744,1341.8265,1.6047666,0.3861235,0.21337211
358.20633,944.66876,684.61957,1343.21,1.6284446,0.39451995,0.22508347
368.39365,950.2844,688.3318,1344.6194,1.6520174,0.4030217,0.23662049
378.78198,955.9042,692.0724,1346.0548,1.6755023,0.41162726,0.24798572
389.3678,961.5257,695.8396,1347.5164,1.6989101,0.42033535,0.25918174
400.15506,967.14594,699.6315,1349.0042,1.7222478,0.42914474,0.2702111
411.1532,972.7623,703.4463,1350.5184,1.7455187,0.43805423,0.28107625
422.3466,978.3727,707.2821,1352.0593,1.7687231,0.44706267,0.29177964
433.73392,983.97473,711.13715,1353.627,1.7918606,0.45616892,0.3023237
445.3112,989.5662,715.0096,1355.2212,1.8149292,0.46537182,0.31271076
457.07285,995.1439,718.89764,1356.8422,1.8379258,0.4746703,0.32294315
469.01932,1000.70514,722.79944,1358.49,1.8608466,0.48406312,0.33302325
481.14737,1006.2472,726.71326,1360.1647,1.883687,0.49354914,0.34295326
493.47955,1011.76764,730.6371,1361.8661,1.906442,0.50312716,0.35273546
505.99777,1017.2642,734.56915,1363.5944,1.9291066,0.512796,0.36237198
518.70605,1022.7341,738.5076,1365.3496,1.9516757,0.52255434,0.37186503
531.6072,1028.176,742.4507,1367.1316,1.9741439,0.53240097,0.38121676
544.7089,1033.5875,746.39655,1368.9403,1.9965068,0.54233456,0.39042926
558.0021,1038.9661,750.34344,1370.7758,2.01876,0.5523538,0.3995046
571.4763,1044.3092,754.2896,1372.6377,2.0408983,0.5624574,0.40844482
585.1257,1049.6141,758.23334,1374.5262,2.0629172,0.5726439,0.41725194
598.9481,1054.878,762.17267,1376.4413,2.0848114,0.58291185,0.42592794
612.96387,1060.099,766.10583,1378.3824,2.106576,0.59325993,0.43447477
627.18964,1065.2749,770.0311,1380.3499,2.1282058,0.6036867,0.44289434
641.6213,1070.4036,773.9469,1382.3434,2.1496968,0.61419064,0.45118856
656.2615,1075.4828,777.8511,1384.3627,2.1710443,0.6247703,0.4593593
671.1006,1080.5105,781.7423,1386.4077,2.1922445,0.63542414,0.46740842
686.1392,1085.4844,785.61865,1388.4783,2.2132928,0.64615065,0.47533768
701.38086,1090.4022,789.47845,1390.5741,2.2341855,0.65694827,0.48314893
716.8215,1095.262,793.32,1392.6951,2.254918,0.66781545,0.49084383
732.4609,1100.0614,797.14154,1394.841,2.2754872,0.6787506,0.49842417
748.30273,1104.7985,800.9415,1397.0114,2.295889,0.6897521,0.5058917
764.357,1109.4717,804.71826,1399.2062,2.3161192,0.70081836,0.513248
780.62976,1114.0795,808.4701,1401.4252,2.3361752,0.7119478,0.5204948
797.1066,1118.6202,812.19543,1403.6678,2.3560538,0.7231387,0.5276337
813.7898,1123.0922,815.8927,1405.934,2.375752,0.7343895,0.53466636
830.6835,1127.4934,819.56036,1408.2234,2.395267,0.74569845,0.54159427
847.7921,1131.8208,823.197,1410.5358,2.414596,0.757064,0.54841906
865.1008,1136.0723,826.80096,1412.8707,2.4337358,0.76848435,0.5551423
882.6082,1140.2462,830.37067,1415.228,2.4526825,0.77995795,0.5617654
900.3492,1144.3416,833.9046,1417.607,2.471433,0.79148304,0.5682899
918.3016,1148.3562,837.40125,1420.0076,2.4899845,0.8030579,0.5747172
936.46423,1152.2885,840.8592,1422.4293,2.5083342,0.8146809,0.58104885
954.8421,1156.1368,844.27686,1424.872,2.5264792,0.82635015,0.58728623
973.4356,1159.9001,847.6529,1427.335,2.5444174,0.838064,0.59343076
992.24384,1163.5768,850.9859,1429.8177,2.5621462,0.8498208,0.59948385
1011.2671,1167.1647,854.2745,1432.3202,2.5796635,0.8616187,0.60544676
1030.5045,1170.663,857.5172,1434.8419,2.5969663,0.873456,0.6113209
1049.9532,1174.0703,860.7127,1437.3822,2.6140528,0.885331,0.6171076
1069.6183,1177.3859,863.8598,1439.9407,2.630921,0.89724183,0.62280816
1089.5039,1180.6082,866.9573,1442.5171,2.647569,0.90918684,0.6284238
1109.6149,1183.7361,870.0037,1445.1107,2.663995,0.92116433,0.63395584
1129.9636,1186.7684,872.998,1447.7212,2.6801977,0.93317246,0.6394055
1150.5485,1189.7042,875.93896,1450.3483,2.6961749,0.9452095,0.6447741
