con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
76.91192,0.0028556,105.17594,104.8756,27.9451,33.229282,12.224061,0.3003404,35.82928
79.4414,0.002278755,108.676384,108.42874,28.9689,33.846405,12.532263,0.24764685,36.387287
82.050186,0.0021192434,112.285484,112.04752,29.977808,34.377975,12.871199,0.23796026,36.861084
84.760506,0.0021054058,115.99458,115.75037,30.968773,34.881012,13.2499075,0.24421567,37.30766
87.54528,0.0021468545,119.79927,119.54208,31.973982,35.37369,13.650666,0.2571916,37.745163
90.40293,0.002210431,123.69652,123.423096,32.995464,35.861748,14.067361,0.27342263,38.179295
93.331726,0.0022834362,127.68456,127.39299,34.03461,36.345627,14.493878,0.29155955,38.61048
96.33412,0.002360937,131.76152,131.45045,35.087566,36.82195,14.930939,0.31108063,39.03531
99.39902,0.0024410181,135.92555,135.59377,36.16381,37.29376,15.37662,0.33179674,39.45679
102.521675,0.0025229368,140.17561,139.82196,37.26712,37.76147,15.829714,0.35365424,39.87532
105.7157,0.002606418,144.51106,144.1344,38.383255,38.22399,16.299694,0.3766562,40.289783
108.98993,0.0026913683,148.9313,148.53047,39.50278,38.68245,16.798021,0.400829,40.701267
112.322205,0.002777763,153.43658,153.01038,40.648003,39.13263,17.311773,0.42621043,41.105545
115.71189,0.002865603,158.02507,157.57224,41.817707,39.574337,17.836166,0.45283714,41.50239
119.1699,0.0029548919,162.69626,162.2155,43.000366,40.00694,18.376171,0.48074985,41.891155
122.69481,0.0030456341,167.44885,166.93887,44.1962,40.431656,18.932808,0.50998795,42.273026
126.27868,0.003137829,172.28201,171.74142,45.412167,40.84639,19.499449,0.5405915,42.645897
129.9293,0.003231476,177.19559,176.62299,46.640266,41.24898,20.08218,0.5726033,43.00757
133.64038,0.0033265718,182.1895,181.58342,47.886692,41.640495,20.67567,0.6060664,43.3591
137.41208,0.0034231062,187.26378,186.62276,49.151253,42.01921,21.278807,0.6410238,43.69874
141.2444,0.0035210643,192.41954,191.74199,50.43496,42.385986,21.891989,0.6775215,44.02733
145.13469,0.0036204304,197.65741,196.9418,51.741158,42.741425,22.513472,0.7156049,44.345444
149.08577,0.0037211876,202.97733,202.22203,53.06682,43.083015,23.14531,0.75531673,44.650562
153.10672,0.0038233176,208.37846,207.58177,54.401875,43.407223,23.795153,0.796697,44.939125
157.18387,0.0039267982,213.85909,213.01929,55.758324,43.7157,24.458496,0.83978146,45.21277
161.32236,0.004031597,219.41777,218.53316,57.129555,44.00883,25.135427,0.88460404,45.471863
165.52246,0.004137684,225.05502,224.12381,58.51577,44.286934,25.824337,0.9312066,45.7167
169.7817,0.004245024,230.77164,229.79202,59.92015,44.549286,26.525583,0.97963125,45.946545
174.09662,0.004353586,236.56796,235.53804,61.346455,44.795406,27.24002,1.029919,46.16089
178.47319,0.0044633374,242.44441,241.36229,62.78911,45.026516,27.966923,1.0821112,46.360954
182.9052,0.00457424,248.40175,247.26552,64.25504,45.242718,28.70455,1.1362493,46.546818
187.39574,0.0046862634,254.44029,253.24792,65.7414,45.443954,29.453888,1.1923742,46.7184
191.94789,0.004799371,260.56104,259.31052,67.2461,45.630447,30.215637,1.2505292,46.87591
196.56056,0.0049135303,266.76505,265.45428,68.77122,45.802586,30.988289,1.3107581,47.019733
201.23239,0.005028705,273.05267,271.6796,70.31842,45.960037,31.77107,1.3731015,47.149513
205.96848,0.0051448643,279.4229,277.98532,71.88153,46.102207,32.567154,1.4375929,47.264637
210.76884,0.005261975,285.87604,284.37177,73.46081,46.229237,33.376465,1.5042726,47.36524
