kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.666,0.98686713,0.09813897,0.5963149,-0.45043284,-0.06869988,-0.011636729,-0.16786319
234.71083,0.99234265,0.09735437,0.59395933,-0.44827795,-0.068189554,-0.011400129,-0.16802004
241.1495,0.9969157,0.09903517,0.59243786,-0.44638735,-0.067750685,-0.011146928,-0.16836321
247.9443,1.0002797,0.10149435,0.59161866,-0.44452113,-0.06731646,-0.011105831,-0.16879036
255.06862,1.002988,0.10418114,0.59085745,-0.4428571,-0.06694021,-0.011306788,-0.16924268
262.50546,1.0051231,0.106901,0.58998656,-0.4413872,-0.06650877,-0.011670615,-0.1697034
270.23746,1.0067649,0.10961599,0.5890042,-0.4399763,-0.06614565,-0.012019749,-0.17022106
278.24878,1.0079222,0.11238232,0.58798987,-0.43869808,-0.06583334,-0.012310798,-0.1707702
286.52957,1.0088041,0.11510005,0.58697015,-0.43754596,-0.06558022,-0.012552912,-0.17130138
295.0717,1.0095056,0.117745236,0.58593696,-0.43648332,-0.06534166,-0.012756552,-0.17182255
303.86902,1.0098583,0.12033662,0.58530515,-0.43549538,-0.065163985,-0.01280051,-0.17246988
312.92053,1.0097777,0.12283485,0.58519876,-0.4346551,-0.064907804,-0.01284581,-0.17316681
322.21194,1.0095949,0.12533537,0.5851001,-0.43388528,-0.064662926,-0.013039733,-0.17388704
331.7366,1.0093309,0.12782544,0.58500516,-0.43317938,-0.06445184,-0.01324981,-0.17465788
341.4842,1.0088639,0.13031027,0.5850474,-0.43255433,-0.06426667,-0.013438339,-0.17545408
351.4469,1.0082327,0.13274975,0.58523536,-0.43207544,-0.06412015,-0.013624872,-0.1762681
361.62173,1.0075476,0.13518563,0.58541286,-0.43163902,-0.06398713,-0.013805266,-0.17707431
372.00534,1.0067298,0.13765411,0.5856131,-0.4312716,-0.06392988,-0.014062519,-0.17784008
382.59683,1.005865,0.14013304,0.58581156,-0.43094096,-0.06388189,-0.014315869,-0.17860207
393.4012,1.0049589,0.14265011,0.58598787,-0.43061453,-0.06382316,-0.014555956,-0.17937154
404.42078,1.0040195,0.14519161,0.58615434,-0.43031192,-0.06376328,-0.014783408,-0.18014827
415.65332,1.0030807,0.14774515,0.5863355,-0.4301026,-0.06372025,-0.014949675,-0.18094137
427.09125,1.0021194,0.15035571,0.58652383,-0.42994666,-0.06369814,-0.0150979115,-0.18173069
438.7208,1.0010552,0.15308642,0.5868433,-0.42985764,-0.0636538,-0.0152494265,-0.18263525
450.52948,1.0000267,0.15589046,0.5872239,-0.42986345,-0.063570976,-0.015424038,-0.18351513
462.51984,0.9989891,0.15875615,0.5876332,-0.42989028,-0.06351584,-0.015625382,-0.18438548
474.69467,0.9979443,0.16167323,0.5880574,-0.4299326,-0.06347084,-0.015827084,-0.18525392
487.05432,0.99691796,0.16466093,0.58852565,-0.4300508,-0.06341387,-0.016018832,-0.1861162
499.60007,0.99594104,0.16772279,0.58905035,-0.4302174,-0.063372724,-0.01622116,-0.18699557
512.3349,0.9949652,0.17083892,0.58959174,-0.43039525,-0.06334409,-0.016425276,-0.18787909
525.2584,0.99404234,0.17400745,0.59014666,-0.43058977,-0.06333686,-0.016625637,-0.18876639
538.3771,0.9931488,0.17723091,0.5907222,-0.43080756,-0.063312255,-0.016820664,-0.18966016
551.69507,0.9922617,0.18050604,0.5913145,-0.431046,-0.06328161,-0.017011488,-0.19055536
565.2136,0.99139184,0.18382841,0.59190017,-0.43129113,-0.063261166,-0.017195517,-0.19144772
578.9226,0.9905508,0.18720624,0.59247535,-0.4315762,-0.06331981,-0.017366732,-0.19237849
592.82416,0.9897043,0.1906444,0.5930688,-0.4318813,-0.06339592,-0.017537618,-0.19331321
606.92145,0.98885465,0.19414125,0.59367734,-0.4321996,-0.0634795,-0.017708296,-0.19424534
621.2141,0.988039,0.19768904,0.5942936,-0.43252802,-0.06356261,-0.017881894,-0.19521639
635.7044,0.98732686,0.20128898,0.5949059,-0.4328798,-0.06365451,-0.018041605,-0.19619223
650.396,0.98664874,0.2049455,0.59552646,-0.4332493,-0.06375513,-0.01819458,-0.19716021
665.2918,0.98596555,0.2086587,0.59616107,-0.43363196,-0.063862175,-0.018347556,-0.19812396
680.3974,0.9853143,0.21242669,0.5968763,-0.4340552,-0.063946694,-0.018516654,-0.19907
695.7265,0.9846897,0.21616884,0.5976564,-0.43454462,-0.064014755,-0.018641764,-0.19999585
711.2733,0.98408085,0.21995604,0.59844637,-0.4350495,-0.064087935,-0.018782461,-0.20091504
727.03876,0.9834822,0.2237966,0.59924877,-0.43557525,-0.06413849,-0.018931443,-0.20182192
743.01935,0.98288065,0.22771233,0.6001327,-0.43617728,-0.06421394,-0.019116962,-0.20273842
759.2061,0.98231184,0.2316882,0.601081,-0.43680933,-0.06433606,-0.019332314,-0.20365658
775.60175,0.9817541,0.23573872,0.6020393,-0.43744168,-0.06447364,-0.019520992,-0.20457177
792.2091,0.9812099,0.23986644,0.60300606,-0.43807197,-0.06462872,-0.019677782,-0.20548418
809.0284,0.98067266,0.24405944,0.6039878,-0.4387185,-0.06479144,-0.01983186,-0.2063915
826.06195,0.98013335,0.24831405,0.60498387,-0.4393773,-0.064960085,-0.019985193,-0.20729399
843.3139,0.9795881,0.2526275,0.60599375,-0.44004762,-0.06513373,-0.020138437,-0.20819181
860.7872,0.9790357,0.25699848,0.6070169,-0.44072866,-0.06531217,-0.02029162,-0.20908466
878.48474,0.9784753,0.26142564,0.60805273,-0.44142115,-0.06549553,-0.020444626,-0.20997238
896.40656,0.97793543,0.26591864,0.6090935,-0.4421512,-0.06566823,-0.020588601,-0.21086954
914.5507,0.9774674,0.27048215,0.6101547,-0.44292542,-0.06581003,-0.020726198,-0.21177334
932.918,0.9770611,0.2751034,0.611255,-0.44371092,-0.06592632,-0.020876372,-0.21266326
951.51025,0.97663885,0.27975544,0.6123714,-0.4445044,-0.066054,-0.021023387,-0.21352163
970.32983,0.97619396,0.28441373,0.61350596,-0.44530457,-0.0661992,-0.021164412,-0.21432659
989.3793,0.97574115,0.2891276,0.6146527,-0.44611406,-0.06634784,-0.02130633,-0.21512683
1008.6575,0.97529364,0.29389223,0.6158082,-0.44695044,-0.06649938,-0.021454358,-0.21593355
1028.1466,0.97489417,0.29871225,0.61697185,-0.4478358,-0.06665065,-0.021634066,-0.21675116
1047.8534,0.9744636,0.30363345,0.6181742,-0.44863665,-0.066802725,-0.021822507,-0.21748528
1067.7837,0.97402805,0.30861777,0.6193905,-0.44944388,-0.06695727,-0.02201202,-0.21821424
1087.9276,0.97357494,0.31363955,0.62058973,-0.4502977,-0.06708956,-0.022143746,-0.21889277
1108.31,0.97319347,0.31875533,0.6217785,-0.45117044,-0.06719599,-0.022273028,-0.21957602
1128.914,0.97279215,0.32393,0.62298197,-0.45207995,-0.067348786,-0.02241137,-0.22025058
1149.7402,0.97238517,0.3291677,0.6242,-0.45298266,-0.06751263,-0.022540415,-0.2209348
1170.7728,0.97202957,0.33446124,0.62542766,-0.45389533,-0.067704454,-0.022654796,-0.22162446
1192.05,0.9716957,0.33971083,0.6266731,-0.45488667,-0.06793546,-0.022807414,-0.2223336
1213.5775,0.9713559,0.34500915,0.6279282,-0.45588958,-0.068169385,-0.02296489,-0.22304013
1235.3549,0.97101885,0.35035843,0.6291983,-0.4569006,-0.06839209,-0.023114854,-0.2237356
1257.3792,0.97069275,0.35575998,0.6304855,-0.45791954,-0.06859342,-0.023258174,-0.22441927
1279.6334,0.97036904,0.36131638,0.63181037,-0.45893735,-0.06877239,-0.02340963,-0.22510882
1302.0947,0.97000533,0.36699498,0.63318485,-0.45994544,-0.06891731,-0.023512805,-0.22575642
1324.7854,0.9696198,0.37271467,0.6345835,-0.46095997,-0.06905857,-0.023613656,-0.2263713
1347.6963,0.9692636,0.3784873,0.6359835,-0.46196944,-0.069181584,-0.023716653,-0.22700337
1370.8212,0.9689373,0.38431582,0.63738596,-0.46297354,-0.069286115,-0.023821587,-0.22765163
1394.1788,0.96862054,0.39024678,0.6387923,-0.46400744,-0.06944856,-0.023956293,-0.22831349
1417.7815,0.968354,0.39624676,0.64018005,-0.46510577,-0.06962219,-0.024086619,-0.22900991
1441.6252,0.96809334,0.4022932,0.6415817,-0.4662151,-0.06980663,-0.024213547,-0.2297081
1465.7124,0.9678225,0.40839162,0.64299333,-0.46732742,-0.06999255,-0.024341816,-0.23039943
1490.0377,0.9675675,0.4145575,0.6444058,-0.46845564,-0.070140034,-0.024459058,-0.2310787
1514.6033,0.9673287,0.42077416,0.64580506,-0.46958217,-0.070281394,-0.02456736,-0.23175812
1539.4111,0.9670903,0.42704394,0.6472198,-0.47072622,-0.07042391,-0.02469101,-0.23243436
1564.4973,0.9668793,0.43339637,0.6486477,-0.4718309,-0.070635684,-0.02479967,-0.23314676
1589.8356,0.9666701,0.4398733,0.65008557,-0.4729928,-0.070899114,-0.02493977,-0.23383783
1615.4159,0.96645844,0.446231,0.65152,-0.4741602,-0.07116047,-0.025111342,-0.23442295
1641.2485,0.96623147,0.45257437,0.6529927,-0.47532582,-0.07141658,-0.025235081,-0.23500817
1667.3431,0.9659583,0.45897332,0.6544906,-0.47643965,-0.07166521,-0.025309319,-0.23569888
1693.7006,0.96569806,0.46539658,0.6559866,-0.47757256,-0.07189062,-0.025377,-0.23637646
1720.3014,0.96544194,0.47189116,0.6574931,-0.4787504,-0.07205744,-0.025486225,-0.2370128
1747.1508,0.9651893,0.47844756,0.65905863,-0.47988462,-0.072257355,-0.025581384,-0.23755583
1774.2545,0.96492976,0.48502815,0.66062963,-0.48101762,-0.072458275,-0.025676811,-0.23809192
1801.6252,0.9646892,0.4916309,0.6622056,-0.48214257,-0.07265754,-0.025758887,-0.23862866
1829.2661,0.9644441,0.49824786,0.6637852,-0.4832653,-0.07285735,-0.0258384,-0.23916
1857.181,0.96418846,0.5048749,0.665368,-0.48438734,-0.07305857,-0.025917793,-0.23968396
1885.3766,0.96394366,0.51152515,0.6669604,-0.48552546,-0.073250145,-0.02599647,-0.24019784
1913.8136,0.96370554,0.5182563,0.6685452,-0.48666275,-0.07343159,-0.026151175,-0.2406942
1942.493,0.9634591,0.525098,0.6700922,-0.48777962,-0.073626876,-0.026316756,-0.24117644
1971.4312,0.9631902,0.5320949,0.6715917,-0.48886764,-0.073861666,-0.02641263,-0.2416206
2000.6644,0.9629357,0.53914934,0.6731249,-0.489934,-0.07410215,-0.026499534,-0.24205017
2030.1731,0.96271193,0.5464287,0.67464066,-0.4910615,-0.074294776,-0.026624763,-0.24249458
2059.9636,0.9624762,0.553957,0.67608607,-0.4921853,-0.074483454,-0.02672013,-0.2429195
2090.0312,0.9622159,0.56171775,0.6774819,-0.49323252,-0.074668616,-0.026814664,-0.24333248
2120.3257,0.9619636,0.5695881,0.67895603,-0.49429035,-0.07490931,-0.026899451,-0.24376042
2150.8545,0.96170855,0.5776188,0.68044305,-0.49534345,-0.0751135,-0.026944721,-0.24421805
2181.603,0.9614343,0.5857463,0.68194115,-0.49639636,-0.07528842,-0.026996667,-0.24463958
2212.5996,0.9611734,0.5940242,0.683413,-0.4974753,-0.07545783,-0.02707916,-0.24503966
2243.895,0.96093756,0.60245657,0.6848401,-0.49855882,-0.07565874,-0.02717548,-0.24536166
2275.4832,0.9606986,0.61088645,0.68626493,-0.49964154,-0.07586192,-0.027264828,-0.24570456
2307.3604,0.9605142,0.61950755,0.68764055,-0.5007497,-0.07606947,-0.027337069,-0.24610943
2339.4778,0.9602742,0.62829566,0.6889376,-0.5018604,-0.07628591,-0.0274001,-0.24644506
2371.8403,0.9600359,0.6371004,0.6902467,-0.5029613,-0.0764995,-0.027451241,-0.2467732
2404.455,0.95979154,0.64590997,0.6915651,-0.5040586,-0.07671373,-0.027502889,-0.24709453
2437.3252,0.9595507,0.6547292,0.6928955,-0.50517046,-0.07693783,-0.027553076,-0.24741247
