foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
7.260e-05,2.537e-04,4.029e-04,5.796e-04,1.241e-03,3.010e-06,6.318e-06,2.471e-04
6.258e-05,2.031e-04,1.259e-04,5.021e-04,1.166e-03,6.881e-05,2.738e-05,2.219e-04
2.835e-04,4.864e-05,9.066e-05,7.237e-04,9.696e-04,3.833e-05,3.189e-06,2.438e-04
1.884e-04,1.364e-04,1.187e-04,9.046e-04,1.083e-03,3.445e-05,2.199e-05,2.611e-04
1.184e-04,1.616e-04,1.636e-04,9.360e-04,1.126e-03,8.866e-05,6.247e-05,2.515e-04
6.235e-05,1.824e-04,2.077e-04,8.100e-04,1.169e-03,8.464e-06,2.212e-05,1.942e-04
8.035e-05,1.643e-04,2.475e-04,6.796e-04,1.185e-03,4.172e-07,2.272e-06,1.737e-04
4.637e-05,1.442e-04,2.878e-04,5.899e-04,1.217e-03,1.428e-05,3.611e-05,2.109e-04
2.078e-04,7.510e-05,3.195e-04,5.349e-04,1.289e-03,6.399e-05,2.702e-05,2.461e-04
1.397e-04,6.652e-05,3.411e-04,4.571e-04,1.154e-03,9.879e-05,6.484e-05,1.839e-04
6.485e-05,1.340e-04,3.483e-04,5.382e-04,9.086e-04,3.091e-05,3.354e-05,1.964e-04
2.789e-05,3.338e-06,3.353e-04,6.759e-04,9.895e-04,3.794e-05,4.086e-05,1.971e-04
1.057e-04,9.537e-06,3.195e-04,6.719e-04,1.045e-03,4.914e-05,2.489e-05,1.654e-04
2.706e-05,7.510e-05,3.000e-04,6.430e-04,9.909e-04,3.430e-05,1.584e-05,1.627e-04
3.731e-05,1.376e-04,2.746e-04,6.345e-04,9.268e-04,4.905e-05,6.609e-06,1.664e-04
8.464e-06,1.850e-04,2.401e-04,6.257e-04,1.017e-03,3.049e-05,4.806e-06,1.951e-04
7.820e-05,2.413e-04,2.028e-04,6.516e-04,9.780e-04,3.999e-05,6.492e-05,2.349e-04
7.510e-05,2.501e-04,1.651e-04,5.992e-04,9.618e-04,1.922e-05,5.927e-05,2.372e-04
7.904e-05,2.470e-04,1.262e-04,5.456e-04,9.757e-04,3.096e-05,3.463e-05,2.298e-04
8.786e-05,1.872e-04,8.863e-05,5.004e-04,9.860e-04,5.963e-05,2.020e-05,2.245e-04
7.415e-05,9.942e-05,5.102e-05,4.448e-04,1.033e-03,2.187e-05,2.448e-05,2.240e-04
