,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,1.243e-04,2.576e-04,2.146e-04,6.616e-04,9.462e-04,5.435e-05,2.075e-05,2.349e-04
std,5.956e-05,2.207e-04,2.700e-04,1.711e-04,2.269e-04,5.127e-05,1.361e-05,4.683e-05
min,7.153e-07,3.338e-06,0.000e+00,3.629e-04,4.573e-04,3.576e-07,8.941e-08,5.804e-05
0.1%,7.153e-07,3.338e-06,0.000e+00,3.629e-04,4.573e-04,3.576e-07,8.941e-08,5.804e-05
25%,8.743e-05,9.716e-05,2.328e-10,5.418e-04,7.266e-04,1.390e-05,1.079e-05,2.017e-04
50%,1.132e-04,1.547e-04,1.062e-04,6.250e-04,1.045e-03,3.469e-05,1.732e-05,2.501e-04
75%,1.481e-04,3.755e-04,3.037e-04,7.905e-04,1.148e-03,9.046e-05,2.921e-05,2.701e-04
99.9%,2.897e-04,8.385e-04,1.000e-03,1.033e-03,1.289e-03,2.744e-04,8.529e-05,3.206e-04
max,2.897e-04,8.385e-04,1.000e-03,1.033e-03,1.289e-03,2.744e-04,8.529e-05,3.206e-04
