kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,628.0,1323.0,1.1,0.27,0.0
228.58438,856.9147,630.85046,1324.0083,0.98263633,0.2776443,0.014888048
234.63086,862.8532,633.80896,1325.0369,0.94762045,0.28413728,0.029554427
241.07112,868.7986,636.86884,1326.0865,0.9445216,0.29024795,0.044002473
247.86723,874.7499,640.0228,1327.158,0.9537736,0.2962738,0.058235407
254.99277,880.7106,643.2642,1328.2518,0.967793,0.3023294,0.072256446
262.43057,886.685,646.58716,1329.3689,0.9836451,0.3084583,0.08606875
270.1637,892.67725,649.98615,1330.5098,1.0001985,0.31467676,0.09967542
278.1759,898.6896,653.4566,1331.6748,1.01702,0.32099044,0.11307949
286.45724,904.72485,656.9944,1332.8647,1.0339444,0.32740086,0.126284
295.00015,910.7855,660.5955,1334.08,1.0509112,0.3339081,0.13929194
303.79807,916.87335,664.2569,1335.3209,1.0679,0.3405117,0.15210623
312.85013,922.9901,667.97534,1336.588,1.0849047,0.34721097,0.16472971
322.14194,929.1361,671.7485,1337.8817,1.1019249,0.35400513,0.17716527
331.66718,935.3114,675.57355,1339.2021,1.1189606,0.3608935,0.1894157
341.41516,941.5156,679.4485,1340.5498,1.1360118,0.36787528,0.20148373
351.37817,947.7488,683.3712,1341.9252,1.1530778,0.3749498,0.21337211
361.55325,954.00995,687.3397,1343.3284,1.1701579,0.38211638,0.22508347
371.93723,960.2977,691.3522,1344.7596,1.1872507,0.38937423,0.23662049
382.52887,966.6108,695.4068,1346.2194,1.204354,0.39672267,0.24798572
393.33344,972.94745,699.50183,1347.7079,1.2214649,0.40416095,0.25918174
404.3534,979.30597,703.6356,1349.2252,1.2385801,0.41168833,0.2702111
415.58615,985.685,707.8066,1350.7716,1.2556968,0.41930398,0.28107625
427.02417,992.08234,712.013,1352.3475,1.2728118,0.42700717,0.29177964
438.65366,998.49493,716.2534,1353.9529,1.2899215,0.43479702,0.3023237
450.46268,1004.9201,720.52606,1355.5881,1.307021,0.44267273,0.31271076
462.45297,1011.3555,724.82935,1357.2532,1.3241057,0.45063338,0.32294315
474.62796,1017.7985,729.1616,1358.9484,1.3411708,0.45867807,0.33302325
486.9878,1024.2467,733.5213,1360.6738,1.358212,0.46680582,0.34295326
499.53348,1030.6974,737.90643,1362.4293,1.3752253,0.47501567,0.35273546
512.2683,1037.1482,742.3157,1364.2155,1.392206,0.48330662,0.36237198
525.19214,1043.5969,746.747,1366.0321,1.4091504,0.49167758,0.37186503
538.3106,1050.0413,751.199,1367.8795,1.4260546,0.5001275,0.38121676
551.62854,1056.4791,755.6698,1369.7576,1.4429152,0.5086553,0.39042926
565.14716,1062.9082,760.1577,1371.6664,1.4597285,0.5172599,0.3995046
578.85626,1069.3264,764.66125,1373.6062,1.4764916,0.52594006,0.40844482
592.75745,1075.7312,769.1786,1375.5768,1.4932014,0.5346947,0.41725194
606.8548,1082.1204,773.7081,1377.5781,1.5098541,0.54352254,0.42592794
621.14746,1088.492,778.2481,1379.6106,1.5264468,0.55242246,0.43447477
635.63763,1094.8434,782.7971,1381.6737,1.5429765,0.56139326,0.44289434
650.32904,1101.1729,787.3532,1383.7677,1.5594401,0.5704337,0.45118856
665.2251,1107.478,791.91486,1385.8925,1.5758348,0.57954246,0.4593593
680.33044,1113.7568,796.4805,1388.0481,1.5921578,0.5887183,0.46740842
695.6595,1120.0087,801.0485,1390.2344,1.6084064,0.59795994,0.47533768
711.20593,1126.2317,805.6173,1392.4512,1.6245794,0.6072661,0.48314893
726.9716,1132.4236,810.18536,1394.6986,1.6406753,0.61663556,0.49084383
742.95184,1138.5825,814.75116,1396.9764,1.6566914,0.626067,0.49842417
759.13837,1144.7059,819.3132,1399.2845,1.6726258,0.635559,0.5058917
775.5342,1150.7916,823.8699,1401.623,1.6884754,0.6451104,0.513248
792.1413,1156.8375,828.41974,1403.9913,1.7042377,0.6547198,0.5204948
808.9602,1162.8414,832.9612,1406.3896,1.7199101,0.6643859,0.5276337
825.99396,1168.8011,837.4927,1408.8176,1.7354903,0.67410725,0.53466636
843.2456,1174.7152,842.01276,1411.2751,1.7509758,0.6838826,0.54159427
860.71857,1180.5814,846.5198,1413.7621,1.7663648,0.69371057,0.54841906
878.4162,1186.3983,851.01227,1416.2781,1.781655,0.7035897,0.5551423
896.338,1192.1637,855.48883,1418.8231,1.7968451,0.7135187,0.5617654
914.4818,1197.876,859.9479,1421.397,1.8119328,0.72349614,0.5682899
932.84845,1203.5332,864.38794,1423.9993,1.8269165,0.7335207,0.5747172
951.4409,1209.1344,868.8077,1426.6299,1.8417943,0.7435909,0.58104885
970.2604,1214.6786,873.2056,1429.2885,1.856565,0.7537054,0.58728623
989.30963,1220.1646,877.5804,1431.9749,1.8712285,0.7638627,0.59343076
1008.5875,1225.5905,881.9307,1434.6887,1.8857833,0.77406156,0.59948385
1028.0759,1230.9548,886.2552,1437.4297,1.9002285,0.78430057,0.60544676
1047.7832,1236.2554,890.5526,1440.1975,1.9145625,0.79457825,0.6113209
1067.7128,1241.4905,894.8217,1442.9918,1.9287833,0.8048933,0.6171076
1087.8564,1246.6589,899.06104,1445.8126,1.9428895,0.8152443,0.62280816
1108.239,1251.7588,903.26935,1448.6592,1.9568795,0.82562995,0.6284238
1128.8425,1256.7887,907.44543,1451.5314,1.9707521,0.8360487,0.63395584
1149.6676,1261.7473,911.5879,1454.429,1.9845057,0.8464993,0.6394055
1170.7009,1266.6333,915.69556,1457.3513,1.9981394,0.8569804,0.6447741
1191.9777,1271.447,919.7672,1460.2983,2.011652,0.8674905,0.65006274
1213.5052,1276.1876,923.8017,1463.2694,2.025044,0.8780282,0.65527266
1235.282,1280.854,927.7979,1466.2642,2.0383153,0.88859224,0.66040504
1257.3064,1285.4448,931.75494,1469.2823,2.0514655,0.89918125,0.665461
1279.5597,1289.9576,935.6716,1472.3236,2.0644937,0.9097938,0.6704416
1302.0214,1294.39,939.54675,1475.3876,2.0773973,0.9204286,0.6753481
1324.711,1298.7411,943.3794,1478.4735,2.090175,0.9310843,0.6801815
1347.622,1303.0103,947.1683,1481.5813,2.1028247,0.9417595,0.68494296
1370.7463,1307.1964,950.9124,1484.7104,2.1153462,0.95245296,0.6896336
1394.1036,1311.2979,954.61066,1487.8605,2.127739,0.9631632,0.6942544
1417.7065,1315.3138,958.2621,1491.0309,2.1400013,0.97388893,0.6988064
1441.5492,1319.2435,961.8656,1494.2216,2.1521325,0.98462886,0.70329064
1465.6366,1323.0863,965.4202,1497.4316,2.1641324,0.9953816,0.7077081
1489.9622,1326.8414,968.9249,1500.6608,2.176,1.0061458,0.71205986
1514.5269,1330.5083,972.3789,1503.9087,2.1877358,1.0169202,0.71634674
1539.3346,1334.0864,975.7812,1507.1746,2.1993384,1.0277034,0.72056985
1564.4209,1337.5746,979.131,1510.4584,2.2108083,1.0384942,0.7247301
1589.7576,1340.9712,982.4274,1513.7592,2.2208915,1.0492913,0.7288283
1615.3383,1344.2789,985.66956,1517.0768,2.2303495,1.0600817,0.7328656
1641.17,1347.4984,988.8568,1520.4105,2.23948,1.0708599,0.7368427
1667.2643,1350.629,991.9886,1523.76,2.248399,1.0816228,0.74076056
1693.6227,1353.6708,995.06433,1527.1246,2.2571511,1.0923688,0.7446202
1720.2217,1356.6228,998.0835,1530.504,2.2657545,1.1030965,0.7484224
1747.0712,1359.4846,1001.0455,1533.8975,2.2742147,1.1138046,0.75216794
1774.1749,1362.2565,1003.94977,1537.3047,2.282535,1.124492,0.7558577
1801.5443,1364.9382,1006.796,1540.7249,2.2907162,1.1351577,0.7594925
1829.1854,1367.5304,1009.5836,1544.1578,2.2987585,1.1458005,0.76307327
1857.1002,1370.0332,1012.3122,1547.603,2.3066633,1.1564193,0.76660067
1885.2952,1372.4471,1014.9814,1551.0597,2.3144312,1.167013,0.77007556
1913.7316,1374.7712,1017.591,1554.5273,2.322063,1.1775808,0.7734987
1942.4113,1377.0042,1020.1406,1558.0057,2.3295581,1.1881214,0.7768709
1971.3489,1379.144,1022.6299,1561.494,2.3369157,1.1986341,0.78019285
2000.5808,1381.1908,1025.0582,1564.9917,2.344134,1.2091178,0.7834654
2030.0898,1383.1415,1027.4255,1568.4984,2.3512123,1.2195714,0.78668916
2059.88,1384.9932,1029.7311,1572.0135,2.358148,1.2299937,0.78986496
2089.9463,1386.7432,1031.9741,1575.5366,2.3649378,1.240384,0.7929935
2120.2427,1388.391,1034.1539,1579.0671,2.3715782,1.2507411,0.79607546
2150.7698,1389.9357,1036.2698,1582.6044,2.378068,1.261064,0.79911155
2181.5183,1391.3767,1038.3209,1586.148,2.3844051,1.2713516,0.80210245
2212.514,1392.7134,1040.3066,1589.6973,2.390589,1.2816029,0.8050488
2243.8086,1393.9448,1042.2263,1593.2517,2.3966188,1.2918167,0.8079513
2275.3967,1395.0729,1044.0792,1596.8107,2.4024935,1.301992,0.81081057
2307.274,1396.0958,1045.8647,1600.3739,2.4082136,1.3121276,0.81362724
2339.3901,1397.013,1047.5823,1603.9403,2.4137783,1.3222225,0.81640196
2371.7524,1397.8254,1049.2313,1607.51,2.4191868,1.3322756,0.8191354
2404.366,1398.5353,1050.8113,1611.0818,2.4244394,1.3422861,0.8218281
2437.236,1399.1438,1052.322,1614.6555,2.4295375,1.3522527,0.8244808
2470.3667,1399.6527,1053.7632,1618.2303,2.434483,1.3621745,0.82709396
