con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.03697,0.0028556,105.17594,104.8756,27.720564,29.483345,41.20271,0.3003404,32.083344
79.498825,0.0035029713,108.64678,108.2662,28.63933,29.793364,42.353844,0.3805866,32.334248
82.03895,0.0041117165,112.21475,111.75336,29.576324,30.112228,43.554955,0.46139523,32.595337
84.66417,0.004678524,115.87722,115.33508,30.522642,30.434576,44.809525,0.54213434,32.861225
87.36136,0.005204256,119.632744,119.01014,31.49062,30.768845,46.11302,0.6225994,33.140316
90.13039,0.0056920177,123.478775,122.77594,32.476826,31.092802,47.46466,0.70284337,33.410355
92.97628,0.0061459863,127.41488,126.63178,33.475468,31.404692,48.867535,0.78309005,33.669548
95.894875,0.00657066,131.44096,130.57732,34.490356,31.70461,50.321598,0.86365396,33.91797
98.8816,0.0069704475,135.55176,134.6069,35.520046,31.984386,51.818962,0.9448564,34.14742
101.93384,0.0073494455,139.74727,138.7202,36.567303,32.253307,53.365955,1.027065,34.367157
105.05212,0.007711326,144.02794,142.91728,37.63137,32.50657,54.958145,1.1106464,34.572357
108.23131,0.008059322,148.39282,147.19688,38.716488,32.750225,56.59357,1.1959456,34.769043
111.475945,0.008396219,152.8395,151.55623,39.81436,32.96706,58.279686,1.283274,34.939976
114.77842,0.008724413,157.3699,155.99695,40.934975,33.171234,60.009953,1.37296,35.09929
118.14684,0.009045897,161.98372,160.51843,42.069786,33.365112,61.787094,1.4652882,35.249332
121.57471,0.00936235,166.67741,165.1169,43.221344,33.545002,63.60479,1.5604922,35.386375
125.06231,0.009675178,171.45074,169.79192,44.38858,33.706387,65.46668,1.6588163,35.505894
128.60924,0.009985542,176.30536,174.54485,45.573177,33.84796,67.37289,1.7605046,35.606552
132.21483,0.01029439,181.24086,179.37509,46.77531,33.972637,69.324776,1.865764,35.69124
135.87776,0.010602482,186.25621,184.28142,47.994858,34.076893,71.31946,1.974778,35.75642
139.6029,0.010910433,191.34937,189.26166,49.22487,34.16248,73.360985,2.0877044,35.803818
