kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.45856,0.984545,0.19980577,2.00616,-1.5281411,-0.23874582,-0.06169578,-0.34289196
234.21835,0.9913035,0.20522797,2.0034673,-1.5217355,-0.23710872,-0.06391927,-0.3431893
240.33725,0.99711365,0.21033277,2.0008385,-1.5157609,-0.23559837,-0.065910995,-0.34361398
246.79729,1.0019305,0.21523683,1.9982127,-1.5103203,-0.23419012,-0.06769736,-0.3440018
253.57489,1.0060511,0.2197117,1.9959127,-1.5054439,-0.23294011,-0.06924315,-0.34441912
260.66183,1.0095333,0.22430108,1.9937893,-1.5009989,-0.23174761,-0.07072699,-0.34485218
268.05228,1.0123504,0.2290291,1.9917997,-1.4969645,-0.23069067,-0.07216793,-0.345347
275.70642,1.0146234,0.23387533,1.990173,-1.4933417,-0.22972175,-0.07344657,-0.34598908
283.6214,1.0164675,0.23898707,1.9887108,-1.4901412,-0.22879192,-0.07460357,-0.3466041
291.7963,1.0179579,0.24412751,1.9876468,-1.4873167,-0.22796096,-0.0757654,-0.34725517
300.22226,1.0191208,0.2494047,1.9868363,-1.484872,-0.22723527,-0.07683939,-0.34798062
308.87988,1.0200567,0.2546595,1.9864001,-1.4827845,-0.22665136,-0.077754095,-0.3487559
317.7804,1.020727,0.2602653,1.9862883,-1.4809445,-0.22605762,-0.07876296,-0.3495472
326.9186,1.0212553,0.26589906,1.9864892,-1.4793048,-0.2254916,-0.07979986,-0.35036772
336.26822,1.0215557,0.271503,1.9869213,-1.4780458,-0.22496441,-0.08077201,-0.35120952
345.82605,1.0217298,0.2771366,1.9875028,-1.4770685,-0.2245589,-0.08173445,-0.35217953
355.60107,1.021788,0.28289616,1.9883128,-1.4763812,-0.22421524,-0.08271605,-0.3531598
365.58777,1.0217477,0.28880572,1.9893764,-1.4759198,-0.22388029,-0.08367288,-0.35411608
375.7779,1.0216287,0.29480088,1.9907018,-1.4756753,-0.2236067,-0.084650144,-0.35509846
386.15515,1.0214549,0.30094203,1.9922683,-1.4755791,-0.22329876,-0.085579336,-0.3560805
396.73605,1.0211827,0.30718383,1.9940765,-1.4759043,-0.22310965,-0.0864397,-0.3571808
407.51306,1.0208496,0.31346688,1.9960878,-1.4763956,-0.22301337,-0.08732082,-0.35828096
418.48123,1.0205561,0.31977904,1.9981797,-1.4770247,-0.22289503,-0.08830467,-0.35936517
429.64697,1.0202441,0.32624376,2.000471,-1.4778389,-0.22277577,-0.089195415,-0.36045754
440.99615,1.0198939,0.332841,2.0029433,-1.4788495,-0.22274719,-0.0900702,-0.361527
452.5291,1.0195948,0.3394986,2.0055525,-1.4799967,-0.22273086,-0.09089364,-0.36261103
464.24988,1.0193139,0.3463588,2.0084584,-1.4813396,-0.22273271,-0.091698915,-0.36379957
476.17093,1.0190655,0.3533715,2.0115714,-1.4828461,-0.22277795,-0.09252174,-0.36502406
488.28387,1.0187683,0.36046448,2.0147824,-1.484396,-0.22285175,-0.093375206,-0.36623672
500.58044,1.0184842,0.36759937,2.0181751,-1.4861251,-0.22301584,-0.09423038,-0.36738262
513.06067,1.0181904,0.37478545,2.0216873,-1.4879957,-0.22321434,-0.09510423,-0.36855185
525.718,1.0179336,0.3820084,2.0252903,-1.4900005,-0.22342573,-0.09596433,-0.36973065
538.5527,1.0177286,0.38928494,2.0290332,-1.4921211,-0.2236384,-0.096802786,-0.37090796
551.60016,1.0175573,0.3968804,2.0329084,-1.4943429,-0.22378254,-0.09765051,-0.3720836
564.82837,1.0173968,0.40463722,2.036949,-1.4967055,-0.22401898,-0.09838104,-0.3732062
578.249,1.0172,0.4124518,2.041092,-1.4991859,-0.22428915,-0.09921558,-0.37435716
591.85956,1.0170153,0.42032954,2.045353,-1.501793,-0.22454058,-0.10004175,-0.3755193
605.64874,1.0168159,0.42827383,2.0497696,-1.5045059,-0.22481857,-0.1008279,-0.37667376
619.6296,1.0167243,0.43623528,2.0542495,-1.50731,-0.22514187,-0.10163848,-0.37783176
633.8053,1.0166488,0.4442583,2.058758,-1.5101565,-0.22548158,-0.10244292,-0.3789837
648.18567,1.0165834,0.45234537,2.063444,-1.5130979,-0.22579968,-0.10321729,-0.38017392
662.74725,1.0165063,0.4604686,2.0682714,-1.5161079,-0.22607698,-0.103929356,-0.38143313
677.4939,1.0164311,0.4686955,2.0732088,-1.5191685,-0.22643849,-0.104674146,-0.38266468
692.43146,1.016361,0.47706133,2.0783112,-1.5222629,-0.22683315,-0.10548554,-0.38383836
707.56903,1.016353,0.48546284,2.0834491,-1.5253876,-0.2271999,-0.106272325,-0.38498718
722.9138,1.0163796,0.4939198,2.0886426,-1.5285431,-0.22762008,-0.107063115,-0.38618594
738.4615,1.0164719,0.50248855,2.0938892,-1.5318017,-0.2280979,-0.107876286,-0.38732257
754.20514,1.016593,0.51119983,2.0991485,-1.5351477,-0.22859679,-0.10872649,-0.38834286
770.16974,1.0166612,0.52013284,2.104453,-1.5385853,-0.22906764,-0.10954438,-0.38939533
786.33484,1.0167265,0.52915907,2.1097817,-1.5421404,-0.2295328,-0.11032045,-0.3904851
802.7003,1.0167773,0.5382465,2.1150987,-1.5456945,-0.22999959,-0.11107607,-0.3915551
819.2629,1.0168474,0.54738003,2.120397,-1.5492476,-0.23045106,-0.1118343,-0.39260235
836.0256,1.0169557,0.5566013,2.1257627,-1.5527958,-0.2309352,-0.112571284,-0.39364523
853.00305,1.0170686,0.5659899,2.1312099,-1.5563364,-0.23143964,-0.113275856,-0.3946207
870.20306,1.017185,0.57547265,2.1366465,-1.5599314,-0.23197137,-0.11397979,-0.39561766
887.611,1.0173563,0.5850394,2.1421344,-1.5635206,-0.2324763,-0.114649996,-0.3965926
905.2201,1.0174897,0.59470344,2.1476479,-1.567124,-0.23293544,-0.115330905,-0.3975479
923.06647,1.0176802,0.6045251,2.1532607,-1.5708001,-0.23344384,-0.115960404,-0.39841133
941.1204,1.0179613,0.6144078,2.1589692,-1.5745155,-0.23405716,-0.116589874,-0.3992766
959.39026,1.0181904,0.6243559,2.1646857,-1.5782264,-0.23467632,-0.11723107,-0.400179
977.88934,1.0183913,0.6343861,2.170396,-1.5819436,-0.23528288,-0.11791496,-0.40109268
996.61945,1.0185772,0.64447826,2.1760733,-1.5856745,-0.23586862,-0.11856203,-0.4019271
1015.5724,1.0187377,0.6546171,2.181736,-1.5893974,-0.23646429,-0.11918639,-0.4027204
1034.7416,1.018914,0.6648703,2.1874168,-1.593124,-0.23709881,-0.119835064,-0.40347144
1054.1354,1.0191029,0.67534363,2.193108,-1.5968326,-0.23771049,-0.12046099,-0.404286
1073.7461,1.0192848,0.6858719,2.1987863,-1.6005107,-0.23828411,-0.12107381,-0.40503597
1093.5872,1.0195007,0.6964205,2.2044556,-1.6041738,-0.23886727,-0.12164472,-0.40573135
1113.6559,1.019673,0.70705944,2.2101839,-1.6079174,-0.23945908,-0.12219788,-0.40639699
1133.9376,1.0198315,0.71817577,2.2159894,-1.6117858,-0.24005437,-0.122776076,-0.40715665
1154.433,1.0200119,0.729472,2.2216902,-1.6155263,-0.24065739,-0.12332475,-0.4079861
1175.1508,1.0202445,0.740987,2.2273703,-1.6192533,-0.24123436,-0.12386872,-0.4086826
1196.1088,1.0204532,0.752632,2.2330241,-1.6229895,-0.24183176,-0.12440659,-0.40932307
1217.2942,1.0206271,0.7642983,2.2386258,-1.6266928,-0.24245295,-0.12491827,-0.409936
1238.6793,1.0207773,0.77607405,2.244261,-1.6304673,-0.2431538,-0.12542005,-0.41054568
