foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
7.141e-05,4.816e-04,2.600e-04,4.761e-05,2.122e-04,9.537e-05,7.153e-07,1.436e-05
1.180e-05,5.090e-04,6.390e-05,2.562e-05,2.439e-04,3.695e-06,2.310e-06,8.357e-05
1.231e-04,4.492e-04,5.960e-05,2.655e-05,1.409e-04,2.611e-05,2.049e-05,1.121e-05
4.113e-05,4.976e-04,1.282e-04,8.702e-05,2.408e-04,1.035e-04,2.541e-05,5.871e-06
3.576e-07,4.165e-04,1.084e-04,1.524e-05,2.035e-04,6.926e-05,2.129e-05,3.287e-05
7.844e-05,4.013e-04,8.827e-05,3.558e-05,1.481e-04,3.147e-05,1.650e-05,1.043e-05
1.193e-04,5.240e-04,7.081e-05,3.991e-05,2.416e-04,2.348e-05,1.289e-05,8.911e-05
1.070e-04,3.736e-04,5.174e-05,8.319e-05,9.680e-05,3.624e-05,3.299e-05,1.159e-05
7.927e-05,3.211e-04,5.758e-05,2.644e-05,2.193e-04,3.076e-05,1.405e-05,3.695e-06
8.214e-05,3.459e-04,5.007e-05,6.597e-05,1.701e-04,4.411e-05,1.585e-05,3.153e-05
3.231e-05,3.731e-04,4.727e-05,1.619e-04,1.534e-04,5.841e-05,8.558e-05,2.635e-05
6.282e-05,2.596e-04,2.533e-05,3.710e-05,1.749e-04,1.109e-05,8.851e-06,2.086e-07
7.629e-06,3.438e-04,3.916e-05,5.715e-06,2.217e-04,9.954e-05,2.609e-05,5.662e-06
7.772e-05,3.939e-04,4.297e-05,4.110e-05,1.717e-04,2.503e-06,4.579e-05,2.071e-05
6.843e-05,3.014e-04,2.658e-05,3.755e-05,6.199e-05,2.980e-06,1.960e-05,7.197e-05
7.164e-05,2.239e-04,2.325e-06,1.499e-05,6.652e-05,2.611e-05,2.798e-05,5.230e-05
7.963e-05,2.620e-04,1.705e-05,3.631e-05,9.525e-05,1.431e-06,1.304e-05,1.073e-06
8.726e-05,2.904e-04,2.855e-05,2.030e-05,1.600e-04,1.621e-05,8.941e-07,4.619e-06
8.631e-05,2.818e-04,4.137e-05,6.653e-05,1.812e-04,8.333e-05,7.710e-05,1.881e-05
1.401e-04,1.786e-04,4.667e-05,1.225e-04,1.801e-04,1.166e-04,4.172e-07,7.132e-05
1.689e-04,2.549e-04,5.239e-05,9.535e-05,1.668e-04,7.534e-05,5.119e-05,4.789e-05
1.042e-04,3.076e-04,6.551e-05,7.473e-06,1.186e-04,1.240e-05,9.075e-06,2.047e-05
1.066e-04,2.975e-04,8.368e-05,9.853e-05,1.383e-04,6.437e-06,4.542e-05,1.228e-05
1.379e-04,3.431e-04,9.328e-05,1.109e-04,1.411e-04,1.872e-05,1.061e-05,2.518e-05
8.178e-05,3.252e-04,9.763e-05,1.487e-04,7.868e-05,2.050e-05,9.909e-06,2.727e-05
6.294e-05,2.832e-04,1.039e-04,1.494e-04,1.676e-04,1.240e-05,2.252e-05,5.907e-05
3.362e-05,2.661e-04,9.626e-05,1.182e-04,1.874e-04,2.277e-05,8.598e-06,7.963e-05
9.370e-05,3.102e-04,8.047e-05,8.134e-05,1.261e-04,7.415e-05,8.449e-06,5.770e-05
9.382e-05,3.402e-04,6.700e-05,7.481e-05,1.590e-04,2.992e-05,5.357e-05,1.538e-05
