,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,6.360e-05,2.859e-04,1.604e-05,1.276e-04,8.932e-05,3.781e-05,1.733e-05,3.959e-05
std,3.080e-05,3.899e-05,6.433e-05,8.635e-05,5.827e-05,3.328e-05,1.553e-05,3.199e-05
min,3.576e-07,1.786e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.490e-07
0.1%,3.576e-07,1.786e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.490e-07
25%,4.406e-05,2.608e-04,0.000e+00,4.495e-05,5.049e-05,1.138e-05,7.257e-06,1.540e-05
50%,6.285e-05,2.832e-04,0.000e+00,1.244e-04,8.047e-05,3.088e-05,1.214e-05,2.766e-05
75%,8.193e-05,3.008e-04,1.863e-09,2.071e-04,1.284e-04,5.335e-05,2.132e-05,6.236e-05
99.9%,1.689e-04,5.240e-04,9.033e-04,3.118e-04,3.519e-04,2.095e-04,8.558e-05,1.786e-04
max,1.689e-04,5.240e-04,9.033e-04,3.118e-04,3.519e-04,2.095e-04,8.558e-05,1.786e-04
