kx,MATx,MUOx,MLOx,TATx,TOCx,zetax,chix,taux
223.00183,851.0,628.0,1323.0,1.1,0.26,1.0,0.0,0.0
228.15607,855.93726,630.85046,1324.0083,1.2174755,0.26563638,1.0,0.0,0.014888048
233.7327,860.86926,633.75616,1325.0369,1.3184463,0.27202323,1.0,0.0,0.029554427
239.73564,865.803,636.7129,1326.086,1.4059958,0.27904475,1.0,0.0,0.044002473
246.10753,870.74585,639.71686,1327.1561,1.4826345,0.28660658,1.0,0.0,0.058235407
252.8287,875.6989,642.765,1328.2477,1.5504074,0.29463196,1.0,0.0,0.072256446
259.91364,880.65796,645.8549,1329.3607,1.6109762,0.30305824,1.0,0.0,0.08606875
267.29288,885.6264,648.98346,1330.4956,1.665688,0.31183437,1.0,0.0,0.09967542
274.96103,890.6037,652.1486,1331.6525,1.7156396,0.3209187,1.0,0.0,0.11307949
282.95108,895.5906,655.34796,1332.8318,1.7617213,0.3302773,1.0,0.0,0.126284
291.22955,900.58606,658.5796,1334.0336,1.804657,0.33988228,1.0,0.0,0.13929194
299.78452,905.5888,661.8417,1335.2582,1.8450341,0.34971094,1.0,0.0,0.15210623
308.61194,910.5968,665.1323,1336.5056,1.8833289,0.35974458,1.0,0.0,0.16472971
317.70154,915.60913,668.44977,1337.7761,1.9199269,0.36996785,1.0,0.0,0.17716527
327.03723,920.62555,671.7923,1339.07,1.9551405,0.38036808,1.0,0.0,0.1894157
336.61328,925.6437,675.15826,1340.3871,1.9892234,0.3909348,1.0,0.0,0.20148373
346.4304,930.6595,678.54614,1341.7278,2.02238,0.4016593,1.0,0.0,0.21337211
356.48538,935.6706,681.95416,1343.0919,2.054774,0.41253433,1.0,0.0,0.22508347
366.77405,940.67566,685.3806,1344.4799,2.0865364,0.42355376,1.0,0.0,0.23662049
377.2886,945.6729,688.824,1345.8915,2.117773,0.43471238,1.0,0.0,0.24798572
388.0163,950.65875,692.28253,1347.327,2.1485686,0.44600573,1.0,0.0,0.25918174
398.96347,955.6287,695.7547,1348.7864,2.17899,0.45742995,1.0,0.0,0.2702111
410.11356,960.5799,699.2386,1350.2697,2.209088,0.46898162,1.0,0.0,0.28107625
421.46936,965.5087,702.7323,1351.7769,2.238903,0.48065776,1.0,0.0,0.29177964
433.04895,970.4122,706.23413,1353.308,2.2684653,0.4924556,1.0,0.0,0.3023237
444.85123,975.2879,709.7421,1354.8629,2.2977972,0.50437266,1.0,0.0,0.31271076
456.87234,980.1318,713.2543,1356.4419,2.326916,0.51640654,1.0,0.0,0.32294315
469.10333,984.93976,716.76874,1358.0447,2.3558333,0.5285551,1.0,0.0,0.33302325
481.56158,989.7087,720.28345,1359.6711,2.384556,0.5408161,1.0,0.0,0.34295326
494.24832,994.4358,723.7964,1361.3214,2.4130883,0.55318767,1.0,0.0,0.35273546
507.16232,999.1185,727.3054,1362.9952,2.441432,0.5656676,1.0,0.0,0.36237198
520.294,1003.7538,730.80853,1364.6926,2.4695868,0.578254,1.0,0.0,0.37186503
533.63635,1008.33844,734.3039,1366.4136,2.4975514,0.5909448,1.0,0.0,0.38121676
547.18713,1012.86926,737.7892,1368.1577,2.525323,0.6037381,1.0,0.0,0.39042926
560.9513,1017.3426,741.2623,1369.925,2.5528972,0.616632,1.0,0.0,0.3995046
574.9344,1021.7563,744.7214,1371.7153,2.5802689,0.62962437,1.0,0.0,0.40844482
589.13696,1026.1078,748.16406,1373.5282,2.607433,0.6427132,1.0,0.0,0.41725194
603.56854,1030.3931,751.5885,1375.3638,2.6343842,0.6558965,1.0,0.0,0.42592794
618.2309,1034.6083,754.99243,1377.2217,2.6611154,0.6691721,1.0,0.0,0.43447477
633.10504,1038.7499,758.37366,1379.1017,2.6876194,0.68253803,1.0,0.0,0.44289434
648.1783,1042.8154,761.7301,1381.0035,2.713889,0.6959921,1.0,0.0,0.45118856
663.451,1046.8029,765.05945,1382.927,2.7399158,0.7095322,1.0,0.0,0.4593593
678.9361,1050.709,768.3598,1384.8716,2.765694,0.72315603,1.0,0.0,0.46740842
694.63184,1054.5298,771.6287,1386.8373,2.791216,0.73686147,1.0,0.0,0.47533768
710.5486,1058.2612,774.86426,1388.8235,2.8164735,0.7506462,1.0,0.0,0.48314893
726.6892,1061.9039,778.0642,1390.8301,2.8414583,0.7645079,1.0,0.0,0.49084383
743.068,1065.4568,781.2263,1392.8566,2.8661644,0.7784443,1.0,0.0,0.49842417
759.69037,1068.9178,784.3488,1394.9027,2.8905866,0.79245293,1.0,0.0,0.5058917
776.5556,1072.2854,787.4296,1396.9681,2.9147198,0.8065314,1.0,0.0,0.513248
793.6647,1075.5576,790.467,1399.0522,2.938559,0.8206774,1.0,0.0,0.5204948
811.0226,1078.7324,793.45905,1401.1549,2.9621003,0.8348884,1.0,0.0,0.5276337
828.62463,1081.8063,796.40405,1403.2753,2.9853382,0.849162,1.0,0.0,0.53466636
846.456,1084.7756,799.3002,1405.4133,3.0082676,0.86349577,1.0,0.0,0.54159427
864.52716,1087.6403,802.14545,1407.5684,3.030882,0.8778872,1.0,0.0,0.54841906
882.8252,1090.3982,804.938,1409.74,3.0531762,0.8923338,1.0,0.0,0.5551423
901.35815,1093.0476,807.67633,1411.9277,3.0751452,0.9068331,1.0,0.0,0.5617654
920.1365,1095.5839,810.35846,1414.1311,3.0967846,0.9213825,1.0,0.0,0.5682899
939.1446,1098.0018,812.9827,1416.3495,3.1180878,0.9359794,1.0,0.0,0.5747172
958.37885,1100.2987,815.54706,1418.5824,3.139047,0.95062137,1.0,0.0,0.58104885
977.8491,1102.4731,818.0495,1420.8296,3.1596537,0.96530575,1.0,0.0,0.58728623
997.5415,1104.5243,820.48816,1423.0901,3.1799011,0.9800298,1.0,0.0,0.59343076
1017.497,1106.4506,822.86115,1425.3636,3.1997833,0.994791,1.0,0.0,0.59948385
1037.7115,1108.2493,825.1668,1427.6495,3.2192945,1.0095865,1.0,0.0,0.60544676
1058.1532,1109.9186,827.4033,1429.947,3.2384286,1.0244136,1.0,0.0,0.6113209
1078.8109,1111.4597,829.56885,1432.2556,3.25718,1.0392696,1.0,0.0,0.6171076
