con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
76.958275,0.0028556,105.17594,104.8756,27.87756,32.001286,21.867367,0.3003404,34.601288
79.46834,0.0031489278,108.663414,108.321236,28.808937,32.39298,22.460365,0.34217325,34.933865
82.05291,0.0034087463,112.25147,111.868835,29.767796,32.797928,23.086195,0.3826368,35.281036
84.713905,0.003641693,115.93565,115.51346,30.747242,33.210308,23.743603,0.42220202,35.636955
87.450714,0.003853619,119.714096,119.252754,31.745531,33.62813,24.43336,0.46133253,35.999607
90.2718,0.00404945,123.58698,123.086525,32.753704,34.03865,25.157742,0.5004594,36.356205
93.16934,0.0042332117,127.55083,127.010864,33.77571,34.442837,25.912302,0.53994966,36.70769
96.1347,0.004408124,131.60349,131.02336,34.817947,34.844486,26.694263,0.5801245,37.057846
99.1744,0.0045767287,135.74457,135.1233,35.87315,35.243164,27.507746,0.62126607,37.406197
102.281204,0.00474102,139.97145,139.30785,36.945633,35.633553,28.346786,0.6636075,37.747402
105.45491,0.0049025533,144.2819,143.57457,38.033024,36.01091,29.21096,0.70734984,38.0767
108.68855,0.0050625284,148.67857,147.92587,39.14491,36.38211,30.097168,0.75268954,38.40093
111.99346,0.005221861,153.16058,152.36081,40.268696,36.738365,31.00964,0.7997833,38.711277
115.37294,0.0053812545,157.72542,156.87666,41.398495,37.08127,31.949938,0.84876055,39.009323
118.80481,0.0055412343,162.37083,161.47108,42.55419,37.413036,32.908268,0.89973474,39.297253
122.29413,0.005702194,167.09676,166.14394,43.730583,37.73307,33.887104,0.95281816,39.57444
125.84318,0.0058644232,171.90338,170.89528,44.925426,38.041172,34.88569,1.0081142,39.84068
129.46344,0.006028138,176.79033,175.72461,46.126656,38.334103,35.910744,1.0657165,40.09269
133.14958,0.0061934907,181.75763,180.63193,47.33958,38.612923,36.96349,1.1257142,40.331528
136.88464,0.0063605825,186.80545,185.61726,48.58125,38.8781,38.036484,1.1881914,40.55763
140.67242,0.0065294793,191.93314,190.6799,49.847122,39.128963,39.129135,1.2532233,40.7703
144.52196,0.006700215,197.14105,195.82016,51.128452,39.365692,40.244778,1.3208874,40.96971
148.43488,0.006872804,202.42969,201.0384,52.423946,39.58714,41.3866,1.3912594,41.154686
152.40596,0.0070472406,207.79915,206.33473,53.73891,39.794247,42.550934,1.4644105,41.32615
156.43484,0.0072235055,213.24811,211.70772,55.072304,39.986027,43.73582,1.540399,41.483097
160.523,0.0074015697,218.77728,217.15797,56.42315,40.161476,44.943832,1.6192952,41.62451
164.67383,0.007581395,224.38501,222.68387,57.786285,40.31745,46.176704,1.7011515,41.747215
168.88187,0.007762932,230.0737,228.28766,59.16957,40.45712,47.433716,1.7860465,41.854378
173.14647,0.007946121,235.84373,233.9697,60.573917,40.579838,48.71439,1.8740427,41.945328
177.47,0.008130898,241.69485,239.72966,61.996643,40.685966,50.01635,1.9651963,42.02041
181.84854,0.008317193,247.62674,245.56717,63.441303,40.775356,51.338352,2.0595593,42.079453
186.28346,0.008504938,253.64008,251.4829,64.90713,40.848373,52.681118,2.1571932,42.122818
190.77711,0.008694059,259.73526,257.4771,66.3921,40.90556,54.045956,2.258154,42.151028
