kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.57503,0.98600525,0.13146749,1.0656335,-0.8030916,-0.15531972,-0.03819705,-0.23451601
234.47389,0.99185485,0.13601243,1.062543,-0.7992942,-0.15417877,-0.039055955,-0.23476785
240.74141,0.9968678,0.1401841,1.060056,-0.79592335,-0.15318683,-0.039695974,-0.23489322
247.35716,1.0010777,0.14409563,1.0579864,-0.7928846,-0.15228698,-0.040216055,-0.23503442
254.31648,1.0045608,0.1477805,1.0562966,-0.79021,-0.1513797,-0.040701907,-0.23519991
261.59003,1.007241,0.15155199,1.0548537,-0.78761923,-0.15055895,-0.041248094,-0.23541093
269.1585,1.0093101,0.1553453,1.0536473,-0.78519905,-0.14981768,-0.041783597,-0.23574056
277.01584,1.0109553,0.15904179,1.0526915,-0.78316027,-0.14915591,-0.042302024,-0.23623352
285.1409,1.0121188,0.16264121,1.0519143,-0.7813735,-0.1486099,-0.042957556,-0.23682989
293.5151,1.0129489,0.16624737,1.0513732,-0.77978766,-0.14802504,-0.04351672,-0.23734836
302.1537,1.0134814,0.1699511,1.0509144,-0.7782435,-0.14746404,-0.04415984,-0.23791341
311.04828,1.0138402,0.17359522,1.0505571,-0.7768991,-0.1469779,-0.04481573,-0.23849775
320.17975,1.0138948,0.17737047,1.0503639,-0.77572095,-0.14650658,-0.045387533,-0.23915352
329.5299,1.0136333,0.18121704,1.0502748,-0.77467424,-0.14613146,-0.04596136,-0.23981757
339.09674,1.0133624,0.18506774,1.0502422,-0.77381974,-0.14580294,-0.046551075,-0.24046616
348.8789,1.013026,0.18892829,1.0502805,-0.7730878,-0.1455079,-0.047157776,-0.2411079
358.87216,1.0126075,0.19280468,1.0503814,-0.7724382,-0.14524826,-0.04771809,-0.24172404
369.07416,1.011987,0.19675516,1.0506188,-0.77189934,-0.14503843,-0.048219007,-0.2424664
379.48425,1.0112455,0.20075724,1.0510489,-0.7714803,-0.14487946,-0.04871319,-0.24329475
390.09607,1.0105784,0.20479432,1.0516036,-0.77114135,-0.14472312,-0.049247425,-0.24413328
400.90982,1.0099442,0.20887691,1.0522593,-0.7708987,-0.1445615,-0.04975785,-0.24498521
411.92688,1.009253,0.21300058,1.0529803,-0.7707412,-0.14444175,-0.05027179,-0.24581723
423.14612,1.0084975,0.21718608,1.0538019,-0.7706827,-0.14429447,-0.050824475,-0.24661557
434.55682,1.0077362,0.22141421,1.0547547,-0.7707639,-0.14416528,-0.051303964,-0.24747445
446.16074,1.0069771,0.22569475,1.0557345,-0.7708968,-0.14405271,-0.051787224,-0.24832854
457.94577,1.0062103,0.23005208,1.0567298,-0.77102864,-0.14397606,-0.05235767,-0.24917257
469.92603,1.00541,0.23453452,1.0578579,-0.77134526,-0.14396602,-0.052848812,-0.25003284
482.102,1.0046293,0.23909137,1.059103,-0.77175725,-0.14401549,-0.053325262,-0.25089332
494.46957,1.0038754,0.24373063,1.0604048,-0.77224815,-0.14410889,-0.05384993,-0.25176716
507.0259,1.0031306,0.24844638,1.061722,-0.77277124,-0.14422438,-0.05437128,-0.2526303
519.7721,1.0024285,0.25323787,1.0630612,-0.7733882,-0.14431176,-0.0548834,-0.2534849
532.7105,1.0017588,0.25810128,1.0644225,-0.7740759,-0.14438438,-0.055390384,-0.2543335
545.8414,1.0011035,0.26302633,1.0658107,-0.7747969,-0.14447215,-0.055894848,-0.25518423
559.1658,1.0004612,0.26801392,1.0672697,-0.77557415,-0.14454609,-0.056367736,-0.2560528
572.6861,0.9998375,0.2730862,1.0688196,-0.77646637,-0.14458781,-0.056840565,-0.25691852
586.4043,0.9992262,0.2782223,1.0703926,-0.7773867,-0.14463899,-0.05731466,-0.25778294
600.31866,0.9986301,0.28342357,1.0719969,-0.7783786,-0.14472383,-0.057775047,-0.25866812
614.4449,0.99809015,0.28871956,1.0737324,-0.77942216,-0.14489025,-0.058206003,-0.2595681
628.7725,0.9975622,0.2940861,1.0754975,-0.78051424,-0.14507708,-0.058656733,-0.26046038
643.30646,0.9970495,0.29951766,1.0772978,-0.7816353,-0.14527336,-0.05912688,-0.26136225
658.04395,0.9965481,0.30501923,1.0791533,-0.782814,-0.14550012,-0.059594076,-0.26228034
672.98114,0.9960528,0.31058824,1.081035,-0.78403276,-0.14574829,-0.060038906,-0.26319373
688.1374,0.99558014,0.31615934,1.0829574,-0.7852838,-0.1459837,-0.06045578,-0.26412964
703.5074,0.99517775,0.32173306,1.0849344,-0.78649366,-0.14618778,-0.06089994,-0.2649951
719.09924,0.99477744,0.3273863,1.08692,-0.7877923,-0.14642203,-0.061335888,-0.26589882
734.8914,0.994327,0.3331211,1.0890081,-0.7892549,-0.14669922,-0.0617827,-0.26682937
750.8675,0.9938716,0.33895487,1.0911399,-0.7907108,-0.14697179,-0.062205385,-0.26770085
767.0295,0.99340963,0.3448544,1.0932993,-0.7921889,-0.14724627,-0.06261578,-0.26856798
783.3852,0.9928949,0.3508128,1.095484,-0.7936992,-0.14752892,-0.06301226,-0.26942945
799.95404,0.99245644,0.3567191,1.097696,-0.79518425,-0.14779148,-0.06345761,-0.270266
816.746,0.9920771,0.36268613,1.0999457,-0.7967215,-0.14803812,-0.063883975,-0.27112478
833.74817,0.9917158,0.36870667,1.1022131,-0.79830945,-0.14832047,-0.06429319,-0.2719857
850.94244,0.99138415,0.37479028,1.1045086,-0.79999053,-0.14865577,-0.06470534,-0.2728629
868.3347,0.9910722,0.38093898,1.1068268,-0.80169535,-0.14899975,-0.065111354,-0.2737329
885.94135,0.99073154,0.38725954,1.1092618,-0.8033869,-0.14931473,-0.06546502,-0.27453792
903.75806,0.99037117,0.3937584,1.1118329,-0.8051177,-0.14967164,-0.065864325,-0.27540952
921.78723,0.99002236,0.4003333,1.1144178,-0.8068588,-0.1500248,-0.06627326,-0.27627367
940.00446,0.98967344,0.40708464,1.1170452,-0.80857885,-0.1503169,-0.06664768,-0.27705854
958.4082,0.98933125,0.41394013,1.1196924,-0.8103137,-0.15061134,-0.067016274,-0.2778417
977.0215,0.9890222,0.42087787,1.1223606,-0.812065,-0.15092844,-0.06740287,-0.27861446
995.8603,0.9887347,0.4278932,1.1250553,-0.813831,-0.1512698,-0.06780614,-0.27937192
1014.89624,0.9884876,0.43494138,1.1277611,-0.8156111,-0.15161645,-0.06820391,-0.2801469
1034.1382,0.98825896,0.44206163,1.1304777,-0.8173989,-0.15197939,-0.06859964,-0.28093302
1053.6006,0.98809177,0.4492531,1.1331985,-0.81922317,-0.15237468,-0.068996534,-0.28178012
1073.2963,0.9879821,0.45651504,1.1359142,-0.82109076,-0.15273884,-0.069401115,-0.28256363
1093.2484,0.9879035,0.46382642,1.1386364,-0.8229885,-0.15310141,-0.06982784,-0.28333157
1113.457,0.98780334,0.47118083,1.1413662,-0.8248981,-0.15347016,-0.07025619,-0.284092
1133.9232,0.9876821,0.47857758,1.1441036,-0.8268188,-0.1538446,-0.07068622,-0.28484476
1154.6298,0.9875196,0.4860405,1.1468405,-0.828702,-0.1542381,-0.071103826,-0.28563726
1175.5641,0.98732615,0.49357355,1.1495776,-0.8305515,-0.15464762,-0.07151058,-0.28646308
1196.7363,0.98715794,0.5012261,1.1523321,-0.83241737,-0.15505096,-0.07190713,-0.28715384
1218.1509,0.9870442,0.5090351,1.1550741,-0.8342322,-0.15541995,-0.072301105,-0.28768837
1239.8124,0.98691136,0.51689696,1.1578245,-0.8360541,-0.1557968,-0.07269423,-0.2882166
1261.7156,0.98675704,0.5248338,1.1606055,-0.83794475,-0.15621915,-0.07306215,-0.2887799
