foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
1.994e-04,5.317e-05,5.078e-04,5.396e-05,2.041e-04,9.859e-05,3.614e-05,1.972e-04
7.868e-06,2.654e-04,2.847e-04,1.420e-04,1.134e-04,1.729e-06,2.788e-05,2.474e-06
8.643e-05,2.341e-04,1.242e-04,1.421e-04,1.737e-04,3.678e-05,4.093e-05,5.473e-05
1.405e-04,1.566e-04,1.055e-05,7.927e-05,1.945e-04,1.243e-04,3.830e-05,1.005e-04
3.576e-06,2.155e-04,6.092e-05,3.769e-05,1.432e-04,3.427e-05,1.964e-05,1.136e-04
3.076e-05,2.184e-04,1.289e-04,6.833e-05,9.108e-05,8.196e-05,3.874e-06,5.104e-05
4.411e-05,2.043e-04,1.873e-04,8.453e-05,6.819e-05,8.559e-05,1.629e-05,5.658e-05
1.717e-05,2.236e-04,2.229e-04,2.095e-04,1.006e-04,1.336e-04,7.571e-05,1.209e-04
1.073e-05,1.922e-04,2.358e-04,1.171e-04,1.307e-04,1.456e-04,1.462e-05,1.490e-07
2.265e-05,7.510e-05,2.395e-04,1.778e-04,8.309e-05,1.645e-05,3.906e-05,1.557e-05
1.079e-04,2.029e-04,2.466e-04,1.605e-04,8.512e-05,5.049e-05,9.909e-06,8.538e-06
1.144e-05,2.654e-04,2.399e-04,6.417e-05,9.871e-05,6.098e-05,3.755e-05,4.724e-05
1.352e-04,2.754e-04,2.390e-04,4.971e-05,6.783e-05,4.572e-05,1.742e-05,2.658e-05
6.318e-06,2.825e-04,2.372e-04,4.431e-05,2.205e-05,9.048e-05,2.529e-05,1.277e-05
6.378e-05,2.363e-04,2.306e-04,3.472e-05,1.693e-05,7.087e-05,2.210e-05,3.873e-05
8.166e-05,1.919e-04,2.195e-04,2.736e-05,1.895e-05,1.884e-05,2.262e-05,8.447e-05
4.375e-05,1.411e-04,2.040e-04,8.819e-05,1.729e-05,4.768e-06,3.903e-05,1.553e-05
1.030e-04,1.881e-04,1.883e-04,9.516e-05,3.803e-05,1.132e-05,5.761e-05,7.531e-05
2.372e-05,2.954e-04,1.696e-04,6.464e-05,5.865e-05,1.192e-05,3.004e-05,6.539e-05
9.525e-05,2.937e-04,1.498e-04,9.115e-05,4.542e-05,1.276e-05,3.129e-06,5.811e-05
6.390e-05,2.663e-04,1.297e-04,9.186e-05,7.391e-06,2.003e-05,1.173e-05,2.053e-05
1.466e-05,2.811e-04,1.080e-04,6.801e-05,3.827e-05,8.702e-06,4.055e-05,2.415e-05
1.669e-05,3.295e-04,8.595e-05,1.368e-04,5.424e-05,4.631e-05,4.560e-05,1.857e-05
2.182e-05,3.111e-04,6.193e-05,1.296e-04,2.301e-05,1.699e-05,5.092e-05,1.684e-06
1.240e-05,3.095e-04,3.844e-05,6.173e-05,4.613e-05,5.740e-05,3.634e-05,1.673e-05
2.587e-05,2.425e-04,1.818e-05,1.402e-04,9.537e-07,5.221e-05,9.179e-06,1.191e-05
