,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,2.084e-04,4.144e-04,9.401e-04,1.575e-04,2.824e-04,8.037e-05,2.824e-05,5.986e-05
std,9.834e-05,3.176e-04,7.574e-04,9.269e-05,1.832e-04,3.961e-05,1.984e-05,5.598e-05
min,1.192e-06,2.384e-07,2.384e-06,6.407e-07,9.537e-07,3.576e-07,1.341e-07,2.980e-08
0.1%,1.192e-06,2.384e-07,2.384e-06,6.407e-07,9.537e-07,3.576e-07,1.341e-07,2.980e-08
25%,1.361e-04,1.140e-04,1.478e-04,8.477e-05,1.377e-04,4.737e-05,1.182e-05,1.611e-05
50%,2.326e-04,3.819e-04,8.865e-04,1.465e-04,2.527e-04,8.762e-05,2.547e-05,3.390e-05
75%,2.927e-04,6.857e-04,1.702e-03,2.323e-04,5.039e-04,1.041e-04,4.040e-05,1.028e-04
99.9%,3.417e-04,1.115e-03,2.112e-03,3.219e-04,6.094e-04,1.772e-04,8.100e-05,1.982e-04
max,3.417e-04,1.115e-03,2.112e-03,3.219e-04,6.094e-04,1.772e-04,8.100e-05,1.982e-04
