kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,850.0,770.0,1444.0,1.1,0.27,0.0
228.49345,854.68036,773.38586,1445.3722,1.1551154,0.27571872,0.014888048
234.39403,859.3674,776.8294,1446.7709,1.2018253,0.28177777,0.029554427
240.66315,864.06836,780.3266,1448.1965,1.2422118,0.2881169,0.044002473
247.28032,868.7886,783.8743,1449.6495,1.2778456,0.2946906,0.058235407
254.24086,873.5319,787.4701,1451.1302,1.3099117,0.30146453,0.072256446
261.51544,878.29846,791.1119,1452.6392,1.3393035,0.30841273,0.08606875
269.08505,883.0884,794.7978,1454.1763,1.3666928,0.31551558,0.09967542
276.9432,887.90265,798.5261,1455.7422,1.3925846,0.3227582,0.11307949
285.06897,892.7422,802.29535,1457.3372,1.4173591,0.33012933,0.126284
293.4439,897.6061,806.10406,1458.9613,1.4413025,0.33762032,0.13929194
302.08304,902.492,809.951,1460.6149,1.4646294,0.3452247,0.15210623
310.97827,907.3998,813.8348,1462.2981,1.4874989,0.3529374,0.16472971
320.11014,912.32666,817.75415,1464.0115,1.5100306,0.36075452,0.17716527
329.4609,917.2704,821.7078,1465.7549,1.5323122,0.36867303,0.1894157
339.0281,922.2294,825.69434,1467.5287,1.5544078,0.37669048,0.20148373
348.81067,927.2019,829.71234,1469.3331,1.5763645,0.38480496,0.21337211
358.80417,932.1863,833.7604,1471.1683,1.5982164,0.39301482,0.22508347
369.0066,937.17993,837.8371,1473.0344,1.6199877,0.40131867,0.23662049
379.41696,942.1804,841.94104,1474.9316,1.6416949,0.4097153,0.24798572
390.02893,947.1856,846.0707,1476.86,1.6633486,0.41820365,0.25918174
400.843,952.1935,850.2244,1478.8196,1.6849552,0.4267827,0.2702111
411.86026,957.2018,854.40076,1480.8107,1.7065184,0.4354515,0.28107625
423.0796,962.208,858.5981,1482.8331,1.728039,0.44420916,0.29177964
434.49026,967.21014,862.8148,1484.8871,1.7495164,0.45305473,0.3023237
446.09457,972.20575,867.0492,1486.9727,1.7709484,0.46198735,0.31271076
457.87967,977.19226,871.2997,1489.09,1.7923324,0.4710061,0.32294315
469.8599,982.16626,875.56445,1491.2389,1.8136642,0.48011002,0.33302325
482.036,987.1253,879.8418,1493.4194,1.8349388,0.4892982,0.34295326
494.40387,992.0667,884.12976,1495.6317,1.8561507,0.49856967,0.35273546
506.96005,996.9883,888.4265,1497.8757,1.8772944,0.5079234,0.36237198
519.7065,1001.88745,892.7302,1500.1511,1.8983644,0.5173584,0.37186503
532.64484,1006.7619,897.03894,1502.4583,1.9193549,0.5268735,0.38121676
545.7756,1011.60956,901.35065,1504.7968,1.9402606,0.53646773,0.39042926
559.1,1016.4282,905.66376,1507.1665,1.9610763,0.54613984,0.3995046
572.62024,1021.21545,909.976,1509.5675,1.9817963,0.5558888,0.40844482
586.33844,1025.9692,914.28564,1511.9996,2.0024157,0.5657133,0.41725194
600.25287,1030.6877,918.59076,1514.4626,2.0229294,0.5756121,0.42592794
614.3791,1035.368,922.88947,1516.9563,2.043333,0.58558416,0.43447477
628.70667,1040.0085,927.17975,1519.4807,2.0636215,0.595628,0.44289434
643.24023,1044.6072,931.45984,1522.0355,2.08379,0.60574245,0.45118856
657.97784,1049.1619,935.7277,1524.6204,2.1038344,0.6159262,0.4593593
672.91486,1053.671,939.98157,1527.2352,2.1237502,0.6261779,0.46740842
688.071,1058.1334,944.2196,1529.8796,2.1435335,0.6364962,0.47533768
703.4409,1062.5486,948.43994,1532.5536,2.1631806,0.6468797,0.48314893
719.0328,1066.9143,952.6409,1535.2565,2.182689,0.657327,0.49084383
734.8247,1071.2285,956.8209,1537.9883,2.202056,0.6678367,0.49842417
750.80066,1075.4889,960.9782,1540.7485,2.2212782,0.6784075,0.5058917
766.9628,1079.6937,965.111,1543.5367,2.2403522,0.68903786,0.513248
783.31824,1083.8411,969.2176,1546.3529,2.2592745,0.69972646,0.5204948
799.8868,1087.9314,973.29626,1549.1964,2.2780416,0.71047175,0.5276337
816.6788,1091.963,977.34546,1552.0669,2.2966516,0.7212723,0.53466636
833.6804,1095.9346,981.3637,1554.9641,2.3151023,0.73212665,0.54159427
850.87463,1099.8446,985.3494,1557.8876,2.3333914,0.74303335,0.54841906
868.26685,1103.6912,989.3011,1560.8368,2.3515167,0.7539909,0.5551423
885.87317,1107.4711,993.2172,1563.8114,2.3694758,0.76499784,0.5617654
903.6897,1111.181,997.09625,1566.811,2.387265,0.7760527,0.5682899
921.7187,1114.8197,1000.9364,1569.8352,2.40488,0.78715396,0.5747172
939.9358,1118.3838,1004.73596,1572.8834,2.422317,0.7983001,0.58104885
958.3394,1121.8716,1008.49316,1575.9552,2.4395714,0.8094896,0.58728623
976.95276,1125.2816,1012.20654,1579.05,2.4566388,0.82072085,0.59343076
995.791,1128.6129,1015.874,1582.1675,2.4735157,0.8319923,0.59948385
1014.82654,1131.8647,1019.4941,1585.3069,2.4901993,0.8433024,0.60544676
1034.0692,1135.0365,1023.0652,1588.4678,2.5066872,0.85464954,0.6113209
1053.5308,1138.1267,1026.5858,1591.6495,2.522977,0.8660321,0.6171076
1073.2263,1141.1345,1030.0546,1594.8516,2.5390668,0.8774485,0.62280816
1093.1781,1144.0594,1033.47,1598.0735,2.554955,0.888897,0.6284238
1113.3865,1146.9009,1036.8306,1601.3146,2.5706398,0.90037614,0.63395584
1133.852,1149.6587,1040.1351,1604.5742,2.5861204,0.91188425,0.6394055
1154.5587,1152.3318,1043.3827,1607.8517,2.6013958,0.9234198,0.6447741
1175.4927,1154.9196,1046.5718,1611.1467,2.6164656,0.934981,0.65006274
1196.6648,1157.4199,1049.7012,1614.4585,2.631328,0.9465664,0.65527266
1218.0791,1159.8308,1052.77,1617.7863,2.6459818,0.9581744,0.66040504
1239.7404,1162.1519,1055.777,1621.1295,2.6604247,0.9698034,0.665461
1261.6427,1164.3822,1058.7207,1624.4877,2.674655,0.9814518,0.6704416
1283.7571,1166.5211,1061.6002,1627.8599,2.6886706,0.993118,0.6753481
1306.088,1168.5677,1064.4144,1631.2456,2.7024703,1.0048003,0.6801815
1328.6471,1170.5221,1067.1621,1634.6442,2.7160525,1.0164973,0.68494296
1351.4406,1172.3834,1069.8424,1638.0547,2.7294164,1.0282072,0.6896336
1374.4589,1174.1511,1072.4543,1641.4769,2.7425604,1.0399284,0.6942544
1397.7094,1175.8248,1074.9971,1644.9097,2.7554839,1.0516596,0.6988064
1421.2106,1177.4027,1077.4695,1648.3524,2.768186,1.063399,0.70329064
1444.9835,1178.885,1079.8707,1651.8044,2.780665,1.0751449,0.7077081
1469.02,1180.2716,1082.1998,1655.2653,2.7929196,1.086896,0.71205986
1493.258,1181.5615,1084.4562,1658.7338,2.8049493,1.0986505,0.71634674
1517.7264,1182.7535,1086.6388,1662.2095,2.8167524,1.1104069,0.72056985
1542.4445,1183.8484,1088.747,1665.6918,2.8283277,1.1221635,0.7247301
1567.4187,1184.8467,1090.7798,1669.1796,2.8388686,1.133919,0.7288283
1592.6516,1185.7528,1092.7367,1672.6724,2.8485727,1.1456661,0.7328656
1618.1129,1186.5673,1094.6177,1676.1694,2.8575914,1.157399,0.7368427
1643.782,1187.2861,1096.4221,1679.6699,2.8660378,1.1691134,0.74076056
1669.6714,1187.9113,1098.1495,1683.1733,2.873996,1.1808052,0.7446202
1695.799,1188.4442,1099.8,1686.6786,2.8815289,1.1924713,0.7484224
1722.2048,1188.8854,1101.3729,1690.185,2.8886857,1.2041088,0.75216794
1748.8563,1189.2361,1102.8683,1693.6921,2.8955026,1.2157156,0.7558577
1775.7418,1189.4958,1104.286,1697.199,2.9020083,1.2272894,0.7594925
1802.9233,1189.6571,1105.6259,1700.705,2.9082239,1.2388283,0.76307327
1830.3964,1189.7207,1106.8876,1704.2091,2.9141603,1.2503304,0.76660067
1858.1604,1189.6877,1108.0704,1707.7108,2.9198263,1.2617942,0.77007556
1886.1973,1189.5441,1109.1741,1711.2095,2.9252293,1.273218,0.7734987
1914.4966,1189.2892,1110.1971,1714.704,2.9303665,1.2846004,0.7768709
1943.0602,1188.9257,1111.1385,1718.194,2.935235,1.2959397,0.78019285
1971.9077,1188.4551,1111.9972,1721.6786,2.939834,1.3072344,0.7834654
2001.0403,1187.8787,1112.7722,1725.157,2.944164,1.318483,0.78668916
2030.4592,1187.1991,1113.463,1728.6285,2.9482255,1.3296839,0.78986496
2060.1677,1186.4198,1114.0693,1732.0923,2.9520202,1.3408357,0.7929935
2090.1235,1185.5436,1114.591,1735.5474,2.9555507,1.3519367,0.79607546
2120.341,1184.5718,1115.0276,1738.9934,2.9588213,1.3629855,0.79911155
2150.8423,1183.5057,1115.3795,1742.4293,2.961835,1.3739808,0.80210245
2181.632,1182.3485,1115.6472,1745.8545,2.9645946,1.3849211,0.8050488
2212.7139,1181.1024,1115.8306,1749.2681,2.967104,1.395805,0.8079513
2244.0867,1179.7704,1115.9303,1752.6693,2.969367,1.4066312,0.81081057
2275.6917,1178.3561,1115.9471,1756.0575,2.9713876,1.4173985,0.81362724
2307.534,1176.8613,1115.8818,1759.432,2.9731712,1.4281055,0.81640196
2339.6187,1175.2881,1115.7354,1762.7919,2.9747224,1.438751,0.8191354
2371.942,1173.6383,1115.5085,1766.1365,2.9760451,1.4493339,0.8218281
2404.5117,1171.914,1115.2025,1769.4653,2.977144,1.4598529,0.8244808
2437.3313,1170.1172,1114.8184,1772.7775,2.9780226,1.4703071,0.82709396
2470.4006,1168.25,1114.357,1776.0724,2.9786847,1.4806952,0.8296682
2503.736,1166.3151,1113.8198,1779.3494,2.9791343,1.4910165,0.83220416
2537.329,1164.3152,1113.208,1782.6077,2.9793754,1.5012697,0.8347023
2571.2192,1162.2537,1112.523,1785.8468,2.9794126,1.5114537,0.83716327
2605.3735,1160.1359,1111.766,1789.066,2.9792507,1.5215681,0.83958757
2639.76,1157.9722,1110.939,1792.2649,2.9788966,1.5316114,0.8419758
2674.463,1155.7938,1110.0438,1795.4429,2.978361,1.5415833,0.8443285
2709.3794,1153.6718,1109.0853,1798.599,2.9776702,1.5514827,0.8466462
2744.625,1151.6191,1108.0715,1801.7332,2.9768858,1.5613091,0.84892935
2780.204,1149.6299,1107.0115,1804.8447,2.9760623,1.5710624,0.8511785
2816.087,1147.6975,1105.913,1807.9335,2.9752374,1.580743,0.8533942
2852.2546,1145.8165,1104.7825,1810.999,2.9744358,1.590351,0.8555769
2888.6428,1143.984,1103.626,1814.0413,2.9736733,1.5998874,0.85772705
2925.2922,1142.1947,1102.4486,1817.0599,2.9729602,1.6093528,0.8598452
2962.2031,1140.4445,1101.2548,1820.0552,2.9723015,1.6187481,0.86193186
2999.3994,1138.7299,1100.0483,1823.0265,2.9716988,1.628074,0.86398745
3036.93,1137.0482,1098.8324,1825.9744,2.9711504,1.6373316,0.8660124
3074.76,1135.3978,1097.6099,1828.8984,2.970655,1.6465216,0.86800724
3112.8857,1133.7759,1096.3832,1831.7988,2.9702096,1.6556448,0.86997235
3151.3066,1132.1799,1095.1548,1834.6757,2.9698112,1.6647022,0.8719082
