kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.33673,0.9813322,0.15483378,1.3891473,-1.1727903,-0.16345106,-0.038501106,-0.2477134
234.02374,0.9888007,0.1602895,1.3849176,-1.1675242,-0.162347,-0.039545156,-0.24808486
240.13342,0.9950004,0.16537063,1.3812125,-1.1628004,-0.1612735,-0.040344186,-0.24841146
246.64386,1.000159,0.17017883,1.3779074,-1.1583625,-0.16033791,-0.041126676,-0.24882904
253.51204,1.0045912,0.174826,1.3748279,-1.1544056,-0.15940677,-0.041904867,-0.24938019
260.72372,1.0081391,0.17930114,1.3719838,-1.150826,-0.1585602,-0.04263056,-0.24995287
268.28275,1.0108536,0.18368204,1.3692147,-1.1473032,-0.15782645,-0.04334203,-0.25054777
276.16934,1.013198,0.18793052,1.366898,-1.1443263,-0.1571956,-0.044121973,-0.25106412
284.35684,1.0152779,0.19201349,1.3650097,-1.1418895,-0.15664017,-0.044781953,-0.2517432
292.8409,1.0166413,0.19616261,1.3632505,-1.1395649,-0.1560415,-0.045426518,-0.25245523
301.61197,1.0174031,0.20034009,1.3616651,-1.1374625,-0.15549754,-0.04593312,-0.2532224
310.64233,1.0180466,0.20443809,1.3605708,-1.1357371,-0.15494503,-0.046516046,-0.25400895
319.92157,1.0184247,0.20862764,1.3597912,-1.1342343,-0.15451023,-0.047082804,-0.25491357
329.445,1.0185213,0.21287516,1.3592358,-1.1330107,-0.15419848,-0.047621675,-0.25589418
339.21317,1.0185821,0.21713388,1.3588558,-1.131912,-0.15386793,-0.048223063,-0.2569039
349.22754,1.0184215,0.22148803,1.3586265,-1.1309832,-0.15353924,-0.048826493,-0.25791806
359.483,1.0181677,0.22595893,1.3586063,-1.1303017,-0.15324834,-0.04943216,-0.25902665
369.96362,1.0178652,0.23050848,1.3588376,-1.1298054,-0.15299982,-0.050035335,-0.26018173
380.6756,1.0174599,0.23517342,1.3592541,-1.1294357,-0.1528333,-0.050659098,-0.2612305
391.61548,1.0169884,0.239916,1.3597993,-1.129252,-0.15271711,-0.05132886,-0.2622863
402.7644,1.0164369,0.24475679,1.3605163,-1.1291063,-0.15256323,-0.05197922,-0.26331842
