foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
2.742e-05,1.621e-05,2.288e-04,4.992e-06,3.624e-05,5.960e-07,1.104e-05,2.009e-05
1.155e-04,1.917e-04,9.280e-05,1.026e-05,8.082e-05,5.233e-05,7.838e-06,1.347e-05
9.811e-05,3.042e-04,6.735e-06,5.462e-05,1.621e-04,1.760e-04,1.550e-06,2.310e-05
4.554e-05,4.387e-04,8.667e-05,5.871e-06,1.795e-04,1.771e-04,2.801e-06,2.983e-05
2.801e-05,4.802e-04,1.439e-04,4.452e-06,1.838e-04,1.662e-04,2.915e-05,3.511e-05
7.868e-05,4.940e-04,1.795e-04,6.951e-05,1.427e-04,6.688e-05,2.655e-05,6.387e-05
1.885e-04,6.740e-04,2.053e-04,1.330e-04,3.558e-04,3.201e-04,3.807e-05,2.140e-05
3.529e-05,5.386e-04,1.941e-04,6.332e-05,2.325e-04,1.323e-04,1.366e-05,4.730e-05
1.318e-04,7.303e-04,1.768e-04,1.045e-05,2.300e-04,2.450e-04,1.003e-05,3.546e-06
8.476e-05,7.136e-04,1.456e-04,6.407e-05,2.445e-04,1.895e-04,4.101e-05,1.875e-05
2.742e-05,7.701e-04,1.142e-04,1.311e-04,3.053e-04,2.229e-04,2.480e-05,4.786e-05
4.244e-05,7.753e-04,9.227e-05,1.049e-04,2.940e-04,1.972e-04,2.767e-05,6.187e-05
5.484e-05,7.479e-04,7.737e-05,1.535e-04,2.600e-04,2.463e-04,1.507e-05,6.464e-05
5.686e-05,6.557e-04,6.384e-05,1.039e-04,3.408e-04,2.658e-04,3.472e-05,6.759e-05
5.376e-05,6.690e-04,5.138e-05,1.526e-04,3.084e-04,2.065e-04,2.171e-05,6.524e-05
4.637e-05,8.297e-04,4.333e-05,1.082e-04,3.285e-04,2.356e-04,2.125e-05,7.477e-05
9.429e-05,8.569e-04,3.636e-05,1.174e-04,3.333e-04,2.434e-04,3.880e-05,3.603e-05
1.345e-04,7.811e-04,3.076e-05,1.240e-04,3.237e-04,2.508e-04,8.032e-06,6.539e-05
1.237e-04,6.921e-04,2.486e-05,1.084e-04,2.949e-04,2.481e-04,9.447e-06,4.888e-06
1.286e-04,7.038e-04,2.396e-05,1.009e-04,2.764e-04,2.153e-04,1.234e-05,4.324e-05
1.378e-04,7.503e-04,2.480e-05,9.314e-05,3.011e-04,2.230e-04,2.237e-05,7.400e-05
1.428e-04,8.006e-04,2.193e-05,1.267e-04,2.776e-04,1.853e-04,1.028e-05,9.200e-05
9.847e-05,8.337e-04,1.764e-05,2.060e-04,3.533e-04,2.357e-04,2.235e-07,3.234e-05
1.016e-04,8.430e-04,1.568e-05,1.741e-04,3.085e-04,2.729e-04,9.835e-07,4.613e-05
1.032e-04,7.601e-04,2.235e-05,1.079e-04,3.421e-04,2.651e-04,4.619e-07,1.049e-05
5.531e-05,8.006e-04,3.558e-05,1.584e-04,3.384e-04,2.996e-04,1.441e-05,4.306e-05
4.554e-05,8.075e-04,5.072e-05,1.679e-04,3.023e-04,2.774e-04,1.886e-05,5.010e-05
8.261e-05,8.385e-04,6.884e-05,1.644e-04,3.115e-04,2.533e-04,6.449e-05,5.484e-06
8.273e-05,8.395e-04,8.190e-05,1.782e-04,3.784e-04,2.524e-04,3.766e-05,6.139e-05
8.488e-05,8.168e-04,9.602e-05,2.014e-04,3.052e-04,1.588e-04,3.879e-05,5.949e-05
8.237e-05,8.094e-04,1.144e-04,1.587e-04,3.384e-04,1.860e-04,2.946e-05,1.261e-05
7.200e-05,8.974e-04,1.210e-04,1.651e-04,3.570e-04,2.800e-04,2.284e-05,1.892e-05
1.764e-05,9.677e-04,1.222e-04,1.720e-04,3.598e-04,2.840e-04,6.735e-06,1.767e-05
1.538e-05,9.696e-04,1.195e-04,1.818e-04,3.625e-04,2.757e-04,1.757e-05,1.311e-06
2.789e-05,9.358e-04,1.203e-04,2.330e-04,3.380e-04,2.853e-04,4.321e-07,8.404e-06
1.025e-05,8.712e-04,1.186e-04,2.227e-04,3.051e-04,2.308e-04,2.144e-05,4.590e-06
8.583e-06,8.416e-04,1.189e-04,2.363e-04,3.289e-04,3.008e-04,3.578e-05,1.469e-05
2.062e-05,8.719e-04,1.216e-04,1.943e-04,3.221e-04,2.800e-04,1.083e-05,1.431e-06
5.209e-05,8.900e-04,1.323e-04,2.242e-04,3.563e-04,2.605e-04,9.149e-06,1.997e-06
7.915e-05,9.048e-04,1.419e-04,2.325e-04,4.059e-04,2.927e-04,6.303e-06,2.873e-05
