,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,1.093e-04,1.163e-03,2.898e-04,1.769e-04,3.208e-04,2.107e-04,1.438e-05,2.901e-05
std,3.460e-05,1.553e-04,1.743e-04,9.758e-05,5.850e-05,4.197e-05,1.232e-05,2.045e-05
min,1.311e-06,1.621e-05,0.000e+00,4.917e-07,3.624e-05,5.960e-07,0.000e+00,2.980e-08
0.1%,1.311e-06,1.621e-05,0.000e+00,4.917e-07,3.624e-05,5.960e-07,0.000e+00,2.980e-08
25%,9.072e-05,1.183e-03,1.447e-04,8.716e-05,2.734e-04,1.857e-04,5.163e-06,1.227e-05
50%,1.101e-04,1.214e-03,2.693e-04,1.855e-04,3.163e-04,2.010e-04,1.132e-05,2.444e-05
75%,1.285e-04,1.233e-03,4.243e-04,2.705e-04,3.723e-04,2.313e-04,2.076e-05,4.220e-05
99.9%,2.041e-04,1.351e-03,7.776e-04,3.585e-04,4.978e-04,4.061e-04,6.449e-05,1.139e-04
max,2.041e-04,1.351e-03,7.776e-04,3.585e-04,4.978e-04,4.061e-04,6.449e-05,1.139e-04
