kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,403.0,894.0,1.1,0.27,0.0
228.37305,857.2592,405.18665,894.7022,1.155917,0.27571872,0.014888048
234.15527,863.4937,407.47034,895.4199,1.2044847,0.28178328,0.029554427
240.32607,869.718,409.8375,896.1539,1.2474854,0.2881407,0.044002473
246.86414,875.94226,412.27707,896.9047,1.2862712,0.2947506,0.058235407
253.73914,882.1751,414.78003,897.673,1.321867,0.3015822,0.072256446
260.92926,888.423,417.33893,898.4591,1.3550501,0.30861193,0.08606875
268.42688,894.6899,419.94778,899.26337,1.38641,0.3158219,0.09967542
276.20483,900.9812,422.60144,900.0863,1.4163929,0.32319823,0.11307949
284.27185,907.2984,425.29578,900.92816,1.4453386,0.33073035,0.126284
292.6034,913.6434,428.02725,901.7892,1.4735034,0.33841,0.13929194
301.19412,920.0158,430.79294,902.6697,1.5010812,0.34623078,0.15210623
310.02603,926.4139,433.5902,903.56976,1.528218,0.3541877,0.16472971
319.08807,932.8358,436.41666,904.4897,1.5550216,0.36227676,0.17716527
328.36633,939.27985,439.27014,905.4297,1.581572,0.37049478,0.1894157
337.8659,945.74384,442.1486,906.38983,1.607928,0.3788391,0.20148373
347.5901,952.2252,445.05008,907.37024,1.6341321,0.38730752,0.21337211
357.52615,958.7217,447.97284,908.3712,1.6602148,0.39589813,0.22508347
367.6609,965.23096,450.91513,909.39264,1.6861969,0.40460926,0.23662049
377.99124,971.7503,453.87537,910.43475,1.7120931,0.4134394,0.24798572
388.5256,978.27673,456.85187,911.4977,1.7379124,0.42238712,0.25918174
399.26675,984.8074,459.84317,912.5813,1.7636597,0.43145108,0.2702111
410.21478,991.34,462.8476,913.68585,1.789337,0.44063002,0.28107625
421.36707,997.87225,465.8638,914.81134,1.814944,0.44992262,0.29177964
432.71497,1004.40063,468.89026,915.95776,1.8404799,0.4593276,0.3023237
444.24374,1010.9214,471.92557,917.1251,1.865941,0.46884376,0.31271076
455.97113,1017.4308,474.9682,918.3135,1.8913234,0.47846976,0.32294315
467.8866,1023.92566,478.0166,919.5229,1.9166212,0.48820433,0.33302325
479.99268,1030.4028,481.06934,920.75323,1.9418283,0.49804613,0.34295326
492.28845,1036.8601,484.12482,922.0045,1.9669386,0.5079938,0.35273546
504.7699,1043.2944,487.18158,923.27673,1.9919466,0.5180459,0.36237198
517.4395,1049.7023,490.2382,924.56976,2.0168462,0.52820104,0.37186503
530.3154,1056.0825,493.29312,925.8837,2.0416312,0.5384578,0.38121676
543.39545,1062.4327,496.34506,927.2184,2.0662966,0.54881465,0.39042926
556.6617,1068.7509,499.39267,928.5736,2.090838,0.55927014,0.3995046
570.1074,1075.0333,502.4346,929.9494,2.1152503,0.5698226,0.40844482
583.7281,1081.2777,505.46957,931.3457,2.1395288,0.58047056,0.41725194
597.5274,1087.4808,508.49628,932.7623,2.1636684,0.5912125,0.42592794
611.51465,1093.6393,511.51337,934.19916,2.187664,0.6020467,0.43447477
625.6909,1099.7493,514.5194,935.65607,2.2115102,0.6129716,0.44289434
640.06036,1105.8081,517.51306,937.13293,2.2352011,0.6239856,0.45118856
654.639,1111.8143,520.49286,938.6296,2.2587311,0.63508683,0.4593593
669.4029,1117.7656,523.4575,940.1458,2.282096,0.64627373,0.46740842
684.3601,1123.6599,526.4058,941.6815,2.305291,0.65754455,0.47533768
699.51324,1129.4958,529.33636,943.23645,2.3283124,0.6688975,0.48314893
714.86414,1135.2706,532.24817,944.8104,2.351157,0.6803309,0.49084383
730.4037,1140.9816,535.1398,946.4033,2.3738213,0.69184285,0.49842417
746.1419,1146.6251,538.0103,948.0148,2.3963017,0.70343167,0.5058917
762.0889,1152.1998,540.8583,949.6447,2.418594,0.7150956,0.513248
778.2435,1157.7028,543.68256,951.29285,2.4406943,0.7268327,0.5204948
794.599,1163.1309,546.482,952.9589,2.462599,0.7386412,0.5276337
811.1611,1168.4816,549.2552,954.6427,2.484304,0.7505193,0.53466636
827.9425,1173.7527,552.00104,956.34393,2.505805,0.76246506,0.54159427
844.9358,1178.9431,554.7183,958.0623,2.5270987,0.7744767,0.54841906
862.1611,1184.0504,557.4059,959.79755,2.548182,0.78655225,0.5551423
879.60175,1189.0729,560.0626,961.54944,2.5690515,0.79868984,0.5617654
897.2553,1194.0085,562.68744,963.3176,2.589705,0.81088763,0.5682899
915.1241,1198.8527,565.2792,965.10187,2.6101398,0.82314366,0.5747172
933.1943,1203.6008,567.8368,966.90173,2.6303515,0.8354561,0.58104885
951.47864,1208.2522,570.35876,968.717,2.650335,0.8478229,0.58728623
969.96606,1212.8053,572.844,970.54724,2.6700864,0.86024225,0.59343076
988.6619,1217.2595,575.29126,972.39233,2.6896029,0.8727121,0.59948385
1007.5704,1221.6129,577.69965,974.2518,2.708882,0.8852305,0.60544676
1026.7133,1225.863,580.0681,976.12524,2.7279215,0.89779544,0.6113209
1046.0779,1230.0079,582.3955,978.0123,2.7467182,0.910405,0.6171076
1065.658,1234.0464,584.68085,979.9128,2.7652702,0.9230572,0.62280816
1085.4392,1237.9762,586.9233,981.8261,2.7835755,0.93575,0.6284238
1105.43,1241.7963,589.1217,983.752,2.801631,0.9484815,0.63395584
1125.661,1245.5056,591.27515,985.69006,2.8194351,0.9612497,0.6394055
1146.1218,1249.1023,593.3829,987.63983,2.836986,0.9740526,0.6447741
1166.8057,1252.5856,595.444,989.601,2.8542817,0.9868882,0.65006274
1187.7046,1255.9568,597.4576,991.5731,2.8713207,0.99975455,0.65527266
1208.8448,1259.2135,599.42316,993.5557,2.8881032,1.0126497,0.66040504
1230.2495,1262.3494,601.33997,995.54846,2.9046283,1.0255715,0.665461
1251.9113,1265.364,603.207,997.55096,2.9208913,1.0385182,0.6704416
1273.806,1268.2544,605.0233,999.56274,2.9368901,1.0514877,0.6753481
1295.9318,1271.0195,606.7881,1001.5833,2.9526207,1.0644782,0.6801815
1318.2903,1273.6589,608.50037,1003.6124,2.9680805,1.0774875,0.68494296
1340.8833,1276.1716,610.15936,1005.6495,2.9832673,1.0905137,0.6896336
1363.7214,1278.5576,611.7643,1007.69403,2.9981794,1.1035547,0.6942544
1386.7921,1280.818,613.3144,1009.7456,3.0128152,1.1166086,0.6988064
1410.0942,1282.952,614.80927,1011.8039,3.0271747,1.1296735,0.70329064
1433.6287,1284.9595,616.24835,1013.8682,3.0412576,1.1427473,0.7077081
1457.3951,1286.8397,617.6312,1015.9383,3.0550632,1.155828,0.71205986
1481.3849,1288.5857,618.95746,1018.0136,3.0685916,1.1689137,0.71634674
1505.6005,1290.1942,620.2262,1020.0937,3.0818386,1.1820025,0.72056985
1530.0581,1291.666,621.4365,1022.17804,3.0947995,1.1950924,0.7247301
1554.74,1292.9971,622.5878,1024.2662,3.106666,1.2081815,0.7288283
1579.648,1294.1874,623.6792,1026.3577,3.1176314,1.2212621,0.7328656
1604.7919,1295.2388,624.70984,1028.4519,3.1278412,1.234328,0.7368427
1630.1824,1296.1534,625.67914,1030.5486,3.1374054,1.2473743,0.74076056
1655.8374,1296.9319,626.5867,1032.6471,3.1464086,1.2603966,0.7446202
1681.7611,1297.5695,627.43225,1034.747,3.1549134,1.2733912,0.7484224
1707.9541,1298.0636,628.21533,1036.8475,3.1629658,1.2863549,0.75216794
1734.4155,1298.4164,628.9353,1038.9486,3.170598,1.2992848,0.7558577
1761.1287,1298.6283,629.5917,1041.0494,3.1778355,1.3121783,0.7594925
1788.0864,1298.701,630.1842,1043.1495,3.1846972,1.3250326,0.76307327
1815.2966,1298.6351,630.71265,1045.2485,3.1911983,1.3378457,0.76660067
1842.771,1298.4318,631.17676,1047.3457,3.1973505,1.3506153,0.77007556
1870.5203,1298.0933,631.5766,1049.4409,3.2031631,1.3633393,0.7734987
1898.5096,1297.621,631.91223,1051.5332,3.208644,1.3760157,0.7768709
1926.6913,1297.0161,632.18384,1053.6223,3.2137992,1.3886425,0.78019285
1955.1189,1296.2812,632.3916,1055.7078,3.2186341,1.4012179,0.7834654
1983.8145,1295.4191,632.53577,1057.789,3.2231536,1.4137399,0.78668916
2012.7467,1294.4323,632.6169,1059.8655,3.2273622,1.4262067,0.78986496
2041.9131,1293.322,632.63544,1061.9368,3.231265,1.4386166,0.7929935
2071.313,1292.0907,632.592,1064.0023,3.2348661,1.450968,0.79607546
2100.9563,1290.741,632.4871,1066.0618,3.2381692,1.4632591,0.79911155
2130.8433,1289.2771,632.32166,1068.1144,3.241178,1.4754882,0.80210245
2160.8718,1287.7092,632.0964,1070.16,3.2438977,1.4876537,0.8050488
2191.0803,1286.0684,631.81256,1072.198,3.2463367,1.4997542,0.8079513
2221.634,1284.4563,631.4733,1074.228,3.2485175,1.5117881,0.81081057
2252.533,1282.8906,631.08716,1076.2496,3.2505112,1.5237541,0.81362724
2283.7302,1281.3655,630.6629,1078.2625,3.2523808,1.5356514,0.81640196
2315.2083,1279.875,630.2075,1080.2662,3.2541704,1.5474796,0.8191354
2346.9644,1278.4142,629.727,1082.2607,3.2559102,1.5592388,0.8218281
2379.0364,1276.9803,629.22614,1084.2457,3.25762,1.5709288,0.8244808
2411.429,1275.5713,628.7091,1086.2211,3.259314,1.58255,0.82709396
2444.1309,1274.1835,628.1794,1088.1868,3.261002,1.594103,0.8296682
2477.134,1272.8143,627.6397,1090.1426,3.2626886,1.605588,0.83220416
2510.4333,1271.4614,627.0924,1092.0887,3.2643769,1.6170053,0.8347023
2544.0552,1270.1232,626.53955,1094.0248,3.2660673,1.6283557,0.83716327
2578.0032,1268.7979,625.9825,1095.951,3.2677596,1.6396396,0.83958757
2612.2678,1267.4843,625.4225,1097.8674,3.269453,1.6508573,0.8419758
2646.8376,1266.1816,624.86066,1099.774,3.2711468,1.6620095,0.8443285
2681.703,1264.8887,624.2978,1101.6708,3.2728388,1.6730964,0.8466462
2716.8433,1263.605,623.7346,1103.5576,3.2745278,1.6841186,0.84892935
2752.258,1262.3302,623.17163,1105.4346,3.2762122,1.6950766,0.8511785
2787.944,1261.0635,622.6094,1107.3018,3.277891,1.7059706,0.8533942
2823.9001,1259.8046,622.04816,1109.159,3.2795625,1.7168012,0.8555769
2860.1326,1258.5532,621.4883,1111.0068,3.281226,1.7275686,0.85772705
2896.6418,1257.3092,620.93,1112.8448,3.28288,1.7382734,0.8598452
2933.4253,1256.0721,620.37354,1114.6731,3.2845244,1.7489157,0.86193186
2970.4663,1254.8429,619.819,1116.492,3.2861586,1.759496,0.86398745
3007.768,1253.621,619.2666,1118.301,3.287782,1.7700148,0.8660124
3045.3286,1252.4064,618.71655,1120.1006,3.2893944,1.7804723,0.86800724
3083.1487,1251.1989,618.1689,1121.8907,3.290996,1.7908688,0.86997235
3121.229,1249.9985,617.62366,1123.6715,3.2925866,1.8012046,0.8719082
3159.5662,1248.8052,617.0811,1125.4429,3.2941658,1.8114802,0.87381524
3198.1562,1247.618,616.54114,1127.2048,3.295734,1.8216959,0.8756939
3236.9858,1246.437,616.0038,1128.9576,3.2972903,1.8318521,0.87754464
3276.0242,1245.262,615.4692,1130.701,3.2988348,1.841949,0.87936777
3315.2786,1244.0929,614.9372,1132.4353,3.3003669,1.8519869,0.8811638
3354.7761,1242.93,614.40784,1134.1605,3.301886,1.8619663,0.882933
3394.5498,1241.773,613.88116,1135.8766,3.303393,1.8718873,0.8846759
3434.5972,1240.6218,613.3571,1137.5835,3.3048868,1.8817505,0.8863929
3474.9172,1239.4766,612.8357,1139.2815,3.3063684,1.8915559,0.8880843
3515.511,1238.3372,612.31683,1140.9706,3.307837,1.901304,0.88975054
3556.368,1237.2037,611.8006,1142.6508,3.3092928,1.910995,0.89139193
3597.4915,1236.0763,611.2869,1144.3219,3.3107364,1.9206293,0.89300895
3638.8728,1234.9547,610.7759,1145.9843,3.3121674,1.930207,0.8946019
3680.5134,1233.8391,610.2675,1147.6378,3.3135858,1.9397287,0.8961711
3722.4106,1232.7295,609.7617,1149.2827,3.3149924,1.9491947,0.8977169
3764.573,1231.6259,609.25854,1150.9188,3.3163867,1.9586049,0.8992397
3807.0022,1230.5281,608.758,1152.5464,3.3177695,1.9679601,0.90073985
3849.657,1229.4363,608.26,1154.1654,3.3191404,1.9772604,0.9022176
3892.5347,1228.3503,607.76465,1155.7759,3.3204994,1.9865059,0.9036734
3935.6416,1227.27,607.2719,1157.3777,3.321847,1.9956971,0.90510756
3978.9768,1226.1956,606.78174,1158.9712,3.3231833,2.0048344,0.9065203
4022.5444,1225.1267,606.2941,1160.5562,3.324508,2.013918,0.9079121
4066.3394,1224.0634,605.80914,1162.1328,3.3258212,2.0229478,0.9092831
4110.352,1223.0052,605.32666,1163.7012,3.3271234,2.0319245,0.9106337
4154.585,1221.9521,604.84674,1165.2612,3.328414,2.0408485,0.9119642
4199.045,1220.9043,604.36914,1166.8131,3.3296926,2.0497198,0.9132749
4243.728,1219.8615,603.8941,1168.3568,3.3309598,2.058539,0.91456604
4288.639,1218.8239,603.42145,1169.8923,3.3322153,2.067306,0.915838
4333.774,1217.7913,602.95123,1171.4197,3.3334594,2.0760212,0.917091
4379.134,1216.7637,602.48334,1172.9388,3.3346913,2.084685,0.91832536
4424.715,1215.741,602.01776,1174.4501,3.335912,2.0932975,0.91954136
4470.518,1214.7231,601.55444,1175.9534,3.337121,2.101859,0.92073923
4516.539,1213.7103,601.09344,1177.4487,3.3383183,2.1103702,0.9219193
4562.776,1212.7028,600.63477,1178.9363,3.3395042,2.1188307,0.92308176
4609.2256,1211.7002,600.1784,1180.4158,3.3406792,2.1272411,0.92422694
4655.8945,1210.703,599.7243,1181.8873,3.3418427,2.1356015,0.9253551
4702.78,1209.7108,599.2724,1183.3514,3.3429952,2.1439126,0.9264664
4749.894,1208.7239,598.8227,1184.8075,3.3441372,2.1521742,0.92756116
