con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.31674,0.0017051001,0.0006082576,105.17594,104.996605,27.616,31.035406,29.410368,28.629507,0.06397407,0.17933552,33.635406
79.83932,0.0018181846,0.00064788974,108.69794,108.500305,28.590698,31.397966,30.15291,29.98562,0.07042428,0.19763291,33.93885
82.44743,0.0019360201,0.0006862714,112.33424,112.11676,29.59238,31.769384,30.948385,31.298807,0.077091776,0.21748136,34.252495
85.150604,0.0020586571,0.00072319934,116.07911,115.84014,30.605762,32.147305,31.79737,32.566628,0.08394834,0.2389671,34.57395
87.946625,0.0021861454,0.00075879623,119.93126,119.669075,31.63165,32.529808,32.695847,33.795246,0.09100339,0.26218718,34.901287
90.81709,0.002318533,0.00079304323,123.88858,123.60133,32.686214,32.9153,33.63492,34.986416,0.098249,0.28723973,35.232853
93.77667,0.002455868,0.0008266039,127.94483,127.630615,33.748444,33.29894,34.623726,36.159836,0.105759695,0.31421563,35.563797
96.82175,0.0025981967,0.00085905526,132.10312,131.75989,34.824955,33.682304,35.657578,37.305386,0.113483876,0.3432299,35.895664
99.94385,0.0027455636,0.0008916069,136.36276,135.98837,35.923275,34.060135,36.732063,38.45646,0.12158198,0.37439263,36.223167
103.144066,0.0028980118,0.0009247579,140.71803,140.31023,37.036407,34.428585,37.84849,39.62674,0.13013011,0.40780255,36.54244
106.418015,0.0030555811,0.00095841644,145.16934,144.72577,38.16904,34.787655,39.003742,40.81395,0.13913268,0.4435767,36.853443
109.76443,0.0032183097,0.0009926552,149.71472,149.2329,39.32032,35.135857,40.197224,42.020405,0.14861509,0.48182836,37.154675
113.18722,0.0033862304,0.001027417,154.35384,153.83115,40.485893,35.472984,41.43398,43.24477,0.15858576,0.5226777,37.4459
116.682144,0.0035593766,0.0010630748,159.08678,158.52054,41.669872,35.797264,42.711998,44.496933,0.16912115,0.5662497,37.72532
120.24242,0.0037377744,0.0010991034,163.91151,163.29886,42.87696,36.10968,44.023094,45.763557,0.1801557,0.6126643,37.9939
123.87112,0.0039214487,0.0011365183,168.82698,168.16493,44.102688,36.405853,45.36458,47.070976,0.19187497,0.6620463,38.247227
127.57472,0.0041104187,0.001176048,173.83379,173.11928,45.340954,36.68316,46.7486,48.437443,0.20443688,0.7145297,38.482666
131.34387,0.004304701,0.0012167187,178.93105,178.16081,46.60016,36.94434,48.168224,49.83824,0.21770875,0.77024466,38.702927
135.18011,0.0045043044,0.0012587215,184.11662,183.28728,47.87646,37.188206,49.623814,51.278084,0.23175153,0.82931733,38.90681
139.0819,0.0047092373,0.001301538,189.39384,188.50194,49.1747,37.41681,51.11219,52.744244,0.24650328,0.89190054,39.096333
143.04898,0.0049195006,0.001344861,194.76068,193.80254,50.492943,37.630726,52.636307,54.229244,0.26192605,0.95812523,39.272064
147.07793,0.0051350924,0.0013889561,200.2178,199.18967,51.83507,37.828915,54.19395,55.740013,0.27809376,1.028137,39.432934
151.16971,0.0053560045,0.0014347809,205.76543,204.66336,53.19999,38.00768,55.783405,57.30042,0.29522833,1.1020806,39.57523
155.31862,0.0055822246,0.0014828033,211.40437,210.22426,54.59394,38.165375,57.405025,58.9218,0.31347108,1.1801068,39.69728
159.54045,0.005813736,0.0015325225,217.13525,215.87288,56.001595,38.303562,59.06753,60.59191,0.33276466,1.262367,39.800632
163.82315,0.0060505173,0.0015848101,222.95695,221.60796,57.433594,38.419,60.765484,62.331676,0.35334444,1.349005,39.882034
168.1765,0.00629254,0.0016384745,228.87108,227.43091,58.881756,38.515858,62.50214,64.11229,0.37499946,1.4401805,39.94562
172.59538,0.00653977,0.0016931404,234.8783,233.34224,60.35179,38.595673,64.27533,65.92475,0.39768192,1.53605,39.99293
177.07982,0.006792168,0.0017490258,240.97874,239.34196,61.843513,38.65733,66.08679,67.774796,0.421478,1.6367681,40.022816
181.63026,0.007049691,0.0018057699,247.16927,245.42679,63.353333,38.701645,67.932556,69.653984,0.44633082,1.742467,40.036083
186.25009,0.007312293,0.0018629594,253.44981,251.5965,64.8777,38.729908,69.81827,71.55302,0.4721667,1.8532991,40.034
190.9391,0.0075799166,0.0019204408,259.82245,257.853,66.41869,38.742992,71.741875,73.468704,0.49897367,1.9694325,40.017437
195.69252,0.007852507,0.0019794968,266.28918,264.19818,67.982666,38.736492,73.703186,75.43178,0.52711856,2.0910375,39.98196
200.5096,0.008130004,0.0020401129,272.84857,270.6303,69.5686,38.71021,75.703926,77.44211,0.5566419,2.2182598,39.927357
205.39981,0.008412338,0.0021022824,279.4991,277.14786,71.1654,38.664005,77.74505,79.499664,0.58758605,2.3512409,39.853477
