kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.49179,0.9831857,0.16157055,1.4563653,-1.0197542,-0.017053451,-0.24325278,-0.029806165
234.31996,0.9894168,0.1661514,1.450618,-1.0141158,-0.01693977,-0.24624695,-0.029842492
240.53204,0.99443394,0.17057219,1.4456751,-1.0090972,-0.01683743,-0.24918738,-0.029826932
247.11281,0.99848974,0.17492704,1.4412185,-1.0044626,-0.016738221,-0.25232047,-0.029852493
254.0377,1.0019988,0.1792318,1.4373167,-1.0003589,-0.016620971,-0.255463,-0.029928876
261.2792,1.0048858,0.18348983,1.4338645,-0.9966107,-0.0165197,-0.2585163,-0.0299978
268.83215,1.0070295,0.18768728,1.430962,-0.99325126,-0.016475078,-0.26174596,-0.030018834
276.6789,1.0086989,0.1918218,1.4285159,-0.99021214,-0.016419977,-0.26504645,-0.030060427
284.80237,1.0099416,0.19598863,1.4263747,-0.9874591,-0.016364578,-0.26837182,-0.030205538
293.19293,1.010762,0.20017076,1.4246441,-0.9850866,-0.016258527,-0.27173653,-0.030321516
301.82822,1.0112619,0.20439778,1.423286,-0.98301667,-0.016206596,-0.2751062,-0.030410327
310.70758,1.0115086,0.20872249,1.422224,-0.9811632,-0.016223025,-0.27850893,-0.03040664
319.81985,1.0115998,0.21313164,1.4214575,-0.9796421,-0.016152274,-0.282013,-0.030470822
329.15817,1.0115516,0.21763122,1.4210284,-0.9783337,-0.01606768,-0.28547657,-0.030649954
338.72205,1.0114105,0.2222086,1.4207823,-0.9771056,-0.016011212,-0.288898,-0.030863186
348.51086,1.0110928,0.22686659,1.4208156,-0.97625077,-0.016022112,-0.29241025,-0.030974587
358.50085,1.0106272,0.2315861,1.421117,-0.97566724,-0.0159613,-0.29600424,-0.031141836
368.69986,1.0101167,0.23639771,1.4216092,-0.9751682,-0.015949536,-0.29957804,-0.031229412
379.10684,1.0096061,0.24126588,1.4223506,-0.9748718,-0.015961703,-0.3031503,-0.031308312
389.71356,1.0090904,0.24618597,1.4232631,-0.9747611,-0.015901778,-0.30673802,-0.031395108
400.52994,1.008559,0.25115246,1.4244179,-0.9748195,-0.015907358,-0.31029144,-0.031594552
411.54633,1.008,0.2562323,1.4257267,-0.97496694,-0.015926573,-0.31391034,-0.031726643
422.75522,1.0073832,0.2614089,1.4271773,-0.97522587,-0.015929904,-0.3176096,-0.031859014
434.14972,1.0067637,0.26667178,1.4287753,-0.9756038,-0.015902538,-0.32132402,-0.032036442
445.74063,1.0061294,0.2719772,1.4304662,-0.97611386,-0.015830863,-0.32505026,-0.032123372
457.5224,1.005519,0.27744058,1.4324188,-0.97684294,-0.01578131,-0.32876953,-0.032228645
469.4842,1.0048938,0.28309897,1.4345751,-0.9777677,-0.015824046,-0.332439,-0.03238713
481.62857,1.0042732,0.2888808,1.436781,-0.9787,-0.015815858,-0.33611226,-0.032503165
493.96518,1.0036845,0.29474235,1.439133,-0.97970307,-0.015773434,-0.33980978,-0.03265934
506.48743,1.0031029,0.30069938,1.4416516,-0.9808405,-0.01579253,-0.34349552,-0.032833707
519.1851,1.0025661,0.30680388,1.4442388,-0.9821129,-0.01579434,-0.34718663,-0.032969963
532.07245,1.0020478,0.31290066,1.4469475,-0.9834618,-0.015815336,-0.3509171,-0.033149004
545.15533,1.0016134,0.31902143,1.4497671,-0.9849265,-0.01589815,-0.35467985,-0.033349175
558.4399,1.0012178,0.3252081,1.4526801,-0.9864742,-0.015913453,-0.3584704,-0.03349298
571.9213,1.0008627,0.3314741,1.4556916,-0.98809314,-0.015944798,-0.36230326,-0.03365574
585.5822,1.0004902,0.33784515,1.4587826,-0.9897767,-0.015972365,-0.36607146,-0.03380134
599.4363,1.0001587,0.34431037,1.4619608,-0.99150753,-0.015975524,-0.36974743,-0.033944078
613.49493,0.9998447,0.35079882,1.4652648,-0.9933218,-0.015951287,-0.37341303,-0.034146503
627.7388,0.99954456,0.35726616,1.4686365,-0.9951932,-0.015942145,-0.37710124,-0.034299668
642.1585,0.9992195,0.36383274,1.472042,-0.9971804,-0.015978437,-0.3807955,-0.034450177
656.76526,0.9989344,0.370577,1.4755203,-0.99922925,-0.016034286,-0.38449156,-0.034563426
671.56384,0.9986889,0.37743688,1.4791614,-1.0013498,-0.01606119,-0.38816816,-0.034713868
686.552,0.99847794,0.3844089,1.4828758,-1.0035367,-0.016076457,-0.39186502,-0.034943163
701.7423,0.99834317,0.39147058,1.4865782,-1.0058514,-0.016133387,-0.3955716,-0.035107207
717.1216,0.9981647,0.3985415,1.4903849,-1.0081315,-0.01617543,-0.39927408,-0.035163783
732.68427,0.99805546,0.40570077,1.4943029,-1.010469,-0.016193274,-0.40301895,-0.035279628
748.4617,0.997946,0.41294083,1.4981912,-1.0127755,-0.016213682,-0.40667215,-0.03540697
764.4291,0.9978938,0.4203289,1.5022072,-1.0151794,-0.016209137,-0.41034082,-0.03560072
780.5979,0.9978766,0.4277432,1.5062337,-1.0176716,-0.01626103,-0.41400114,-0.03578341
796.9931,0.997891,0.435153,1.5103468,-1.020227,-0.016328674,-0.41762233,-0.035949863
813.5971,0.9979055,0.4426514,1.5144652,-1.0227425,-0.01639058,-0.42122465,-0.036109526
830.3841,0.9979478,0.45027623,1.5186405,-1.0252359,-0.016410973,-0.4247677,-0.036289856
847.3601,0.99798626,0.4580368,1.5228351,-1.0277386,-0.016447637,-0.4283174,-0.03644362
864.54175,0.998036,0.46589687,1.5270575,-1.0303482,-0.016447272,-0.43186885,-0.036577024
881.95026,0.99812925,0.4738173,1.531302,-1.0330611,-0.016464826,-0.43544593,-0.036675896
899.55096,0.99818444,0.48180628,1.5356374,-1.0358024,-0.016502138,-0.43895453,-0.036778048
917.3529,0.9982396,0.48985553,1.5400815,-1.0385947,-0.016551774,-0.4424072,-0.036920253
935.3546,0.99837244,0.4979693,1.5445408,-1.0414245,-0.016604882,-0.44584757,-0.037062038
953.57465,0.9984869,0.5061465,1.5490363,-1.0442418,-0.016676415,-0.4493019,-0.037225727
971.98816,0.998588,0.51438934,1.5535142,-1.0470667,-0.016715575,-0.4527284,-0.03739619
990.60364,0.998762,0.52270496,1.5580246,-1.0499194,-0.016737785,-0.45611134,-0.037563223
1009.42725,0.99897045,0.5310999,1.5625662,-1.052788,-0.016759302,-0.45944726,-0.037726328
1028.4633,0.9991554,0.5395882,1.5671304,-1.055651,-0.016804758,-0.4627364,-0.03788523
1047.7092,0.9993754,0.548126,1.5717263,-1.0585272,-0.016866524,-0.46598762,-0.03804237
1067.1876,0.9996647,0.5566931,1.5763463,-1.0614631,-0.016886462,-0.4692172,-0.038129587
1086.9283,1.0001069,0.5652997,1.5809808,-1.064399,-0.016934793,-0.47250813,-0.03822548
1106.934,1.0004978,0.57397103,1.5856086,-1.0672938,-0.017008048,-0.47571462,-0.03828519
1127.1772,1.0008392,0.58276016,1.5902371,-1.0701776,-0.017092895,-0.47884712,-0.0383405
1147.6184,1.0010643,0.5917382,1.5949157,-1.0731139,-0.01713292,-0.4819944,-0.03847865
1168.2668,1.0012344,0.6008559,1.5996135,-1.0760648,-0.01713856,-0.48515725,-0.038695563
1189.1196,1.001429,0.610055,1.6042925,-1.0790274,-0.017159399,-0.48833585,-0.03891631
1210.1725,1.0016699,0.6194812,1.6090155,-1.0820038,-0.017230209,-0.49137458,-0.039029263
1231.4171,1.0019464,0.62915444,1.6138339,-1.0849452,-0.017327752,-0.49430355,-0.039145436
1252.8678,1.0022388,0.6389468,1.6186608,-1.0879014,-0.017371576,-0.49722376,-0.039273683
1274.53,1.0025399,0.6488111,1.6234503,-1.0908424,-0.017405566,-0.5001295,-0.03940966
1296.4175,1.0029229,0.65876347,1.628215,-1.0938175,-0.017435681,-0.5029566,-0.039537173
1318.5164,1.0032803,0.66879874,1.632974,-1.0967778,-0.01748715,-0.50574857,-0.039632376
1340.8262,1.0036037,0.6789569,1.6377352,-1.0997438,-0.017526027,-0.508502,-0.039757226
1363.3536,1.003927,0.6892209,1.6425033,-1.1027262,-0.017549511,-0.5112264,-0.03993659
1386.104,1.0042993,0.6996593,1.6472528,-1.1057428,-0.017618638,-0.5139204,-0.040096585
1409.0931,1.0046978,0.710303,1.6519548,-1.1088295,-0.017644059,-0.51654077,-0.040197734
1432.3278,1.0050632,0.7210119,1.65666,-1.1119365,-0.017681684,-0.5191441,-0.040295903
1455.7819,1.0054407,0.7318226,1.6613674,-1.1149383,-0.017780628,-0.52171504,-0.04035921
1479.4227,1.0058162,0.74267626,1.6661041,-1.1178522,-0.017857727,-0.5241473,-0.04039644
1503.2605,1.0061787,0.75366026,1.6708521,-1.1207906,-0.017814782,-0.5265389,-0.040433098
1527.29,1.0064994,0.7648755,1.6756405,-1.123791,-0.017816965,-0.52889854,-0.040504288
1551.5598,1.0068688,0.77633166,1.6804901,-1.1268978,-0.017882075,-0.53118545,-0.04060303
1576.0686,1.0073109,0.787712,1.6853178,-1.1299777,-0.01796044,-0.53339833,-0.040754113
1600.811,1.0077031,0.7990287,1.6900944,-1.1330185,-0.018034425,-0.535551,-0.04091088
1625.7787,1.0080843,0.8103043,1.6948205,-1.1360483,-0.018090125,-0.53765386,-0.041075896
1650.973,1.0084805,0.8215955,1.6995376,-1.1390426,-0.01814663,-0.5397279,-0.041255925
1676.443,1.008949,0.8334003,1.7042136,-1.1419523,-0.018200707,-0.5417529,-0.041381408
1702.1548,1.0093566,0.84514666,1.708875,-1.144903,-0.018272351,-0.5436854,-0.041444574
1728.0905,1.0097355,0.8567917,1.7135445,-1.1478608,-0.018315297,-0.5456186,-0.04150289
1754.2229,1.0100578,0.86831856,1.7182192,-1.1507965,-0.018340822,-0.5475275,-0.041523892
1780.5696,1.0103413,0.8797537,1.7228482,-1.1536752,-0.018378507,-0.5493648,-0.04155645
1807.1451,1.0106001,0.8911003,1.727453,-1.1565386,-0.018403422,-0.55115277,-0.041594576
1833.928,1.0108507,0.90233386,1.7320179,-1.1593952,-0.0184475,-0.552885,-0.04162808
1860.9268,1.0111116,0.91343415,1.736559,-1.1622115,-0.01850539,-0.5545866,-0.04165444
1888.1387,1.0113498,0.92442113,1.7410946,-1.1649868,-0.01858535,-0.55626124,-0.04170445
1915.5562,1.011548,0.93528706,1.7455713,-1.1677209,-0.018658813,-0.55788845,-0.04176453
1943.1738,1.0117087,0.9460312,1.7499894,-1.1704139,-0.018725704,-0.5594707,-0.04183467
1970.9852,1.0118349,0.95665234,1.7543486,-1.1730657,-0.018786337,-0.5610096,-0.041915137
1998.9875,1.0119283,0.9671485,1.7586488,-1.1756763,-0.018840622,-0.56250745,-0.0420059
2027.164,1.0120152,0.97745186,1.7629597,-1.1783055,-0.018877652,-0.5639561,-0.042208653
2055.4895,1.0120935,0.9875465,1.7672172,-1.180935,-0.01890206,-0.5652913,-0.04236867
2084.0515,1.0121311,0.99701,1.771451,-1.1835619,-0.018915262,-0.566583,-0.042472515
2112.8826,1.0120015,0.9998303,1.7756602,-1.1861932,-0.018970992,-0.5678233,-0.04252771
2142.078,1.0119767,1.0,1.7796807,-1.1888256,-0.01903757,-0.5691045,-0.04257514
2171.6147,1.0118903,1.0,1.7836307,-1.1914281,-0.019080203,-0.5703154,-0.04260001
2201.5107,1.0117995,1.0,1.7875464,-1.1940188,-0.01914553,-0.5714623,-0.042641323
2231.7598,1.0117083,1.0,1.7914135,-1.1966298,-0.019196179,-0.5725718,-0.04267187
2262.3237,1.0115545,1.0,1.7952652,-1.1992304,-0.01924422,-0.57363814,-0.042708416
2293.1753,1.0113491,1.0,1.7991208,-1.2018278,-0.019275453,-0.57467026,-0.042766947
2324.3042,1.0111098,1.0,1.8029423,-1.2044048,-0.019307893,-0.5756651,-0.04282658
2355.7024,1.0108409,1.0,1.806731,-1.2069623,-0.019341286,-0.5766261,-0.04288749
2387.3638,1.010546,1.0,1.810487,-1.2094996,-0.019375693,-0.5775563,-0.042950246
2419.3088,1.0102513,1.0,1.8142455,-1.2120281,-0.019414302,-0.57852924,-0.043044176
2451.5344,1.0099308,1.0,1.8179833,-1.2145401,-0.019455578,-0.579487,-0.043144707
2484.029,1.0095725,1.0,1.8216709,-1.2170446,-0.019489016,-0.58042985,-0.043221746
2516.802,1.0092462,1.0,1.8253537,-1.2195649,-0.01953746,-0.5813892,-0.043328773
2549.8308,1.0089941,1.0,1.8290397,-1.2220947,-0.019593205,-0.58236516,-0.043440167
2583.1255,1.0087199,1.0,1.8327308,-1.2245848,-0.019675475,-0.5832711,-0.04349615
2616.686,1.0084255,1.0,1.8363965,-1.2270554,-0.019761484,-0.58414876,-0.043548625
2650.5354,1.0081403,1.0,1.8399794,-1.2294872,-0.01982453,-0.58501595,-0.043597702
2684.679,1.007841,1.0,1.8435137,-1.231894,-0.019879576,-0.5858606,-0.043645155
2719.1052,1.00752,1.0,1.8470136,-1.2342861,-0.019940075,-0.5866814,-0.04369388
2753.7966,1.0071938,1.0,1.8504479,-1.236671,-0.020031612,-0.5874953,-0.043747347
2788.7476,1.006853,1.0,1.8538547,-1.2390395,-0.020124163,-0.58829004,-0.04380249
2823.9612,1.0064939,1.0,1.8572385,-1.2413938,-0.020204987,-0.58907634,-0.043856118
2859.4333,1.0061457,1.0,1.8606057,-1.2437446,-0.020281937,-0.5898258,-0.043900687
2895.1628,1.005789,1.0,1.8639475,-1.2460812,-0.020361286,-0.5905544,-0.04394589
2931.1448,1.0054388,1.0,1.8672583,-1.2484249,-0.020422038,-0.5912848,-0.044017654
2967.3745,1.0050882,1.0,1.8705294,-1.2507577,-0.020455386,-0.5919878,-0.044096235
3003.8477,1.0047235,1.0,1.8737667,-1.2530602,-0.020479497,-0.5926514,-0.04416052
3040.5554,1.004391,1.0,1.8770174,-1.2554007,-0.020503458,-0.5933712,-0.04424249
3077.5215,1.0040357,1.0,1.8802727,-1.2576935,-0.020546298,-0.5940725,-0.04433321
3114.754,1.0036728,1.0,1.8834935,-1.2599685,-0.02058142,-0.5947542,-0.044440467
3152.223,1.0033208,1.0,1.8866496,-1.2622561,-0.020580124,-0.5954122,-0.044571806
3189.9543,1.002988,1.0,1.8898141,-1.2645779,-0.020595696,-0.59604055,-0.044640753
3227.9717,1.0026569,1.0,1.8929473,-1.2669256,-0.02062131,-0.5966272,-0.04466824
3266.2595,1.002318,1.0,1.8960576,-1.2692645,-0.020658549,-0.59719396,-0.044697467
3304.8035,1.0019822,1.0,1.8991474,-1.2715979,-0.020720478,-0.5977395,-0.04473016
3343.601,1.0016382,1.0,1.9022148,-1.2739182,-0.020783078,-0.5982735,-0.044764105
3382.6506,1.001287,1.0,1.9052609,-1.2762249,-0.020846378,-0.59879696,-0.0447991
3421.9502,1.0009296,1.0,1.9082856,-1.2785189,-0.020910468,-0.59931064,-0.044835564
3461.4954,1.0005659,1.0,1.9112891,-1.2807999,-0.020975169,-0.5998143,-0.044873316
3501.275,1.0002187,1.0,1.9143065,-1.2830563,-0.02103379,-0.6003209,-0.0449324
3541.2664,0.9998787,1.0,1.9173193,-1.2852867,-0.021090593,-0.6008176,-0.045001056
3581.5266,0.9995389,1.0,1.9203101,-1.2875053,-0.021139365,-0.6012992,-0.04503462
3622.052,0.99918747,1.0,1.9232813,-1.2897127,-0.021184381,-0.60176593,-0.04506653
3662.8193,0.9988328,1.0,1.9262713,-1.2919526,-0.021207359,-0.602225,-0.045107294
3703.812,0.9984869,1.0,1.9292431,-1.2941735,-0.0212374,-0.6026767,-0.04515704
3745.0312,0.99813944,1.0,1.9321957,-1.2963809,-0.021268483,-0.60312206,-0.04520804
3786.4907,0.9977918,1.0,1.9351314,-1.2985716,-0.021301713,-0.6035519,-0.045254458
3828.1824,0.9974391,1.0,1.9380562,-1.3007529,-0.021341722,-0.6039749,-0.045300636
3870.1143,0.9970782,1.0,1.9409744,-1.3029506,-0.021379348,-0.60439414,-0.045317028
3912.2852,0.99675626,1.0,1.9438792,-1.3051502,-0.021424841,-0.6048412,-0.045346808
3954.6897,0.99643946,1.0,1.9467664,-1.3073384,-0.021474343,-0.60528845,-0.04538237
3997.3284,0.9961192,1.0,1.9496343,-1.3095138,-0.02152438,-0.6057282,-0.045418646
4040.207,0.99579585,1.0,1.952497,-1.3116883,-0.02156758,-0.60614884,-0.045469653
4083.3452,0.99546283,1.0,1.9553391,-1.3138766,-0.021589529,-0.6065567,-0.045539368
4126.7227,0.99511504,1.0,1.9581724,-1.3160388,-0.021617796,-0.60692996,-0.04560593
4170.361,0.9948116,1.0,1.9610239,-1.3181975,-0.021636527,-0.60731995,-0.04567114
4214.261,0.99452376,1.0,1.9638726,-1.320348,-0.021652635,-0.6077114,-0.045740876
4258.424,0.99422836,1.0,1.9667034,-1.3224905,-0.02167068,-0.60809237,-0.045813028
4302.854,0.99393195,1.0,1.9695224,-1.3246397,-0.02169479,-0.60846967,-0.045897458
4347.5435,0.9936277,1.0,1.9723196,-1.3267813,-0.021730568,-0.6088305,-0.04597595
4392.4766,0.99331874,1.0,1.9750962,-1.3289163,-0.021781322,-0.6091751,-0.046047647
4437.6006,0.9929858,1.0,1.9778541,-1.3310266,-0.02182455,-0.60949874,-0.046118293
4482.9097,0.9926493,1.0,1.9805949,-1.3331203,-0.021865752,-0.6098159,-0.046189304
4528.4326,0.9923105,1.0,1.9833276,-1.3351907,-0.02191184,-0.610156,-0.046250034
4574.181,0.99196583,1.0,1.9860525,-1.3372421,-0.021960389,-0.61050564,-0.046305228
4620.12,0.991623,1.0,1.9887853,-1.339299,-0.022001904,-0.61083883,-0.046369646
4666.2793,0.99129254,1.0,1.9914832,-1.3413529,-0.022043955,-0.6111718,-0.046436448
4712.651,0.9909603,1.0,1.9941646,-1.3433948,-0.022086736,-0.61149937,-0.04650337
4759.2656,0.99065334,1.0,1.9968588,-1.3454428,-0.022139024,-0.61183244,-0.046561632
4806.1187,0.99034965,1.0,1.9995456,-1.3474844,-0.022194516,-0.6121614,-0.04661684
4853.2026,0.99004066,1.0,2.0022156,-1.3495145,-0.022250276,-0.6124823,-0.04667217
4900.489,0.9897411,1.0,2.004879,-1.3515354,-0.022302609,-0.6128125,-0.046742354
4947.9673,0.9894445,1.0,2.0075288,-1.3535457,-0.022354703,-0.61314183,-0.046815578
4995.6255,0.9891484,1.0,2.0101573,-1.3555571,-0.022401761,-0.6134785,-0.046885047
5043.5024,0.98885864,1.0,2.0127435,-1.3575635,-0.02244946,-0.613799,-0.04693799
5091.5977,0.9885652,1.0,2.015318,-1.359554,-0.022496175,-0.6141079,-0.046987016
5139.927,0.9882728,1.0,2.0178983,-1.3615079,-0.022546288,-0.6144139,-0.047039125
5188.4854,0.98797524,1.0,2.0204635,-1.3634509,-0.022596534,-0.6147118,-0.047090862
5237.241,0.9876813,1.0,2.0230112,-1.365389,-0.022657719,-0.61500055,-0.04713914
5286.1924,0.9873873,1.0,2.0255437,-1.3673162,-0.022719588,-0.6152855,-0.047187243
5335.3354,0.9870948,1.0,2.0280519,-1.3692286,-0.022782948,-0.6155606,-0.04723603
5384.6216,0.9867898,1.0,2.0305376,-1.3711685,-0.022836294,-0.61582184,-0.047256205
5434.1626,0.9864846,1.0,2.0330656,-1.3731546,-0.02290475,-0.616097,-0.047254
5483.9487,0.98617107,1.0,2.0355785,-1.3751302,-0.022973489,-0.6163622,-0.047251318
5533.9355,0.98586434,1.0,2.038094,-1.3771306,-0.023040097,-0.61662,-0.047277573
5584.096,0.9855641,1.0,2.040609,-1.3791485,-0.02310368,-0.61686987,-0.047325213
5634.4375,0.98526794,1.0,2.0431154,-1.3811505,-0.02316999,-0.6171246,-0.047373388
5684.9844,0.984979,1.0,2.0456278,-1.3831224,-0.02324688,-0.61739963,-0.047423754
5735.73,0.98468816,1.0,2.0481265,-1.3850838,-0.023323875,-0.61766976,-0.04747403
5786.669,0.9843953,1.0,2.0506244,-1.3870387,-0.023385253,-0.6179345,-0.047519673
5837.781,0.9841063,1.0,2.0531209,-1.3889878,-0.023430001,-0.61819,-0.047557626
5889.0547,0.98382163,1.0,2.0556061,-1.3909277,-0.023471128,-0.61844057,-0.04759239
5940.5005,0.9835389,1.0,2.0580783,-1.3928568,-0.023512613,-0.61868966,-0.047627542
5992.115,0.9832577,1.0,2.060537,-1.3947756,-0.023554247,-0.618937,-0.0476628
6043.899,0.98297775,1.0,2.0629826,-1.3966839,-0.023596477,-0.6191823,-0.047698203
6095.8516,0.98269874,1.0,2.0654147,-1.3985815,-0.023638915,-0.6194256,-0.047733817
6147.977,0.9824203,1.0,2.0678332,-1.4004688,-0.0236818,-0.6196666,-0.047769476
6200.2695,0.9821423,1.0,2.0702388,-1.4023459,-0.023725,-0.61990494,-0.047805283
6252.7334,0.9818647,1.0,2.0726318,-1.4042126,-0.023768496,-0.6201408,-0.047841135
6305.362,0.98158723,1.0,2.0750113,-1.406069,-0.02381235,-0.6203745,-0.047876988
6358.165,0.9813099,1.0,2.0773776,-1.4079154,-0.02385668,-0.62060523,-0.047913034
6411.1387,0.98103285,1.0,2.0797315,-1.4097519,-0.023901206,-0.62083334,-0.04794908
6464.289,0.98075205,0.99999315,2.0820684,-1.4115634,-0.023946922,-0.621043,-0.047963742
6517.629,0.9804671,1.0,2.0843892,-1.4133539,-0.023993682,-0.6212365,-0.047961894
6571.1226,0.98018515,1.0,2.0867066,-1.415142,-0.024037685,-0.6214313,-0.0479624
6624.73,0.9799162,1.0,2.0890326,-1.4169364,-0.024075326,-0.6216358,-0.047968093
6678.456,0.97965384,1.0,2.0913467,-1.4187138,-0.024116185,-0.62183744,-0.047975916
6732.3247,0.9793957,1.0,2.0936494,-1.4204661,-0.02416354,-0.6220295,-0.04798721
6786.337,0.97913945,1.0,2.0959394,-1.4222088,-0.02421118,-0.62222046,-0.047998715
6840.495,0.97888434,0.9999941,2.0982168,-1.4239423,-0.024258982,-0.62240976,-0.048010383
6894.796,0.978631,0.99998206,2.1004834,-1.425669,-0.02430826,-0.62259656,-0.048024226
