foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
8.547e-05,3.657e-04,4.882e-04,3.754e-05,1.138e-04,1.025e-04,8.222e-06,2.485e-05
7.200e-05,3.252e-04,2.951e-04,6.656e-05,5.925e-05,1.693e-05,9.764e-06,3.807e-05
1.090e-04,2.980e-04,1.510e-04,7.308e-05,2.050e-05,6.211e-05,3.850e-06,7.423e-06
1.508e-04,1.209e-04,3.690e-05,3.490e-05,7.629e-06,3.481e-05,2.224e-05,3.301e-05
2.167e-04,1.495e-04,5.430e-05,9.444e-05,4.745e-05,1.323e-05,1.394e-05,1.598e-05
5.722e-05,3.119e-04,1.223e-04,3.767e-05,4.542e-05,2.146e-06,3.519e-05,3.970e-05
8.345e-05,2.301e-04,1.615e-04,6.539e-05,7.820e-05,2.295e-05,1.766e-05,2.648e-05
7.868e-05,1.984e-04,1.766e-04,5.001e-05,1.132e-05,6.133e-05,1.085e-05,6.852e-05
1.025e-05,2.050e-04,1.822e-04,5.040e-05,3.147e-05,1.281e-05,4.507e-05,3.202e-05
1.395e-05,1.464e-04,1.747e-04,1.878e-05,5.603e-05,2.855e-05,3.455e-06,1.570e-06
1.657e-05,1.891e-04,1.595e-04,1.660e-05,2.575e-05,2.289e-05,6.568e-05,9.801e-05
3.719e-05,1.423e-04,1.454e-04,8.214e-05,2.527e-05,5.317e-05,2.605e-05,3.496e-05
7.045e-05,1.566e-04,1.314e-04,1.109e-05,7.451e-05,2.766e-05,4.384e-05,7.344e-05
1.198e-04,1.850e-04,1.178e-04,5.671e-05,2.146e-05,1.122e-04,1.983e-05,1.005e-04
5.376e-05,1.967e-04,1.052e-04,6.497e-06,5.007e-06,4.619e-05,4.292e-05,5.718e-06
8.821e-06,1.280e-04,9.096e-05,5.957e-05,4.101e-05,1.110e-04,3.218e-05,4.508e-05
1.848e-05,1.762e-04,7.290e-05,1.395e-05,7.391e-06,4.411e-06,1.305e-05,3.779e-05
7.343e-05,1.414e-04,5.734e-05,1.022e-05,4.148e-05,2.629e-05,3.297e-05,4.907e-05
1.080e-04,1.249e-04,3.952e-05,1.541e-05,9.775e-06,3.856e-05,4.172e-05,4.364e-05
1.194e-04,1.721e-04,1.997e-05,6.589e-05,5.281e-05,4.435e-05,2.039e-05,6.441e-05
1.061e-04,1.390e-04,3.636e-06,1.758e-05,2.229e-05,1.913e-05,3.055e-05,5.841e-06
5.162e-05,1.574e-04,2.235e-05,4.399e-05,4.053e-06,5.174e-05,1.166e-05,7.916e-06
4.745e-05,1.824e-04,3.886e-05,4.181e-05,1.585e-05,6.890e-05,2.134e-05,3.396e-05
2.646e-05,2.389e-04,5.370e-05,3.716e-05,7.164e-05,6.914e-05,6.702e-05,5.743e-05
3.898e-05,2.027e-04,7.170e-05,1.591e-05,4.458e-05,2.319e-05,4.637e-05,4.030e-05
7.987e-06,2.062e-04,8.106e-05,4.396e-05,1.028e-04,9.608e-05,4.298e-05,1.075e-05
4.292e-06,2.496e-04,7.790e-05,4.920e-05,1.431e-05,1.073e-05,9.928e-06,3.280e-05
9.775e-06,2.596e-04,6.855e-05,3.308e-05,2.861e-05,4.619e-05,4.530e-05,5.666e-06
4.768e-06,2.162e-04,5.877e-05,5.096e-05,6.628e-05,1.299e-05,1.404e-05,2.189e-05
1.860e-05,2.007e-04,4.798e-05,5.040e-05,1.478e-05,2.134e-05,5.011e-06,1.713e-05
1.585e-05,2.525e-04,2.843e-05,1.580e-05,2.408e-05,3.219e-06,1.229e-05,2.392e-05
7.868e-05,2.210e-04,1.884e-05,1.219e-05,3.111e-05,2.748e-05,7.113e-05,4.312e-05
9.370e-05,1.993e-04,1.389e-05,3.597e-05,2.813e-05,2.259e-05,1.999e-06,1.372e-05
1.075e-04,1.624e-04,9.894e-06,7.391e-05,3.827e-05,1.037e-05,1.622e-05,4.608e-06
5.960e-05,1.650e-04,5.364e-06,8.166e-06,2.766e-05,4.351e-06,1.077e-05,1.296e-05
7.379e-05,2.275e-04,1.132e-06,7.957e-05,1.943e-05,3.147e-05,1.475e-05,1.599e-05
6.318e-05,2.322e-04,9.775e-06,8.395e-05,5.162e-05,1.830e-05,4.256e-05,4.211e-05
4.697e-05,1.802e-04,1.156e-05,5.549e-05,3.254e-05,2.807e-05,2.820e-05,7.313e-06
7.987e-06,2.205e-04,2.801e-06,4.354e-05,1.335e-05,1.901e-05,1.587e-05,1.007e-05
6.437e-06,2.649e-04,4.053e-06,3.517e-05,1.609e-05,1.478e-05,3.355e-05,4.629e-05
2.146e-05,2.658e-04,5.364e-07,4.610e-05,6.986e-05,2.652e-05,3.530e-06,8.944e-06
3.195e-05,2.549e-04,5.364e-06,1.681e-05,7.164e-05,3.469e-05,8.913e-06,6.835e-05
8.631e-05,2.615e-04,1.442e-05,2.295e-06,1.788e-06,9.990e-05,3.122e-05,3.252e-06
1.705e-05,2.525e-04,2.670e-05,7.272e-06,4.053e-05,1.180e-05,1.501e-05,1.015e-04
6.461e-05,2.570e-04,2.933e-05,5.811e-05,9.513e-05,1.955e-05,9.777e-06,4.072e-05
4.351e-05,3.154e-04,3.278e-05,2.077e-05,6.437e-06,5.734e-05,7.896e-06,2.812e-05
7.927e-05,2.344e-04,3.695e-05,8.315e-06,7.820e-05,4.411e-06,3.298e-05,3.804e-05
9.418e-05,2.792e-04,4.685e-05,1.442e-05,3.839e-05,3.779e-05,2.230e-05,2.703e-05
1.054e-04,2.925e-04,5.227e-05,8.076e-06,7.439e-05,5.674e-05,3.663e-05,1.122e-05
8.190e-05,2.267e-04,4.894e-05,9.328e-06,3.052e-05,2.253e-05,2.970e-05,5.022e-06
8.643e-05,2.186e-04,4.637e-05,4.789e-05,3.481e-05,7.784e-05,1.230e-05,2.582e-05
6.163e-05,3.121e-04,4.774e-05,2.089e-05,6.676e-06,9.942e-05,3.248e-06,1.229e-07
5.400e-05,3.629e-04,5.341e-05,7.451e-07,6.914e-06,2.658e-05,3.357e-05,1.889e-05
7.999e-05,3.510e-04,6.038e-05,4.557e-05,1.752e-05,3.970e-05,1.590e-05,5.093e-05
