,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,6.145e-05,3.618e-04,2.940e-05,3.425e-05,3.144e-05,2.271e-05,1.309e-05,1.965e-05
std,3.759e-05,5.940e-05,7.149e-05,2.738e-05,2.607e-05,2.118e-05,1.194e-05,1.832e-05
min,3.576e-07,1.209e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.118e-08,2.235e-08
0.1%,3.576e-07,1.209e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.118e-08,2.235e-08
25%,3.174e-05,3.527e-04,0.000e+00,1.235e-05,8.762e-06,7.480e-06,4.129e-06,6.499e-06
50%,6.431e-05,3.767e-04,2.328e-10,2.676e-05,2.605e-05,1.770e-05,9.637e-06,1.347e-05
75%,8.243e-05,3.949e-04,1.703e-05,5.031e-05,4.745e-05,3.028e-05,1.903e-05,2.979e-05
99.9%,2.728e-04,4.675e-04,6.207e-04,1.236e-04,1.235e-04,1.278e-04,8.562e-05,1.287e-04
max,2.728e-04,4.675e-04,6.207e-04,1.236e-04,1.235e-04,1.278e-04,8.562e-05,1.287e-04
