kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,460.0,1740.0,0.85,0.0068,0.0
228.41023,857.74384,462.25787,1740.1342,0.8777341,0.011016,0.014888048
234.24014,864.4985,464.58594,1740.2715,0.9057255,0.01534959,0.029554427
240.45383,871.26825,466.98166,1740.4119,0.93396246,0.01980147,0.044002473
247.03601,878.05585,469.4426,1740.5557,0.96243435,0.024372274,0.058235407
253.96219,884.8634,471.9666,1740.7029,0.99113095,0.029062584,0.072256446
261.2048,891.69244,474.55154,1740.8535,1.0200428,0.033872925,0.08606875
268.7587,898.5443,477.1955,1741.0078,1.0491608,0.038803775,0.09967542
276.60632,905.42,479.89658,1741.1658,1.0784765,0.043855563,0.11307949
284.73053,912.3192,482.65308,1741.3274,1.1079816,0.04902867,0.126284
293.12183,919.2414,485.46326,1741.4929,1.1376678,0.054323435,0.13929194
301.7578,926.1854,488.32556,1741.6621,1.1675274,0.059740156,0.15210623
310.63773,933.14935,491.2383,1741.8354,1.1975528,0.06527909,0.16472971
319.75034,940.13104,494.2,1742.0128,1.2277361,0.07094046,0.17716527
329.08917,947.1283,497.2091,1742.1943,1.2580696,0.07672444,0.1894157
338.65344,954.1388,500.26398,1742.3799,1.2885454,0.08263116,0.20148373
348.44263,961.1601,503.3632,1742.5697,1.3191558,0.08866073,0.21337211
358.43298,968.19006,506.50513,1742.7639,1.349893,0.094813205,0.22508347
368.6323,975.2257,509.68826,1742.9623,1.3807492,0.101088606,0.23662049
379.03952,982.26465,512.9111,1743.1652,1.4117166,0.10748691,0.24798572
389.6465,989.3046,516.17206,1743.3724,1.4427873,0.11400806,0.25918174
400.46313,996.34314,519.46967,1743.5842,1.4739537,0.12065196,0.2702111
411.47977,1003.37695,522.80237,1743.8007,1.5052078,0.12741847,0.28107625
422.6887,1010.4029,526.16864,1744.0216,1.5365417,0.13430741,0.29177964
434.08334,1017.418,529.56696,1744.2472,1.5679476,0.14131859,0.3023237
445.67438,1024.4199,532.9957,1744.4775,1.5994176,0.14845173,0.31271076
457.45636,1031.4043,536.4533,1744.7126,1.6309438,0.15570655,0.32294315
469.41827,1038.3666,539.93823,1744.9523,1.6625179,0.16308275,0.33302325
481.56268,1045.3032,543.4488,1745.1969,1.6941322,0.17057993,0.34295326
493.89935,1052.2112,546.98346,1745.4463,1.7257782,0.17819768,0.35273546
506.42163,1059.0873,550.54047,1745.7007,1.7574477,0.18593559,0.36237198
519.11957,1065.9276,554.11816,1745.96,1.7891326,0.19379315,0.37186503
532.0067,1072.7305,557.71484,1746.2241,1.8208244,0.20176984,0.38121676
545.0898,1079.4937,561.32886,1746.4933,1.8525153,0.20986511,0.39042926
558.37427,1086.2147,564.9585,1746.7675,1.8841972,0.21807836,0.3995046
571.85565,1092.8907,568.60223,1747.0465,1.9158621,0.22640896,0.40844482
585.5166,1099.5186,572.2583,1747.3307,1.9475021,0.23485623,0.41725194
599.3704,1106.0952,575.92505,1747.6199,1.9791098,0.24341945,0.42592794
613.42914,1112.6187,579.6009,1747.9141,2.010677,0.2520979,0.43447477
627.6728,1119.0878,583.28406,1748.2134,2.0421965,0.2608908,0.44289434
642.09265,1125.4996,586.9731,1748.5177,2.0736604,0.26979735,0.45118856
656.6994,1131.8496,590.6663,1748.8271,2.1050615,0.27881667,0.4593593
671.4979,1138.1349,594.36206,1749.1416,2.1363924,0.2879479,0.46740842
686.48584,1144.3518,598.0588,1749.4612,2.1676452,0.2971901,0.47533768
701.6761,1150.4982,601.75464,1749.7859,2.1988132,0.3065424,0.48314893
717.05524,1156.5723,605.4481,1750.1156,2.2298887,0.31600377,0.49084383
732.6177,1162.5715,609.1375,1750.4503,2.2608643,0.32557318,0.49842417
748.3951,1168.4937,612.82117,1750.7903,2.2917333,0.33524963,0.5058917
764.3626,1174.3348,616.4975,1751.1353,2.3224888,0.34503204,0.513248
780.5311,1180.0939,620.1649,1751.4852,2.3531237,0.3549193,0.5204948
796.92584,1185.7698,623.8218,1751.8402,2.383631,0.36491033,0.5276337
813.52997,1191.3602,627.46643,1752.2002,2.4140043,0.37500393,0.53466636
830.3168,1196.8622,631.09735,1752.5653,2.4442372,0.38519895,0.54159427
847.2925,1202.2726,634.7131,1752.9353,2.4743233,0.39549413,0.54841906
864.47394,1207.5886,638.31195,1753.3102,2.5042558,0.4058883,0.5551423
881.8827,1212.8088,641.89233,1753.6901,2.5340283,0.4163801,0.5617654
899.4831,1217.9314,645.45276,1754.0747,2.5636349,0.42696834,0.5682899
917.28436,1222.9546,648.9917,1754.4642,2.5930696,0.4376517,0.5747172
