con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
76.997055,0.0017051001,105.17594,104.996605,27.969551,32.500324,18.415224,0.17933552,35.100327
79.51796,0.0017812342,108.67312,108.479546,28.928732,32.9395,18.875093,0.19357228,35.48038
82.11572,0.0018604711,112.27229,112.063416,29.911943,33.384895,19.360823,0.20887935,35.868008
84.802444,0.0019428297,115.96872,115.74341,30.9022,33.83271,19.878275,0.22530748,36.259357
87.56267,0.0020283298,119.76085,119.51794,31.913363,34.27986,20.418482,0.2429145,36.651337
90.40364,0.0021169905,123.64481,123.38306,32.93431,34.727203,20.98709,0.2617549,37.044754
93.32108,0.0022088315,127.6202,127.338295,33.96881,35.173634,21.581692,0.2818915,37.43849
96.307304,0.0023038725,131.68654,131.38315,35.02404,35.616955,22.196766,0.303389,37.830315
99.364784,0.0024021303,135.84023,135.51392,36.09378,36.053413,22.833782,0.32630593,38.216446
102.49289,0.0025036235,140.08032,139.72963,37.17765,36.4817,23.496595,0.35070843,38.59555
105.68565,0.0026083677,144.40706,144.0304,38.281727,36.900726,24.178791,0.37666672,38.96652
108.94538,0.0027163762,148.81718,148.41295,39.400402,37.308506,24.88103,0.4042435,39.327324
112.27034,0.0028276613,153.31064,152.87714,40.53534,37.707855,25.603033,0.43351057,39.680767
115.66155,0.0029422336,157.88693,157.42238,41.68492,38.098515,26.348225,0.4645402,40.02657
119.117645,0.0030600994,162.5464,162.04901,42.850784,38.478043,27.112482,0.49740818,40.36226
122.632965,0.0031812661,167.28636,166.75417,44.035736,38.84413,27.893852,0.5321824,40.685505
126.21071,0.0033057362,172.10683,171.53787,45.236515,39.195972,28.695997,0.5689397,40.99548
129.84589,0.0034335093,177.00826,176.4005,46.458527,39.53462,29.514626,0.6077595,41.29321
133.5414,0.0035645852,181.99011,181.3414,47.69819,39.85897,30.350603,0.6487193,41.57757
137.29343,0.0036989572,187.05255,186.36066,48.959484,40.171562,31.206028,0.69189936,41.85109
141.11089,0.0038366178,192.19762,191.46022,50.23542,40.471817,32.084232,0.7373888,42.113155
144.9859,0.003977557,197.42241,196.63715,51.53069,40.752754,32.978832,0.7852589,42.356773
148.92186,0.0041217613,202.72655,201.89096,52.841415,41.014,33.89439,0.8355905,42.581547
152.91391,0.004269214,208.11101,207.22252,54.173412,41.25788,34.82629,0.88847035,42.789783
156.96588,0.0044198954,213.57544,212.63144,55.52243,41.48535,35.77381,0.94398105,42.98242
161.07547,0.0045737806,219.11972,218.11751,56.89059,41.696857,36.737926,1.0022055,43.15989
165.24384,0.0047308425,224.74379,223.68057,58.276596,41.89367,37.722763,1.0632275,43.32344
169.47305,0.0048910514,230.44882,229.3217,59.679512,42.07743,38.732227,1.1271371,43.47469
173.76337,0.005054376,236.23746,235.04343,61.10148,42.24544,39.760983,1.1940329,43.610928
178.11278,0.0052207797,242.10716,240.84317,62.5419,42.396557,40.807713,1.2639883,43.731
182.52248,0.0053902254,248.05577,246.71869,63.997406,42.532627,41.874165,1.3370764,43.836727
186.98848,0.0055626733,254.08597,252.67256,65.47451,42.652798,42.95868,1.4133972,43.927246
191.509,0.005738078,260.1983,258.70526,66.97536,42.755787,44.057426,1.4930383,44.001255
196.08966,0.005916396,266.39285,264.81674,68.49431,42.841473,45.17453,1.5760857,44.05862
200.73044,0.0060975775,272.66846,271.00586,70.03015,42.90986,46.309925,1.662617,44.099327
205.4266,0.006281571,279.0271,277.27438,71.59011,42.97464,47.466877,1.7527286,44.13707
210.18062,0.0064683226,285.4698,283.6233,73.17213,43.02498,48.641262,1.8465106,44.160976
215.00194,0.0066577788,291.99658,290.05252,74.76654,43.058125,49.835155,1.9440486,44.168293
219.87503,0.0068498817,298.60712,296.56168,76.38849,43.074078,51.044445,2.0454235,44.159004
224.79944,0.007044575,305.30222,303.15146,78.03913,43.074726,52.268543,2.1507244,44.134987
229.79176,0.007241795,312.08136,309.82135,79.70133,43.057873,53.52046,2.2600293,44.094025
234.84265,0.0074414806,318.94547,316.57208,81.3854,43.03051,54.795925,2.3734267,44.0431
239.95528,0.0076435655,325.89612,323.40512,83.08944,42.98792,56.090878,2.4910083,43.977486
245.13264,0.007847982,332.93335,330.32053,84.8104,42.929836,57.405838,2.612855,43.896908
250.37355,0.008054665,340.05783,337.3188,86.550125,42.857315,58.74049,2.7390518,43.80239
255.67441,0.008263541,347.26913,344.39948,88.31193,42.77471,60.094925,2.8696728,43.6983
261.032,0.008474542,354.5654,351.56064,90.096794,42.678516,61.471016,3.004779,43.581104
266.44818,0.008687592,361.9476,358.80313,91.903946,42.568825,62.867626,3.1444528,43.45089
271.91833,0.008902622,369.41846,366.12964,93.740456,42.44554,64.284134,3.288793,43.307552
277.45148,0.009119555,376.97757,373.53973,95.596756,42.30724,65.719086,3.437868,43.14965
283.0544,0.009338317,384.62582,381.0341,97.466965,42.155567,67.17859,3.5917583,42.97882
288.71832,0.009558831,392.36514,388.61456,99.361725,41.993454,68.66158,3.7505524,42.797993
294.44357,0.009781017,400.194,396.2797,101.27925,41.819847,70.16416,3.9143043,42.60609
300.22763,0.010004801,408.1117,404.02856,103.221085,41.63431,71.68817,4.083076,42.402676
306.07364,0.0102301,416.12115,411.8642,105.18688,41.43458,73.23345,4.256961,42.185474
311.9882,0.010456838,424.22055,419.78455,107.16794,41.219883,74.806145,4.436005,41.9537
317.9631,0.010684934,432.41116,427.7909,109.17382,40.99034,76.4012,4.620285,41.707478
324.00186,0.010914306,440.69125,435.88138,111.19931,40.75041,78.01703,4.8098392,41.45124
330.09503,0.011144876,449.06247,444.05768,113.25558,40.49939,79.64978,5.0047455,41.184284
336.26205,0.011376554,457.52682,452.32172,115.32465,40.233654,81.30634,5.2050786,40.902977
342.5012,0.011609267,466.0818,460.67093,117.40594,39.95451,82.98895,5.410868,40.608616
348.80054,0.011842925,474.7275,469.10532,119.51114,39.6615,84.693184,5.622162,40.300724
355.1548,0.01207745,483.46362,477.6246,121.6453,39.35394,86.42103,5.8390083,39.97863
361.57874,0.012312755,492.2914,486.22995,123.79496,39.03519,88.1746,6.0614634,39.645683
368.0602,0.012548751,501.21283,494.92328,125.9742,38.70548,89.94838,6.2895956,39.30209
374.6022,0.01278536,510.22726,503.70383,128.17932,38.364758,91.743484,6.523439,38.947803
381.2108,0.013022494,519.3346,512.5716,130.40422,38.013954,93.5622,6.763031,38.58374
387.87885,0.013260068,528.5369,521.5285,132.65823,37.656075,95.40064,7.0084357,38.21291
394.6151,0.013497999,537.8366,530.5769,134.93468,37.288788,97.26322,7.2597175,37.832962
