kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.64314,0.9852852,0.11792318,0.8948174,-0.61662513,-0.009706521,-0.15839945,-0.018526401
234.61893,0.9909575,0.12151406,0.89050955,-0.6126914,-0.009638252,-0.16012722,-0.018539663
240.9704,0.99576235,0.12495856,0.88654757,-0.6091039,-0.009564573,-0.16183308,-0.01853421
247.6793,0.99956256,0.12830354,0.8830011,-0.6057966,-0.009486711,-0.16363725,-0.018497352
254.71341,1.002699,0.13160327,0.87970495,-0.6027174,-0.009459434,-0.16542947,-0.018569108
262.06464,1.0051117,0.13479401,0.8767913,-0.5999377,-0.009407477,-0.16726893,-0.018609544
269.7253,1.0069312,0.13789247,0.8741963,-0.5973474,-0.009306727,-0.16920044,-0.01864912
277.66705,1.0083292,0.1409406,0.87179726,-0.59494317,-0.009289181,-0.17111039,-0.018671494
285.88083,1.0093081,0.14399338,0.86961067,-0.59276295,-0.009262668,-0.17305312,-0.01868458
294.36456,1.0099168,0.14706592,0.86777437,-0.5908128,-0.009234613,-0.17510706,-0.018696677
303.0936,1.0102745,0.15017796,0.8661183,-0.5889823,-0.009216806,-0.17711623,-0.018753033
312.06512,1.0103765,0.15334183,0.864621,-0.5872694,-0.009184798,-0.17920834,-0.018844541
321.27386,1.0102713,0.1564886,0.8632951,-0.5856792,-0.009157831,-0.18127945,-0.01892299
330.71927,1.0099679,0.15961614,0.86222804,-0.5842917,-0.009118086,-0.18337992,-0.018998895
340.3808,1.0095056,0.16277513,0.861282,-0.5830641,-0.009091018,-0.1854974,-0.01910373
350.257,1.00897,0.16599229,0.86045164,-0.5819657,-0.0090986695,-0.18763995,-0.019173132
360.34894,1.0083345,0.16928393,0.8598017,-0.5810633,-0.009142021,-0.18987349,-0.019229716
370.6501,1.0076679,0.17261955,0.85925514,-0.5802424,-0.009081835,-0.19206965,-0.01931757
381.1601,1.0069461,0.17601956,0.8588023,-0.5794016,-0.009048013,-0.1942659,-0.019382043
391.89084,1.0062183,0.17942353,0.85853326,-0.5786928,-0.009020908,-0.19643489,-0.01948652
402.82037,1.0053971,0.18285272,0.85843164,-0.57812953,-0.009041479,-0.19867218,-0.019610062
413.94406,1.0045736,0.18643145,0.8583946,-0.57771766,-0.009065395,-0.20090541,-0.019694299
425.26663,1.0037191,0.19015832,0.8585036,-0.57736516,-0.00910127,-0.20320994,-0.019826379
436.7841,1.0028862,0.19398735,0.8586755,-0.57710624,-0.009057974,-0.20551853,-0.019904269
448.4928,1.002041,0.1978924,0.85885894,-0.57687515,-0.0089964885,-0.20782652,-0.019964416
460.39124,1.0012101,0.20186618,0.8590952,-0.57667005,-0.008969119,-0.21014918,-0.02007705
472.4847,1.0003852,0.20587818,0.8594721,-0.5765613,-0.008985778,-0.21244967,-0.020179369
484.78983,0.9995518,0.2099052,0.8600505,-0.576542,-0.009037269,-0.2147497,-0.020264938
497.2871,0.9987117,0.21400173,0.86069155,-0.57657677,-0.009063935,-0.21704516,-0.020353783
509.95993,0.9978859,0.21818192,0.8613832,-0.5766893,-0.009067005,-0.21930152,-0.020401774
522.8241,0.9970661,0.22240219,0.86214405,-0.5768547,-0.009051463,-0.22161283,-0.020452304
535.8828,0.9962867,0.22668818,0.8629624,-0.5770713,-0.009010641,-0.22394782,-0.020546138
549.1335,0.9955606,0.23106268,0.8637736,-0.5773318,-0.008977806,-0.22625166,-0.020651447
562.56665,0.9948459,0.23552692,0.86461616,-0.57764083,-0.008958062,-0.22859026,-0.020786706
576.194,0.99414456,0.24007866,0.86549294,-0.57798195,-0.008921562,-0.23091663,-0.020928849
590.0204,0.99349195,0.24448073,0.8664884,-0.57839984,-0.008881746,-0.23325473,-0.02101462
604.04474,0.99287015,0.24892986,0.8675022,-0.57885736,-0.008851035,-0.23561063,-0.02109814
618.2626,0.99221617,0.25347573,0.8685112,-0.5793768,-0.008874668,-0.2379897,-0.021172475
632.6774,0.9916364,0.25811592,0.86953914,-0.5799132,-0.008935599,-0.2403692,-0.021280628
647.2849,0.99113095,0.2628199,0.8705779,-0.5804447,-0.009010395,-0.24273792,-0.021387506
662.08813,0.9905933,0.26762488,0.87175304,-0.58109033,-0.00903151,-0.24506521,-0.02146339
677.097,0.99008536,0.27241606,0.87302965,-0.5817796,-0.009039132,-0.24744287,-0.021597529
692.30994,0.9895877,0.27727774,0.874323,-0.5824839,-0.00905556,-0.24979556,-0.021735178
707.73004,0.98908454,0.28221607,0.875623,-0.5831915,-0.009074567,-0.25214124,-0.021869263
723.3524,0.98858464,0.28721362,0.87692785,-0.5839327,-0.009095414,-0.25448674,-0.021972854
739.16235,0.98811007,0.29220122,0.878258,-0.5847473,-0.009099482,-0.25681508,-0.02209233
755.1649,0.987678,0.29723418,0.8796578,-0.58558357,-0.009091308,-0.25912955,-0.022189947
771.37714,0.9872789,0.30231473,0.88109756,-0.5864332,-0.009100324,-0.26142636,-0.022282947
787.7955,0.9869359,0.30745304,0.8825839,-0.5872692,-0.009100018,-0.26373434,-0.022377685
804.4236,0.98660064,0.3126705,0.8840514,-0.5881206,-0.00911474,-0.2660285,-0.022480931
821.2736,0.9862398,0.31794626,0.88555175,-0.5890083,-0.009130856,-0.26830402,-0.022608995
838.3335,0.98590004,0.3232367,0.8871112,-0.5899044,-0.009164033,-0.27053,-0.022715673
855.5963,0.9855796,0.32856014,0.8886689,-0.5908096,-0.009215636,-0.2727596,-0.022790965
873.0818,0.9852911,0.33392164,0.89026076,-0.5917411,-0.009248225,-0.2749874,-0.022872832
890.77356,0.9850191,0.33936736,0.8918678,-0.59274286,-0.009276515,-0.27717474,-0.022926379
908.6827,0.9847343,0.3449059,0.89353514,-0.5937471,-0.009328743,-0.2793863,-0.022979286
926.79285,0.9844745,0.35054165,0.8952272,-0.5948154,-0.009355744,-0.28163478,-0.023077548
945.11444,0.984224,0.3562023,0.89691406,-0.5958748,-0.009365512,-0.28388515,-0.0231806
963.66016,0.98402494,0.36190432,0.89858884,-0.59691,-0.009389481,-0.28613845,-0.023271482
982.41125,0.98379284,0.3677111,0.9002549,-0.5979869,-0.009415878,-0.28832772,-0.023344737
1001.3679,0.983538,0.37359858,0.9019422,-0.5991101,-0.009412756,-0.29050222,-0.0234118
1020.52704,0.9833103,0.37957776,0.9036476,-0.6002438,-0.009401096,-0.29264352,-0.023500651
1039.8917,0.9831306,0.3856629,0.90541905,-0.60133195,-0.009414008,-0.2946856,-0.023606814
1059.4803,0.9829407,0.3918043,0.9072128,-0.6023842,-0.009467056,-0.29670927,-0.02369092
1079.2843,0.982787,0.398003,0.90900123,-0.6035441,-0.009485824,-0.2988028,-0.023790188
1099.3003,0.9826582,0.4042639,0.91078913,-0.6047659,-0.009485496,-0.3009334,-0.023900937
1119.5458,0.98253083,0.41057435,0.9125838,-0.6059914,-0.009496143,-0.30303413,-0.024005909
1140.0338,0.9824313,0.41689306,0.9143712,-0.60718584,-0.009540966,-0.30509248,-0.02406716
1160.7584,0.9823272,0.4232618,0.9161596,-0.608383,-0.009572944,-0.30713558,-0.024129733
1181.7024,0.98224926,0.4296769,0.9179434,-0.6095921,-0.009562125,-0.30916816,-0.024200793
1202.869,0.98216695,0.4361518,0.9197309,-0.6107965,-0.009552455,-0.3111881,-0.02427167
1224.2675,0.982124,0.44269508,0.92152184,-0.61201227,-0.009543022,-0.3131669,-0.02437365
1245.8983,0.98207605,0.44927767,0.9233487,-0.613307,-0.009554973,-0.3151125,-0.024507653
1267.7603,0.982021,0.4559347,0.9251929,-0.61460257,-0.00957117,-0.31704104,-0.02462807
1289.8444,0.9819835,0.462666,0.92703986,-0.61588264,-0.009577392,-0.31900096,-0.024723645
1312.1686,0.9819478,0.46948493,0.9288776,-0.6171502,-0.009600511,-0.3208999,-0.024821576
1334.7236,0.9819362,0.47640514,0.9307386,-0.61841226,-0.009637384,-0.32272807,-0.024922267
1357.5146,0.9819111,0.48338038,0.93260795,-0.6196754,-0.009675091,-0.32453424,-0.02502539
1380.5452,0.9818693,0.4904027,0.9344768,-0.6209382,-0.009711837,-0.32632875,-0.025122918
1403.8073,0.9818488,0.4974635,0.9363379,-0.6222085,-0.0097386,-0.32815108,-0.025223874
1427.3011,0.9818253,0.50456965,0.93819827,-0.6234761,-0.009764453,-0.3299677,-0.02532595
1451.0387,0.9817935,0.51175344,0.94007224,-0.62474394,-0.009765273,-0.33173612,-0.02542239
1475.008,0.9817578,0.5190209,0.9419808,-0.6260269,-0.009784279,-0.33340827,-0.025482733
1499.2115,0.9817118,0.52633256,0.9438899,-0.62730414,-0.009804351,-0.33506635,-0.025543515
1523.65,0.9816563,0.5336846,0.9457982,-0.62857723,-0.009822046,-0.3367044,-0.025603708
1548.2966,0.9816223,0.5411007,0.9476847,-0.6298435,-0.009851409,-0.33831197,-0.02566642
1573.156,0.98163706,0.54863834,0.94960034,-0.63116944,-0.009867353,-0.33989072,-0.025738668
1598.2329,0.98165303,0.55619264,0.95151615,-0.6324916,-0.009883089,-0.34145126,-0.025811732
1623.5525,0.9816837,0.5637818,0.95343256,-0.63380605,-0.009910313,-0.34302554,-0.025893245
1649.1383,0.98172855,0.57150054,0.9553426,-0.63513434,-0.009949183,-0.3446056,-0.025972433
1674.967,0.981721,0.57928103,0.9572115,-0.6364478,-0.009937068,-0.34615773,-0.02602129
1701.044,0.98171604,0.5870994,0.95910114,-0.6377657,-0.00994393,-0.34767297,-0.026067156
1727.371,0.98173183,0.59496427,0.9610282,-0.63909674,-0.009966319,-0.3491508,-0.026110806
1753.924,0.98173195,0.60304517,0.96292305,-0.64045006,-0.009995474,-0.3505761,-0.026161894
1780.7089,0.9817652,0.6114802,0.96480227,-0.64176005,-0.010013459,-0.35188252,-0.026239078
1807.7383,0.98179466,0.61990947,0.96669054,-0.6430809,-0.010031452,-0.35319358,-0.026319332
1835.0132,0.9818107,0.6283343,0.96857566,-0.6443932,-0.010049848,-0.35448524,-0.026400406
1862.5342,0.98182255,0.6367533,0.97045755,-0.6457001,-0.010067819,-0.35575095,-0.026481282
1890.3033,0.9818634,0.6451678,0.9723435,-0.64701885,-0.010079002,-0.35697696,-0.026558898
